COGID	1	10	2	3	4	5	6	7	8	9
2689-1	a a m a									
893-1	n a á n a									
1285-1	n w a									
1303-1	ŋ ɔ m a									
2197-1	z a l a									
2828-1	d i n a									
3572-1	z ɔ n i									
1095-1	l i m a									
1755-1	n i									
1789-1	k a l á ŋ g a									
3207-1	β ʊ l a									
3519-1	t ʊ m a									
3686-1	z i m b a									
4249-1	k ʊ m i									
4451-1	β i z i									
448-1	n ɔ n i									
630-1	β ɛ l ɛ									
814-1	ŋ ɔ ɔ m b ɛ									
1216-1	g a β a									
1228-1	b w á									
1418-1	z i m ʊ									
1475-1	g w á									
2026-1	t w i									
2775-1	β ʊ m b a									
3397-1	β ɔ l ɔ									
3826-1	z ɔ ɔ k a									
4003-1	i β a									
4040-1	g ɛ n i									
4373-1	l a m i									
4384-1	i n ɔ									
84-1	z ʊ l g ʊ									
116-1	f i k a									
181-1	g ɔ ŋ g ɔ									
419-1	l ɔ ɔ g a									
587-1	ɔ ŋ g ɔ									
660-1	l ɛ l a									
848-1	k a l a									
1083-1	l i l a									
1122-1	β i n a									
1159-1	ɲ a									
1350-1	d j a									
1374-1	n a á n ɛ									
1396-1	z ɔ v ʊ									
1430-1	i i n s u									
1666-1	t a a n ɔ									
1767-1	g ɔ g ɔ									
1906-1	ŋ g i l a									
2177-1	ŋ g a h i									
2286-1	l a									
2317-1	β ʊ β a									
2419-1	s ɛ ɛ k a									
2750-1	ɛ z i									
3018-1	z i l a									
3275-1	g a n a									
3441-1	s a a ŋ g a									
3464-1	β ɔ n a									
3639-1	t ɛ ɛ m ɛ l a									
3885-1	z ʊ m ɔ									
3981-1	i m a									
4192-1	β i m b a									
4260-1	z w a									
4350-1	l ɛ ɛ l ɔ									
43-1	d i m ʊ									
93-1	k ɔ n ɔ									
200-1	β i									
374-1	z w l w a									
459-1	l ʊ m a									
508-1	β ɔ p ʊ									
528-1	β i l i									
575-1	t a a									
871-1	t a a m a									
1137-1	z ʊ g ʊ									
1339-1	t w i									
1585-1	a a l a									
1712-1	p ʊ l ɔ									
1872-1	p									
2088-1	β i k a									
2166-1	n u m b a									
2334-1	β i g ɔ									
2393-1	m i a									
2537-1	l ɔ m ɔ									
2665-1	i ŋ g i									
2738-1	β ɛ l ɛ									
2872-1	k ɔ ɲ i									
2893-1	z i k ʊ									
2997-1	k a á n z a									
3075-1	k ʊ l ʊ β ɛ									
3675-1	l l a ɛ l ɛ									
4028-1	β ɛ w ɛ									
4137-1	m i l a									
4238-1	i ɔ z i									
4316-1	t a a t ʊ									
4429-1	a a z a									
4440-1	β i l i									
4485-1	z ʊ									
4574-1	f β a l a									
4688-1	w ɛ n w ɛ									
143-1	β ʊ									
240-1	ɔ ɔ g a									
388-1	ʊ m a									
401-1	d a									
599-1	t a a m b i									
649-1	l ɛ ɛ t a									
755-1	g ʊ l a									
836-1	s u u m b i									
969-1	i s a									
994-1	t ɛ l ɛ k a									
1006-1	u ŋ g u									
1032-1	k ɔ l ɔ l a									
1043-1	β a l a									
1110-1	t ɛ ɛ m a									
1263-1	t a a h a									
1273-1	l ɔ ɔ t a									
1329-1	i i k a									
1362-1	g i									
1606-1	ɔ ɔ t ɔ									
1617-1	d i k ɔ									
1629-1	k β i									
1744-1	i β a a									
1895-1	g a									
1917-1	f u m a									
1969-1	a m a									
1989-1	s a a g a									
2037-1	k a l a									
2128-1	i m b i									
2186-1	g a n a									
2483-1	g u l ʊ									
2592-1	l ɔ ɔ l a									
2615-1	d a									
2700-1	g a ŋ g a									
2784-1	g u l i									
2797-1	l ɔ m ʊ									
2884-1	m p j a									
2904-1	g ɛ n d a									
2972-1	z ɛ									
3030-1	l i p a									
3148-1	i t a									
3160-1	l u t a									
3261-1	t ɛ ɛ t ɛ									
3364-1	z ɔ t a									
2689-2		a m a m a								
893-2		a a n a								
1303-2		ŋ g o m a								
2197-2		z a l a								
2828-2		l i n a								
3572-2		s u n i								
1095-2		l i m a								
1789-2		k a l a ŋ g a								
3207-2		v u l a								
3519-2		t u m a								
3686-2		j i m b a								
4249-2		g u m i								
4451-2		v i s i								
448-2		n u i n i								
630-2		v i l e l e								
814-2		ŋ oː m b i								
1216-2		g a v a								
1228-2		b w a								
1418-2		t i m a								
1475-2		g w a								
2026-2		t w i								
3826-2		s o o g a								
4003-2		j i v a								
4373-2		l i m i								
4384-2		i n o								
84-2		g u l u								
116-2		v i g a								
419-2		l u g a								
587-2		o ŋ g o								
660-2		l e l a								
848-2		k a l a								
1122-2		w i n a								
1159-2		s a								
1350-2		l j a								
1374-2		n a á n e								
1906-2		ŋ g i l a								
2419-2		s i g a								
2750-2		e s i								
3441-2		s a a ŋ g a								
3464-2		v o n a								
3639-2		t i t i m a								
3981-2		i m a n a								
4192-2		v i m b a								
4350-2		l e e l o								
278-2		v								
3971-2		g a m a								
55-2		a m a m a								
43-2		d i m u								
93-2		g o n o								
459-2		l u m a								
1137-2		s i g u								
1585-2		a l a								
1872-2		p a a								
2166-2		u m b a								
2872-2		g o s i								
2997-2		k a s a								
3075-2		g u l u v e								
3675-2		l w a i l e								
4137-2		m i l a								
4238-2		i s o i								
4316-2		d a t u								
4574-2		v w á l a								
3067-2		n t u								
3531-2		a n i g a								
1033-2		k o p o l a								
3185-2		v i k a								
794-2		v i l a								
143-2		v u								
240-2		o o ŋ g a								
388-2		u m a								
599-2		t a a m b i								
969-2		i a								
994-2		d e l i k a								
1606-2		oː t oː								
1629-2		k w i i								
1895-2		v a								
2592-2		l oː l a								
2884-2		p j a a								
3148-2		i t a								
3261-2		d e t e								
2689-3			a a m a							
893-3			a a n a							
1285-3			ŋ w a							
1303-3			ŋ k m a							
2197-3			tʰ a l a							
2828-3			tʰ i n a							
3572-3			s u n i							
1095-3			l i m a							
1755-3			n i							
1789-3			x a l a ŋ g a							
3207-3			p u l a							
3519-3			l u m a							
3686-3			i m b a							
4249-3			x u m i							
4451-3			β i s i							
448-3			j u n i							
630-3			β e l e							
1216-3			k a β a							
1228-3			b w a							
1418-3			s i m a							
1475-3			x w a							
3397-3			β o l a							
4003-3			i p a							
4040-3			k e n i							
4373-3			l i m i							
4384-3			i n o							
181-3			k o ŋ g o							
419-3			l u k a							
587-3			o ŋ g o							
660-3			l e l a							
1083-3			l i l a							
1350-3			l j a							
1374-3			tʰ a a n e							
1396-3			s o f u							
1666-3			tʰ a a n u							
1767-3			x u x o							
1906-3			i ŋ k i l a							
2177-3			ŋ k a p i							
2286-3			l a							
2317-3			f u β a							
2750-3			e s i							
3275-3			x a n a							
3464-3			f o n a							
3639-3			d e m a							
3981-3			i m a							
4192-3			f i m b a							
4260-3			s w a							
4350-3			l e l o							
278-3			β a							
745-3			tʰ a x o							
3971-3			x a m a							
93-3			k o n o							
200-3			β i							
374-3			dʒ a l w a							
508-3			a o f u							
528-3			β i l i							
1137-3			s i x u							
1585-3			a a l a							
1712-3			f u l o							
2088-3			β i s a							
2334-3			f i k o							
2393-3			x a n a							
2665-3			ìì ŋ k i							
2738-3			β e l e l a							
3675-3			l w e l e							
4137-3			m i l a							
4440-3			β i l i							
4574-3			w a l a							
4688-3			a n w e							
2798-3			n w a							
3067-3			tʰ u							
3531-3			a a n i x a							
3767-3			l o							
4632-3			x a s i							
401-3			tʰ a							
649-3			l e e tʰ a							
755-3			k u l a							
1032-3			k o l o l a							
1043-3			f a l a							
1273-3			l o o tʰ a							
1362-3			k ìì							
1895-3			dʒ a							
2615-3			d a a							
2784-3			k u l u							
2904-3			k e n d a							
2689-4				z a m a						
893-4				a n a						
1285-4				ŋ w a						
3572-4				z o n i						
1755-4				n i						
1789-4				k á ŋ g a						
3686-4				i m b a						
4451-4				b i z i						
1216-4				z g a						
4003-4				e b a						
419-4				ɔ g a						
1122-4				b e n a						
1430-4				i s ɔ						
1666-4				t a n ɔ						
1767-4				g o g o						
55-4				ɲ a m a						
94-4				b ɔ g ɔ						
2717-4				g a ŋ g a						
1339-4				t w i						
4632-4				g á z i						
2784-4				g o l u						
3160-4				s u t a						
2689-5					a m a					
893-5					a n a					
1285-5					n w a					
1303-5					u o m a					
2197-5					z a l a					
2828-5					l n a					
3572-5					z u n i					
1095-5					l i m a					
3207-5					p u l a					
3519-5					t u m					
3686-5					j i m b a					
4249-5					k u m i					
448-5					n u n i					
630-5					β e l e					
814-5					p o m b e					
1228-5					p f					
1418-5					s i m a					
2026-5					t f e					
2775-5					β u m b a					
3397-5					β o l o					
3826-5					ʃ o k					
4040-5					e n i					
4373-5					l i m i					
4384-5					i n o					
84-5					ʃ u l u					
116-5					p i k a					
587-5					o n k o					
848-5					k a l a					
1159-5					n a					
1350-5					l j a					
1396-5					ʃ u β u					
1430-5					i s u					
1767-5					tʰ u d					
2286-5					l a					
2317-5					β u β a					
2419-5					s e k a					
2750-5					e ʃ i					
3018-5					ʃ i l a u k					
3275-5					k a n a					
3441-5					s a ŋ g a					
3885-5					ʃ u m o					
4192-5					β i m b a					
4260-5					s w					
4350-5					l e l o					
278-5					β a					
745-5					t á o					
3971-5					k a m a					
55-5					n a m a					
94-5					β u k o					
2717-5					g a ŋ g a					
4139-5					m i n					
