COGID	Albanian	English	French	German	Latin
560-1	n				
438-1	r e t e t				
1222-1	u e t				
353-1	j				
201-1	ʃ n				
20-1	ʃ u r				
503-1	ł n				
957-1	e t n				
728-1	l n				
244-1	n ʃ n				
289-1	n j j				
911-1	r t j				
724-1	t r t				
145-1	d u				
992-1					
1181-1	k e t n ʃ				
741-1	p k				
560-2		ai m			
438-2		ə r			
1222-2		ɑ			
353-2		f ɑ s			
201-2		f n f			
20-2		f ai r			
503-2		f l			
957-2		ɑ n			
728-2		l ɑ ŋ			
244-2		n i m ə n			
289-2		n ɑ t			
911-2		w ə r s ə l			
724-2		θ r ɑ			
145-2		t w ɑ			
992-2		w u			
706-2		u			
106-2		ə e t r			
741-2					
421-2		v l ə m			
227-2		ə ə t			
560-3			v k ɛ		
438-3			ɛ r		
1222-3			v a		
353-3			p k		
201-3			f a		
20-3			k a f u r		
503-3			p l		
957-3					
728-3			l u g		
244-3			n ɛ m		
289-3			n u k t		
911-3			r i		
724-3			t r ɛ		
145-3			d u		
992-3			u		
1181-3			s j		
706-3			ɔ̃ k		
106-3			f r		
741-3			p ɛ k		
421-3			f l u r		
227-3			f		
560-4				u ŋ	
438-4				aː r	
1222-4				u	
353-4				f i	
201-4				f n b	
20-4				ts r	
503-4				f l	
957-4				i n	
728-4				l o n d	
244-4				n aː m	
289-4				n oi t	
911-4				r aː ts	
724-4				d r	
145-4				ts oː	
992-4				u x	
1181-4				h ŋ	
706-4				ai	
106-4				f a d ə r	
421-4				f l u ə r	
227-4				f d ts ə n	
560-5					w g oː m i
438-5					o r e
1222-5					eː o
353-5					p eː s
201-5					e n s
20-5					k eː t r
503-5					p l e
957-5					oː n e
728-5					l o o
244-5					n eː m i n
289-5					n e
911-5					r o s
724-5					t r eː
145-5					d o
992-5					k o
1181-5					k e n
706-5					o
106-5					p e t r
741-5					p o
421-5					f l o r
227-5					p aː
