COGID	Albanian	English	French	German	Latin
560-1	n				
438-1	i i				
1222-1					
353-1	e j				
201-1	n				
20-1	ʃ				
503-1	g.ə ł e n				
957-1	i i n				
728-1	g.ə n e				
244-1	n m n				
289-1	n j				
911-1	r.v				
724-1	t r.v				
145-1	g.ə u				
992-1					
1181-1	k i y n				
741-1	d j				
1150-1	ʃ				
585-1	t y				
814-1	e r.v t				
560-2		v m			
438-2		u r			
1222-2		ɑ			
353-2		f ə s			
201-2		f h.j n ɑ			
20-2		f ai r			
503-2		f l			
957-2		ə n			
728-2		l ɑ u			
244-2		n i m ə n			
289-2		n ɑ t			
911-2		w ə r ɑ.t ə l			
724-2		θ r ai			
145-2		t w ɑ			
992-2		w ɑ			
706-2		u			
106-2		f a d r			
741-2					
421-2		b l u m			
227-2		f ɪ t			
920-2		ɑ r t n			
1083-2		ɑ r n			
1066-2		ɪ			
1125-2		n u			
1197-2		m ə d r			
473-2		n u v			
284-2		n o s			
661-2		ɑ n			
701-2		r au ɑ			
315-2		r au n d			
1169-2		s a l			
1150-2		k u r ə			
982-2		ɑ.t s ə.t			
987-2		n ɪ			
1055-2		s t ɑ.t r n			
1130-2		s u			
433-2		s ɑ l ə			
625-2		l ə g			
1186-2		i n			
560-3			w k a		
438-3			a r		
1222-3			k w a		
353-3			p a a k		
201-3			f i k		
20-3			k f r		
503-3			p l		
957-3			ɑ̃		
728-3			l u w		
244-3			n a m		
289-3			n a k t		
911-3			w r i		
724-3			t r ɛ		
145-3			d w i		
992-3					
1181-3			s.j		
706-3			a k		
106-3			f a t a r		
741-3			p ɔ̃ y		
421-3			f l a r		
227-3			f		
920-3			k a r		
1083-3			k r k		
1066-3			ɑ̃ w		
1125-3			w n ɛ		
1197-3			a t a r		
473-3			n y w		
284-3			n ɛ ʒ		
661-3			i		
701-3			r u w		
315-3			r a		
1169-3			k a		
1150-3			g g t r t		
982-3			k ɑ̃		
987-3			k n ɛ w		
1055-3			k t a y		
1130-3			k i k		
433-3			k a		
585-3			t u		
625-3			l ɛ k		
1186-3			i		
814-3			v r		
560-4				k m	
438-4				e r	
1222-4					
353-4				f	
201-4				n	
20-4				f r	
503-4				f l n	
957-4				i n	
728-4				l n	
244-4				n m n	
289-4				n	
911-4				r t	
724-4				d r	
145-4					
992-4				u.x	
1181-4				h ŋ	
706-4					
106-4				f e d r	
421-4				f l r	
227-4				f t	
920-4				h r t	
1083-4				h r n	
1066-4					
1125-4				n e	
1197-4				m u d r	
473-4				n	
284-4				n aː.z	
661-4				v n	
701-4				r e	
315-4				r n	
1169-4				z l	
1150-4				ʃ a r t	
982-4				z i s	
987-4				z n	
1055-4				z t i.x r	
1130-4				z u k	
433-4				z u n	
585-4					
625-4				l n	
1186-4				t n d	
814-4				l	
560-5					w m.i
438-5					o r
1222-5					e
353-5					p e l.o o
201-5					n s kʷ
20-5					p e t.o r
503-5					p l t.o
957-5					oː n e
728-5					l o t.o
244-5					n e m.i n
289-5					n o e t.o
911-5					r o s
724-5					t r eː
145-5					d
992-5					e
1181-5					k e n t.o
706-5					o a
106-5					p e a r
741-5					p o
421-5					f l o r
227-5					p aː
920-5					f o r a n
1083-5					f o r n
1066-5					o e
1125-5					kʷ n u
1197-5					m e a r
473-5					n o kʷ l
284-5					n aː l.o a
661-5					n
701-5					r u
315-5					r o n t.o
1169-5					s e l
982-5					kʷ s e
987-5					s n e o
1055-5					s t kʷ o l n
1130-5					s e e
433-5					s n i
585-5					t.o b
625-5					l a o a
1186-5					d e e
814-5					w e r t.o e t.o
