COGID	Albanian	English	French	German	Latin
560-1	r				
438-1	r p				
1222-1	u r r				
353-1	p				
201-1	r				
20-1	p a r r				
503-1	p e r				
957-1	p				
728-1	n e				
244-1	r m				
289-1	r t				
911-1	r r e p				
724-1	t r r				
145-1	e u r				
992-1					
1181-1	e				
741-1	p r u r				
1150-1	u r e u r r				
585-1	t				
814-1	e				
916-1	a t				
1079-1	a				
630-1	n t				
343-1	p t a r				
8-1	e e e p				
385-1	r u r				
683-1	e a n r p				
650-1	e p e				
612-1	e p e				
871-1	p r e r				
667-1	e a p o t o				
527-1	u r u r				
499-1	p e				
1029-1	p e				
560-2		k ai			
438-2		ai r			
1222-2		ai			
353-2		f s			
201-2		f n p			
20-2		f i r			
503-2		f i l			
957-2					
728-2		l a			
244-2		i m			
289-2		n a i d			
911-2		r			
724-2		ð r			
145-2		ai			
992-2		w i			
706-2		au g			
106-2		f e d r			
741-2					
421-2		b l ə m			
227-2		f ʊ t			
920-2		h ɛ r			
1083-2		h ai r			
1066-2		p			
1125-2		k n i			
1197-2		m ɛ d r			
473-2		n i			
284-2		n e s			
661-2		ai			
701-2		r i d			
315-2		r ɛ d			
1169-2		s a l			
1150-2		k r			
982-2		s			
987-2		s n i j			
1055-2		s d ɛ r			
1130-2		s au g			
433-2		s ai n			
625-2		ɛ			
1186-2		e			
416-2		w			
1233-2		w d			
884-2		w ɛ r			
1016-2					
952-2					
78-2		b l e			
514-2		b r ɪ n			
116-2		ɛ			
188-2		f ɛ n			
745-2		f ɪ ð			
1100-2		f r j i t			
47-2					
111-2					
1061-2					
24-2		n ai d			
232-2		n ə n			
671-2		p r j i t			
385-2		s ɪ			
945-2		e m n			
644-2					
1041-2		s d ɪ			
492-2		ð n			
1209-2					
527-2		a t r			
14-2		g l v			
1-2		a l			
915-2		ɛ n d			
271-2		a s			
560-3			p r		
438-3			r ø r		
1222-3			p r		
353-3			p s		
201-3			i ɛ		
20-3			p r		
503-3			p r l		
957-3			r		
728-3			l g r		
244-3			m		
289-3					
911-3			r r r		
724-3			t r		
145-3			d r		
992-3					
1181-3			k r		
706-3			k		
106-3			p t r r		
741-3			p ɛ		
421-3			f l r s		
227-3			p		
920-3			k r r r		
1083-3			k r		
1066-3			ɛ u		
1125-3			g ø		
1197-3			m t r r		
473-3			u		
284-3			s		
661-3			r		
701-3			r r		
315-3			r		
1169-3			s r		
1150-3			p p		
982-3			s ɛ		
987-3			r u		
1055-3			s t r		
1130-3			s u		
433-3			s r		
585-3			t ø		
625-3			l		
1186-3			d		
814-3			v r r r		
416-3			r		
1233-3			w ɛ		
884-3			w r		
916-3					
1016-3			m		
952-3					
514-3			p		
1079-3			ø		
1100-3			p p		
47-3			r m		
111-3			l		
1061-3			m t r r		
1155-3			k		
343-3			v r t r		
671-3			p		
460-3			p r		
8-3			s s		
644-3			s		
683-3			k t r		
650-3			k r		
612-3			f ø		
871-3			r r		
1209-3			v m r		
667-3			l ɛ e		
499-3					
14-3			p		
1029-3			v		
272-3			k ɛ r		
560-4				t t ə m	
438-4				t eː r	
1222-4				t t t	
353-4				t eː t	
201-4				t ai t t	
20-4				t t t r	
503-4				t l t t	
957-4				i n t	
728-4				l t	
244-4				n t m t t	
289-4				n t t	
911-4				r t s	
724-4				t r eː	
145-4				t t	
992-4				t iː r	
1181-4				t t t t	
706-4				ai	
106-4				f d ə r	
421-4				f l ə r	
227-4				f s	
920-4				h r s	
1083-4				h r n	
1066-4				ai	
1125-4				n eː	
1197-4				ə d ə r	
473-4				n iː r	
284-4				n a	
661-4				v ə n	
701-4				r e t	
315-4				r n t	
1169-4				z l s	
1150-4				ʃ t ʃ r t t t	
982-4				z i s	
987-4				z n a	
1055-4				z s r	
1130-4				z ə k	
433-4				z ə n	
585-4				t t	
625-4				s ə ŋ	
1186-4				s iː r d	
814-4				t t t t t t	
416-4				v s	
1233-4				v i n t	
884-4				v ə r	
78-4				b l a	
514-4				b ə r eː n eː	
116-4				eː s	
188-4				f r	
745-4				f e d ə r	
1100-4				f r eː iː r s	
630-4				t t t t t	
1155-4					
24-4				n s	
232-4				n	
671-4				eː r eː ai s	
460-4					
8-4				t t t t t t	
385-4				ʃ eː	
945-4				z eː t	
1041-4				z s a n t	
492-4				d i n	
527-4				v ʃ t ə r	
14-4				a aː l a	
1-4				a l	
915-4				a n t	
271-4				a a	
