COGID	Albanian	English	French	German	Latin
560-1	r				
438-1	r r				
1222-1	r r				
353-1	p r				
201-1	r				
20-1	r r r r				
503-1	p r r r				
957-1	r				
728-1	r r				
244-1	r e m				
289-1	r t				
911-1	r r r r				
724-1	t r r				
145-1	r r				
992-1	a r				
1181-1	r				
741-1	p r r				
1150-1	r a r r				
585-1	t				
814-1	a r				
916-1	a t				
1079-1	a				
630-1	t				
343-1	r t a r				
8-1	a a a r				
385-1	r u.r				
683-1	r r r r				
650-1	r r r				
612-1	r r r				
871-1	r r r r				
667-1	r r r o.t.o				
527-1	u.r u.r				
499-1	r r				
1029-1	r r				
336-1	r r r r				
198-1	m				
164-1	m r				
560-2		r m			
438-2		i r			
1222-2		r ai			
353-2		f s			
201-2		f n p			
20-2		f i r r			
503-2		f l			
957-2		n			
728-2		l a ŋ			
244-2		n a m n			
289-2		n a i d			
911-2		r l			
724-2		ð r			
145-2		ai			
992-2		w i			
706-2		ɪ g			
106-2		f a d r			
741-2					
421-2		v l ɪ m			
227-2		f i			
920-2		h ɛ r n			
1083-2		h ai r n			
1066-2		p			
1125-2		n i			
1197-2		m au d r			
473-2		n			
284-2		n a s			
661-2		ai n			
701-2		r i d			
315-2		r au n θ			
1169-2		s a l			
1150-2		au r			
982-2		s			
987-2		s n i j			
1055-2		s d ɛ r n			
1130-2		s ɪ g			
433-2		s ai n			
625-2		au			
1186-2		a n			
416-2		w			
1233-2		w n θ			
884-2		w au r m			
1016-2					
952-2					
78-2		v l a			
514-2		v r ɪ n j			
116-2		ɛ			
188-2		f ɛ n			
745-2		f ɪ ð			
1100-2		f r j au i d			
47-2					
111-2					
1061-2					
24-2		n ɪ d			
232-2		n ɪ n			
671-2		p r j ɪ i d			
385-2		s ɪ			
945-2		a m n			
644-2					
1041-2		ʃ d ɪ			
492-2		ð n			
1209-2					
527-2		a t r			
14-2		g ɪ l v			
1-2		a l			
915-2		au n d			
271-2		a s			
711-2		v ai t			
1112-2		v l ɪ d			
205-2		v r au t d			
301-2		l ɪ			
72-2		a l d			
162-2					
238-2		d a			
560-3			p r ɛ ɛ ɛ		
438-3			ø ø r ɛ		
1222-3			ɛ p ø		
353-3			p r ɛ ɛ		
201-3			r i ɛ ø ɛ ø		
20-3			r ɛ p ɔ r		
503-3			p ø l ɑ̃ ɛ ɔ		
957-3			ɛ ø		
728-3			l g ɔ ø		
244-3			p ɛ m ɛ ɛ		
289-3			p ɛ ɛ		
911-3			ø ø r ɛ ɛ ɛ ɛ		
724-3			t r ɛ		
145-3			d ø u ɔ		
992-3			ɔ		
1181-3			ø		
706-3			ʃ u ɛ ɔ		
106-3			p t ø r		
741-3			p ø ø ɛ ɔ		
421-3			f l ɛ ø r		
227-3			p ɛ ɛ		
920-3			r ɛ ø ø		
1083-3			r ɛ ø		
1066-3			ɛ ɛ ɔ		
1125-3			g ɛ n ø		
1197-3			m ɛ t ø r		
473-3			n ɔ ɛ ɔ		
284-3			n ɛ s ɔ		
661-3			ø ø ɛ ɔ		
701-3			r ø r ɔ		
315-3			r ɔ ɛ u ɛ ɛ ɔ		
1169-3			s ɛ ø		
1150-3			p p ɛ ɛ ɛ ɛ ɛ		
982-3			s ɛ ɛ u		
987-3			r n ɛ ɛ		
1055-3			s t ø ø ɛ		
1130-3			s ø ɛ ɛ		
433-3			s ɛ ɛ ø		
585-3			t ø		
625-3			l ɛ ɛ ɛ		
1186-3			d ɛ ɛ		
814-3			v r ø ø		
416-3			r ø		
1233-3			j ɛ ɛ ɛ ɔ		
884-3			j ɛ r ɛ ɛ		
916-3			ɛ		
1016-3			ɛ n ɛ m ɛ ɛ		
952-3			ɛ ɛ		
514-3			r ɛ ɛ ɛ ɛ		
1079-3			ø ɛ		
1100-3			r r ɛ ɛ ɛ		
47-3			ɔ m ɛ ɛ		
111-3			l ɛ ɛ u		
1061-3			m ɔ ɛ t ø ø		
1155-3					
343-3			v ɛ t ɛ r		
671-3			r ɛ ɛ ɛ		
460-3			p r		
8-3					
644-3			s u ɛ		
683-3			t ø		
650-3			ø		
612-3			f ø		
871-3			r		
1209-3			j m ɛ ø		
667-3			l ɛ e		
499-3					
14-3			r ɛ r ɛ ɛ		
1029-3			v		
272-3			ɛ r		
278-3			m l		
410-3			r t		
336-3					
1009-3			v ɛ t r		
479-3			v		
712-3			m r d		
1113-3			s		
605-3			r r		
752-3			s p i r e		
695-3			ø		
73-3			f r i g d		
162-3			r ɛ ɛ ɛ		
239-3			d		
560-4				t t ə m	
438-4				t eː r	
1222-4				t t t	
353-4				t eː t	
201-4				t ai b t	
20-4				t t t r	
503-4				t l t t	
957-4				i n t	
728-4				l t	
244-4				n aː.g m t t	
289-4				n t t	
911-4				r t s	
724-4				t r eː	
145-4				t t	
992-4				t iː.r	
1181-4				t t t t	
706-4				ai	
106-4				f d ə r	
421-4				f l ə r	
227-4				f s	
920-4				h r s	
1083-4				h r n	
1066-4				ai	
1125-4				n eː	
1197-4				ə d ə r	
473-4				n iː.r	
284-4				n a	
661-4				v ə n	
701-4				r e t	
315-4				r n t	
1169-4				z l s	
1150-4				ʃ t ʃ r t t t	
982-4				z i s	
987-4				z n a	
1055-4				z s r	
1130-4				z ə k	
433-4				z ə n	
585-4				t t	
