COGID	dutch	english	french	german
1469-1	z ɑ n t			
2047-1	z ɔ n n ə			
2054-1	d ɔ n n ə r			
1375-1	l ɛɪ n t t ə			
760-1	w ɪ n t			
756-1	s n eː			
726-1	m ɔ n ə r			
1351-1	x r ʉ s + s aː v ə r			
1353-1	x r ʉ n + m ɔ n ə r			
412-1	v x iː v + r ʉ x aː l			
406-1	s ɔ eː ɣ + r ə m ʉ ŋ ə			
1005-1	s t iː p + v aː d ə			
1012-1	s t iː v + m ɔ n ə r			
1016-1	w ɪ f w ə r			
1069-1	oː x			
509-1	v ɔ l ə			
693-1	m ɑu l +			
2179-1	n eː s t			
1753-1	v ɪ s x			
1131-1	w ɔ l f			
1198-1	b oː r d			
2032-1	h ɔ r n			
2241-1	n eː z			
2244-1	l ɪ p			
610-1	k n t			
945-1	h ɛ r t			
1534-1	l ɛ k ə			
384-1	z oː ɣ ə			
1650-1	n ʉ t			
1663-1	z ɑ l t			
2279-1	l ɛɪ n ə			
471-1	z eː ə ə			
1385-1	z uː d ə ə			
792-1	r ɔ k			
1111-1	m ɑ s t			
197-1	z uː d ə			
2020-1	l ɑ ŋ			
867-1	h ɔ n d ə r d			
1970-1	v ɔ l			
1230-1	d r ʉ p ə t ə			
2017-1	n oː w			
968-1	w ɛ l d			
1674-1	l ɑ n t			
1671-1	h øː ɣ ə l			
829-1	k l ɪ f			
1025-1	w ɑ s ə r			
1027-1	z eː			
1832-1	r oː p			
-1816-1	oː z aː			
-335-1	l l ɣ aː n			
1043-1	s t r oː m			
1469-2		s æ n d		
2047-2		s ʌ n		
2054-2		d ɔ n ə r r		
1375-2		l ɪ n		
760-2		w aɪ n d		
756-2		s n ɔː		
726-2		m aʊ d ə r		
1351-2		ɡ r aɪ t s f eɪ ð ə r		
1353-2		ɡ r aɪ t əʊ m aʊ d ə r		
412-2		s ɔː iː n + d ə v		
406-2		s ɔː iː n + k eɪ m ɪ d		
1005-2		s t + p + d ə r		
1012-2		s t ɛ p + m aʊ d ə r		
1016-2		w ɛ d j uː r		
1069-2		aɪ tʃ		
509-2		f ɪ l		
693-2		m aʊ l + d		
2179-2		n ɛ s t		
1753-2		f ɑː ʃ		
1131-2		w ʊ l f		
1198-2		b ɑː r		
2032-2		h ɔː r		
2241-2		n iː z		
2244-2		l ɪ f		
610-2		ɡ n iː		
945-2		h æ r		
1534-2		l ɪ k		
384-2		s aʊ +		
1650-2		n aʊ t		
1663-2		s æ l		
2279-2		l aɪ n		
471-2		s ɪ		
1385-2		s ɛ t +		
792-2		r ɪ k		
1111-2		m æ s t		
197-2		s aʊ d		
2020-2		l æ ŋ		
867-2		h aʊ n d ə r		
1970-2		f əʊ l		
1230-2		t r r d		
2017-2		n iː w		
968-2		w ɛ l		
1674-2		l æ s d		
1671-2		h ɪ v l̩ l		
829-2		k l ɪ f		
1025-2		w ʊ t ə r		
1027-2		s eɪ		
1832-2		r iː		
-1816-2		s t eɪ ʃ æ		
-335-2		l eɪ l ʌ ð		
1043-2		s t r iː m		
1469-3			ʃ o t	
2047-3			ʃ u s	
2054-3			b u s ʀ	
1375-3			l ə t	
760-3			v ɑ̃ s	
756-3			t ɔ ʀ	
726-3			v ɑ̃ i ʀ	
1351-3			ʀ o t t r t z ʀ	
1353-3			ʀ o t t k t i ʀ	
412-3			t ɔ a ɡ ʀ k i p b o	
406-3			ɛ ɔ a ɡ ʀ i ʀ ʀ ʀ	
1005-3			t ɔ ʀ p ə p z a ʀ	
1012-3			t ɔ ʀ p k t i ʀ	
1016-3			v ə l e ʀ s	
1069-3			a s	
509-3			p ə l e	
693-3			e l i ʀ ʀ o	
2179-3			n y t i ʀ	
1753-3			p ə k	
1131-3			v u r f	
1198-3			b ʀ t	
2032-3			b u s	
2241-3			n y ɛ	
2244-3			l ə p	
610-3			s ɔ	
945-3			b ɑ̃ t	
1534-3			l ə k e	
384-3			ʃ i ɡ	
1650-3			n ɔ t	
