COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
52-1	i t e									
56-1	o m e									
96-1	a t a									
99-1	a r i i a n									
114-1	t o k i tʃ									
115-1	i t i									
133-1	t i p a a a tʃ									
144-1	a i a w a tʃ									
150-1	k a w									
234-1	k o m									
236-1	p a k o n									
241-1	a w i n									
249-1	i tʃ e									
1-1	w a z a									
2-1	w a m									
65-1	i w									
74-1	p a n a									
106-1	t u n i tʃ i									
128-1	p o k tʃ									
147-1	t i m i tʃ i									
231-1	p a n a w									
232-1	a i i i									
239-1	n a m a k a n									
266-1	i t i m									
51-1	i w i									
97-1	m a p o m									
109-1	i p i i tʃ									
121-1	k a p i a a k									
149-1	t o k									
160-1	k i r i k									
163-1	i p e n									
167-1	p a									
207-1	m i									
259-1	t o w a									
66-1	k a r a k a w									
134-1	n i p a t									
139-1	m o n o tʃ i									
142-1	a a a a m a									
145-1	k a r a t i tʃ i									
148-1	t a a w a a									
162-1	i n i n									
166-1	i m i									
179-1	t a									
201-1	p e									
21-1	k a w a									
24-1	a o k u a n									
52-2		e t e								
56-2		o m e								
96-2		a t a								
99-2		a t i a								
114-2		t o k s								
115-2		o e i								
133-2		t i p a r a								
144-2		a e a w a s								
150-2		k a w								
234-2		k o m								
236-2		p e k o								
241-2		a w i								
249-2		i s e								
74-2		p a a								
93-2		t o p a r i s								
95-2		w i k i								
106-2		t o n e								
119-2		a t i i								
128-2		o k s								
147-2		t i k o s								
231-2		p a a w								
232-2		a i i								
239-2		n a m a k a								
266-2		i a i a								
51-2		e w e								
55-2		i a m								
97-2		m a h o n								
121-2		k a p i j a k								
163-2		i p e n								
167-2		p a								
259-2		t o w a								
66-2		k a r a k a w								
112-2		t a a a a i s								
116-2		t o p a k a s								
125-2		k a t i m a s								
135-2		k i m i								
139-2		k o o e i								
142-2		a a t a a a								
148-2		t a w a								
162-2		i n i n								
166-2		i m i								
179-2		t a								
52-3			i tʃ a							
56-3			u m a							
96-3			a i a							
99-3			a i i i a							
114-3			tʃ u k i a							
115-3			u i i a							
133-3			tʃ i p a a a a							
144-3			a i a w a a							
150-3			k a w							
234-3			k u m							
236-3			p i k u							
241-3			a w i							
249-3			i a							
1-3			w a tʃ a							
2-3			u a m							
65-3			i w i							
93-3			tʃ u p a a i a							
95-3			w i i							
106-3			tʃ u i							
119-3			a i i							
128-3			k o k a							
147-3			tʃ i m i a							
231-3			p a a u i							
232-3			p i i							
239-3			a m a k a							
266-3			i i i m							
3-3			a a i k k i							
4-3			w a i i							
55-3			i k a m							
109-3			u p u i a							
121-3			k a p i j a a a							
149-3			tʃ u k							
160-3			k i a i k							
207-3			m i							
112-3			tʃ a a a a i a							
125-3			k a tʃ i m a a							
134-3			i p a tʃ i							
135-3			i i m i							
139-3			a u i u a i							
52-4				i t i						
56-4				u m e						
96-4				a t a						
99-4				a i i a a n						
114-4				t u k i tʃ						
