COGID	Beijing	Changsha	Chaozhou	Chengdu	Fuzhou	Guangzhou	Hankou	Jinan	Meixian	Nanchang	Shanghai	Shuangfeng	Suzhou	Taiyuan	Wenzhou	Xiamen	XiAn	Yangzhou	ZhongyuanYinyun
2-1	i ³⁵																		
4-1	ʈʂʰ i ³⁵																		
5-1	ʈʂʰ a ŋ ⁵¹																		
6-1	ʂ a n ⁵⁵																		
7-1	ʂ a ŋ ³⁵																		
8-1	x j a ⁵¹																		
9-1	p ʅ ³⁵																		
17-1	ʈʂ u ŋ ⁵⁵																		
31-1	tɕ j ou ²¹⁴																		
32-1	l i ²¹⁴																		
33-1	ʈʂ u ²¹⁴																		
38-1	ʂ i ⁵¹																		
40-1	y n ³⁵																		
42-1	u ²¹⁴																		
43-1	tɕʰ i ŋ ²¹⁴																		
46-1	w a ŋ ³⁵																		
52-1	l j a ŋ ⁵⁵																		
53-1	ʂ ə n ³⁵																		
56-1	tɕ i n ⁵⁵																		
59-1	t o ⁵⁵																		
60-1	ʈʂʰ a ŋ ⁵⁵																		
64-1	l i ŋ ⁵⁵																		
68-1	tɕ j a n ⁵¹																		
85-1	w ei ⁵¹																		
86-1	t i ⁵¹																		
87-1	ʈʂ u ⁵¹																		
93-1	l i ²¹⁴																		
98-1	l ai ³⁵																		
109-1	ɕ i n ⁵⁵																		
115-1	t au ⁵¹																		
118-1	tɕ j a ⁵¹																		
124-1	tɕ j e ²¹⁴																		
127-1	ts w o ²¹⁴																		
133-1	tʰ ou ⁵⁵																		
144-1	ʂ ou ⁵⁵																		
161-1	ɕ y ŋ ⁵⁵																		
166-1	k w a ŋ ⁵⁵																		
170-1	tʰ i ³⁵																		
171-1	t au ⁵¹																		
173-1	t ʐ i ⁵¹																		
174-1	l w ei ⁵¹																		
175-1	tɕʰ j a n ³⁵																		
176-1	l j a ŋ ²¹⁴																		
177-1	p a ⁵⁵																		
179-1	l ou ³⁵																		
181-1	p i ŋ ⁵⁵																		
182-1	tɕʰ i ⁵⁵																		
189-1	k w a n ⁵⁵																		
191-1	t u ŋ ⁵⁵																		
193-1	l i ŋ ⁵⁵																		
198-1	t u ŋ ⁵¹																		
199-1	ɕ y ŋ ⁵⁵																		
200-1	ʈʂ u ⁵⁵																		
202-1	t au ⁵¹																		
205-1	f ə n ⁵⁵																		
206-1	tɕ j e ⁵⁵																		
209-1	x w a ⁵⁵																		
211-1	tsʰ ai ⁵⁵																		
215-1	l i ³⁵																		
216-1	k w a ⁵⁵																		
217-1	t au ⁵¹																		
219-1	ʂ j a ⁵⁵																		
220-1	ʈʂʰ ʅ ⁵⁵																		
225-1	tɕ j a n ³⁵																		
230-1	tɕ j a n ⁵¹																		
234-1	pʰ i ³⁵																		
238-1	l i ³⁵																		
242-1	ts ai ⁵¹																		
253-1	tɕ i n ³⁵																		
256-1	ʂ ou ³⁵																		
261-1	x w a ⁵⁵																		
262-1	p ai ⁵⁵																		
263-1	ʂ ʅ ⁵⁵																		
264-1	ɕ j a ŋ ⁵⁵																		
271-1	ʂ ʅ ³⁵																		
272-1	tɕ j a n ⁵⁵																		
274-1	kʰ u ²¹⁴																		
275-1	p a n ⁵⁵																		
279-1	n a n ³⁵																		
287-1	l a n ⁵⁵																		
291-1	x ou ³⁵																		
295-1	tɕʰ y ⁵¹																		
300-1	j ou ³⁵																		
303-1	tɕʰ y ²¹⁴																		
306-1	k ou ²¹⁴																		
307-1	k u ⁵⁵																		
308-1	tɕʰ y ⁵¹																		
312-1	tɕ j au ⁵¹																		
313-1	kʰ o ²¹⁴																		
314-1	tʰ ai ⁵¹																		
323-1	m i ŋ ³⁵																		
325-1	tʰ u ²¹⁴																		
330-1	f ou ²¹⁴																		
334-1	ʈʂʰ i ³⁵																		
335-1	ʈʂ w ei ⁵⁵																		
338-1	k au ⁵⁵																		
339-1	ʈʂ ou ⁵⁵																		
341-1	f u ³⁵																		
342-1	m i ŋ ⁵⁵																		
343-1	x o ³⁵																		
344-1	pʰ m au ²¹⁴																		
349-1	kʰ u ⁵⁵																		
353-1	ʈʂʰ a ŋ ⁵⁵																		
360-1	x ou ³⁵																		
2-2		ʅ ²⁴																	
4-2		ʈʂʰ i ²⁴																	
5-2		tɕʰ a n ⁵⁵																	
6-2		s a n ³³																	
7-2		s a n ¹³																	
8-2		x j ai ³³																	
9-2		p o ²⁴																	
17-2		ʈʂ o ŋ ³³																	
31-2		tɕ j ɤu ⁴¹																	
32-2		n a ⁴¹																	
33-2		tɕ y ⁴¹																	
38-2		i ⁴¹																	
40-2		o n ¹³																	
42-2		u ⁴¹																	
43-2		tsʰ i n ⁴¹																	
46-2		w a n ¹³																	
52-2		n j a n ⁴¹																	
53-2		ʂ ə n ³³																	
56-2		tɕ i n ³³																	
59-2		tʰ ei ³³																	
60-2		ʈʂ a n ¹³																	
64-2		n i n ¹³																	
68-2		tɕ ieː ⁵⁵																	
85-2		w ei ⁵⁵																	
86-2		t i ²¹																	
87-2		tɕ y ⁵⁵																	
93-2		n i ⁴¹																	
98-2		n ɤu ¹³																	
109-2		s i n ³³																	
115-2		t au ⁵⁵																	
118-2		ts j ieː ²⁴																	
124-2		k j ai ⁴¹																	
127-2		ts o ⁴¹																	
133-2		tʰ ɤu ³³																	
144-2		s au ⁴¹																	
161-2		ɕ j o ŋ ³³																	
166-2		k w a n ³³																	
170-2		ts i ¹³																	
171-2		t ai ⁴¹																	
173-2		t ʐ i ²⁴																	
174-2		n ei ⁵⁵																	
175-2		tɕʰ yeː ¹³																	
176-2		n j a n ⁴¹																	
177-2		p a ²⁴																	
179-2		n j ɤu ²⁴																	
181-2		p i n ³³																	
182-2		tɕʰ i ¹³																	
189-2		k oː ³³																	
191-2		t o ŋ ³³																	
193-2		n ə n ³³																	
198-2		t ə ŋ ⁵⁵																	
199-2		ɕ j o ŋ ³³																	
200-2		ʈʂ ɤu ²⁴																	
202-2		t au ³³																	
205-2		f ə n ³³																	
