COGID	dutch	english	french	german
1469-1	z ɑ n d			
2047-1	z oː n			
2054-1	d oː n d r r			
1375-1	l ɛɪ x t			
760-1	w ɪ n t			
756-1	s n aː			
726-1	m oː d ə r			
1351-1	x r ɑ n + t aː d r			
1353-1	x r ɑ n + m ɔ t ə r			
412-1	z ɑ eː ɣ r r ɛ l ə			
406-1	s w iː ɣ r r + m ə			
1005-1	s t eː n v aː d ə			
1012-1	s t eː p + m ɔ t ə r			
1016-1	w ɪ d w ə r			
1069-1	ɪ x			
509-1	v ɔ l ə			
693-1	m ɑu l t			
2179-1	n ɛ s t			
1753-1	v ɪ s			
1131-1	w ɔ l f			
1198-1	b ɑ r t			
2032-1	h oː r			
2241-1	n aː z			
2244-1	l ɪ p			
610-1	k n			
945-1	h ɛ r			
1534-1	l ɛ k ə			
384-1	z oː ɣ ə			
1650-1	n oː t			
1663-1	z ɑ l t			
2279-1	l ɛɪ n ə			
471-1	z ə ə			
1385-1	z ɑ t			
792-1	j ɔ k			
1111-1	m ɑ s t			
197-1	z uː d ə			
2020-1	l ɑ ŋ			
867-1	h oː n d r r d			
1970-1	v ɔ l			
1230-1	d r ɪ ŋ ə			
2017-1	n œy uː			
968-1	w ɛ l t			
1674-1	l ɑ n d			
1671-1	h uː ɣ ə l			
829-1	k l ɪ p			
1025-1	w ɑ t ə r			
1027-1	z ɛɪ j			
1832-1	r oː w			
-1816-1	oː ts ɛɪ aː n			
-335-1	l ɑ ɣ uː n			
1043-1	s t r ɔ m			
423-1	s t eː n			
2049-1	m oː n			
2062-1	s t ɔ r m			
2065-1	r aː x ə x + b oː ɣ ə			
1368-1	s ɑ d ə			
1365-1	d ɑu w			
754-1	r aː n ə			
768-1	w ɛ d ə r			
1211-1	v ɛɪ ə r			
106-1	m ɑ n			
-98-1	b eː b ɪ			
719-1	v ɑ d ə r			
1341-1	z oː n			
-2027-1	d ɑ n t			
-2026-1	n eː v ə			
409-1	z w ɛɪ ɣ ɛ r + z oː n			
402-1	z w t ɣ r r s t x t ə			
1014-1	s t iː p + d ɔ x t ə			
1059-1	w iː r			
120-1	s t ɑ l			
2183-1	s t iː r			
2194-1	ɔ k s			
2199-1	k ɑ l f			
2197-1	s aː p			
1523-1	z ɑu			
1521-1	b ɔ k			
512-1	m ɑ r aː			
2141-1	h uː n			
2147-1	x ɑ n			
814-1	k r m ə			
810-1	d oː v ə			
1755-1	h ɔ n t			
1758-1	m uː s			
1760-1	r ɑ t			
