COGID	dutch	english	french	german
1469-1	z ɑ n t			
2047-1	z ɔ n			
2054-1	d ɔ n d ə r			
1375-1	l ɪ x			
760-1	w ɪ n t			
756-1	s n eː			
726-1	m ɔ d ə r			
1351-1	x r ɛɪ n p r + ɛɪ r			
1353-1	x r ɑ n + m ɔ d ə r			
412-1	v ɛ n ɣ r r ɛɪ p aː d			
406-1	m ɔ iː ɣ r r d n			
1005-1	s ɪ eː p ɔ + aː d			
1012-1	s t eː p ə m ɔ d ə r			
1016-1	w ɪ d ə ə r			
1069-1	ɪ x			
509-1	v ɔ l ə			
693-1	m uː l l			
2179-1	n eː s t			
1753-1	v ɪ s x			
1131-1	w ɔ l f			
1198-1	b aː r t			
2032-1	h ɔ r			
2241-1	n aː z			
2244-1	l ɪ p			
610-1	k n			
945-1	h ɛ r			
1534-1	l ɛ k ə			
384-1	z uː k ə			
1650-1	n ɔ t			
1663-1	s ɑ l t			
2279-1	l ɛɪ n ə			
471-1	z ɪ ə			
1385-1	z ɛɪ t			
792-1	j ɔ k			
1111-1	m ɑ s t			
197-1	z uː d ə			
2020-1	l ɑ ŋ			
867-1	h ɔ n d			
1970-1	v ɔ l			
1230-1	d r ɪ d ə			
2017-1	n oː p ɑ			
968-1	w ɛ l t			
1674-1	l ɑ n t			
1671-1	h øː ɣ ə l			
829-1	k l ɪ p			
1025-1	w ɑ t ə r			
1027-1	z ɛɪ			
1832-1	r oː f			
-1816-1	oː s n n			
-335-1	l ɑ ɣ uː n			
1043-1	s t r oː m			
423-1	s t eː n			
2049-1	m oː n t			
2062-1	s t ɔ r m			
2065-1	r ɛɪ n ə + b oː x			
1368-1	s ɑ d ə			
1365-1	d oː w			
754-1	r aː ɣ ə			
768-1	w eː t ə r			
1211-1	v oː r r			
106-1	m ɑ n			
-98-1	b eː b iː			
719-1	v ɑ d ə r			
1341-1	z oː n			
-2027-1	d ɑ n t			
-2026-1	n eː v ə			
409-1	z w iː ɣ ə r + z oː n			
402-1	d w x ɣ r r ɛɪ n ɔ ɣ ts ə r			
1014-1	s t eː p + d ɔ x t ə			
1059-1	w iː r			
120-1	s t ɑ l			
2183-1	s t iː r			
2194-1	ɔ k s			
2199-1	k ɑ l f			
2197-1	s aː p			
1523-1	z uː w			
1521-1	b ɔ k			
512-1	m ɑ r			
2141-1	h uː n			
2147-1	x ɑ n t			
814-1	k r aː			
810-1	d oː b ə			
1755-1	h ɔ n t			
1758-1	m uː s			
1760-1	r ɑ t			
1620-1	v ɪ n			
1282-1	w aː l			
1136-1	v ɔ k s			
1309-1	l uː s			
1307-1	n ɪ t			
1305-1	v l oː			
711-1	w ɛ s p			
1442-1	v l iː ɣ			
62-1	m ʉ x			
-73-1	m ɔ s k eː t ə			
1810-1	h oː t			
1805-1	v l eː s			
1813-1	h aː r			
1811-1	b l uː t			
690-1	r ʉ p			
2177-1	h oː p			
246-1	oː ɣ + r ɛɪ b r ɑu			
1469-2		s æ n d		
2047-2		s ʌ n		
2054-2		d ʌ n d r		
1375-2		l ɪ		
760-2		w aɪ n d		
756-2		s n eɪ		
726-2		m aʊ d ə r		
1351-2		ɡ r ɛ d f aʊ eɪ d ə		
1353-2		ɡ r ɛ əʊ t m aʊ d ə		
412-2		s w aɪ p t r iː æ		
406-2		s w l + r		
1005-2		s t ɪ f r r d d		
1012-2		s t iː v æ m aʊ d ə		
1016-2		w ɛ aɪ ɪ ə		
1069-2		ɪ k		
509-2		f iː l		
693-2		m iː l		
2179-2		n ɛ s d		
1753-2		f ɪ s		
1131-2		w ɔ l f		
1198-2		b r r		
2032-2		h ʌ r n		
2241-2		n ɔ s		
2244-2		l ɪ p		
610-2		k iː n		
945-2		h ɑː r t		
1534-2		l ɪ k		
384-2		s aɪ k		
1650-2		n ɔ t		
1663-2		s əʊ l		
2279-2		l aɪ n		
471-2		s eɪ		
1385-2		s iː d		
792-2		r ɪ		
1111-2		m ɔː s d		
197-2		s ɪ t		
2020-2		l æ ŋ		
867-2		h ʌ n d ə r		
1970-2		f ɔ l		
1230-2		d r ɪ d		
2017-2		n ɪ w aɪ		
968-2		w ɛ l		
1674-2		l æ n d		
1671-2		h ɪ l̩		
829-2		k l ɪ p		
1025-2		w ɛ t ə r		
1027-2		s ɪ		
1832-2		r ɪ		
-1816-2		ɛ s eɪ l n		
-335-2		l eɪ l aʊ n		
1043-2		s t r ɔ m		
423-2		s t + n		
2049-2		m iː n d		
2062-2		s t ɔː r m		
2065-2		r aɪ n b		
1368-2		ʃ əʊ t aɪ d		
1365-2		d ɔː		
754-2		r aɪ		
768-2		w ɛ t		
1211-2		f ɔː ə r		
106-2		m æ n		
-98-2		b iː v iː		
719-2		f iː d ə r		
1341-2		s ʌ n		
-2027-2		t æ n d		
-2026-2		n iː f		
409-2		ʃ w aɪ r r		
402-2		ʃ w aɪ + d ɔː d ɡ r		
1014-2		s t ɪ l æ d aɪ ə r		
1059-2		w aɪ r		
120-2		s t ɔː l		
2194-2		ɔ k		
2199-2		k ɑː l p		
