COGID	dutch	english	french	german
1469-1	z ɑ n d			
2047-1	z oː n			
2054-1	d ɔ n ə r r			
1375-1	l ɛɪ x			
760-1	w ɪ n t			
756-1	s n aː			
726-1	m ɔ d ə r			
1351-1	x r ɛɪ n + t aː d ə r			
1353-1	x r ɛɪ n + m ɔ t ə r			
412-1	v w iː ɣ ə r + p ɑ d ə			
406-1	z w eː ɣ ə r + m ə			
1005-1	s t iː p + v ɑ t ə r			
1012-1	s t iː p + m ɔ d ə r			
1016-1	w ɪ d w r r			
1069-1	s x			
509-1	v ɔ l ə			
693-1	m uː w l d iː			
2179-1	n ɛ s t			
1753-1	v ɪ s			
1131-1	w ɔ l f			
1198-1	b aː r t			
2032-1	h ɔ r			
2241-1	n aː z			
2244-1	l ɪ p			
610-1	k n iː			
945-1	h ɛ r			
1534-1	l ɛ k ə			
384-1	z oː k ə			
1650-1	n ɔ t			
1663-1	z ɑ l t			
2279-1	l ɛɪ n ə			
471-1	z ɛɪ ə			
1385-1	z ɛɪ d ə			
792-1	j ɔ k			
1111-1	m ɑ s t			
197-1	z uː d ə			
2020-1	l ɑ ŋ			
867-1	h ɔ n d ə r d			
1970-1	v ɔ l			
1230-1	d r d d ə			
2017-1	n ɛɪ x			
968-1	w ɛ l t			
1674-1	l ɑ n t			
1671-1	h ɛ ɣ ə l			
829-1	k l ɪ p			
1025-1	w ɑ t ə r			
1027-1	z ɛɪ			
1832-1	r ɑu w			
-1816-1	ɔ s aː aː			
-335-1	l ɑ ɣ aː n			
1043-1	s t r oː m			
423-1	s t eː n			
2049-1	m oː n t			
2062-1	s t ɔ r m			
2065-1	r aː n ə b + b oː x			
1368-1	s ɑ d ə			
1365-1	d ɑu w			
754-1	r aː n ə			
768-1	w ɛ t ə r			
1211-1	v oː r r			
106-1	m ɑ n			
-98-1	b aː b iː			
719-1	v ɑ t ə r			
1341-1	z oː n			
-2027-1	d ɑ n			
-2026-1	n eː v ə			
409-1	z w eː ɣ ə n + z oː n			
402-1	d ɔ iː ɣ ə r ɛɪ n + l t ə r			
1014-1	s t iː p + d ɔ x t ə r			
1059-1	w iː r			
120-1	s t ɑ l			
2183-1	s t iː r			
2194-1	ɔ k s			
2199-1	k ɑ l p			
2197-1	s oː p			
1523-1	z oː			
1521-1	b ɔ k			
512-1	m ɛ r aː			
2141-1	h ɛ n			
2147-1	x ɑ n			
814-1	k r ɔ			
810-1	d oː b ə			
1755-1	h ɔ n t			
1758-1	m œy t			
