COGID	dutch	english	french	german
1469-1	z ɑ n t			
2047-1	z ɔ n			
2054-1	d ɔ n d r			
1375-1	l ɪ x			
760-1	w ɪ n t			
756-1	s n aː			
726-1	m ɔ d ə r			
1351-1	x r ɔ n + v aː d ə			
1353-1	x r ɔ n + m ɔ d			
412-1	v x eː ɣ + r ɔ ɣ aː t ə			
406-1	z ɔ eː ɣ d + m t ə			
1005-1	s t iː p + v ɑ d ə r			
1012-1	s t iː v + m ɔ d			
1016-1	w ɪ d v ə r			
1069-1	ɪ x			
509-1	v ɔ l ə			
693-1	m ɑu l +			
2179-1	n eː s t			
1753-1	v ɪ s x			
1131-1	w ɔ l f			
1198-1	b aː r d			
2032-1	h ɔ r n			
2241-1	n aː z			
2244-1	l ɪ p			
610-1	k n n			
945-1	h ɛ r t			
1534-1	l ɛ k ə			
384-1	z oː k ə			
1650-1	n ɔ t			
1663-1	z ɑ l t			
2279-1	l ɛɪ n ə			
471-1	z ɛ ə			
1385-1	z aː d			
792-1	j ɔ k			
1111-1	m ɑ s t			
197-1	z uː d ə			
2020-1	l ɑ ŋ			
867-1	h ɔ n d ə r d			
1970-1	v ɔ l			
1230-1	d r ɪ d			
2017-1	n oː w			
968-1	w ɛ l t			
1674-1	l ɑ n t			
1671-1	h øː ɣ ə l			
829-1	k l ɪ p			
1025-1	w ɑ t ə r			
1027-1	z eː			
1832-1	r oː w			
-1816-1	oː s aː			
-335-1	l ɑ x uː n			
1043-1	s t r oː m			
1469-2		s æ n d		
2047-2		s ʌ n		
2054-2		d ɪ n r		
1375-2		l ɪ		
760-2		w aɪ n d		
756-2		s n eɪ		
726-2		m ʌ d ə r		
1351-2		ɡ r ɔ s f f ɑː ð ə		
1353-2		ɡ r ɔ s l m ʌ d		
412-2		s uː æ n l r ə d ð		
406-2		s t əʊ n b r		
1005-2		s t ɔ p æ + + ə		
1012-2		s t ɛ p + m aʊ d ə r		
1016-2		w ɛ d		
1069-2		ɪ k		
509-2		f iː l		
693-2		m aʊ l r əʊ		
2179-2		n ɛ s t		
1753-2		f ɪ ʃ		
1131-2		w ɔ l		
1198-2		b ɑː r		
2032-2		h ʌ r n		
2241-2		n ɔ s		
2244-2		l ɪ p		
610-2		k iː n		
945-2		h ɑː r t		
1534-2		l ɪ k		
384-2		s aɪ v		
1650-2		n ɔ t		
1663-2		s əʊ l		
2279-2		l aɪ n		
471-2		s eɪ		
1385-2		s iː t		
792-2		r ɪ k		
1111-2		m æ s t		
197-2		s ʌ d		
2020-2		l æ ŋ		
867-2		h ʌ n d ə		
1970-2		f ɔ l		
1230-2		d r ɪ d		
2017-2		n iː w		
968-2		w ɛ l		
1674-2		l æ n d		
1671-2		h ʌ v l̩ l		
829-2		k l ɪ v		
1025-2		w ɔ t ə r		
1027-2		s eɪ		
1832-2		r iː		
-1816-2		ʌ t əʊ ɡ n		
-335-2		l eɪ l uː n		
1043-2		s t r iː m		
1469-3			ʀ a ɛ̃	
2047-3			ʃ u ɛ̃	
2054-3			s u ɛ̃ ʀ	
1375-3			l ə	
760-3			v ɑ̃ ɛ̃	
756-3			t n y ʀ	
726-3			ʃ u ʀ ʀ	
1351-3			ʀ ʀ a u f t ʀ o	
1353-3			ʀ ʀ a ʀ u ʀ ʀ	
412-3			t ɔ ɡ ʀ ʀ ʀ ʀ o e	
406-3			t ɔ o ɡ ʀ ʀ u ʀ ʀ	
1005-3			t ɔ ʀ o ʀ p ʀ o e	
1012-3			t ɔ ʀ o ʀ u ʀ ʀ	
1016-3			v a v e	
1069-3			i	
509-3			p l l e	
693-3			e ə l ʀ	
2179-3			n y t i	
1753-3			p ə k	
1131-3			v u l p	
1198-3			b u t	
2032-3			ʃ j ʀ	
2241-3			n y t	
2244-3			l ə p	
610-3			k ɛ̃	
945-3			ʃ ɑ̃ ʀ	
1534-3			l y k	
384-3			t y p	
1650-3			n y t	
1663-3			ʀ a l s	
2279-3			l ə l	
471-3			ʃ o ʀ	
1385-3			t ɔ t	
792-3			e u k	
1111-3			ʀ a t i	
197-3			t y t	
2020-3			l a	
867-3			ʃ j ɛ̃ t ʀ ʀ	
1970-3			p u l	
1230-3			ʀ y t i	
2017-3			n y o	
1469-4				z a n t
2047-4				z ʊ n
2054-4				d ʊ n t ə r
1375-4				l ɪ x t ə
760-4				v ɪ n t
756-4				ʃ n eː
726-4				m ʊ t ə r
1351-4				ɡ r n t t a aː d ə ə
1353-4				ɡ r oː t + m uː t ə r
412-4				ʃ oː oː eː ə r aː t ə r h
406-4				ʃ oː d ə ə m + t ə r h
1005-4				ʃ t iː f b k d ə ə
1012-4				ʃ t iː f + m oː d ə r
1016-4				v eː t au ə n +
1069-4				ɪ x
509-4				f ɔ l ə
693-4				m au l + ɛ
2179-4				n ɛ s t
1753-4				f ɪ ʃ
1131-4				v ɔ l f
1198-4				b eː r t
2032-4				h oː r n
2241-4				n au s
2244-4				l ɪ f ə
610-4				k ɪ x
945-4				h a r t
1534-4				l ɪ k ə n
384-4				z uː k ə n
1650-4				n oː t
