COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
52-1	t t t									
56-1	i m e									
96-1	a p u									
99-1	a p i p a k									
114-1	t o k tʃ i									
115-1	j m a									
133-1	t i p p tʃ									
144-1	a p a w i									
150-1	k a w									
234-1	k o m									
236-1	p a k o n									
241-1	a w i									
249-1	i tʃ e									
1-1	w a t a									
2-1	j w m									
65-1	w									
74-1	p a n a									
106-1	t j n j									
128-1	w o k									
147-1	tʃ m i									
231-1	p a k a j o									
232-1	w p p a o a									
239-1	r a k a k a n									
266-1	n t i m									
51-1	j w j									
97-1	m a w a k									
109-1	i p i tʃ i a									
121-1	k a p a j p i									
149-1	t o k									
160-1	k p k									
163-1	o p e n									
167-1	p a									
207-1	m i tʃ									
259-1	t o w a									
66-1	k a p a m a w									
134-1	n a p a t									
139-1	m o k o i									
142-1	w p p p m a									
145-1	k a p a t tʃ a									
148-1	t p p w w a a									
162-1	i j i n									
166-1	i m i									
179-1	t a									
201-1	p j									
21-1	p a w t a									
24-1	p a k a k a n									
50-1	i n a ʔ									
57-1	t o k a w k									
84-1	p i w a n									
91-1	m a k o n									
131-1	t o k p i m									
151-1	k w									
154-1	w j									
192-1	t j t									
197-1	t m p i									
205-1	n p a n									
227-1	w a p tʃ t									
246-1	i w i									
251-1	w a n a									
271-1	tʃ i w									
285-1	p a w i n									
75-1	p i j a									
79-1	t a j									
104-1	k a w j e									
153-1	tʃ a k									
157-1	t a m a m									
174-1	w i p u									
240-1	t i m k									
270-1	k a w a t ʔ									
52-2		t m e								
56-2		o m e								
96-2		a s a s								
99-2		a h i o a								
114-2		t o a a								
115-2		o h a e a								
133-2		t i p a p s								
144-2		a h a w a s o								
150-2		a w								
234-2		o m								
236-2		p i i								
241-2		a w i								
249-2		i h e								
74-2		p a k a								
93-2		t u p a h o o								
95-2		w o a								
106-2		t i w o o								
119-2		a p m o a								
128-2		k o h i								
147-2		h i m i a								
231-2		p a a w o								
232-2		w i p o o a								
239-2		k a o a a								
266-2		i s o m								
51-2		i w o								
55-2		o w a m								
97-2		h a h r								
121-2		a p a p s a								
163-2		i p e k								
167-2		p a								
259-2		t u w a								
66-2		a p a a w								
112-2		t s a a a a s								
116-2		t o p a k a s i								
125-2		s m o m a								
135-2		m o o								
139-2		h o o o								
142-2		w a a r m a								
148-2		t a w r w								
162-2		o w i k								
166-2		i o i								
179-2		t a								
45-2		o o o p a m a								
84-2		p i w a k								
131-2		o s w i o								
146-2		o r m a s								
154-2		w e								
192-2		m i t								
197-2		h o m i m								
235-2		k o w o								
237-2		i m a p o								
246-2		i w i								
250-2		m o r o k o t n o								
267-2		o w								
39-2		a a m a m								
42-2		h r t r a m a								
44-2		w a a m								
75-2		i p o p a								
94-2		r h e r e s o								
122-2		s o k o a s o								
52-3			p tʃ p							
56-3			i m e							
96-3			i t a s							
99-3			i w o w o s							
114-3			d o k i s i							
115-3			i e k i a i							
133-3			d i p e r a a a							
144-3			v p v w tʃ i i							
150-3			k i w							
234-3			k o e s							
236-3			p o k h k							
241-3			i w i k							
249-3			i s w s							
1-3			w i d i							
2-3			w h m							
65-3			i w s							
93-3			d e p v r i s i							
95-3			w i k i							
106-3			d i k i s i							
119-3			i i t a a i							
128-3			w o k a a a							
147-3			tʃ i tʃ i s i							
231-3			p i k i w							
232-3			w i k i h							
239-3			k i tʃ i k i k							
266-3			i p i tʃ s							
3-3			m n k i k o							
4-3			w i w i s							
55-3			o w i tʃ m							
109-3			i p p w a s i							
121-3			k i p i i e k m i							
149-3			d u k							
160-3			k i p i k							
207-3			tʃ i							
112-3			d e n e i r i a							
125-3			k a d i m a s o							
134-3			k o p i tʃ i							
135-3			tʃ o tʃ i m i t							
139-3			tʃ e s e tʃ i s							
57-3			tʃ u k e w i k							
71-3			h m i							
131-3			tʃ h k i k h e s							
146-3			n k i m tʃ s							
227-3			w o p k i m							
132-3			o m s e							
240-3			tʃ i e i k							
52-4				m t tʃ						
56-4				w m e						
96-4				a p a a k						
99-4				a w i i w k						
114-4				t w k i tʃ i						
115-4				w w w tʃ a						
133-4				t i p a a a a						
144-4				a w a w a a m						
150-4				k a w						
234-4				k o m						
236-4				p a k w n						
241-4				a w i n						
249-4				i tʃ e						
1-4				w a ʒ̟ a						
2-4				w w m						
65-4				i w						
74-4				p a n a						
93-4				t o p a a i tʃ i						
95-4				w w m i						
106-4				t u n a i						
119-4				i a i a i a						
128-4				w o k i i						
147-4				tʃ i m i tʃ i						
231-4				p a n a w o						
232-4				w i i o o a						
239-4				r a k a k a n						
266-4				a a i m						
3-4				w w a w m o						
4-4				w a w i						
51-4				w w e						
97-4				m w r o k a						
109-4				w p w w i i						
121-4				k a p i a a w a						
149-4				t o k						
160-4				k i i i k						
163-4				w p e n						
167-4				p a t						
207-4				m i k						
259-4				t o w o						
66-4				k p a a m a w						
116-4				t o p a k a tʃ i						
134-4				n i p a t i						
135-4				ʒ̟ a k i a a k						
139-4				m i r w a i n t						
142-4				w a p a m a a a						
145-4				k a a a t i tʃ i						
148-4				tʃ a w w w i a a						
162-4				i w i n						
166-4				i m i						
179-4				t a						
201-4				p e						
21-4				m a w a o						
24-4				w a k o k a n						
45-4				w w i a a m o						
50-4				i n a ʔ						
57-4				t o k a w a k						
71-4				r m i						
84-4				p i w a n						
91-4				m o k o n						
131-4				t o k a ʒ̟ w m						
146-4				i w i m p a						
151-4				k i w						
154-4				w w						
192-4				t o t						
205-4				i p a n						
227-4				w a p i a o						
235-4				tʃ o w i ʔ						
237-4				r a m a a i o						
246-4				i w i						
250-4				m o j o ʒ̟ a ʒ̟ k						
251-4				w a n a						
271-4				tʃ u w						
284-4				w u t i						
285-4				i a a w i n						
44-4				w a w a m						
75-4				i p i j o						
79-4				t a u i						
94-4				i k e i w tʃ i						
104-4				k i w w a i						
132-4				r m a w						
153-4				tʃ a k						
157-4				t a m a m						
174-4				w i i o						
177-4				t o						
240-4				t i m a k						
270-4				k a w a t i ʔ						
52-5					e t e					
56-5					o m j					
96-5					a t s a m					
99-5					r f j e j					
114-5					t o k a m i					
115-5					j i a a i					
133-5					t i p a e s a i					
144-5					a f a w s s m					
150-5					k a w					
234-5					k o m					
236-5					p a k u n					
241-5					a w i					
249-5					i w j					
1-5					w a t a					
2-5					w o m m					
65-5					i w a					
74-5					p a n a					
93-5					t o p a k i m i					
95-5					w i k i					
106-5					t u n a s					
119-5					j p s i a m					
128-5					p o k a s i					
147-5					t i m i s i					
239-5					f a m a k a n					
266-5					p p i m					
3-5					f i r i w o					
4-5					w a f i					
51-5					w w y					
55-5					i f a m					
97-5					m o f o m a					
109-5					w p j m o					
149-5					t o k					
160-5					k i r i k					
163-5					o p e n					
167-5					p a					
207-5					m i ʔ					
259-5					t o w a					
66-5					k a r a k a w					
112-5					t r r a j i s i					
116-5					t o p a k a s i					
134-5					p i p a t					
135-5					t i k i m j m					
139-5					m i m o m i					
142-5					p a t a m a a					
145-5					k a t a t i s a					
148-5					t a w w w a a					
162-5					i w i n					
166-5					i m i					
179-5					t a					
201-5					p j					
21-5					t a w s					
45-5					f o i a i a a					
50-5					i n a a					
71-5					o m i					
84-5					p i w a n					
91-5					m o k o n					
146-5					k r m r a i					
151-5					k i w					
154-5					w e					
192-5					t y t					
197-5					t o p i m					
205-5					i p a n					
235-5					s o w a					
237-5					m i m a j i n					
250-5					f o p o k e k					
251-5					w a n a					
267-5					t o w a					
271-5					s i w					
284-5					w w t i					
285-5					i w a w i n					
39-5					j a f i r a f a					
42-5					k i p r r r a a					
44-5					w a n j a k					
75-5					u p y j o					
79-5					t a w					
94-5					i k j k j s					
104-5					k o w w s					
122-5					p i k i w a n i n					
153-5					s a k					
157-5					t a p a m					
174-5					w y w y					
177-5					t o					
270-5					k a w a t i					
52-6						t t t i				
