COGID	MonpaBalemu	MonpaDirang	MonpaDirangDum	MonpaKalaktang	MonpaNamsu	MonpaSangti	MonpaTembang	MonpaTomko
10-1	s a ŋ							
37-1	n a n							
46-1	n a n							
98-1	kʰ a ŋ tʃ a l a							
125-1	b i ŋ a ŋ							
162-1	l e i s							
171-1	o							
219-1	t a ŋ p u							
247-1	tʃ a ŋ l a							
282-1	l u s p u							
292-1	kʰ a ŋ							
301-1	l i							
354-1	m u m u a							
363-1	n a m u u							
397-1	g a m tʃ a							
406-1	kʰ a m							
426-1	m u m p a							
473-1	pʰ i n a ŋ							
499-1	z a m							
526-1	g a ŋ a							
544-1	kʰ u							
553-1	k o t k ŋ							
599-1	g o i o ŋ							
608-1	b a n i u							
617-1	j e n							
645-1	a n a							
663-1	s o ŋ o u							
672-1	t o ŋ p o							
681-1	ɲ i ɾ i							
690-1	m i ŋ							
708-1	tʃʰ a ɾ i ŋ b r							
717-1	s o k p u							
726-1	s i							
744-1	a p k							
782-1	m i							
791-1	ŋ a							
800-1	ŋ a							
809-1	m o m							
836-1	p a i							
881-1	l a m							
890-1	b a b a							
899-1	s e r							
926-1	tʃ a m							
944-1	g a ɾ a ŋ							
953-1	ʃ a a ŋ a							
980-1	a a ɾ o ŋ							
998-1	pʰ a i							
1022-1	g a i u ŋ							
1031-1	b i n a ŋ							
1069-1	tʃ o ŋ o  a a n n a ŋ a o l a a a a a a a a a a a n							
1079-1	ʃ a l a							
1098-1	j a ŋ b u							
1117-1	tʃ u n							
1141-1	ɾ i ŋ b u							
1189-1	m a n							
1198-1	n u							
1208-1	z a l a							
1217-1	l a n i							
1253-1	a m m							
1271-1	n o l a ŋ							
1289-1	m i ŋ							
1316-1	ŋ a ŋ							
1325-1	kʰ a m							
1334-1	s i ŋ b a							
1343-1	b u i a ŋ							
1361-1	j e n a ŋ							
1370-1	n a k u ŋ							
1388-1	m a m b a							
1397-1	tʃʰ u ɾ							
1406-1	tʃ o ŋ							
1424-1	g a ɾ a ŋ p a							
1433-1	ʃ u ŋ u							
1442-1	l a m							
1451-1	b a i a m a							
1468-1	pʰ a k p a							
1477-1	ŋ a s							
1502-1	ŋ a m a a							
1511-1	m u t̪ j a							
1529-1	tʃ a l u							
1538-1	s o l u							
1557-1	tʃ o i ŋ u							
1618-1	i n tʃ a							
1663-1	z u m							
1689-1	ŋ o i							
1698-1	kʰ u ŋ							
1707-1	m o ŋ n a ŋ							
1716-1	ŋ a m							
1742-1	m u m i							
1751-1	b u l i l a							
1778-1	z a							
1787-1	tʃ u ɾ k u							
1823-1	l e m							
1832-1	k a ɾ m a							
1842-1	l u ŋ							
1860-1	ŋ a m							
1869-1	ʃ u p k a ŋ							
1888-1	ʃ a m p i							
1897-1	s e							
1932-1	ɾ i n a ŋ							
1950-1	z u							
1968-1	t o ŋ tʃ a							
1978-1	t u t k a							
1987-1	s a m							
2015-1	ŋ a m k a							
2118-1	m o ŋ tʃ o							
2238-1	ŋ a ɾ k a							
2507-1	tʃʰ u n u ŋ							
2526-1	l e							
2535-1	ʃ a							
2544-1	ʃ i ŋ							
2560-1	s o ŋ n a							
2569-1	kʰ e i ŋ u							
2578-1	n i n i ŋ							
2596-1	d̪ u ŋ							
2615-1	ɾ i							
2663-1	g i t i							
2690-1	s i							
2719-1	ɾ i i i							
2728-1	t o tʃ u a							
2747-1	ɲ i ŋ							
2756-1	s e r u u							
2774-1	b o ɲ i ŋ							
19-1	n a i ŋ a							
28-1	n a i ŋ a							
89-1	g a ŋ p u							
107-1	d̪ i m i n							
190-1	p u l i							
229-1	kʰ a							
257-1	tʃʰ a ŋ a							
338-1	b r u ŋ							
436-1	z u l u							
483-1	tʃ a							
535-1	s o s o							
571-1	g e l o n							
699-1	d̪ o ŋ p o							
845-1	ɾ o k							
971-1	tʃ i t k u							
1049-1	b u							
1161-1	a m							
1180-1	ʃ a							
1226-1	l a l i							
1235-1	n a m							
1280-1	s i ŋ o ŋ							
1352-1	g u							
1379-1	s i							
1415-1	ɾ a							
1636-1	b e tʃ a							
1654-1	l i							
1680-1	kʰ a n i a							
1725-1	tʃ a p k a							
2127-1	s a m							
2181-1	d̪ i l							
2366-1	j a k a a							
