COGID	Bankan_Tey	Ben_Tey	Bunoge	Jamsay	Mombo	Najamba	Nanga	Penange	Perge_Tegu	Tebul_Ure	Tiranige_Diga	Togo_Kan	Tommo_So	Toro_Tegu	Yanda_Dom	Yorno_So
715-1	d u r															
1089-1	ŋ̍ o w															
1319-1	ŋ̍ ɔ															
1398-1	s u n ɛ n d i															
1557-1	k i j a															
1626-1	ɔ o w															
1840-1	k i j a															
2247-1	k a m															
4677-1	k ɛ r ɛ j															
5162-1	ŋ̍ ɛ j j e															
5406-1	b ɛ n d i															
359-1	k ɛ r ɛ o															
1577-1	k i j a															
2196-1	s i j a															
2230-1	z uː															
2533-1	b o n d i															
3605-1	b ɛ n d i															
3866-1	k e s u															
4553-1	t o r u o i															
4822-1	s u n b a															
5254-1	d u w a															
503-1	k ɛ r ɛ j															
1356-1	ŋ̍ a j ɔ															
1881-1	s u m ɛ ei															
3218-1	b ɛ n n z e															
3372-1	ŋ̍ a j aː															
3718-1	k i j a															
4135-1	k ɛ r ɛ j															
4694-1	k u s															
807-1	b o b u															
2320-1	k a ŋ a															
2476-1	k u uː															
3719-1	j i															
4081-1	b u m b o e															
4313-1	ŋ̍ ɛ n ɔ e															
4460-1	k u j a															
5810-1	b o n d u															
93-1	dʒ ɛ															
260-1	b o n d u															
385-1	s u m b a o															
890-1	g ɔ ŋ b i j ɔ															
1336-1	t eː s u															
1703-1	b w̃ m															
1769-1	p ɛ n b uː															
2162-1	k ɛ r ɛ															
2635-1	s ɛ															
3031-1	k eː s a															
4591-1	k e j a															
5301-1	k ɛ j ɛ															
5605-1	d u w a j															
463-1	d o m b u															
1432-1	k eː j u															
1474-1	t o m b e															
1788-1	k i r̃ u															
2044-1	k u b uː															
2713-1	g ɔ ŋ b o n b u r ɔ															
3219-1	dʒ u z a															
3425-1	j a															
4184-1	s a j u															
4629-1	s u m r u															
4759-1	ŋ̍ r j a															
4904-1	ŋ̍ a u w b e															
4960-1	k i j a s e															
4980-1	dʒ ɔ n u															
5059-1	k u w ɔ															
5339-1	b i w															
5549-1	d o w m uː															
5905-1	k i j a															
5922-1	dʒ uː j e															
5938-1	t a b u n u s ɔ															
1-1	dʒ ɛ															
483-1	k e s u															
629-1	dʒ ɔ s u															
667-1	ɔ w̃ a															
1254-1	s u m r e j ɔ															
1415-1	m m i															
1542-1	ŋ̍ a w̃ r															
1683-1	ŋ̍ u j̃ ɛ															
1898-1	k ɛ r ɛ j															
2901-1	t o w b u															
2957-1	ŋ̍ o ŋ d u															
3048-1	k u j a															
3251-1	j i j															
3885-1	k u w a															
4402-1	ɛ j̃															
5622-1	k ɛ r ɛ j a j															
6006-1	k i j a															
135-1	b o n d u															
158-1	m k ɔ s ɔː															
194-1	ɲ w̃ aː															
221-1	u s u															
650-1	t eː s u															
1152-1	t o w a															
1374-1	t o w d u															
1452-1	k i j a															
1862-1	i s oː															
2083-1	k ɛ e ŋ i															
2108-1	s u n b j															
2636-1	m uː															
2924-1	b i j															
2941-1	k i j a															
3405-1	k ɛ r ɛ j															
3751-1	dʒ ɛ e															
4066-1	k u j ɔ															
4535-1	z uː															
4888-1	t a s i ŋ a															
5583-1	k e m b i															
5751-1	t i j e															
5981-1	u w̃ w̃ j̃															
114-1	t o j															
851-1	d ɔ w̃ w̃															
1941-1	dʒ e e e															
2179-1	ŋ̍ dʒ ɛ															
2351-1	k u r															
2496-1	z ɛ oː															
3482-1	ŋ̍ ŋ̍ t uː m a o o e															
3497-1	m j a															
3588-1	dʒ e e e															
4202-1	g ɛ n m d i															
4293-1	z uː w̃															
4921-1	g o m b j a															
408-1	a ɛ n b i															
545-1	ɔ z i															
978-1	t o s															
1052-1	s u m b u															
1070-1	l e w e															
1942-1	ɛ i															
2456-1	k i j a															
2514-1	g uː s															
2666-1	k i j a															
2817-1	ɔ ŋ z uː															
3132-1	d ɔ s a															
3300-1	ɔ w̃ a															
3976-1	dʒ dʒ s e															
4152-1	k a n u w															
4361-1	d u s a															
4570-1	t ɔ w a u															
4648-1	i oː															
5318-1	dʒ uː e e															
5673-1	dʒ u w s a															
5887-1	j a j u															
446-1	b o m b u r ɔː															
521-1	g a z i															
1108-1	k u j a															
1124-1	ɔ ŋ j ɔ															
1745-1	d u w a															
1823-1	t o															
2143-1	dʒ ɛ															
2265-1	ɔ w̃ a															
2392-1	d k ɔ s u															
2579-1	dʒ e e															
2774-1	k a ŋ u															
3339-1	k u j a															
3550-1	t a n i n ŋ															
4024-1	z uː z															
4219-1	k a m b u															
4240-1	a eː s u															
4259-1	k uː j e															
4738-1	k ŋ̍ n d e															
5197-1	a w̃ aː															
5447-1	g uː dʒ e															
5531-1	t u w a															
5733-1	m aː															
5828-1	j a r̃ u															
562-1	s u m w̃ u															
998-1	ɛ ɛ															
1022-1	t u w a															
1023-1	j e															
1205-1	i oː															
1275-1	g j̃															
1578-1	z ɔ uː															
2063-1	i s oː															
2334-1	ɔ m u															
2798-1	t a j aː															
3252-1	m m b i															
3463-1	ɛ j ɛ															
3683-1	t a j ɔ															
3772-1	t o w a															
3790-1	dʒ ɔ w̃															
4052-1	o w uː															
4220-1	z ɛ															
4440-1	t a ɛ															
4479-1	k a															
4711-1	ɔ i j a															
4778-1	t eː s i n a															
4821-1	g w̃															
4941-1	o j oː															
5272-1	d u s a															
5423-1	a z aː															
5424-1	k i w a															
563-1	t o w̃ o															
613-1	z ɔ ɛ															
684-1	ɲ eː j a															
742-1	k i j a															
1204-1	k e j u															
1373-1	t g a s j															
1787-1	m m															
1988-1	t b j n d															
2283-1	k eː j u															
2372-1	k e r u															
2441-1	m oː															
2598-1	o i j m															
2773-1	k o r d j̃ s oː															
3011-1	t ɔ w̃ o a															
3176-1	t o w a															
3283-1	u m oː															
3318-1	r r n d e															
3658-1	dʒ ɛ															
3807-1	p u b															
4037-1	t a n s a															
4498-1	a m u w															
4843-1	u w̃ u w̃															
5078-1	o uː uː															
5357-1	t o j̃ d j̃															
5390-1	k u r o															
5790-1	ɔ w̃ a															
21-1	o j o															
42-1	o j o															
61-1	b o n d u															
239-1	t a n s a															
309-1	t ɔ uː a															
327-1	d n a o															
482-1	g a s i															
594-1	u s u j a															
701-1	m o															
909-1	i u															
928-1	o s b u															
1184-1	t ɛ j̃ ɔ															
715-2		d a j i														
1089-2		l a w														
1319-2		j ɔ j o														
1398-2		s u n r̃ ɛ														
1557-2		tʃ i j a														
1626-2		j a w														
1840-2		d i j														
2247-2		g j ɛː														
4677-2		tʃ ɛ r ɛ j														
5162-2		tʃ i ŋ r̃ ɛ														
5406-2		dʒ i ŋ l ɛ														
359-2		tʃ ɛ r ɛ u														
1577-2		tʃ i j a														
2196-2		l a j														
2230-2		d a dʒ														
2533-2		tʃ o l a														
3605-2		b o dʒ u														
3866-2		tʃ e s u														
4553-2		d i n l j a														
4822-2		s u m dʒ o														
5254-2		d i w a														
503-2		tʃ ɛ r ɛ j														
1356-2		l a j o														
1881-2		s u i ɛ a u														
2084-2		l a ɛː dʒ														
2420-2		d u r o														
3218-2		d ɔ g ɛː dʒ u														
3372-2		s a j														
3718-2		tʃ a j														
4135-2		d ɛ r ɛ j														
4694-2		tʃ e s ŋ g u														
807-2		g o dʒ u														
2320-2		tʃ i s a														
2476-2		k u ɣ i														
2842-2		d a w j̃														
4081-2		d u m j														
4313-2		l a m i ɛ														
4460-2		k u j ɔ														
5514-2		dʒ i ŋ dʒ ɛ														
5810-2		tʃ i r̃ u														
93-2		tʃ j̃														
260-2		b o m w u														
385-2		s u m o j̃														
890-2		g a ŋ g a j ɔ														
1336-2		d a w														
1703-2		d j w														
1769-2		g a m dʒ a														
2162-2		tʃ ɛ r ɛ														
2635-2		m eː														
2735-2		tʃ i m g ɛ j a														
3031-2		d a w														
4591-2		tʃ ɛ j ɛ														
5301-2		tʃ eː j a														
5605-2		d u w ɔ j														
296-2		g a m dʒ a														
463-2		g o dʒ u														
762-2		g a ŋ a j̃ g a u eː														
1432-2		d a w														
1474-2		t ɔ l u														
1788-2		tʃ i j a														
2044-2		tʃ i m dʒ a														
2713-2		t ɔ ŋ dʒ o l u s ɔ														
3219-2		d a dʒ u														
3425-2		j aː														
4184-2		l a j ɔ														
4629-2		s u m ɛː														
4759-2		j i uː a u														
4904-2		s dʒ u ŋ dʒ ɛ														
4960-2		dʒ i ŋ a r ɔ														
4980-2		d a w i														
5059-2		tʃ i w ɔ														
5125-2		dʒ i ŋ dʒ ɛ														
5339-2		d a w														
5549-2		d u w j u														
5771-2		n ɔ g a g														
5905-2		d i j														
5938-2		b u j u u ɔ														
1-2		tʃ j̃														
483-2		tʃ e s u														
629-2		d u m														
667-2		ɔ w ɔ														
1254-2		s a m g a j ɔ														
1415-2		m ɛː														
1542-2		l ŋ u ɔ														
1683-2		d u														
1898-2		tʃ ɛ r ɛ j̃														
2551-2		l aː														
2901-2		t o l u														
2957-2		dʒ i ŋ dʒ ɛ														
3048-2		k u j ɔ														
3251-2		u i j														
3885-2		d a w														
4402-2		ɛ j̃														
5081-2		dʒ i ŋ dʒ e l														
5622-2		tʃ ɛ r ɛ j o j														
6006-2		tʃ i j a														
43-2		d a ɛː ɛː														
135-2		b o l u														
158-2		tʃ ɔ s ɔː														
194-2		d j aː														
221-2		u s u														
650-2		tʃ e s u														
1152-2		t ɔ w a														
1374-2		t a r g u														
1452-2		tʃ i j a														
1862-2		i s eː														
2108-2		s ɛ r̃ ɔ j														
2636-2		m uː														
2880-2		dʒ i ŋ s j̃ g ɛ														
2924-2		t i r ɛ														
2941-2		tʃ i j a														
3405-2		tʃ ɛ r ɛ j														
3959-2		d a r														
4066-2		tʃ i j ɔ														
4535-2		k ɔ dʒ ɔ														
4888-2		g a m i a a														
5180-2		g a m dʒ a														
5751-2		t o dʒ u														
5981-2		o w eː														
114-2		k u j a														
702-2		l g a u a a a														
851-2		g aː w a														
872-2		a m w a														
952-2		g a l dʒ dʒ a														
2179-2		k u														
2351-2		k u w o														
2496-2		s ɛ w														
4609-2		tʃ i m u s eː ɛ														
4740-2		g a m a														
4921-2		b i ŋ l ɛ														
5982-2		d a g s a														
978-2		t ɔ s ɔ														
999-2		j ɔ														
1052-2		s a m dʒ u														
1989-2		l a w														
2456-2		tʃ i j a														
2666-2		tʃ i j a														
2817-2		ɔ ŋ l u														
3132-2		d ɔ m l a														
3300-2		ɔ w ɔ														
3977-2		dʒ i ŋ dʒ ɛ														
3978-2		dʒ i ŋ dʒ ɛ														
4260-2		a a g														
4278-2		g a m s a														
4334-2		u r o i														
4361-2		d u g a														
4570-2		g a s o a														
4648-2		j ɔ														
5673-2		d a m l a														
5887-2		a a j u														
446-2		b o g u r ɔː														
1108-2		k u j ɔ														
1124-2		ɔ ŋ ɔ														
1237-2		b a ŋ g i														
1745-2		d aː w ɔ														
1823-2		t ɔ m a														
2143-2		k j̃														
2265-2		ɔ w														
2392-2		t ɔ s ɔː														
2579-2		g ɔ m														
2902-2		j ɔ														
3197-2		g aː														
3339-2		k i j a														
3550-2		ɲ m r̃ u j̃ i														
3943-2		p ɔ t ɔ														
4240-2		a e j u														
5197-2		u s u														
5531-2		n u w ɔ														
5733-2		m aː														
409-2		i aː w a														
562-2		s u m l o														
1022-2		d u w ɔ														
1205-2		j ɔ														
1275-2		tʃ ɛː														
1524-2		k ɔ w ɔ														
1578-2		ŋ o ŋ g i														
2063-2		i s eː														
2798-2		n a r̃ ɛ a														
3088-2		g e l eː														
3683-2		tʃ u j o														
3772-2		k u s ɔ														
4711-2		l i j a														
4778-2		t eː s j a														
4821-2		g w														
4941-2		i j eː														
5272-2		d u g a														
5319-2		g i s a														
5375-2		l a l ɔ̃ː m a														
5423-2		a r̃ aː														
5424-2		tʃ i j a														
5465-2		l aː w a														
5497-2		aː w														
178-2		b a j g o j o														
563-2		d u w ɔ														
684-2		ɲ i j														
742-2		tʃ i j a														
787-2		l aː w a														
1126-2		n a														
1204-2		tʃ e j u														
1373-2		g g u s aː														
1787-2		m m														
1969-2		u ɔ̃ː g u m														
2283-2		tʃ e j u														
2441-2		m eː														
2598-2		ɲ i j ɛː														
2773-2		tʃ o g i n i														
2863-2		t ɔ ŋ ɛ														
3011-2		t a m l a a														
3176-2		t ɔ w ɔː														
3319-2		k aː m a a														
4025-2		n ɔ ɔ ɔ														
4037-2		ɲ a m l a														
4441-2		g ɔ̃ː j i														
4843-2		u r u j̃														
5036-2		g aː w a														
5357-2		b ɛ u ɛ														
5790-2		ɔ w ɔ														
61-2		b o l u														
136-2		tʃ e l eː														
239-2		t a l a														
309-2		t o dʒ u a														
594-2		u s u j a														
701-2		m u														
786-2		n a														
909-2		j u														
928-2		o dʒ u														
951-2		a j w														
1184-2		t ɛ j̃ ɔ														
715-3			t aː m a													
1089-3			d aː ŋ a													
1319-3			d aː l e													
1398-3			s a ŋ aː n a a													
1557-3			g e l i													
1626-3			w a g a													
1840-3			ŋ e n a													
2247-3			d a n													
4677-3			k a l a aː a													
5162-3			s eː n n e													
5406-3			p eː n e													
359-3			k a j a ŋ													
1577-3			g e l i													
2196-3			d ɛ l ɛ													
2533-3			b iː ŋ g e													
3866-3			ʔ aː g a													
4553-3			b iː m g e u													
5254-3			p ɔː l u													
503-3			k a n i a													
1881-3			d a l ɛ ŋ a													
2084-3			j i m n i													
2420-3			t aː l u													
3218-3			p a g a ŋ a													
3372-3			d aː l aː													
3718-3			ʔ aː ŋ a													
2320-3			k a ŋ i													
2476-3			k a g													
3719-3			j a													
4460-3			k aː n a													
5514-3			d eː n dʒ e													
890-3			ŋ i m b i l aː													
1336-3			d u g ɛ													
1703-3			d aː													
2162-3			t u m u													
2635-3			n u													
2735-3			g eː n b a l a													
762-3			p aː n u n dʒ u g a													
1788-3			s e a													
2713-3			t u m a u m b a l u													
3219-3			t aː b u													
4629-3			t u m b u													
4904-3			n u i n b ɛ													
5125-3			k aː n dʒ i													
5771-3			iː o g a ŋ													
5938-3			ʔ a m u m b lː a													
1898-3			p ɔː l ɔ i													
2901-3			t u m b u													
2957-3			s eː n d e													
3048-3			p a j a													
5081-3			p i n ŋ a i													
6006-3			p ɔː l a													
716-3			j a													
1152-3			d u w ɛ													
1789-3			t aː ŋ aː													
2083-3			k ɛ m n ɔ													
2108-3			s aː b b a													
2618-3			k a l ɛ													
2880-3			p eː n dʒ e g a													
2941-3			p u m a													
3405-3			ʔ a m a a													
3811-3			ŋ aː													
5583-3			ŋ aː m g aː													
5751-3			d u l ɛ													
2442-3			t aː ŋ aː													
2496-3			d ɛ l													
