ID	DOCULECT	TOKENS	ALIGNMENT	COGID
1	ClassicalNahuatl	eː w a + tɬ	- eː w a + - - - tɬ	3
2	NorthPueblaNahuatl	j e w a + j o	j e w a + j o - -	3
3	Pipil	eː w a + j u	- eː w a + j u - -	3
4	ProtoAztecan	ɨ w aː + j oː + tɬ	- ɨ w aː + j oː + tɬ	3
5	TetelcingoNahuatl	j e w a + j u + tɬ	j e w a + j u + tɬ	3
6	MecayapanNahuat	k w a + k a h l oː + ʔ	k w a + k a h l oː + ʔ	4
7	PajapanNahuat	b a + g a h l o	- b a + g a h l o - -	4
8	ClassicalNahuatl	i ʔ t e	i ʔ t e	6
9	JalupaNahuat	i h t i	i h t i	6
10	NorthPueblaNahuatl	i h t e	i h t e	6
11	PajapanNahuat	i h t i	i h t i	6
12	Pipil	i h t i	i h t i	6
13	ProtoAztecan	ɨ h t ɨ	ɨ h t ɨ	6
14	TetelcingoNahuatl	i h t e	i h t e	6
15	ClassicalNahuatl	k e ʔ ts o m	k e ʔ ts o m -	10
16	TetelcingoNahuatl	k e ts o m a	k e - ts o m a	10
17	MecayapanNahuat	t a n + k w a	t a n + k - w a	12
18	PajapanNahuat	t a m + b a	t a m + - - b a	12
19	Pipil	t a n + k w a	t a n + k - w a	12
20	ProtoAztecan	k ɨ h + ts o m a	k ɨ h + ts o m a	12
21	ClassicalNahuatl	tɬ iː l + t i k	tɬ iː l + t i k - -	13
22	NorthPueblaNahuatl	tɬ i l + t i k	tɬ i l + t i k - -	13
23	Pipil	t iː l + t i k	t iː l + t i k - -	13
24	ProtoAztecan	tɬ iː l + t ɨ + k	tɬ iː l + t ɨ - + k	13
25	TetelcingoNahuatl	tɬ i l + t iː k	tɬ i l + t iː k - -	13
26	MecayapanNahuat	p iː s + t i ʔ	p iː s + t i ʔ	14
27	PajapanNahuat	p i s + t i k	p i s + t i k	14
28	ClassicalNahuatl	tʃ iː tʃ iː w a l	tʃ iː tʃ iː w a l	19
29	MecayapanNahuat	tʃ iː tʃ i w a l	tʃ iː tʃ i w a l	19
30	NorthPueblaNahuatl	tʃ i tʃ i w a l	tʃ i tʃ i w a l	19
31	PajapanNahuat	tʃ i tʃ i w a l	tʃ i tʃ i w a l	19
32	ProtoAztecan	tʃ iː tʃ iː w a l	tʃ iː tʃ iː w a l	19
33	TetelcingoNahuatl	tʃ i tʃ iː w a l	tʃ i tʃ iː w a l	19
34	JalupaNahuat	tʃ i tʃ i	tʃ i tʃ i -	20
35	Pipil	tʃ iː tʃ i h	tʃ iː tʃ i h	20
36	ClassicalNahuatl	m i x + tɬ i	m i x + tɬ i	25
37	MecayapanNahuat	m i x + t i	m i x + t i	25
38	NorthPueblaNahuatl	m e x + tɬ i	m e x + tɬ i	25
39	PajapanNahuat	m iː x + t i	m iː x + t i	25
40	Pipil	m i x + t i	m i x + t i	25
41	ProtoAztecan	m i x + tɬ ɨ	m i x + tɬ ɨ	25
42	TetelcingoNahuatl	m e x + tɬ iː	m e x + tɬ iː	25
43	NorthPueblaNahuatl	i ts + t i k	i ts + t i k	27
44	TetelcingoNahuatl	i ts + t iː k	i ts + t iː k	27
45	ClassicalNahuatl	iː ts + t i k	- iː ts - - + t i k	28
46	JalupaNahuat	s e s e k	s e s e k - - - -	28
47	MecayapanNahuat	s e s eː ʔ	s e s eː ʔ - - - -	28
48	PajapanNahuat	s e s eː k	s e s eː k - - - -	28
49	Pipil	s e s e k	s e s e k - - - -	28
50	ProtoAztecan	s e s e + k	s e s e - + - - k	28
51	ClassicalNahuatl	tʃ i tʃ i	tʃ i tʃ i - - -	33
52	JalupaNahuat	tʃ u tʃ u	tʃ u tʃ u - - -	33
53	NorthPueblaNahuatl	tʃ i tʃ i	tʃ i tʃ i - - -	33
54	Pipil	p eː l u	p eː l u - - -	33
55	TetelcingoNahuatl	tʃ iː tʃ iː + t u	tʃ iː tʃ iː + t u	33
56	ClassicalNahuatl	t oː t o l + t e + tɬ	t oː t o l + t e - + tɬ	56
57	NorthPueblaNahuatl	t o t o l + t e + tɬ	t o t o l + t e - + tɬ	56
58	TetelcingoNahuatl	t u t o l + t e tɬ	t u t o l + t e tɬ - -	56
59	MecayapanNahuat	t e k s i s	t e k s i s - - -	57
60	PajapanNahuat	t e k s i s	t e k s i s - - -	57
61	Pipil	t e k s i s + t i	t e k s i s + t i	57
62	ClassicalNahuatl	i h w i + tɬ	- - - i h w i + tɬ -	79
63	JalupaNahuat	i j + u h w i + j u	i j + u h w i + j u	79
64	NorthPueblaNahuatl	i h w i + tɬ	- - - i h w i + tɬ -	79
65	ProtoAztecan	ɨ w ɨ	- - - ɨ - w ɨ - - -	79
66	MecayapanNahuat	ts o h m i + ʔ	ts o h m i + ʔ	81
67	PajapanNahuat	ts o h m i + t	ts o h m i + t	81
68	ClassicalNahuatl	m i tʃ + i n	m i tʃ - - + - i n - -	84
69	NorthPueblaNahuatl	m i tʃ i	m i tʃ i - - - - - - -	84
