ID	DOCULECT	TOKENS	ALIGNMENT	COGID
1	ClassicalNahuatl	eː w a + tɬ	- eː w a + - - - tɬ	3
2	NorthPueblaNahuatl	j e w a + j o	j e w a + j o - -	3
3	Pipil	eː w a + j u	- eː w a + j u - -	3
4	ProtoAztecan	ɨ w aː + j oː + tɬ	- ɨ w aː + j oː + tɬ	3
5	TetelcingoNahuatl	j e w a + j u + tɬ	j e w a + j u + tɬ	3
6	MecayapanNahuat	k w a + k a h l oː + ʔ	k w a + k a h l oː + ʔ	4
7	PajapanNahuat	b a + g a h l o	- b a + g a h l o - -	4
8	ClassicalNahuatl	i ʔ t e	i ʔ t e	6
9	JalupaNahuat	i h t i	i h t i	6
10	NorthPueblaNahuatl	i h t e	i h t e	6
11	PajapanNahuat	i h t i	i h t i	6
12	Pipil	i h t i	i h t i	6
13	ProtoAztecan	ɨ h t ɨ	ɨ h t ɨ	6
14	TetelcingoNahuatl	i h t e	i h t e	6
15	ClassicalNahuatl	t oː t oː + tɬ	t oː t oː + tɬ	9
16	JalupaNahuat	t uː r u + t	t uː r u + t	9
17	MecayapanNahuat	t oː t oː + ʔ	t oː t oː + ʔ	9
18	NorthPueblaNahuatl	t o t o + tɬ	t o t o + tɬ	9
19	PajapanNahuat	t oː t o + t	t oː t o + t	9
20	Pipil	t uː t u + t	t uː t u + t	9
21	ProtoAztecan	t oː t oː + tɬ	t oː t oː + tɬ	9
22	TetelcingoNahuatl	t u t u + tɬ	t u t u + tɬ	9
23	ClassicalNahuatl	k e ʔ ts o m	k e ʔ ts o m -	10
24	TetelcingoNahuatl	k e ts o m a	k e - ts o m a	10
25	MecayapanNahuat	t a n + k w a	t a n + k - w a	12
26	PajapanNahuat	t a m + b a	t a m + - - b a	12
27	Pipil	t a n + k w a	t a n + k - w a	12
28	ProtoAztecan	k ɨ h + ts o m a	k ɨ h + ts o m a	12
29	ClassicalNahuatl	tɬ iː l + t i k	tɬ iː l + t i k - -	13
30	NorthPueblaNahuatl	tɬ i l + t i k	tɬ i l + t i k - -	13
31	Pipil	t iː l + t i k	t iː l + t i k - -	13
32	ProtoAztecan	tɬ iː l + t ɨ + k	tɬ iː l + t ɨ - + k	13
33	TetelcingoNahuatl	tɬ i l + t iː k	tɬ i l + t iː k - -	13
34	MecayapanNahuat	p iː s + t i ʔ	p iː s + t i ʔ	14
35	PajapanNahuat	p i s + t i k	p i s + t i k	14
36	ClassicalNahuatl	o m i + tɬ	o - m i + tɬ	17
37	JalupaNahuat	u m i + t	u - m i + t	17
38	MecayapanNahuat	o m i + ʔ	o - m i + ʔ	17
39	NorthPueblaNahuatl	o h m i + tɬ	o h m i + tɬ	17
40	PajapanNahuat	o m i + t	o - m i + t	17
41	Pipil	uː m i + t	uː - m i + t	17
42	Pochutec	o + t	o - - - + t	17
43	ProtoAztecan	oː m ɨ + tɬ	oː - m ɨ + tɬ	17
44	ClassicalNahuatl	tʃ iː tʃ iː w a l	tʃ iː tʃ iː w a l	19
45	MecayapanNahuat	tʃ iː tʃ i w a l	tʃ iː tʃ i w a l	19
46	NorthPueblaNahuatl	tʃ i tʃ i w a l	tʃ i tʃ i w a l	19
47	PajapanNahuat	tʃ i tʃ i w a l	tʃ i tʃ i w a l	19
48	ProtoAztecan	tʃ iː tʃ iː w a l	tʃ iː tʃ iː w a l	19
49	TetelcingoNahuatl	tʃ i tʃ iː w a l	tʃ i tʃ iː w a l	19
50	JalupaNahuat	tʃ i tʃ i	tʃ i tʃ i -	20
51	Pipil	tʃ iː tʃ i h	tʃ iː tʃ i h	20
52	ClassicalNahuatl	tɬ a t i aː	tɬ a t i aː - - - - - -	22
53	JalupaNahuat	t a t i	t a t - i - - - - - -	22
54	MecayapanNahuat	t a t i a	t a t i a - - - - - -	22
55	PajapanNahuat	t a t a	t a t - a - - - - - -	22
56	Pipil	t a t i a	t a t i a - - - - - -	22
57	Pochutec	t a t i	t a t - i - - - - - -	22
58	ProtoAztecan	tɬ a + t ɨ + h a	tɬ a - - - + t ɨ + h a	22
59	TetelcingoNahuatl	tɬ a t i a	tɬ a t i a - - - - - -	22
60	ClassicalNahuatl	m i x + tɬ i	m i x + tɬ i	25
61	MecayapanNahuat	m i x + t i	m i x + t i	25
62	NorthPueblaNahuatl	m e x + tɬ i	m e x + tɬ i	25
63	PajapanNahuat	m iː x + t i	m iː x + t i	25
64	Pipil	m i x + t i	m i x + t i	25
65	ProtoAztecan	m i x + tɬ ɨ	m i x + tɬ ɨ	25
66	TetelcingoNahuatl	m e x + tɬ iː	m e x + tɬ iː	25
67	NorthPueblaNahuatl	i ts + t i k	i ts + t i k	27
68	TetelcingoNahuatl	i ts + t iː k	i ts + t iː k	27
69	ClassicalNahuatl	iː ts + t i k	- iː ts - - + t i k	28
70	JalupaNahuat	s e s e k	s e s e k - - - -	28
71	MecayapanNahuat	s e s eː ʔ	s e s eː ʔ - - - -	28
72	PajapanNahuat	s e s eː k	s e s eː k - - - -	28
