COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
52-1	t a ʔ									
56-1	u m i ʔ									
96-1	t a n									
99-1	t i t i n o n									
114-1	t o k									
115-1	t o ʔ									
133-1	t i p a n									
144-1	t o w a n									
150-1	k a w									
234-1	k o m									
236-1	p a k o n									
241-1	n a w i n ʔ									
249-1	i tʃ e ʔ									
1-1	w a z a ʔ									
2-1	w i ʔ									
65-1	i w i ʔ									
74-1	p a n a									
106-1	t o n i ʔ									
128-1	p o k o ʔ									
147-1	t i m									
231-1	p a n a o									
232-1	p i o n o ʔ									
239-1	n a m a k a n									
266-1	t i m ʔ									
51-1	i w i ʔ									
97-1	t o p a k o n									
109-1	p a k									
121-1	k a p a k a tʃ i ʔ									
149-1	t o k									
160-1	t u k									
163-1	u p e n ʔ									
52-2		t e t e								
56-2		o m i								
96-2		t r a s i								
99-2		r a k o n								
114-2		t o k i s i								
115-2		t r e s i								
133-2		t r a p a s i								
144-2		t r a i s i								
150-2		k a								
234-2		k o m								
236-2		p i k i n								
241-2		a n								
249-2		i s e								
74-2		p a n a ʔ								
93-2		t r a p a s i								
95-2		w i s i								
106-2		t o n e s i								
119-2		i t i s i								
128-2		p u k i s i								
147-2		t o k o t e p a s i								
231-2		p a n a o								
232-2		p i o								
239-2		i m a k a n								
266-2		p i s i k i n i s i								
51-2		w i								
55-2		o n j a m								
97-2		m e n e m a n								
121-2		k a p i k a s i								
163-2		o p i n								
52-3			tʃ e t e							
56-3			o m e							
96-3			a t a j i							
99-3										
114-3			t u k a i tʃ e							
115-3			w a e m e m i tʃ e							
133-3			t u p a t a tʃ e							
144-3			n a w a t a tʃ e							
150-3			k a w							
234-3			k u m							
236-3			p a k a ɲ							
241-3			a w i n							
249-3			i tʃ e							
1-3			n a a							
2-3			v a m							
65-3			i w i							
93-3			t u p a t a tʃ e							
95-3			w a							
106-3			t i m o tʃ e							
119-3			t a t i a t a tʃ e							
128-3			w a e m e m i tʃ e							
147-3			tʃ e m o tʃ e							
231-3			p a n a o a							
232-3			u p a j o							
239-3			n a m a k a n							
266-3			tʃ e m							
3-3			w a g a r a k a m a							
4-3			w a t i							
55-3			a i m a j a m a tʃ e							
109-3			i p a j o							
121-3			k a p a j a k a tʃ i							
149-3			t u k a							
160-3			k i m							
52-4				t i t						
56-4				u m						
96-4				t a n						
99-4				s i k o n						
114-4				t u k u r i						
115-4				j u m						
133-4				t i p a n						
144-4				p a t a w						
150-4				k a w						
234-4				k o m						
236-4				p a k u n						
241-4				a w i n						
249-4				i tʃ i						
1-4				w a ʒ̟ a						
2-4				p u m						
65-4				i w i						
74-4				p a n a						
93-4				t u p a						
95-4				w i t						
106-4				t u m						
119-4				j i t						
128-4				p u k u r i						
147-4				t i m						
231-4				p a n a o						
232-4				p i j i						
239-4				n a m a k a n						
266-4				t i m						
3-4				p o k o n						
4-4				w a ʒ̟ i						
51-4				i w i						
97-4				m o p w a m						
109-4				u p e j e						
121-4				k a p a k a tʃ i						
149-4				t o k						
160-4				t u k i						
