COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
52-1	t a									
56-1	o m a									
96-1	t a s a									
99-1	t a r a k o n									
114-1	t o k									
115-1	t o p									
133-1	t i p a									
144-1	t a w a s i									
150-1	k a w									
234-1	k o m									
236-1	p a k o n									
241-1	n a w									
249-1	tʃ o									
1-1	w a t a									
2-1	w o m									
65-1	u w									
74-1	p a n a									
106-1	t o m i tʃ i									
128-1	w o k									
147-1	t u m i tʃ i									
231-1	p a n a w									
232-1	w p u									
239-1	n a m a k a n									
266-1	t u m									
51-1	o w									
97-1	t o m a m									
109-1	o p a tʃ									
121-1	k a p a k a tʃ i									
149-1	t o k									
160-1	t u r a k									
163-1	p u									
167-1	p a									
207-1	m u									
259-1	t o w									
66-1	k a r a k o n									
134-1	n a p a t									
139-1	w a n o s									
142-1	p a r a m a s i									
145-1	k a r a t									
148-1	t r a w a n a tʃ i									
162-1	j i n									
166-1	m u									
179-1	t a									
201-1	p a									
21-1	t a w									
24-1	t o k o r a									
50-1	n a									
57-1	t o k o w a n									
84-1	p i w a n									
91-1	m a k o n									
131-1	t o k o n a m									
151-1	k u									
154-1	w o									
192-1	t o t									
197-1	t r m									
205-1	p a n									
227-1	w a t o									
246-1	i w i									
251-1	w a n a									
271-1	s u									
285-1	r a w									
75-1	o p i j									
79-1	t a n									
104-1	k a h o r o n									
153-1	tʃ a k									
157-1	t a r a m									
174-1	p r u									
240-1	t i m a k									
270-1	k a w a t i									
52-2		t e a								
56-2		u m a								
96-2		t a r a								
99-2		t a r a k o								
114-2		t o k o								
115-2		w i r a								
133-2		t u p a r a r a								
144-2		t a r a p								
150-2		k a								
234-2		k u m								
236-2		p a w								
241-2		a n a								
249-2		i s e								
74-2		p a n a								
93-2		t o p a r i								
95-2		w i s i								
106-2		t u m a tʃ i								
119-2		j a tʃ i								
128-2		h o k o tʃ								
147-2		t u m i								
231-2		p a n a u								
232-2		p i o								
239-2		n a m a k								
266-2		p a s i								
51-2		w i								
55-2		h u a m								
97-2		h u m a								
121-2		a p a k i								
163-2		p i								
167-2		p a								
259-2		t o a								
66-2		r a k a r a								
112-2		t a r a p a tʃ i								
116-2		t o p a k								
125-2		k a m a tʃ i								
135-2		t u m o p								
139-2		p a r a m								
142-2		p a r a m a r a m								
148-2		r a w a r a								
162-2		i n								
166-2		m i								
179-2		t a								
45-2		h o r a m a								
84-2		p i w a								
131-2		t o k o t i								
146-2		k i m a tʃ i								
154-2		w e								
192-2		t o t								
197-2		w i r i m								
235-2		s o i								
237-2		m i j a m a								
246-2		i w i								
250-2		r u p a								
267-2		t o a								
39-2		n a r a m a								
42-2		t a r a m a								
44-2		w a n a m								
75-2		p i t								
94-2		ø r e m								
122-2		p i k o r u								
52-3			tʃ i t							
56-3			m i							
96-3			w a r a s i							
99-3			w a r i k o							
114-3			tʃ i k i s i							
115-3			k i r i							
133-3			tʃ i r i p a r a s i							
144-3			n a r a k o r a							
150-3			k a w							
234-3			k u m							
236-3			p a k i							
241-3			w i j a							
249-3			i s e							
1-3			n a tʃ a							
2-3			w i m							
65-3			i w i s i							
93-3			tʃ i t o r i							
95-3			w i k i s i							
106-3			tʃ i t i							
119-3			ɲ a tʃ i s i							
128-3			p i k i tʃ i							
147-3			tʃ i t o m i							
231-3			p a ɲ a k o							
232-3			p i j i							
239-3			n a m a k a							
266-3			v i s i m i							
3-3			w i r a k o							
4-3			w a r a t i							
55-3			h u a m							
109-3			v i j i s i							
121-3			k a p a k a s i							
149-3			tʃ o k							
160-3			k i r i k							
207-3			m i							
112-3			tʃ a r a j a s i							
125-3			k a tʃ i m a tʃ i							
134-3			tʃ i j a tʃ i							
135-3			tʃ i k o tʃ i							
139-3			m i k o r i							
57-3			t u k o w a							
71-3			m i							
131-3			t i k i tʃ i							
146-3			k i m a tʃ i							
227-3			w a p i t o							
132-3			m i tʃ i							
240-3			t i m a k							
52-4				ʒ̟ a						
56-4				u m a						
96-4				ʒ̟ a w i						
99-4				ʒ̟ i						
114-4				ʒ̟ o k i						
115-4				ʒ̟ i						
133-4				ʒ̟ i j i p a r a						
144-4				ʒ̟ a w i						
150-4				k a w						
234-4				k o m						
236-4				p a k o n						
241-4				n a w i						
249-4				tʃ i						
1-4				w a t a ʔ						
2-4				w u m						
65-4				i w i						
74-4				p a n a						
93-4				ʒ̟ o p a r i						
95-4				w i k i						
106-4				t i n a						
119-4				j a ʒ̟ i						
128-4				k o tʃ i						
147-4				t i m i tʃ i						
231-4				p a n a w						
232-4				w p i o						
239-4				n a m a k a n						
266-4				ʒ̟ i m						
3-4				w i r a k o						
4-4				w o r a ʒ̟						
51-4				w i						
97-4				ʒ̟ o m a w						
109-4				o i tʃ i						
121-4				k a p i k a tʃ i						
149-4				t o k						
160-4				t i k						
163-4				p i n						
167-4				p a						
207-4				m i						
259-4				ʒ̟ o w						
66-4				k a r a k o n						
116-4				ʒ̟ o a k a tʃ i						
134-4				n a t a p a t						
135-4				ʒ̟ i k o p						
139-4				w i n o i						
142-4				p a r a m a w i						
145-4				k a r a t i tʃ i						
148-4				ʒ̟ a r a w a n i						
162-4				i n i						
166-4				m i						
179-4				t a k						
201-4				p a						
21-4				t a w						
24-4				w o r a k o n						
45-4				m i j i m a						
50-4				n a ʔ						
57-4				t o k a w n						
71-4				o m i						
84-4				p i w a n						
91-4				m a k o n						
131-4				ʒ̟ o k o ʒ̟ i k i						
146-4				k i m a ʒ̟ i						
151-4				k i w						
154-4				j						
192-4				ʒ̟ o ʒ̟						
205-4				p a n						
227-4				w o p i t o ʔ						
235-4				tʃ o i						
237-4				n a m a w						
246-4				i w i						
250-4				ʒ̟ o r o p ʒ̟						
251-4				w a n a						
271-4				s i w						
284-4				w i t						
285-4				i r a w i n						
44-4				j a n a m						
75-4				p i j i m a						
79-4				t a n						
94-4				k i						
104-4				k i r a p						
132-4				a m a k o						
153-4				tʃ a k						
157-4				t a w						
174-4				p r i						
177-4				ʒ̟ o p a n						
240-4				t i m a k						
270-4				k a w a t i ʔ						
52-5					t e ʔ					
56-5					m i					
96-5					t a s i					
99-5					w o r a k o n					
114-5					t o k i					
115-5					w o r i					
133-5					t i p a r a m a s i					
144-5					t o k o r i					
150-5					k a w					
234-5					k o m					
236-5					p a k o n					
241-5					w i n					
249-5					i s e					
1-5					f a t a ʔ					
2-5					w o r a m					
65-5					i w i					
74-5					p a n a					
93-5					t o p a r i ʔ					
95-5					i k i					
106-5					t i ʔ					
119-5					p a t i ʔ					
128-5					p o k o s i					
147-5					t i k i					
239-5					i m a k a n					
266-5					p a s i ʔ					
3-5					w i r a k o					
4-5					f o t					
51-5					w i					
55-5					f o m					
97-5					f o p					
109-5					p a i k o p					
149-5					t o k					
160-5					t i k i					
163-5					p i k o n					
167-5					p a k					
207-5					m i					
259-5					t o w					
66-5					k a r a k o n					
112-5					t a r a p a t i					
116-5					t o p a k a s i					
134-5					t i p a t					
135-5					t o k o p					
139-5					f o k o r i ʔ					
142-5					p a r a m a s i					
145-5					k a r a t a s i					
148-5					t a r a w a s i					
162-5					i j i					
166-5					m i					
179-5					t a k					
201-5					p y					
21-5					t a w i					
45-5					f o r o n					
50-5					i j a					
71-5					o m i					
84-5					p i w a n					
91-5					m a k o n					
