COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
52-1	t a t									
56-1	u m									
96-1	t a tʃ i									
99-1	a z i n									
114-1	t o k									
115-1	u ʔ									
133-1	t i j i p a tʃ i ʔ									
144-1	a t a w									
150-1	k a w									
234-1	k o m									
236-1	p i k o n									
241-1	a w i n									
249-1	i tʃ i									
1-1	w a t a									
2-1	w i m									
65-1	i w ʔ									
74-1	p a n a									
106-1	t u n i tʃ i									
128-1	p u k									
147-1	t i m ʔ									
231-1	p a n a w o									
232-1	p e p e u									
239-1	n a m a k a n									
266-1	tʃ i m									
51-1	u w i									
97-1	m a p a m									
109-1	u p e j i									
121-1	k a p e a k									
149-1	t o k									
160-1	k i n									
163-1	u p e n									
167-1	p a ʔ									
207-1	m i n									
259-1	t o w a									
66-1	k a r a k a w									
134-1	n a p a t i n									
139-1	m a n o tʃ i									
142-1	p a ʔ									
145-1	k a t a tʃ i n									
148-1	t a w a n a tʃ i									
162-1	i n i n									
166-1	i m i ʔ									
179-1	t a k									
201-1	p i ʔ									
21-1	k a n a tʃ a n									
24-1	k a n a k o n									
50-1	i n a ʔ									
57-1	t o k a w a n									
84-1	p e w a n									
91-1	m o k o n									
131-1	t u k a z i ʔ									
151-1	k i w									
154-1	w i									
192-1	t u t									
197-1	ʒ̟ i m ʔ									
205-1	i p a n									
227-1	w i t									
246-1	i w i ʔ									
251-1	w a n a									
52-2		t i t e								
56-2		o m e								
96-2		a t a s i								
99-2		a r a k o n								
114-2		t o k o t								
115-2		o r o s i								
133-2		t i p a r a s i								
144-2		a t a r a s i								
150-2		k a								
234-2		k o m								
236-2		p i k o n								
241-2		a i n								
249-2		i s e								
74-2		p a n a								
93-2		t o p a r i s i								
95-2		i s i								
106-2		t o m i s i								
119-2		p a t i s i								
128-2		h o k o n								
147-2		t i m i s i								
231-2		p a n a t o								
232-2		p i p i o								
239-2		a m a k a n								
266-2		p i s i k								
51-2		i w i								
55-2		h a m								
97-2		m a h o m								
121-2		k a p a k a n								
163-2		i p i n								
167-2		p a								
259-2		t o a								
66-2		k a r a k a n								
112-2		t a r a t i n								
116-2		t o p a k								
125-2		k a t i m a n								
135-2		t i m i k i n								
139-2		o m o t e								
142-2		p a t r a m a s i								
148-2		t a r a s a n								
162-2		i ã i n								
166-2		i m i								
179-2		t a								
45-2		o h j a m a n								
84-2		p i w a n								
131-2		t o a t o								
146-2		k i m a t i m a n								
154-2		i								
192-2		t i t								
197-2		t i r i m i								
235-2		s o i								
237-2		n a n j i								
246-2		i w i								
250-2		r o p a t o n								
52-3			tʃ e n a							
56-3			u m a j o							
96-3			a r a s i							
99-3			a r i j a							
114-3			tʃ e k e tʃ e							
115-3			n a v i s i							
133-3			tʃ e j a r a s e							
144-3			n a v i s i							
150-3			k a w							
234-3			k u m							
236-3			p e k e ɲ							
241-3			a w i n j a							
249-3			e v e s o							
1-3			n a tʃ a							
2-3			u m a j o							
65-3			e w i s i							
93-3			tʃ u j a r i s i							
95-3			n e v i s i							
106-3			tʃ e ɲ e m i							
119-3										
128-3			h u k e ɲ e							
147-3			tʃ e m a j o							
231-3			p a n a w o							
232-3			j e j e j a							
239-3			ɲ a m a k a							
266-3			e tʃ e m							
3-3			n a r i k o							
4-3			n a v i r a j a							
55-3			a ɲ a m							
109-3			u p e j e s e							
121-3			a p e j a s e							
