COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
52-1	t e t									
56-1	u m e ʔ									
96-1	t a s a									
99-1	i r i k o n									
114-1	t o k									
115-1	t o k									
133-1	t i p a n									
144-1	s a w a z i ʔ									
150-1	k a w									
234-1	k o m									
236-1	p a k o n									
241-1	a w i n									
249-1	i tʃ i ʔ									
1-1	w a t a									
2-1	m o m									
65-1	i w i ʔ									
74-1	p a n a									
52-2		t e								
56-2		u m e								
96-2		t r a i s i								
99-2		r a i n								
114-2		t o k								
115-2		i t i s i								
133-2		t r a p i s i								
144-2		t r a w i s i								
150-2		k a w								
234-2		k o m								
236-2		p i k i k i n								
241-2		a w i n								
249-2		i t i								
74-2		p a n a								
93-2		t u p i s i								
95-2		w i s i								
52-3			tʃ e t							
56-3			u m e							
96-3			t a t i							
99-3			a r i k o							
114-3			k o t o tʃ i							
115-3			i j a d i tʃ e							
133-3			p a t i a t a tʃ e							
144-3			a r a w a tʃ e							
150-3			k a w							
234-3			k o m							
236-3			p a k o r i							
241-3			w a e m							
249-3			p a i tʃ e							
1-3			w a tʃ a							
2-3			w a e m							
65-3			i w i							
93-3			p a t i a t a tʃ e							
95-3			k i tʃ i							
52-4				t i t						
56-4				u m e						
96-4				s a t						
99-4				i r i k o n						
114-4				t u k						
115-4				j u r u						
133-4				t i p a n						
144-4				ts a r a w						
150-4				k a w						
234-4				k o m						
236-4				p w k u n						
241-4				a w i n						
249-4				i tʃ i						
1-4				w a t a						
2-4				w i m						
65-4				i w i						
74-4				p a n a						
93-4				t u p a t						
95-4				w i t						
52-5					t e t					
56-5					y m e					
96-5					i t a r i s i					
99-5					i r i j i n					
114-5					t o k i s i					
115-5					i j i s i					
133-5					t i p a r a s i					
144-5					w o r a w i s i					
150-5					k a w					
234-5					k o m					
236-5					p i k i n a s i					
241-5					a w i n					
249-5					i t e					
1-5					w a j a ʔ					
2-5					m a ʔ					
65-5					i w i					
74-5					p a n a ʔ					
93-5					t o p a r i s i					
95-5					w i k i					
52-6						t e t e				
56-6						u m i				
96-6						t a i p a tʃ i				
99-6						h u r a h u				
114-6						t u k a tʃ i				
115-6						w a j a h u				
133-6						t i p a t a tʃ i				
144-6						t a i t a t a tʃ i				
150-6						k a w				
234-6						k u m				
236-6						p a k u n				
241-6						a w i n				
249-6						tʃ i tʃ i				
1-6						w a tʃ a				
2-6						a m i m				
65-6						i w i				
74-6						p a n a				
93-6						t u p a i tʃ i				
95-6						w i tʃ i				
52-7							t i			
56-7							u m i			
96-7							w a z a t i ʃ i			
99-7							w a r i k o			
114-7							t u k			
115-7							j u r u			
133-7							w a			
144-7							w a r a w a			
150-7							k a w			
234-7							k u m			
236-7							p e k o n			
241-7							a w i n			
249-7							i ʃ i			
1-7							w a z a t i			
2-7							v i t i m			
65-7							i w i			
74-7							p a n a			
93-7							t u p a r i			
95-7							w i ʃ i			
52-8								t y t e		
56-8								y m e		
96-8								t r a i s i		
99-8								t r e k o n		
114-8								t o k		
115-8								j e r e s i		
133-8								t u p a r a s i		
144-8								t r a w i s i		
150-8								k a w		
234-8								k o m		
236-8								p i k i n		
241-8								a w i n		
249-8								i s e		
1-8								w a t a		
2-8								w u m i		
65-8								i w i		
74-8								p a n a b		
93-8								t u p i s i		
95-8								y k e s i		
52-9									i t i	
56-9									e m i ʔ	
96-9									w a r i ʃ i ʔ	
99-9									i r a i n	
114-9									t u k i ʃ i ʔ	
115-9									i r i ʃ i ʔ	
133-9									t i p a r a ʃ i ʔ	
144-9									t a r a w i ʃ i ʔ	
150-9									k a w	
234-9									k u m	
236-9									p i k i n	
241-9									a w i n	
249-9									i t i	
1-9									w a t a	
2-9									u m a	
65-9									i w i	
74-9									p a n a ʔ	
93-9									t o r a p a ʃ i ʔ	
95-9									w i k i ʃ i ʔ	
52-10										t e
56-10										m e
96-10										t a r a j i tʃ i ʔ
99-10										t y k y
114-10										t o k
115-10										tʃ i tʃ i ʔ
133-10										t a r a p a tʃ i ʔ
144-10										t o w a tʃ i ʔ
150-10										k a w
234-10										k o m
236-10										p i k i n a ɲ
241-10										w i n
249-10										tʃ i ʔ
1-10										w a tʃ a
2-10										h w a m
65-10										i w i ʔ
74-10										p a n a
93-10										t o p a r a tʃ i ʔ
95-10										w i k i tʃ i ʔ
