COGID	Albanian	English	French	German	Latin
560-1	o o m r				
438-1	ʃ ə r				
1222-1	f				
353-1	ə e k r				
201-1	r r a r				
20-1	r r r				
503-1	ə r m				
957-1	e k				
728-1	k a a r				
244-1	n d m				
289-1	n e t				
911-1	ə o d e				
724-1	o ə r				
145-1	d d				
992-1	a				
1181-1	a o o n t				
741-1	p θ a				
1150-1	k ʃ r d r				
585-1	o ə t				
814-1	m d r				
916-1	t t				
1079-1	θ r p t				
630-1	r a r ʃ				
343-1	o o t o				
8-1	e p e m r				
385-1	o u r				
683-1	k r n r t				
650-1	k o o o t				
612-1	f ə m o t				
871-1	ə r a t				
667-1	r o o t				
527-1	t u d r r				
499-1	n e t				
1029-1	o e t				
336-1	p ə m θ				
198-1	m r p n				
164-1	n ʃ m t ə o				
560-2		s i m			
438-2		u r k			
1222-2		s			
353-2		p ɪ n ʃ			
201-2		r n r			
20-2		ŋ ɪ r r			
503-2		p s k			
957-2		ɛ n			
728-2		l ɔ ŋ			
244-2		l e			
289-2		ɔ f t			
911-2		r θ r			
724-2		s r			
145-2		ɛ t			
992-2		ŋ ə			
706-2		t s ʊ			
106-2		p w d r			
741-2		p ʊ ʃ			
421-2		v l t m			
227-2		p ʊ			
920-2		h t r			
1083-2		h r			
1066-2		n f			
1125-2		n ʊ			
1197-2		a d d r			
473-2		ai θ i			
284-2		s ə			
661-2		o			
701-2		r au t			
315-2		r au j ʊ			
1169-2		s i l			
1150-2		k au r s			
982-2		s w ɪ s			
987-2		ʃ n θ			
1055-2		s s ɪ r n			
1130-2		s f s			
433-2		s n i			
625-2		s au ŋ			
1186-2		ɛ s			
416-2		ɛ			
1233-2		ʃ s d			
884-2		ʃ i r m			
1016-2		a θ s			
952-2		ɛ			
78-2		v l s s			
514-2		v r ɪ n			
116-2		w t			
188-2		f ɪ r n ʊ			
745-2		f w p r			
1100-2		r r au f t			
47-2		f a i			
111-2		s ŋ ʊ			
1061-2		a ə s d			
24-2		n ɪ f t			
232-2		n ʊ n			
671-2		r ɪ f d s			
385-2		s o			
945-2		s ɪ m n			
644-2		h ʊ ʃ			
1041-2		ʃ d s			
492-2		d n ʊ			
1209-2		θ t a			
527-2		w i t r			
14-2		n ɪ l v			
1-2		a l			
915-2		au n d			
271-2		a ʃ ə			
711-2		v ai t			
1112-2		v l ʊ d			
205-2		v r au t d			
301-2		k l au ə			
72-2		k a l d			
162-2		ŋ s			
238-2		d ɛ g			
560-3			ɛ ɛ t		
438-3			d r u		
1222-3			g t		
353-3			p s ʃ		
201-3			y i		
20-3			k r u		
503-3			p u m		
957-3					
728-3			m k e		
244-3			s		
289-3					
911-3			r p		
724-3			o r		
145-3			n		
992-3					
1181-3			ʃ a n		
706-3					
106-3			p i s r r		
741-3			p t ʃ		
421-3			p m u s		
227-3			p u		
920-3			k r		
1083-3			k r ø		
1066-3			y		
1125-3			ʒ ɛ i ø		
1197-3			s p s r r		
473-3			j j		
284-3			m s		
661-3			v		
701-3			r u b		
315-3			r ɔ t u		
1169-3			s m		
1150-3			ʃ ʃ ɛ e		
982-3			s		
987-3			s j		
1055-3			s t i		
1130-3			s u t e		
433-3			s l		
585-3			e ø		
625-3			l j k		
1186-3			j e		
814-3			s r e		
416-3					
1233-3			s p e		
884-3			s r s		
916-3					
1016-3			t r s e s		
952-3					
514-3			p r r e		
1079-3			b j b		
1100-3			p r p e		
47-3			s m t		
111-3			s ʃ u		
1061-3			s ɔ t t		
1155-3			ʃ s s		
343-3			l ɛ ɛ r		
671-3			r i p e		
460-3			p u s r		
8-3			r m u		
644-3			s u e		
683-3			ʃ r n e		
650-3			ʃ l œ		
612-3			f n m		
871-3			ɑ̃ ʃ ɛ e		
1209-3			p s e		
667-3			ʃ a j e		
499-3			n		
14-3			d m ə e		
1029-3			j ɛ		
272-3			ʃ ø n ɛ r		
278-3			m a l œ		
410-3			ʃ œ r t ø ʃ		
336-3			g p g		
1009-3			v ɛ n t r		
479-3			a v ø		
712-3			m œ r d ɑ̃		
1113-3			s a n ø n		
605-3			œ s s		
752-3			s p i r e		
695-3			n ø b ɑ̃		
73-3			f r i ʒ ø d œ		
162-3			ɛ ɔ ʒ u e		
239-3			d ø ɑ̃		
560-4				k m	
438-4				aː r k	
1222-4				s g s	
353-4				f i ʃ ʃ	
201-4				f ai b ə	
20-4				ŋ h z d	
503-4				f uː k g	
957-4				aː n	
728-4				z a ŋ	
244-4				l m	
289-4				a v	
911-4				r r l	
724-4				t r k	
145-4				aː	
992-4				h ə	
1181-4				ʃ g	
706-4				s n n	
106-4				f ai d eː	
421-4				g z s ə	
227-4				f uː s	
920-4				h s r aː	
1083-4				h ə r n	
1066-4				n	
1125-4				n yː g uː	
1197-4				a z d eː	
473-4				n s d	
284-4				n g	
661-4				v ə n	
701-4				r au au	
315-4				r au aː au	
1169-4				z yː z s	
1150-4				ʃ a r s	
982-4				ʃ v i aː	
987-4				ʃ n n	
1055-4				z t a r	
1130-4				z f k	
433-4				z ə n n	
585-4				t f	
625-4				z s ŋ	
1186-4				aː s d	
814-4				ʃ eː r v	
416-4				aː a s	
1233-4				a s g t	
884-4				a yː r m	
78-4				b l	
514-4				ə f n	
116-4				yː l	
188-4				f a r e au n	
745-4				f v ə r	
1100-4				d r oː s	
630-4				g g yː au v t ə	
1155-4				h s aː n ə	
24-4				n l s	
232-4				n au g	
671-4				r ai s d	
460-4				d au r eː ə	
8-4				g p r aː aː au	
385-4				au yː	
945-4				ʃ k a	
1041-4				ʃ t a n t	
492-4				d n au	
527-4				v a t ə r	
14-4				n t l eː	
1-4				a l	
915-4				a n t	
271-4				a ʃ	
711-4				ai s	
1112-4				l ə t	
205-4				r aː z s	
301-4				k l a	
72-4				k a l t	
238-4				t aː	
560-5					m i t
438-5					p r i
1222-5					o f m
353-5					p oː k l
201-5					p a k p
20-5					p k t r
503-5					p l
957-5					d l
728-5					m k k
244-5					l m t i
289-5					n k p t
911-5					s p s
724-5					aː a oː a
145-5					d
992-5					k
1181-5					k u e n
706-5					u l
106-5					p m o a
741-5					p uː k
421-5					p m o r i
227-5					p u o i
920-5					k o r t o
1083-5					k o r l i
1066-5					g uː
1125-5					g e iː eː
1197-5					e o o a
473-5					l l m
284-5					l m l o
661-5					k o
701-5					r u p i
315-5					r u l t
1169-5					l m m t
982-5					l s s
987-5					l l g i
1055-5					l t s a l
1130-5					l uː m e
433-5					l o l i i
585-5					t uː
625-5					l o k
1186-5					d kʷ l
814-5					m r i
416-5					k
1233-5					s eː l
884-5					s o r t
916-5					oː
1016-5					s l o m o l iː
952-5					s t
78-5					a m m l
1079-5					p g a
116-5					e o i
188-5					p m a
745-5					p k p o a i
47-5					s m e o
111-5					l a k iː
1061-5					m u l a o s
630-5					n k e u
1155-5					k u m l
24-5					l p eː
232-5					l u
343-5					m i a aː r i
460-5					p u m iː
945-5					l k t o
644-5					k u s
683-5					k r n t e
650-5					s l a l
612-5					f uː m aː
1041-5					l t m l
871-5					d i oː e t
492-5					p l l i
1209-5					m o t
667-5					l k m
499-5					n u
1029-5					m i
272-5					s eː d r
278-5					m a m e s
410-5					e k a r s
1009-5					m eː t r
198-5					m k n
479-5					g a s a
712-5					m a r
1113-5					s eː
605-5					a s
752-5					r e s p iː r e
695-5					n a g
73-5					f r g a d
164-5					n e m r i e k i
239-5					g u r
