COGID	Bankan_Tey	Ben_Tey	Bunoge	Jamsay	Mombo	Najamba	Nanga	Penange	Perge_Tegu	Tebul_Ure	Tiranige_Diga	Togo_Kan	Tommo_So	Toro_Tegu	Yanda_Dom	Yorno_So
715-1	d u															
1089-1	n a															
1319-1	n ɔ															
1398-1	s u g u ŋ u															
1557-1	g i r e															
1626-1	w a g a															
1840-1	t i n															
2247-1	g o															
4677-1	k u r o j															
5162-1	m i ŋ r̃ ɛ															
5406-1	t aː n d u															
359-1	g a r u															
1577-1	g i r e															
2196-1	n a r̃ a															
2230-1	s i g i															
2533-1	b a r i															
3605-1	k a n d a															
3866-1	ŋ oː s u															
4553-1	t aː g u															
4822-1	k u m b oː															
5254-1	d u r ɔ															
503-1	k i r̃ a j̃															
1356-1	m a j̃															
1881-1	n u m j̃															
3218-1	p u s u															
3372-1	n a m aː															
3718-1	ŋ a r a															
4135-1	b a n															
4694-1	g u s ŋ ŋ u															
807-1	k oː m iː															
2320-1	k a n e															
2476-1	k uː n̩ n̩															
3719-1	m i															
4081-1	d a m b i															
4313-1	n ɛ m ŋ															
4460-1	s u j															
5810-1	p i r u															
93-1	d o															
260-1	b ɛ ŋ r ɛ															
385-1	z ɛ m b ɛ															
890-1	ŋ a m i r i															
1336-1	t e g e															
1703-1	b a n̩															
1769-1	t e m b i															
2162-1	b ɛ r ɛ															
2635-1	s oː															
3031-1	d ɛ g ɛ															
4591-1	t ɛ r i															
5301-1	p ɛ r u															
5605-1	t i m a															
463-1	d u m b u															
1432-1	t a r iː															
1474-1	t ɔ ŋ ŋ															
1788-1	s i															
2044-1	d i m oː															
2713-1	t aː m ŋ d ɛ r ɛ															
3219-1	p a s u															
3425-1	j uː															
4184-1	ŋ ɛ ŋ															
4629-1	n u ŋ ɔ															
4759-1	n i j̃ e															
4904-1	n ŋ u ŋ j̃ a															
4960-1	dʒ i n a dʒ o															
4980-1	t o															
5059-1	g u j̃ o															
5339-1	p aː g a															
5549-1	t a w a															
5905-1	t i n u															
5922-1	b i r a															
5938-1	a d uː n a															
1-1	p ɛ															
483-1	g e s u															
629-1	d o ŋ															
667-1	ɛ w ɛ															
1254-1	z a n d u r u															
1415-1	ɲ ŋ ɛ															
1542-1	n ŋ aː ŋ															
1683-1	s i ŋ															
1898-1	p u r̃															
2901-1	t u n g u															
2957-1	m a n d i															
3048-1	b i j e															
3251-1	s a r a															
3885-1	d e r e															
715-2		d u														
1089-2		n aː														
1319-2		n ɔ̃ː														
1398-2		s u g n u														
1557-2		g i r u														
1626-2		w a g i														
1840-2		t i r̃														
2247-2		g o														
4677-2		k u r o j														
5162-2		m i r̃ ɛ														
5406-2		t a n u														
359-2		g a r i														
1577-2		g i r e														
2196-2		n a n a														
2230-2		s i g eː														
2533-2		b a r u														
3605-2		k a n a														
3866-2		o s u														
4553-2		t a g e														
4822-2		k u m b o														
5254-2		d u r ɔ														
503-2		k i r̃ ɛ														
1356-2		m a j														
1881-2		n u m j̃														
2084-2		j a b i														
2420-2		k u r ɔ														
3218-2		p u s u														
3372-2		n a w̃ a														
3718-2		a r a														
4135-2		b a n u														
4694-2		g u s u														
807-2		k oː m														
2320-2		k a ŋ ɛ														
2476-2		k ɔ														
2842-2		d i g u														
4081-2		d a m b i														
4313-2		n ɛ m														
4460-2		s u j̃														
5514-2		n ɛ n ɛː														
5810-2		p i r ɛ														
93-2		d o														
260-2		b i r i														
385-2		dʒ ɛ m b ɛ														
890-2		a m b i r u														
1336-2		t e g e														
1703-2		b aː														
1769-2		t ɛ m b i														
2162-2		b ɛ r ɛ														
2635-2		s o														
2735-2		d a n j̃ a														
3031-2		d ɛː g ɛ														
4591-2		t a r i														
5301-2		p ɛː r u														
5605-2		t i w̃ ɛ														
296-2		dʒ a m b i														
463-2		d u m b u														
762-2		b a n a s u r														
1432-2		t a r u														
1474-2		t ɔ														
1788-2		s i r j̃														
2044-2		d i m b i														
2713-2		t ɛː m ɛ d e r ɛ														
3219-2		p a s u														
3425-2		j uː														
4184-2		ɲ aː j̃														
4629-2		n u r j̃ ɔ														
4759-2		n i j̃ u														
4904-2		n u r ɔ														
4960-2		g i n a dʒ u														
4980-2		t ɔ														
5059-2		g u j o														
5125-2		j ɔ n dʒ ɔ														
5339-2		p a g a														
5549-2		t a w a														
5771-2		dʒ u g u														
5905-2		t i n														
5938-2		a d u n ɔ														
1-2		p ɛ														
483-2		g oː s u														
629-2		d o														
667-2		ɛ w ɛ														
1254-2		dʒ a m d e r u														
1415-2		ɲ ɛ														
1542-2		n u														
1683-2		s i														
1898-2		p u n o														
2551-2		r i														
2901-2		t u ŋ j iː														
2957-2		m a n u														
3048-2		b i j e														
3251-2		p a r̃ a														
3885-2		d ɛ r i														
715-3			d u ʔ													
1089-3			n ɛ ʔ ʔ													
1319-3			n ʔ ɛː													
1398-3			s u g u ŋ iː													
1557-3			g i r e													
1626-3			w a g a													
1840-3			t eː ŋ													
2247-3			g eː ʔ													
4677-3			k u l e d													
5162-3			m i r ɛ													
5406-3			t ɛ d d i													
359-3			g a l ɛ ʔ													
1577-3			g i r e													
2196-3			d a l a													
2533-3			b a e													
3866-3			o dʒ iː													
4553-3			t a g ɛ													
5254-3			d u l ɔ													
503-3			k eː d a													
1881-3			n u m ʔ													
2084-3			j ɛ p i													
2420-3			k u l ɛ													
3218-3			p u ʔ ʔ dʒ u													
3372-3			n a m a													
3718-3			a r a													
2320-3			k a ŋ ɛ													
2476-3			k e													
3719-3			m i													
4460-3			s u j													
5514-3			d ɛ n d ɛ													
890-3			a m b i r i													
1336-3			t ɛ g e													
1703-3			b ɛ													
2162-3			b ɛ l ɛ													
2635-3			s e													
2735-3			d a d a													
762-3			b a n a k u ʔ ʔ													
1788-3			s e ʔ ʔ													
2713-3			t ɛː m ɛ ʔ d ɛ ɛ													
3219-3			p aː d ɔ													
4629-3			n u ŋ ɔ													
4904-3			oː ŋ a													
5125-3			ɔː d dʒ o													
5771-3			dʒ u g u													
5938-3			a d u d ʔ ʔ a													
1898-3			p u r o l													
2901-3			t u ŋ g e													
2957-3			m a n d e													
3048-3			b i j e													
715-4				d i												
1089-4				n aː ŋ												
1319-4				n ɛː												
1398-4				s u g u r u												
1557-4				g i r e												
1626-4				w a g a												
1840-4				t i r̃												
2247-4				g oː												
4677-4				k u r oː j												
5162-4				m i r̃ e												
5406-4				t aː n u												
359-4				g a r												
1577-4				g i r e												
2196-4				n a r̃ a												
2230-4				s i g e												
2533-4				b ɛ r a												
3605-4				k a n ɛ												
3866-4				o dʒ u												
4553-4				t a g												
4822-4				k u m oː												
5254-4				d u r ɔ												
503-4				k i r̃ e												
1356-4				m a												
1881-4				n u m												
2084-4				j aː p ɛ												
2420-4				k u r ɔ												
3218-4				p u dʒ u												
3718-4				a r a												
4135-4				b a n												
4694-4				g u dʒ u												
807-4				k oː m iː												
2320-4				k a ŋ ɛ												
2842-4				d i g u												
4313-4				n ɛ m												
4460-4				s ɔ j̃												
5514-4				n ɛ n d ɛ												
5810-4				p i r ɛ												
93-4				d ɔ												
260-4				b e r e												
385-4				dʒ ɛ m ɛ												
890-4				a m iː r i												
1769-4				t ɛ m b ɛ												
2162-4				b ɛ r ɛ												
2635-4				s o												
2735-4				d ɛ n a												
3031-4				d ɛ g ɛ												
5301-4				p ɛ r u												
5605-4				t i m ɛ												
63-4				k a r a												
296-4				dʒ a m b a												
463-4				d u m b u												
762-4				b a n a k u												
1432-4				t a r u												
1474-4				t ɔ												
2044-4				d i m e												
3219-4				p aː dʒ u												
4120-4				k o r o												
4184-4				ɲ ɛ												
4423-4				d o r̃ ɔ												
4629-4				n u ŋ ɔ												
4759-4				n i e												
4904-4				n u ŋ a												
4960-4				g i n aː dʒ u												
4980-4				t ɔ												
5059-4				g u r oː												
5125-4				ɔ ɲ ɔ												
5549-4				t a w a												
5771-4				dʒ u g u												
5922-4				b i r ɛ												
1-4				p ɛː												
629-4				d ɛː												
667-4				ɛ w ɛ												
1254-4				dʒ a j̃ d u r u												
1415-4				ɲ ɛ												
1542-4				ɲ u												
1683-4				s i ŋ												
1898-4				p u r̃ oː												
2551-4				r i												
3251-4				b a r̃ ɔ												
3885-4				d ɛ r ɛ												
715-5					d u											
1089-5					n a											
1319-5					n ɔː											
1398-5					s u g u l ɛ											
1557-5					g i r e											
1626-5					w a g a											
1840-5					t i ŋ											
2247-5					g eː											
4677-5					k u l e											
5162-5					m r ɛː											
5406-5					t aː n d u											
359-5					g a l aː											
1577-5					g i r e											
2196-5					n a r a											
2230-5					s u g ɔ											
3605-5					k a n d a											
3866-5					o dʒ u											
4553-5					t a g i											
4822-5					k u m b e											
5254-5					d u l ɔ											
1356-5					m a											
1881-5					n u m u											
2084-5					j aː p i											
2420-5					k u l ɛ											
3218-5					p u dʒ u											
3372-5					n a m a											
3718-5					a r a											
4135-5					b a n u											
4694-5					g u dʒ u											
2476-5					k u											
2842-5					d i g u											
3719-5					m u											
4081-5					d a m b ɛ											
5514-5					n ɛ n d ɛ											
260-5					b ɛ r i											
385-5					dʒ ɛː m b ɛ											
890-5					a m b i r u											
1703-5					b a											
1769-5					t ɛ m b ɛ											
2735-5					d a n a											
4591-5					t ɔː r ɛ											
5301-5					p ɛ l u											
63-5					k a r a											
296-5					dʒ a m b ɛ											
463-5					d u m b u											
762-5					b a n a k u											
1788-5					s i											
3219-5					p oː sʷ u											
4120-5					k ɔ l ɔ											
4759-5					n u i e											
4960-5					g i n oː dʒ oː											
5059-5					g u l eː											
5549-5					t a w a											
5771-5					dʒ u g u											
5905-5					t i n u											
5938-5					a r u n ɔ											
1415-5					ɲ ɛ											
1542-5					n u i											
1898-5					p u l ɔ											
2551-5					r ɛ											
2957-5					m a n d i											
3048-5					b i j i											
715-6						d u										
1089-6						n a										
1319-6						n ɛ										
1398-6						s u l e										
1557-6						g i r i										
1626-6						b a g a										
1840-6						t i ŋ										
2247-6						g o										
4677-6						k u l o j										
5162-6						m i n ɛ										
5406-6						t i n d uː										
359-6						g a l i										
1577-6						g i r i										
2196-6						n a l a										
2230-6						s u g i										
2533-6						b a r i										
3605-6						k a n d a										
4553-6						t a g i										
4822-6						k u m b o										
5254-6						d uː l ɔː										
503-6						k i n a										
1356-6						m aː										
1881-6						n uː m										
2084-6						j i b i										
