COGID	BanPaw	ChaYeQing	ChuDongGua	GuangKa	HtanHsan	KhunHawt	MangBang	ManLoi	MengDan	NamHsan	NanSang	NoeLae	NyaungGone	PangKham	PongNuea	XiangZhaiTang
1859-1	ŋ a															
175-1	g a															
241-1	ʔ Ø ʔ															
2163-1	kʰ Ø n															
2181-1	n ɔ															
2060-1	ʔ Ø															
410-1	Ø Ø															
1841-1	Ø															
2017-1	k a															
1004-1	Ø a															
614-1	b Ø k															
686-1	b Ø Ø															
88-1	k a ʔ															
872-1	n Ø ŋ															
1891-1	Ø a															
68-1	Ø a															
631-1	b a r															
594-1	g a															
1759-1	k a n															
805-1	g a n															
756-1	k Ø ʔ															
1201-1	a ʔ															
2042-1	ʔ a															
1968-1	Ø a ʔ															
2000-1	Ø a ŋ															
17-1	Ø a n															
4-1	Ø Ø															
788-1	Ø a															
1219-1	k a															
141-1	ʔ a ŋ															
541-1	b r j a ŋ															
1687-1	k Ø n															
123-1	Ø a															
1652-1	Ø a n															
576-1	ŋ ɔ															
1738-1	Ø a g															
442-1	k ɔ															
368-1	Ø j a ŋ															
1778-1	b ɔ n															
957-1	n a															
1704-1	ʔ a n															
304-1	j a															
1796-1	Ø ɔ ŋ															
720-1	Ø Ø k															
287-1	Ø a															
321-1	g Ø ʔ															
206-1	Ø Ø ʔ															
1950-1	ʔ Ø															
665-1	Ø a n															
703-1	n Ø ʔ															
1290-1	a															
1391-1	k a ʔ															
269-1	g a ʔ															
855-1	Ø a n															
2078-1	Ø a															
2213-1	a															
1858-1	Ø a															
1151-1	g j a n															
737-1	b Ø															
340-1	ʔ a															
1111-1	Ø a															
485-1	ŋ Ø															
1356-1	Ø k															
1093-1	Ø Ø ŋ															
1063-1	Ø ɔ															
648-1	Ø Ø n															
223-1	g a n															
1248-1	Ø Ø															
1509-1	Ø Ø n															
504-1	Ø Ø k															
2130-1	Ø Ø															
1-1	ʔ Ø															
386-1	j a ʔ															
1411-1	ʔ Ø															
1027-1	g a ʔ															
1459-1	g Ø Ø															
1323-1	Ø Ø															
1538-1	r j a k															
975-1	Ø a k															
940-1	ŋ a k															
1476-1	ʔ a k															
1923-1	n a															
105-1	Ø ɔ ŋ															
1431-1	ʔ Ø															
1814-1	a ŋ															
1183-1	n Ø n															
1430-1	Ø Ø															
1721-1	ʔ ɔ k															
1617-1	b Ø ʔ															
1564-1	b Ø ʔ															
2111-1	Ø Ø															
1563-1	Ø a															
1597-1	Ø ɔ ŋ															
1859-2		n ə														
175-2		k a														
241-2		ʔ Ø ʔ														
2163-2		Ø Ø n														
2181-2		n ə m														
2060-2		ʔ ə m														
410-2		Ø Ø														
1841-2		m Ø														
2017-2		h ə														
1004-2		Ø a														
614-2		Ø Ø h														
686-2		b Ø Ø														
88-2		k a k														
872-2		n Ø n														
1891-2		Ø a														
68-2		Ø ə m														
631-2		b ə n														
594-2		k a														
1759-2		h a ɣ														
805-2		k ə ɣ														
756-2		h Ø k														
1201-2		m ə ʔ														
2042-2		ʔ a														
1968-2		Ø a ʔ														
2000-2		Ø a n														
17-2		Ø a ʔ														
4-2		Ø ə m														
788-2		Ø ə														
1219-2		h ə m														
141-2		ʔ a n														
541-2		b ɣ Ø a n														
1687-2		h Ø n														
123-2		Ø a m														
1652-2		dʑ ə n														
576-2		n a														
1738-2		Ø a k														
442-2		h a m														
368-2		Ø a n														
1778-2		b ə ʔ														
957-2		n a ʔ														
1704-2		ʔ ə n														
304-2		dʑ a m														
1796-2		dʑ a n														
720-2		Ø Ø h														
287-2		k ə														
321-2		k ə h														
206-2		Ø Ø k														
1950-2		ʔ Ø														
665-2		Ø a n														
703-2		n Ø k														
1290-2		m Ø														
1391-2		k ə ʔ														
269-2		k a ʔ														
855-2		dʑ a n														
2078-2		Ø ə														
2213-2		m ə														
1111-2		Ø ə														
485-2		n Ø														
1356-2		m Ø h														
1093-2		Ø Ø n														
1063-2		Ø a m														
648-2		dʑ ə ɣ														
223-2		k a n														
1248-2		Ø a														
1509-2		Ø Ø ɣ														
504-2		dʑ Ø h														
2130-2		Ø Ø														
1-2		ʔ Ø														
386-2		Ø a k														
1411-2		ʔ Ø														
1027-2		k a ʔ														
2077-2		m a h														
1459-2		k Ø Ø														
1323-2		Ø ə														
975-2		Ø a h														
940-2		n a ʔ														
1476-2		ʔ a h														
1923-2		n Ø														
105-2		Ø a n														
1431-2		ʔ a														
37-2		Ø Ø Ø														
1152-2		b a n														
1814-2		m a ɣ														
1183-2		n a n														
1430-2		Ø a														
1721-2		ʔ a ʔ														
1617-2		b Ø k														
1564-2		b a ʔ														
2111-2		Ø Ø														
1563-2		Ø a														
1859-3			n Ø													
175-3			Ø a													
241-3			ʔ Ø ʔ													
2163-3			Ø Ø r													
2181-3			Ø a m													
2060-3			ʔ Ø m													
410-3			Ø Ø													
1841-3			m Ø													
2017-3			h a													
1004-3			Ø a													
614-3			Ø Ø h													
686-3			Ø l Ø													
88-3			Ø a ʔ													
872-3			Ø Ø n													
1891-3			Ø a													
68-3			Ø a m													
631-3			m r													
594-3			Ø a													
1759-3			h a r													
805-3			Ø a r													
756-3			h Ø h													
1201-3			m a Ø													
2042-3			ʔ a													
1968-3			Ø a ʔ													
2000-3			Ø a n													
17-3			Ø a ʔ													
4-3			Ø Ø m													
788-3			Ø Ø													
1219-3			h a m													
141-3			ʔ a n													
541-3			Ø r j a n													
1687-3			h Ø r													
123-3			Ø a m													
1652-3			Ø a r													
576-3			n a													
1738-3			Ø a ʔ													
