COGID	BanPaw	ChaYeQing	ChuDongGua	GuangKa	HtanHsan	KhunHawt	MangBang	ManLoi	MengDan	NamHsan	NanSang	NoeLae	NyaungGone	PangKham	PongNuea	XiangZhaiTang
1859-1	ŋ a															
175-1	g a															
241-1	ʔ u ʔ															
2163-1	kʰ u n															
2181-1	n a m															
2060-1	ʔ a m															
410-1	t Ø															
1841-1	m Ø															
2017-1	h a															
1004-1	t a															
614-1	b a h															
686-1	b l Ø															
88-1	k ɔ ʔ															
872-1	n ɨ ŋ															
1891-1	t a															
68-1	s a m															
631-1	b a n															
594-1	g a															
1759-1	h a n															
805-1	g a ɲ															
1859-2		ŋ ə														
175-2		k a														
241-2		ʔ ɨ ʔ														
2163-2		k Ø														
2181-2		n ə m														
2060-2		ʔ ə m														
410-2		Ø Ø														
1841-2		m Ø														
2017-2		h ə														
1004-2		Ø aː														
614-2		b Ø h														
686-2		b l Ø														
88-2		k ə k														
872-2		n ɨ ŋ														
1891-2		Ø aː														
68-2		s ə m														
631-2		b ə														
594-2		k aː														
1759-2		h a n														
805-2		k ə n														
1859-3			ŋ a													
175-3			ʔ a													
241-3			ʔ Ø ʔ													
2163-3			Ø Ø r													
2181-3			n a m													
2060-3			ʔ a m													
410-3			ʔ Ø													
1841-3			m a													
2017-3			h a													
1004-3			Ø aː													
614-3			b a h													
686-3			b l Ø													
88-3			ʔ a ʔ													
872-3			n ə ŋ													
1891-3			ʔ aː													
68-3			s a m													
631-3			b a r													
594-3			k aː													
1759-3			h a ŋ													
805-3			k a ŋ													
1859-4				ŋ ɛ												
175-4				k a												
241-4				ʔ u ʔ												
2163-4				k a												
2181-4				n a m												
2060-4				ʔ ə m												
410-4				t Ø												
1841-4				m Ø												
2017-4				h Ø												
1004-4				d aː												
614-4				p o h												
686-4				p l Ø												
88-4				k ɔ k												
872-4				n ɨ ŋ												
1891-4				t aː												
68-4				s a m												
631-4				p a n												
594-4				k aː												
1759-4				h a n												
805-4				k ɛ n												
1859-5					ŋ a											
175-5					k ə											
241-5					ʔ ɔ ʔ											
2163-5					k ɔ r											
2181-5					n ə m											
2060-5					ʔ a m											
410-5					tʰ Ø											
1841-5					m Ø											
2017-5					h a											
1004-5					Ø aː											
614-5					p a h											
686-5					p l Ø											
88-5					k a ʔ											
872-5					n ə ŋ											
1891-5					Ø aː											
68-5					s i m											
631-5					p ə r											
594-5					k aː											
1759-5					h a ŋ											
805-5					k i ŋ											
1859-6						ŋ o										
175-6						k a r										
241-6						ʔ ɔ t										
2163-6						k o r										
2181-6						n a m										
2060-6						ʔ a m										
410-6						Ø Ø										
1841-6						m Ø										
2017-6						h Ø										
1004-6						Ø aː										
614-6						p a h										
686-6						p l Ø										
88-6						k a ʔ										
872-6						n u ŋ										
1891-6						d aː										
68-6						s Ø m										
631-6						p a r										
594-6						k aː										
1759-6						h a ŋ										
805-6						k a ŋ										
1859-7							ŋ ə									
175-7							k a									
241-7							ʔ a ʔ									
2163-7							k a n									
2181-7							n a m									
2060-7							ʔ ə m									
410-7							t Ø									
1841-7							m Ø									
2017-7							h Ø									
1004-7							d aː									
614-7							Ø o h									
686-7							Ø l Ø									
88-7							k ɔ k									
872-7							n ɨ ŋ									
1891-7							t aː									
68-7							s a m									
631-7							m a n									
594-7							k aː									
1759-7							h a n									
805-7							k ə n									
1859-8								ŋ ɔ								
175-8								g a								
241-8								ʔ Ø t								
2163-8								kʰ Ø r								
2181-8								n a m								
2060-8								ʔ ɔ m								
410-8								t eː								
1841-8								m a								
2017-8								h eː								
1004-8								Ø aː								
614-8								b o h								
686-8								b l eː								
88-8								g a ʔ								
872-8								n a ŋ								
1891-8								ʔ aː								
68-8								s eː m								
631-8								b r a								
594-8								g aː								
1759-8								h a ŋ								
805-8								g eː ŋ								
1859-9									ŋ i							
175-9									ʔ ə							
241-9									ʔ u ʔ							
2163-9									Ø u r							
2181-9									n a m							
2060-9									ʔ a m							
410-9									d Ø							
1841-9									m a							
2017-9									h i							
1004-9									Ø ɛː							
614-9									b u h							
686-9									b l Ø							
88-9									ʔ a ʔ							
872-9									n u ŋ							
1891-9									d ɛː							
68-9									s a m							
631-9									b a r							
594-9									g ɛː							
1759-9									h a ŋ							
805-9									g a ŋ							
1859-10										ŋ a						
175-10										ʔ a						
241-10										ʔ u ʔ						
2163-10										k u r						
2181-10										n ə m						
2060-10										ʔ a m						
410-10										d Ø						
1841-10										m Ø						
2017-10										h a						
1004-10										Ø aː						
614-10										b a h						
686-10										b l Ø						
88-10										ʔ a ʔ						
872-10										n ə ŋ						
1891-10										d aː						
68-10										s i m						
631-10										b ə r						
594-10										k aː						
1759-10										h i ŋ						
805-10										k i ŋ						
1859-11											ŋ ə					
175-11											k a					
241-11											ʔ u ʔ					
2163-11											k a n					
2181-11											n a m					
2060-11											ʔ ə m					
410-11											t Ø					
1841-11											m Ø					
2017-11											h Ø					
1004-11											d aː					
614-11											p o h					
686-11											p l Ø					
88-11											k ɔ k					
872-11											n ɨ ŋ					
1891-11											t aː					
68-11											s a m					
631-11											p a n					
594-11											k aː					
1759-11											h a n					
805-11											k ə n					
1859-12												ŋ ɔ				
175-12												g a				
241-12												ʔ u ʔ				
2163-12												kʰ u n				
2181-12												n a m				
2060-12												ʔ a m				
410-12												t ɔ				
1841-12												m Ø				
2017-12												h ɔ				
1004-12												t a				
614-12												b o h				
686-12												b l a				
88-12												k ɔ ʔ				
872-12												n ɨ ŋ				
1891-12												t a				
68-12												s a m				
631-12												b ə n				
