COGID	BanPaw	ChaYeQing	ChuDongGua	GuangKa	HtanHsan	KhunHawt	MangBang	ManLoi	MengDan	NamHsan	NanSang	NoeLae	NyaungGone	PangKham	PongNuea	XiangZhaiTang
1859-1	ŋ a															
175-1	g a															
241-1	ʔ uː ʔ															
2163-1	Ø uː n															
2181-1	n a m															
2060-1	ʔ uː m															
410-1	t Ø															
1841-1	m Ø															
2017-1	h Ø															
1004-1	Ø a															
614-1	b Ø h															
686-1	b l Ø															
88-1	g a ʔ															
872-1	n Ø ŋ															
1891-1	t a															
68-1	s a m															
631-1	b uː n															
594-1	g a															
1759-1	h a n															
805-1	g a n															
756-1	h Ø k															
1201-1	m a ʔ															
2042-1	ʔ a															
1968-1	t a ʔ															
2000-1	Ø a ŋ															
17-1	Ø a t															
4-1	Ø a m															
788-1	t a															
1219-1	h a m															
141-1	ʔ a ŋ															
541-1	b r j a ŋ															
1687-1	h uː n															
123-1	Ø a m															
1652-1	tɕ a n															
576-1	ŋ a															
1738-1	t a g															
442-1	h Ø m															
368-1	t j a ŋ															
1778-1	b a t															
1859-2		ŋ ɨ														
175-2		k a														
241-2		ʔ Ø ʔ														
2163-2		g Ø n														
2181-2		n Ø m														
2060-2		ʔ ɔ m														
410-2		ʔ Ø														
1841-2		m Ø														
2017-2		h Ø														
1004-2		Ø a														
614-2		b Ø h														
686-2		b l Ø														
88-2		k Ø ʔ														
872-2		n Ø ŋ														
1891-2		ʔ a														
68-2		s ɨ m														
631-2		b ə n														
594-2		g a														
1759-2		h a Ø														
805-2		g ɨ Ø														
756-2		h Ø k														
1201-2		m a ʔ														
2042-2		ʔ a														
1968-2		ʔ Ø ʔ														
2000-2		Ø a ŋ														
17-2		Ø a ʔ														
4-2		Ø ə m														
788-2		ʔ ɨ														
1219-2		h ɨ m														
141-2		ʔ a ŋ														
541-2		b x a ŋ														
1687-2		h Ø n														
123-2		Ø a m														
1652-2		tɕ Ø n														
576-2		ŋ ɔ														
1738-2		ʔ Ø k														
442-2		h Ø m														
368-2		Ø x a ŋ														
1778-2		b a ʔ														
1859-3			ŋ ɔ													
175-3			ʔ a													
241-3			ʔ Ø ʔ													
2163-3			Ø Ø Ø													
2181-3			n Ø m													
2060-3			ʔ a m													
410-3			ʔ ɔ													
1841-3			m ɔ													
2017-3			h Ø													
1004-3			Ø Ø													
614-3			b ou̯ h													
686-3			b l Ø													
88-3			k ə ʔ													
872-3			n Ø ŋ													
1891-3			ʔ Ø													
68-3			s ə m													
631-3			b ə Ø													
594-3			g Ø													
1759-3			h ə n													
805-3			g ə Ø													
756-3			h Ø g													
1201-3			m Ø ʔ													
2042-3			ʔ Ø													
1968-3			ʔ ə ʔ													
2000-3			Ø Ø ŋ													
17-3			Ø a ʔ													
4-3			Ø a m													
788-3			ʔ ɔ													
1219-3			h ə m													
141-3			ʔ Ø ŋ													
541-3			b r j Ø ŋ													
1687-3			h Ø Ø													
123-3			Ø Ø m													
1652-3			tɕ a n													
576-3			ŋ ɔ													
1738-3			ʔ a g													
442-3			h ou̯ m													
368-3			Ø j Ø ŋ													
1778-3			b a ʔ													
1859-4				ŋ a												
175-4				k a												
241-4				ʔ u ʔ												
2163-4				g Ø n												
2181-4				n a m												
2060-4				ʔ ə m												
410-4				Ø Ø												
1841-4				m Ø												
2017-4				h Ø												
1004-4				Ø a												
614-4				Ø ou̯ h												
686-4				Ø l Ø												
88-4				k Ø ʔ												
872-4				n Ø ŋ												
1891-4				Ø a												
68-4				s Ø m												
631-4				Ø ə n												
594-4				g a												
1759-4				h a n												
805-4				g ə n												
756-4				h Ø k												
1201-4				m Ø ʔ												
2042-4				ʔ a												
1968-4				d a ʔ												
2000-4				Ø a ŋ												
17-4				Ø a ʔ												
4-4				Ø ə m												
788-4				d a												
1219-4				h Ø m												
141-4				ʔ a ŋ												
541-4				p Ø j Ø ŋ												
1687-4				h Ø n												
123-4				Ø a m												
1652-4				tɕ ə n												
576-4				ŋ ɔ												
1738-4				d a k												
442-4				h Ø m												
368-4				Ø j Ø ŋ												
1778-4				p a ʔ												
1859-5					ŋ Ø											
175-5					g a											
241-5					ʔ u ʔ											
2163-5					g u tɕ											
2181-5					n u m											
2060-5					ʔ u m											
410-5					ʔ Ø											
1841-5					m Ø											
2017-5					h i											
1004-5					Ø a											
614-5					b ou̯ h											
686-5					b l Ø											
88-5					Ø a ʔ											
872-5					n u ŋ											
1891-5					ʔ a											
68-5					s i m											
631-5					u ŋ											
594-5					g a											
1759-5					h ə n											
805-5					g u n											
756-5					h u Ø											
1201-5					m Ø a ʔ											
2042-5					ʔ a											
1968-5					ʔ ə ʔ											
2000-5					Ø a ŋ											
17-5					Ø u Ø											
4-5					Ø a m											
788-5					ʔ Ø											
1219-5					h i m											
141-5					ʔ a ŋ											
541-5					p r j ə ŋ											
1687-5					h u tɕ											
123-5					Ø a m											
1652-5					tɕ i n											
576-5					ŋ ɔ											
1738-5					ʔ u g											
442-5					h u m											
368-5					tɕ j ə ŋ											
1778-5					p u Ø											
1859-6						ŋ Ø										
175-6						Ø a										
241-6						ʔ Ø ʔ										
2163-6						Ø Ø Ø										
2181-6						n Ø m										
2060-6						ʔ Ø m										
410-6						Ø Ø										
1841-6						m Ø										
2017-6						h Ø										
1004-6						Ø a										
614-6						Ø h										
686-6						l Ø										
88-6						Ø Ø ʔ										
872-6						n Ø ŋ										
1891-6						Ø a										
68-6						s Ø m										
631-6						Ø Ø										
594-6						g a										
1759-6						h a n										
805-6						g Ø n										
