COGID	BanPaw	ChaYeQing	ChuDongGua	GuangKa	HtanHsan	KhunHawt	MangBang	ManLoi	MengDan	NamHsan	NanSang	NoeLae	NyaungGone	PangKham	PongNuea	XiangZhaiTang
340	s o		ʔ a	s au̯	ʔ a	ʔ a	s au̯	ʔ a	ʔ a	ʔ a	s ou̯	s o	s o	ʔ a	s ou̯	s ou̯
1111	s ɛ	s ai̯	s aːi̯	s ai̯	s ei̯	s iː	s ai̯	s ai̯		s iː	s ai̯ ʔ	s ɛ	s ɛ	s ai̯	s ɛː	s ɛː
485	ŋ ai̯	ŋ aːi̯	ŋ aːi̯	ŋ aːi̯	ŋ aːi̯		ŋ aːi̯	ŋ aːi̯	ŋ aːi̯	ŋ aːi̯	ŋ aːi̯	ŋ ai̯	ŋ ai̯	ŋ aːi̯	ŋ aːi̯	ŋ aːi̯
1356	m u h	m u h	m ui̯ h	m u h	m u h		m u h	m u h	m ui̯ h	m u h	m u h	m u h	m u h	m u h	m u h	m u h
1093	t o ŋ	d o ŋ	d o ŋ	d o ŋ	l̥ əː ŋ	l̥ əː ŋ	d o ŋ	t o ŋ	d o ŋ	r̥ ə ŋ	d o ŋ	t o ŋ	t o k	dʱ o ŋ	t o ŋ	
1063	d o m	d oː m	ɗ ɔː m	t ɔː m	ɗ oː m	ɗ oː m	t ɔː m	ɗ ɔː m	ɗ ɔː m	ɗ ɔː m		d o m	d o m	ɗ ɔː m	d oː m	d oː m
648	c e ɲ	dʑ ɔː n	dʑ ə ŋ	dʑ ɔː n	dʑ əː ŋ	dʑ əː ŋ	dʑ ɔː n	tɕ eː ŋ	tɕ ə ŋ	dʑ ə ŋ	dʑ ɔː n	c e ɲ		tɕ e ŋ	c e ɲ	tɕ eː n
223	g ɔ n	k oː n	k ɔː n	k ɔː n	k w a n		k ɔː n	g ɔː n	k ɔ n	k w a n	k ɔː n	g ɔ n	g ɔ n	g ɔː n	g ɔː n	g ɔː n
1248	c ɨ	dʑ ɨː	tɕ ɨː		dʑ ɨː	dʑ ɨː	dʑ ɨː	tɕ ɨː	tɕ ɨː	tɕ ɨː	tɕ ɨː	c ɨ	c ɨ	tɕ ɨː	tɕ ɨː	tɕ ɨː
1509	t e ɲ	d ɔː n	d e ŋ	d ɔː n	dʱ eː ŋ	d eː ŋ	d ɔː n	t eː ŋ		d eː ŋ	d ɔ n	t e ɲ	t e n	t eː ŋ	t eː ɲ	t eː n
504	c ou̯ h	dʑ ɔ h	dʑ ɔ h	dʑ o h	dʑ ɔ h	dʑ o h	dʑ o h	tɕ ɔ h	tɕ ɔ h	dʑ ɔ h	dʑ o h	c o h	c ou̯ h	tɕ o h	tɕ ou̯ h	
2130	s e	s i		s iː	s i	s i	s i	s ei̯	s iː	s e	tɕʰ i	s e	s e	s eː	s ei̯	s ei̯
1	ʔ o	ʔ au̯	ʔ oː	ʔ au̯	ʔ ɔː	ʔ oː	ʔ au̯	ʔ ɔː	ʔ oː	ʔ ɔː	ʔ au̯	ʔ o	ʔ o		ʔ ou̯	ʔ ou̯
386	j̊ ou̯ ʔ	tɕʰ o k	j̊ o ʔ	tɕʰ o k			tɕʰ o k	j̊ o k	j̊ o k	tɕʰ ɔː ʔ	tɕʰ o k	j̊ ou̯ ʔ	j̊ ou̯ ʔ	j̊ o k	j a j̊ au̯ ʔ	j̊ au̯ ʔ
1411	ʔ u	ʔ uː	ʔ uː	ʔ uː	ʔ uː	ʔ uː	ʔ uː	ʔ uː		ʔ u r	ʔ uː	ʔ u	ʔ u	ʔ uː		ʔ uː
1027	g ă ʔ	k a ʔ	k a ʔ	k a ʔ			k a ʔ	g a ʔ	k ɛ ʔ	kʰ ɔ n	k a ʔ	g ă ʔ	g ă ʔ	k a ʔ	g a ʔ	g a ʔ
2077		m u h	m u h	m o h	m ə h	m ɔ h		m u h	n ə m u h	m ə	m̥ əː	m a	m a	m u h	m a	m a
1459	g l ai̯	g l aːi̯	k l ai̯	k l aːi̯			k l aːi̯	g l aːi̯	g l aːi̯		k l aːi̯	g l ai̯	g l ai̯	g l aːi̯	g l aːi̯	g l aːi̯
