ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	LATITUDE	LONGITUDE	LANGUAGE_SUBGROUP	PARTIAL_COGNACY	COGIDS
1554	99_i	I	NamHsan	Namhsan	Ɂɔː	Ɂɔː	ʔ ɔː		22.965064	97.163239	Palaung	1	1
1555	99_i	I	KhunHawt	Khun Hawt	Ɂoː	Ɂoː	ʔ oː		22.965064	97.163239	Palaung	1	1
1556	99_i	I	HtanHsan	Htan Hsan	Ɂɔː	Ɂɔː	ʔ ɔː		22.675133	97.289942	Palaung	1	1
1557	99_i	I	ManLoi	Man Loi	Ɂɔː	Ɂɔː	ʔ ɔː		22.636019	97.139264	Palaung	1	1
1558	99_i	I	MengDan	Meng Dan	ʔoː	ʔoː	ʔ oː	khan1274	24.296522	98.379886	Palaung	1	1
1559	99_i	I	ChuDongGua	Chu Dong Gua	ʔoː	ʔoː	ʔ oː		24.330889	98.393125	Palaung	1	1
1560	99_i	I	XiangZhaiTang	Xiang Zhai Tang	Ɂow	Ɂow	ʔ ou̯	ruma1248	24.323819	98.556639	Palaung	1	1
1561	99_i	I	PongNuea	Pong Nuea	Ɂow	Ɂow	ʔ ou̯		20.321525	99.866817	Palaung	1	1
1562	99_i	I	NyaungGone	Nyaung Gone	ʔo	ʔo	ʔ o		20.635025	96.545772	Palaung	1	1
1563	99_i	I	NoeLae	Noe Lae	Ɂo	Ɂo	ʔ o		19.941803	99.044742	Palaung	1	1
1564	99_i	I	BanPaw	Ban Paw	Ɂo	Ɂo	ʔ o		21.311225	99.557550	Palaung	1	1
1565	99_i	I	ChaYeQing	Cha Ye Qing	Ɂaw	Ɂaw	ʔ au̯		24.305717	98.463661	Palaung	1	1
1566	99_i	I	GuangKa	Guang Ka	Ɂau	Ɂau	ʔ au̯	ruma1248	24.065714	97.796281	Palaung	1	1
1567	99_i	I	MangBang	Mang Bang	Ɂaw	Ɂaw	ʔ au̯	ruma1248	24.416392	98.399078	Palaung	1	1
