COGID	BanPaw	ChaYeQing	ChuDongGua	GuangKa	HtanHsan	KhunHawt	MangBang	ManLoi	MengDan	NamHsan	NanSang	NoeLae	NyaungGone	PangKham	PongNuea	XiangZhaiTang
1538	r j a h		r j a h		r j a h	r j a h		r j a h	r j a h	r j a h	r ə h	r j a h	r j a h	r j a h	r j a h	r j a h
975	ɲ a h	ɲ a h	ɲ ai̯ h	ɲ a h			ɲ a h	ɲ a h	ŋ j a h		ɲ a h	ɲ a h	ɲ a h	ɲ a h	ɲ a h	ɲ a h
940	ŋ au̯ h	ŋ ɔ h	ŋ a h	ŋ ai̯ ʔ			ŋ ai̯	ŋ a h	ŋ a h		ŋ ai̯	ŋ au̯ h	ŋ au̯ h	ŋ ɔ h	ŋ au̯ h	ŋ ɔ h
1476	ʔ a h	ʔ e h	ʔ ɔi̯ h	ʔ ɛ h			ʔ ə h	ʔ ɔ h	ʔ ɔi̯ h		ʔ ə h	ʔ a h	ʔ a h	ʔ ɔ h	ʔ a h	ʔ a h
1923	n ɨi̯	n i n		n iː	n i n	n i n	n iː	n a ŋ			n i	n i	n i	n iː	n ɨi̯	n iː
105	v ɔ ŋ	v a ŋ	v a ŋ	v ɔ ŋ			v ɔ ŋ	v a ŋ	v a ŋ		v ɔ ŋ	v ɔ ŋ	v ɔ k	v a ŋ	v ɔ ŋ	v ɔ ŋ
1431	ʔ ɨi̯	ʔ ui̯	ʔ iː	ʔ iː			ʔ iː	ʔ iː	ʔ iː		ʔ iː	ʔ i	ʔ i	ʔ iː		ʔ ui̯
37		f aː ŋ	f aː ŋ	f aː ŋ	f aː ŋ	f aː ŋ	f aː ŋ	f aː ŋ	f ɛː ŋ	f aː ŋ	f aː ŋ			f aː ŋ		f aː ŋ
1152		l ə n	b l a n	p a	b a n	p a n	p a	b l a n	b l a n	b l a n	p a			b l a n		
1814	m ă n	m a n	m a ɲ		m e ɲ	m e ɲ			m a n	m ɛ ŋ		m ă ɲ	m ă n		m a ɲ	m ɛ ɲ
1183	n ɔ n	n oː		k o ŋ			n ɔː	ŋ au̯ ʔ			k ɔ ŋ	n ɔ n	n ɔ n	ŋ ɔː t	n ɔː n	n ɔ n
1890			s a		s a		s a	s a		s a	s a	s a	s a	s a	s a	s ə
1430	d u	d u	d u	t a			t a	ɗ u	d u		t a	d u		d u	d u	
1721	ɲ̊ ɔ ʔ	ʔ u h	ʔ ui̯ h	ɲ ɔi̯ ʔ			ɲ ɔːi̯ ʔ		ʔ ui̯ h		ɲ ɔi̯ ʔ	ɲ̊ ɔ ʔ	ɲ̊ ɔ ʔ		ɲ̊ ɔː ʔ	ʔ u h
1617	b ou̯ ʔ	ɓ o k	b o ʔ	p o k			p o k		b o ʔ		b aː n	b ou̯ ʔ	b ou̯ ʔ		b ou̯ ʔ	b ou̯ ʔ
1564	b ɔ ʔ	b o ʔ	ɓ ɔː t		tʰ ei̯ ʔ			ɓ ɔ ʔ	tʰ u ʔ			b ɔ	b ɔ ʔ	b ɔ t	b ɔː ʔ	b o ʔ
1028			ʔ a	ʔ a			ʔ a	ʔ a	ʔ a	ʔ i	ʔ a	ʔ a	ʔ a	ʔ a	ʔ a	
2111	l ui̯	l ɨi̯ h		l ui̯			l uːi̯	l uːi̯			l ui̯	l ui̯	l ui̯	l uːi̯	l uːi̯	l uːi̯
1563	s a	s ə	s ə					s a		s a		s a	s a	s a	s a	s a
1597	s ɔ ŋ				s a ŋ	s a ŋ		s a ŋ	s a ŋ		s ɔ ŋ	s ɔ ŋ	s ɔ k		s ɔ ŋ	s ɔ ŋ
459	p ə n	b əː n		b əː n			b əː n			ɓ e ʔ	b əː n	p ə n	p ə n		p əa n	p əː n
1355	g u ŋ				k ɔ ŋ	k ɔ ŋ		g ɔ ŋ		k ɔ ŋ		g o ŋ	g u	g ɔ ŋ	g u ŋ	g u ŋ
827		b l ɔːi̯			b l ei̯	b l ei̯		b l eː	b l i	b l e		b a		b l eː	b e	b l ei̯
1508	ə n			ə n			ə n	ə n			ə n	ə n	ə n	ə n	ə n	ə n
