COGID	BanPaw	ChaYeQing	ChuDongGua	GuangKa	HtanHsan	KhunHawt	MangBang	ManLoi	MengDan	NamHsan	NanSang	NoeLae	NyaungGone	PangKham	PongNuea	XiangZhaiTang
1859-1	ŋ ɨi̯															
175-1	p ɨi̯															
241-1	ʔ u ʔ															
2163-1	p ɨi̯ n															
2181-1	n ă n															
2060-1	ʔ ă n															
410-1	d ɨi̯															
1841-1	n ɨi̯															
2017-1	s ɨi̯															
1004-1	r a															
614-1	b ɨi̯ h															
686-1	p r a															
88-1	kʰ a ʔ															
872-1	n ɨi̯ ŋ															
1891-1	d a															
68-1	s ă n															
631-1	b a n															
594-1	d a															
1759-1	v ă n															
805-1	v ă n															
756-1	s ɨi̯ ʔ															
1201-1	ɲ a ʔ															
2042-1	p ɨi̯															
1968-1	b a ʔ															
2000-1	v a ŋ															
17-1	s a ʔ															
4-1	p ă n															
788-1	p ɨi̯															
1219-1	s ă n															
141-1	ʔ a ŋ															
541-1	b r j a ŋ															
1687-1	s ɨi̯ n															
123-1	n a n															
1652-1	v ă n															
576-1	ŋ ɔ															
1738-1	b a ʔ															
442-1	s ă n															
368-1	kʰ j a ŋ															
1778-1	b ɨi̯ ʔ															
957-1	n a ʔ															
1704-1	ʔ ɨi̯ ʔ															
304-1	j a n															
1796-1	v ɔ ŋ															
720-1	b ɨi̯ h															
287-1	kʰ a ʔ															
321-1	b ă h															
206-1	b ɨi̯ ʔ															
1950-1	ʔ a															
665-1	kʰ j a n															
703-1	n ɨi̯ ʔ															
1290-1	n ɨi̯															
1391-1	p a ʔ															
269-1	kʰ a ʔ															
855-1	v a n															
2078-1	s ă															
2213-1	n ɨi̯															
1858-1	s a															
1151-1	kʰ j a n															
737-1	kʰ ă ʔ															
340-1	s ɨi̯															
1111-1	s ɨi̯															
485-1	ŋ ɨi̯															
1356-1	ŋ u h															
1093-1	v ă ŋ															
1063-1	p ă n															
648-1	v ă n															
223-1	kʰ ɔ n															
1248-1	ʔ ɨi̯															
1509-1	p ă n															
504-1	b ɨ h															
2130-1	s ɨi̯															
1-1	ʔ a															
386-1	j ui̯ ʔ															
1411-1	p ɨi̯															
1027-1	b a ʔ															
1459-1	ʔ r a															
1323-1	m a															
1859-2		ŋ i														
175-2		b a w														
241-2		b ɔ h														
2163-2		b ɔ h														
2181-2		ŋ i ŋ														
2060-2		b aː ŋ														
410-2		ʔ u														
1841-2		ŋ u														
2017-2		h u														
1004-2		a u														
614-2		b ɔ h														
686-2		b a au̯														
88-2		ɲ a p														
872-2		ŋ i ŋ														
1891-2		ʔ u														
68-2		tɕ aː ŋ														
631-2		b kʰ ə n														
594-2		ʔ u														
1759-2		f aː ŋ														
805-2		b aː ŋ														
756-2		dʑ o h														
1201-2		ŋ w ə ʔ														
2042-2		b a h														
1968-2		b o ʔ														
2000-2		f aː ŋ														
17-2		h o ʔ														
4-2		b aː ŋ														
788-2		b a w														
1219-2		n i ŋ														
141-2		b aː ŋ														
541-2		b a a a n														
1687-2		dʑ ɔ h														
123-2		ŋ i ŋ														
1652-2		f aː ŋ														
576-2		ŋ i h														
1738-2		b o h														
442-2		tɕ aː ŋ														
368-2		b tɕ a n														
1778-2		b o ʔ														
957-2		ŋ i ʔ														
1704-2		b ɔ h														
304-2		tɕ aː ŋ														
1796-2		f aː ŋ														
720-2		b ɔ h														
287-2		b w a p														
321-2		b o h														
206-2		b o h														
1950-2		b ʔ au̯														
665-2		b w ə n														
703-2		ŋ i h														
1290-2		ŋ u														
1391-2		b aː ʔ														
269-2		b w a p														
855-2		f aː ŋ														
2078-2		f aː w														
2213-2		ŋ u														
1111-2		kʰ a w														
485-2		ŋ u														
1356-2		ŋ e h														
1093-2		v aː n														
1063-2		b aː n														
648-2		f aː ŋ														
223-2		b ə p														
1248-2		h a														
1509-2		b aː ŋ														
504-2		b o h														
2130-2		n əː														
1-2		ʔ u														
386-2		l ɲ h h														
1411-2		b ui̯ w														
1027-2		b aː h														
2077-2		b b ŋ ə h														
1459-2		ʔ a a														
1323-2		m a														
1859-3			ŋ aː													
175-3			b aː													
241-3			ɓ ɔi̯ h													
2163-3			b aː r													
2181-3			ŋ a ŋ													
2060-3			ʔ ɔi̯ ŋ													
410-3			ʔ aː													
1841-3			ŋ aː													
2017-3			h aː													
1004-3			j aː													
614-3			b aː h													
686-3			b r ai̯													
88-3			k ɓ a h													
872-3			v aː ŋ													
1891-3			ʔ aː													
68-3			tɕ aː ŋ													
631-3			b ai̯ ʔ													
594-3			ʔ aː													
1759-3			f aː ŋ													
805-3			f aː ŋ													
756-3			h aː ʔ													
1201-3			k w a h													
2042-3			ʔ ɔi̯													
1968-3			ɓ aː ʔ													
2000-3			v aː ŋ													
17-3			h aː h													
4-3			b aː ŋ													
788-3			b aː t													
1219-3			tɕ aː ŋ													
141-3			f ɔi̯ ŋ													
541-3			b r ai̯ a ŋ													
1687-3			v aː r													
123-3			ŋ aː ŋ													
1652-3			f aː ŋ													
576-3			ŋ a													
1738-3			b aː h													
442-3			tɕ aː ŋ													
368-3			b j a ŋ													
1778-3			b aː h													
957-3			ŋ a h													
1704-3			ɓ ɔi̯ h													
304-3			j a ŋ													
1796-3			f a ŋ													
720-3			ʔ aː h													
287-3			k a h													
321-3			b aː h													
206-3			ɓ aː h													
1950-3			ʔ ɔi̯ a													
665-3			b j ai̯ ŋ													
703-3			ŋ aː ʔ													
1290-3			ŋ aː													
1391-3			ʔ aː h													
269-3			k w a h													
855-3			f a ŋ													
2078-3			f aː													
2213-3			ŋ aː													
1858-3			s aː													
1151-3			b j a r													
737-3			b r ai̯ h													
340-3			ʔ a													
1111-3			s aː													
485-3			ŋ a													
1356-3			ŋ a h													
1093-3			v aː ŋ													
1063-3			b a ŋ													
648-3			f aː ŋ													
223-3			b a ŋ													
1248-3			ʔ a													
1509-3			f aː ɲ													
504-3			ʔ aː h													
1-3			ʔ a													
386-3			j k h													
1411-3			b ɔi̯													
1027-3			ʔ a ʔ													
2077-3			b b ŋ a h													
1459-3			ʔ r ai̯													
1323-3			ŋ a													
1859-4				n eu̯												
175-4				ʔ a												
241-4				ʔ əː ʔ												
2163-4				ʔ əː												
2181-4				n a ŋ												
2060-4				ʔ əː ŋ												
410-4				tʰ eu̯												
1841-4				n eu̯												
2017-4				ʔ eu̯												
1004-4				j eu̯												
614-4				p ai̯ h												
686-4				ʔ j a												
88-4				p a ʔ												
872-4				n a ŋ												
1891-4				ʔ eu̯												
68-4				tɕ a ŋ												
631-4				p a												
594-4				ʔ eu̯												
1759-4				b a ŋ												
805-4				b aː ŋ												
756-4				tɕ a ʔ												
1201-4				ɲ a ʔ												
2042-4				ʔ əː												
1968-4				t əː ʔ												
2000-4				f aː ŋ												
17-4				tɕ a ʔ												
4-4				ʔ əː ŋ												
788-4				ʔ əː												
1219-4				ʔ a ŋ												
141-4				f aː ŋ												
541-4				p v a ŋ												
1687-4				tɕ a												
123-4				n aː ŋ												
1652-4				b aː ŋ												
576-4				n a												
1738-4				ʔ a ʔ												
442-4				tɕ a ŋ												
368-4				p a ŋ												
1778-4				ʔ a ʔ												
957-4				n a ʔ												
1704-4				ʔ əː ʔ												
304-4				j aː ŋ												
1796-4				v aː ŋ												
720-4				tʰ ai̯ h												
287-4				p l a ʔ												
321-4				ʔ əː ʔ												
206-4				p əː ʔ												
1950-4				ʔ a												
665-4				p a ŋ												
703-4				n a ʔ												
1290-4				n eu̯												
1391-4				ʔ aː ʔ												
269-4				p a ʔ												
855-4				b aː ŋ												
2078-4				tɕ aː												
2213-4				n eu̯												
1858-4				ʔ a												
1151-4				p j a												
737-4				p a ʔ												
340-4				ʔ eu̯												
1111-4				tɕ a												
485-4				n eu̯												
1356-4				ŋ ai̯ h												
1093-4				f aː ŋ												
1063-4				p ɛː												
648-4				b aː ŋ												
223-4				p b a ŋ												
1509-4				b əː ŋ												
504-4				tɕ ai̯ h												
2130-4				ʔ a												
1-4				ʔ eu̯												
386-4				j a ʔ												
1411-4				p əː												
1027-4				ʔ a ʔ												
2077-4				p p ŋ ai̯												
1459-4				ʔ j a												
1859-5					nˀ əː											
175-5					k a											
241-5					tʰ a ʔ											
2163-5					ʔ e											
2181-5					m a ŋ											
2060-5					ʔ ɔ ŋ											
410-5					ʔ əː											
1841-5					m əː											
2017-5					h əː											
1004-5					r əː											
614-5					tʰ ɔ h											
686-5					b r ei̯											
88-5					b a ʔ											
872-5					f aː ŋ											
1891-5					ʔ əː											
68-5					s a ŋ											
631-5					b ei̯ r											
594-5					ʔ əː											
1759-5					s e ŋ											
805-5					k e ŋ											
756-5					s a ʔ											
1201-5					m a n											
2042-5					ʔ a											
1968-5					tʰ a ʔ											
2000-5					f aː ŋ											
17-5					s a ʔ											
4-5					ʔ a ŋ											
788-5					ʔ a t											
1219-5					m a ŋ											
141-5					f aː ŋ											
541-5					b r ei̯ e ŋ											
1687-5					s e r̥											
123-5					m a ŋ											
1652-5					dʑ e ŋ											
576-5					m a											
1738-5					ɗ ɨ ʔ											
442-5					s ɔ ŋ											
368-5					b j oː ŋ											
1778-5					ʔ a ʔ											
957-5					nˀ a ʔ											
1704-5					tʰ a ʔ											
304-5					j a ŋ											
1796-5					dʑ aː ŋ											
720-5					tʰ a h											
287-5					b a ʔ											
321-5					k a h											
206-5					tʰ a ʔ											
1950-5					b w oː											
665-5					b oː ɲ											
703-5					m ɔ ʔ											
1290-5					m əː											
1391-5					d e n											
269-5					b a ʔ											
855-5					dʑ e ŋ											
2078-5					s a											
2213-5					m əː											
1858-5					s əː											
1151-5					b j e											
737-5					b ei̯											
340-5					s əː											
1111-5					s a											
485-5					r əː											
1356-5					m ei̯ h											
1093-5					f o ŋ											
1063-5					ʔ ɔ m											
648-5					dʑ e ŋ											
223-5					b ei̯ r											
1248-5					dʑ əː											
1509-5					b e ŋ											
504-5					dʑ o h											
2130-5					s əː											
1-5					ʔ əː											
1411-5					b a											
2077-5					m ɔ h											
1323-5					m a											
1859-6						ŋ ou̯										
175-6						d i										
241-6						d a ʔ										
2163-6						d a r										
2181-6						n aː ŋ										
2060-6						d aː ŋ										
410-6						d ou̯										
1841-6						m ou̯										
2017-6						s ou̯										
1004-6						j ou̯										
614-6						d a ei̯										
686-6						ʔ l ei̯										
88-6						b a h										
872-6						f aː ŋ										
1891-6						d ou̯										
68-6						s aː ŋ										
631-6						b ei̯ h										
594-6						d ou̯										
1759-6						s e n										
805-6						d aː ŋ										
756-6						s a ʔ										
1201-6						i a h										
2042-6						d i										
1968-6						d a t										
2000-6						f aː ŋ										
17-6						s a ʔ										
4-6						d aː ŋ										
788-6						d i t										
1219-6						s aː ŋ										
141-6						f aː ŋ										
541-6						p r ei̯ a ŋ										
1687-6						s a r										
123-6						m aː ŋ										
1652-6						dʑ aː n										
576-6						ŋ a l										
1738-6						d a t										
442-6						s aː ŋ										
368-6						p j a ŋ										
1778-6						d a ʔ										
957-6						nʰ a ʔ										
1704-6						d a ʔ										
304-6						j a ŋ										
1796-6						f aː ŋ										
720-6						d a ʔ										
287-6						b a h										
321-6						k a ʔ										
206-6						d a t										
1950-6						b l iː										
665-6						p a ŋ										
703-6						n a ʔ										
1290-6						m ou̯										
1391-6						d a ŋ										
269-6						b a h										
855-6						dʑ a n										
2078-6						s i ŋ										
2213-6						m ou̯										
1858-6						s ou̯										
1151-6						b j a h										
737-6						b l a h										
340-6						ʔ ou̯										
1111-6						s i										
1093-6						d aː ŋ										
1063-6						d aː ŋ										
648-6						dʑ aː n										
1248-6						dʑ ou̯										
1509-6						d aː ŋ										
504-6						dʑ o ʔ										
2130-6						s ou̯										
1-6						d ou̯										
1411-6						d i										
2077-6						p m a h										
1323-6						ɓ a										
1859-7							ŋ a									
175-7							ʔ a									
241-7							ɓ a ʔ									
2163-7							ʔ a ŋ									
2181-7							n a ŋ									
2060-7							ʔ a ŋ									
410-7							ʔ a									
1841-7							n a									
2017-7							s a									
1004-7							l a									
614-7							ʔ a h									
686-7							ʔ l ɔː									
88-7							kʰ a ʔ									
872-7							n a ŋ									
1891-7							ʔ a									
68-7							s a ŋ									
631-7							ʔ a n									
594-7							ʔ a									
1759-7							s a ŋ									
805-7							ʔ a ŋ									
756-7							s a ʔ									
1201-7							m j a ʔ									
2042-7							ʔ a									
1968-7							ɓ a ʔ									
2000-7							f a ŋ									
17-7							j a ʔ									
4-7							ʔ a ŋ									
