COGID	MonpaBalemu	MonpaDirang	MonpaDirangDum	MonpaKalaktang	MonpaNamsu	MonpaSangti	MonpaTembang	MonpaTomko
10-1	bʱ a ŋ							
37-1	n a n							
46-1	n a n							
98-1	g a ŋ bʱ i r a							
125-1	g i j a ŋ r a							
162-1	l a i z i							
171-1	kʰ o m z a							
219-1	t a ŋ p u							
247-1	kʰ a ŋ l u							
282-1	l u z p u							
292-1	bʱ a ŋ							
301-1	l i							
354-1	m u m b a p i							
363-1	n i m b u							
397-1	g a m p i							
406-1	kʰ a u							
426-1	m u k p a							
473-1	pʰ i n a ŋ							
499-1	z a m i n							
526-1	g a z a							
544-1	bʱ u							
553-1	kʰ o k a ŋ							
599-1	g o i p a m							
608-1	b a n bʱ o							
617-1	j o n							
645-1	a n a							
663-1	z o ŋ k u r							
672-1	t o ŋ p a							
681-1	ɲ i r i							
690-1	m i ŋ							
708-1	g a h̥ ɾ i ŋ b u							
717-1	kʰ o k p u							
726-1	z i							
744-1	a t a							
782-1	m i							
791-1	ŋ a							
800-1	ŋ a							
809-1	m o m n a ŋ							
836-1	pʰ z i							
881-1	l a m							
890-1	ɾ a b a							
899-1	z o r							
926-1	bʱ a m							
944-1	g a ɾ a ŋ							
953-1	z a r a ŋ							
980-1	j a r o ŋ							
998-1	pʰ a w h̥							
1022-1	a k u r							
1031-1	g i n a ŋ u k a							
1069-1	g o j a ŋ z							
1079-1	z i a j a							
1098-1	j a ŋ bʱ u							
1117-1	bʱ u n							
1141-1	ɾ i n b u							
1189-1	m a n							
1198-1	n u							
1208-1	z a l a							
1217-1	l a n i k u r							
1253-1	a m a							
1271-1	n o h̥ a ŋ							
1289-1	m i ŋ							
1316-1	ŋ a ŋ							
1325-1	bʱ a m							
1334-1	z i ŋ m a							
1343-1	b i n a ŋ							
1361-1	j i n a ŋ							
1370-1	n a ʃ h̥ h̥							
1388-1	m a n m a							
1397-1	bʱ u r							
1406-1	bʱ o ŋ							
1424-1	g a ɾ a ŋ p a r							
1433-1	z u k u							
1442-1	l a m							
1451-1	b a k a m							
1468-1	pʰ a k p a							
1477-1	ŋ a z							
1502-1	ŋ a m z u							
1511-1	m u t̪ j a ŋ m a							
1529-1	kʰ a l o							
1538-1	z u l u							
1557-1	tʃ o i p u m							
1618-1	i n p a							
1663-1	z u m							
1689-1	ŋ o i							
1698-1	bʱ u ŋ							
1707-1	m o ŋ n a ŋ							
1716-1	ŋ a m u							
1742-1	m u k u							
1751-1	b u z i l a							
1778-1	z a							
1787-1	kʰ u r p u							
1823-1	l o m							
1832-1	kʰ a r m a							
1842-1	l u ŋ							
1860-1	ŋ a m							
1869-1	z u t k a ŋ							
1888-1	z a m p i							
1897-1	z o							
1932-1	ɾ i n a ŋ z o p k a							
1950-1	z u							
1968-1	g o ŋ t̪ a r							
1978-1	kʰ u t p a							
1987-1	z a m							
2015-1	ŋ a m k a							
2118-1	m u ŋ z l i							
2238-1	ŋ a r p o							
2507-1	kʰ i n u ŋ							
2526-1	l o h̥							
2535-1	z a h̥							
2544-1	z i ŋ							
2560-1	z o ŋ n i k i ŋ							
2569-1	g a i p u r							
2578-1	n i tʃ i ŋ							
2596-1	bʱ u ŋ							
2615-1	ɾ i							
2663-1	g i t i							
2690-1	z i h̥ h̥							
2719-1	ɾ i k i							
2728-1	kʰ o tʃ u ŋ							
2747-1	ɲ i ŋ							
2756-1	z i r b u							
2774-1	b o n i h̥							
19-1	n a i a							
28-1	n a i a							
89-1	g a ŋ p u							
107-1	g t̪ i m i h̥							
190-1	pʰ u b i							
229-1	g a							
257-1	kʰ a ŋ a							
338-1	b ɾ u ŋ							
436-1	s u l u							
483-1	j a							
535-1	z o s o							
571-1	g e ɾ o n p i							
699-1	bʱ o ŋ p a							
845-1	l o b o							
971-1	kʰ i k p u							
1049-1	bʱ u							
1161-1	a m							
1180-1	s a							
1226-1	l a m i ŋ							
1235-1	m a m i ŋ							
1280-1	ʃ i ŋ s a							
1352-1	bʱ u							
1379-1	z i							
1415-1	l a							
1636-1	b ĭ tʃ a							
1654-1	l i							
1680-1	g a n t i							
1725-1	tʃ a t t o							
2127-1	b a m z a							
2181-1	b i l o							
2366-1	g j a k a							
2672-1	j a k a							
2681-1	g a ɾ a ŋ m o							
55-1	kʰ a i b a							
80-1	t u ŋ k a							
116-1	kʰ u l u							
10-2		dʒ a ŋ						
37-2		n a n						
46-2		n a n						
98-2		kʰ a ŋ tʃ i l a						
125-2		b e ŋ ɾ a						
162-2		l e i z i						
171-2		o m z a						
