COGID	Duhumbi	Jerigaon	Khispi	Khoina	Khoitam	Rahung	Rupa	Shergaon
1-1	h a							
5-1	n a							
4-1	tʰ ɛ k							
6-1	n a ŋ							
15-1	b i							
55-1	l ɔ							
56-1	h a							
60-1	ɕ ɛi							
61-1	kʰ u ŋ							
80-1	dʑ ɔ k							
87-1	tɕʰ a							
86-1	pʰ l u							
92-1	pʰ a							
102-1	m ɛi							
106-1	pʰ ɔ k							
108-1	d a							
107-1	h a							
112-1	pʰ ɔ m							
115-1	s a							
114-1	t ɔ m							
120-1	t a							
124-1	h a							
125-1	tʰ ɔ k							
132-1	h i							
131-1	n i ŋ							
136-1	b a							
134-1	k a k							
137-1	h a							
138-1	d ɔ k							
140-1	h a							
143-1	tɕʰ a k							
145-1	tɕʰ a m							
147-1	h ɔi							
149-1	w i t							
153-1	ɕ a							
152-1	kʰ a n							
158-1	h i s							
163-1	r i							
164-1	ɲ i							
167-1	pʰ a ŋ							
171-1	ɲ u ŋ							
172-1	b i k							
173-1	t u							
183-1	r ɛi							
185-1	m a							
188-1	kʰ e							
189-1	ts u n							
193-1	h ɛi							
196-1	m au							
199-1	ɕ ɛi							
200-1	kʰ ɛ n							
201-1	kʰ i n							
202-1	kʰ o s							
203-1	d ɔ ŋ							
204-1	b i							
206-1	ɲ a m							
117-1	b i							
146-1	kʰ i k							
219-1	h u a							
218-1	kʰ a							
224-1	m a							
240-1	tɕʰ a k							
244-1	w a t							
255-1	t a s							
260-1	b a							
263-1	r u							
269-1	dʑ a k							
271-1	tʰ a k							
209-1	kʰ i k							
277-1	m a							
278-1	p u ŋ							
135-1	d a							
284-1	m ɔ							
797-1	h a							
290-1	n u							
289-1	kʰ i k							
296-1	h i							
310-1	ɕ i							
319-1	i							
325-1	r a							
327-1	tʰ e							
331-1	k u							
337-1	b a n							
338-1	ɲ i							
339-1	au							
350-1	kʰ ɛi							
349-1	d u ŋ							
357-1	tɕʰ aˀ							
355-1	h a							
363-1	b a n							
361-1	tʰ u							
365-1	ts a ŋ							
364-1	h a t							
375-1	l ɔ k							
379-1	ɕ a t							
380-1	kʰ e							
396-1	j u							
400-1	m a							
405-1	d a ŋ							
404-1	ɕ a ŋ							
409-1	r ɛ k							
410-1	h k t							
415-1	b ɛi							
416-1	p a							
101-1	ɲ u							
37-1	kʰ a							
424-1	h ɔi							
434-1	s a m							
445-1	p a							
446-1	ɕ i							
451-1	t aˀ							
457-1	n a m							
456-1	b a							
464-1	pʰ s							
473-1	ɕ ɔ							
474-1	ɔ ŋ							
479-1	ɕ i ŋ							
489-1	j a							
490-1	h au							
494-1	ɕ a							
503-1	kʰ ɛi							
502-1	ɕ a ŋ							
235-1	n u ŋ							
519-1	l i							
523-1	ɔ k							
527-1	kʰ j ɛ ŋ							
538-1	ɕ							
544-1	w a m							
850-1	h a							
554-1	b i							
553-1	d i ŋ							
558-1	kʰ a m							
561-1	ɕ a							
562-1	p a							
564-1	j ɛi							
567-1	m a							
570-1	pʰ u							
575-1	u							
582-1	l a							
585-1	a t							
589-1	kʰ ɔ m							
593-1	d ɛ n							
594-1	l a ŋ							
595-1	tʰ u							
596-1	ɲ a k							
598-1	ʑ a p							
599-1	d i m							
602-1	ʑ ɛi							
603-1	r a p							
606-1	ts ɔ ŋ							
605-1	b a p							
620-1	l a							
637-1	pʰ a k							
639-1	dʑ u							
645-1	kʰ ɔ s							
646-1	r e							
168-1	h ɛi k							
658-1	h a n							
665-1	pʰ a							
668-1	h a							
677-1	t a ŋ							
75-1	kʰ ɔ ŋ							
678-1	h a							
682-1	m a n							
493-1	ʑ ɔ p							
693-1	ɕ a							
694-1	m a							
702-1	ts a m							
704-1	m a							
176-1	h a							
709-1	ts a ŋ							
710-1	t ɔ s							
714-1	m a t							
718-1	kʰ e							
719-1	tɕʰ a m							
22-1	m ɔ							
723-1	ts i ŋ							
726-1	dʑ j ɛ ŋ							
729-1	p a p							
730-1	t e							
739-1	pʰ i s							
740-1	b u							
741-1	kʰ ɔ p							
744-1	a							
743-1	h a n							
746-1	pʰ u ŋ							
748-1	d j ɛ k							
747-1	kʰ u							
749-1	kʰ ɛ n							
751-1	t au							
762-1	m a n							
764-1	h ɛ n							
765-1	b i							
788-1	h a m							
615-1	l a k							
803-1	ɕ a							
802-1	w a k							
808-1	b i							
809-1	ts i							
819-1	d u k							
821-1	ɕ a							
820-1	b a p							
828-1	ɕ a k							
827-1	p i							
835-1	h ɔˀ							
308-1	d u							
844-1	ʑ i n							
848-1	m a							
705-1	h a							
613-1	a							
649-1	h ɛi k							
876-1	ɕ au							
878-1	j ɔ m							
889-1	h a m							
898-1	n u k							
902-1	h a m							
910-1	ɛ n							
916-1	r i							
919-1	r e							
922-1	ɕ i s							
930-1	ɕ a							
933-1	k i s							
939-1	r ɛ k							
947-1	w a n							
948-1	n u							
963-1	ʑ a p							
967-1	ɕ i k							
969-1	ɕ a							
970-1	kʰ ɔ k							
972-1	n a							
731-1	m ɔ							
973-1	dʑ i n							
974-1	h a s							
979-1	dʑ au							
182-1	kʰ u							
993-1	n i							
994-1	ʑ ɔ s							
1001-1	s ɔ							
1002-1	d a k							
1005-1	tɕʰ u ɹ							
1009-1	kʰ u							
