COGID	Kayah	Kayan	Kayaw	NorthernPao	NorthernPwo	ProtoKaren	SouthernPao	WesternBwe
21-1	t ɔ ¹¹							
33-1	t o ¹¹							
46-1	p l e ¹¹							
126-1	p e ³³							
114-1	b ɛ ¹¹							
149-1	p l e ³³							
171-1	tʰ e ³³							
191-1	pʰ w ɛ ⁵⁵							
203-1	n i ³³							
224-1	l e ³³							
275-1	kʰ e ¹¹							
302-1	ʔ u ³³							
315-1	tʰ ɛ ⁵⁵							
394-1	n ɔ ³³							
431-1	p e ⁵⁵							
444-1	d e ⁵⁵							
445-1	n e ¹¹							
514-1	p i ⁵⁵							
555-1	kʰ w i ¹¹							
579-1	cʰ j ɛ ³³							
603-1	kʰ e ¹¹							
737-1	l o ¹¹							
763-1	cʰ a ¹¹							
870-1	kʰ i ⁵⁵							
918-1	ʔ ɔ ³³							
979-1	l ɛ ¹¹							
1013-1	m e ¹¹							
1040-1	tʰ i ¹¹							
1027-1	m e ¹¹							
1053-1	l i ¹¹							
1065-1	m ɛ ¹¹							
1091-1	m i ¹¹							
1116-1	ʔ i ¹¹							
1129-1	n e ¹¹							
1173-1	d ə ¹¹							
1207-1	cʰ ɛ ³³							
1255-1	p i ³³							
1277-1	t a ³³							
1290-1	b l ɨ ¹¹							
1301-1	cʰ ɨ ¹¹							
1337-1	m o ¹¹							
1323-1	m u ¹¹							
1350-1	m i ¹¹							
1372-1	j ɛ ³³							
1498-1	d i ¹¹							
1664-1	l a ³³							
1652-1	ʔ o ¹¹							
1687-1	p e ⁵⁵							
1708-1	p o ¹¹							
1732-1	t ɔ ¹¹							
1742-1	n ɔ ¹¹							
1755-1	pʰ r o ³³							
1767-1	p a ⁵⁵							
1786-1	j e ¹¹							
1803-1	w e ¹¹							
1815-1	cʰ e ³³							
1840-1	p r a ³³							
1853-1	tʰ e ⁵⁵							
1866-1	p e ⁵⁵							
1894-1	l e ¹¹							
1934-1	c i ¹¹							
1947-1	kʰ ɛ ¹¹							
1993-1	pʰ i ³³							
2059-1	ʔ o ¹¹							
2098-1	j a ³³							
