COGID	Amami	Hachijo	Kagoshima	Kochi	Kyoto	Miyako	Oki	Sado	Shuri	Tokyo
14-1	k u r i									
18-1	d a r a ɴ									
35-1	h i θ u r i									
36-1	h u θ u r i									
48-1	n a g a									
60-1	θ u r i									
63-1	s i r a m ɨ									
64-1	k iː									
67-1	h a b a									
68-1	n ɨ b u r i									
71-1	ts ɨ b u r i									
76-1	h u ɴ g e									
83-1	θ u n u									
87-1	h a ɴ g e									
95-1	m i m i									
98-1	h a ɴ g a									
99-1	k u ts i									
-102-1	s i b a									
103-1	θ u m ɨ									
110-1	θ ɨ									
116-1	m u n ɨ									
120-1	n u m u r i									
132-1	k i x ɨ									
139-1	k u r u s ɨ									
140-1	ʔ u g u r i									
156-1	θ a r u r i									
168-1	θ u k i									
169-1	h u s i									
170-1	m i z u r i									
173-1	ʔ i s i									
180-1	k ɨ m u r i									
185-1	h a g i									
186-1	m u ɨ r u r i									
187-1	m i tɕ i									
190-1	ʔ a x a									
193-1	k u r u r i									
194-1	s i r u r i									
195-1	k ɨ r u r i									
216-1	m a r u r i									
221-1	n a m a									
239-1	ʔ i θ u r i									
252-1	m i s i									
253-1	w u θ u r i									
254-1	ʔ i θ u r i									
266-1	x a z a m ɨ									
267-1	n a g a r ɨ r u									
268-1	ʔ u m i									
272-1	ʔ a m ɨ									
276-1	a r a ɨ									
281-1	m u s i									
304-1	θ u b a									
305-1	ts ɨ tɕ i									
308-1	h a ɴ g a									
309-1	k u a									
310-1	θ u									
311-1	n i									
342-1	w ɨ k i									
346-1	x u r a ɴ									
347-1	k i r ɨ r i									
348-1	h i r i									
351-1	θ u b u r i									
361-1	u m u									
379-1	k ɨ s a θ ɨ									
394-1	h i d a r i									
395-1	m i g i									
400-1	h i b a r i									
412-1	s a x ɨ r u r i									
413-1	θ u k i s a ɴ									
414-1	h u r i									
422-1	h u k ɨ r u r i									
423-1	x a ɴ g a r i									
430-1	h a k ɨ									
435-1	h u k ɨ r i									
446-1	s i θ a r i									
447-1	w ɨ b a									
458-1	θ u s i									
56-1	h i θ u r i									
62-1	ʔ n u r i									
70-1	θ a n ɨ									
96-1	m iː									
101-1	h a									
114-1	k u b i									
119-1	k i m u r i									
134-1	s i θ u r i									
138-1	s i n u r i									
146-1	ʔ a r u r i									
161-1	g ʔʲ u									
182-1	k ɨ b u r i									
188-1	w a m a									
196-1	w u r u r i									
262-1	h i r ɨ r a ɴ									
300-1	h ɨ s u r i									
313-1	d ɨ									
350-1	s ɨ b a									
352-1	ts ɨ k a i									
396-1	h u r u r i									
401-1	ʔ u θ u r i									
420-1	ʔ u θ u r i									
424-1	ʔ u θ u r i									
442-1	s i m ɨ r u r i									
455-1	ʔ i x i r u r i									
15-1	ʔ a r a ɴ									
49-1	u n a g u									
130-1	m i r u r i									
149-1	k ɨ r u r i									
175-1	s u n a									
199-1	ʔ a θ u r i									
230-1	ʔ a r u r i									
233-1	a n u h i θ u θ a r									
264-1	k i r i									
274-1	n u r i θ a									
298-1	x ɨ g a w a									
303-1	h a r a w a θ a									
354-1	ʔ a θ u r i									
369-1	k i r i r u r i									
376-1	w a r u r i									
415-1	m u s ɨ b u r i									
