COGID	BanPaw	ChaYeQing	ChuDongGua	GuangKa	HtanHsan	KhunHawt	MangBang	ManLoi	MengDan	NamHsan	NanSang	NoeLae	NyaungGone	PangKham	PongNuea	XiangZhaiTang
1859-1	ŋ ɛ															
175-1	g a															
241-1	ʔ u ʔ															
2163-1	kʰ u n															
2181-1	n ă m															
2060-1	ʔ ɨ m															
410-1	d ai̯															
1841-1	m ui̯															
2017-1	h e															
1004-1	e ou̯															
614-1	b ou̯ h															
686-1	b l e															
88-1	k ɔ ʔ															
872-1	n ɨ ŋ															
1891-1	d ou̯															
68-1	s ɨi̯ m															
631-1	b ə															
594-1	g ou̯															
1759-1	h ă n															
805-1	g ɨi̯ n															
756-1	h ɨ ʔ															
1201-1	m o ʔ															
2042-1	ʔ b															
1968-1	d ă ʔ															
2000-1	m ou̯ ŋ															
17-1	v ă ʔ															
4-1	e ə m															
788-1	d ɛ															
1219-1	h ɨi̯ m															
141-1	ʔ ou̯ ŋ															
541-1	b r j a ŋ															
1687-1	h u n															
123-1	e ou̯ m															
1652-1	c ɨi̯ n															
576-1	ŋ ɔ															
1738-1	d ă ʔ															
442-1	h o m															
368-1	d j a ŋ															
1778-1	p ă ʔ															
957-1	n o p															
1704-1	ʔ ɨi̯ ʔ															
304-1	j o m															
1796-1	c ɔ ŋ															
720-1	t a h															
287-1	g a p															
321-1	g ə h															
206-1	d ou̯ ʔ															
1950-1	ʔ ɨ															
665-1	e o n															
703-1	n ou̯ ʔ															
1290-1	m ai̯															
1391-1	k ă ʔ															
269-1	g ă ʔ															
855-1	c o n															
2078-1	s e															
2213-1	m ɛ															
1858-1	s a															
1151-1	g j a n															
737-1	p r ʔ															
1859-2		ŋ ai̯														
175-2		k a														
241-2		ʔ uː ʔ														
2163-2		kʰ uː														
2181-2		n a m														
2060-2		ʔ oː m														
410-2		d aːi̯														
1841-2		m ɨi̯														
2017-2		h ɔːi̯														
1004-2		ɔː aː														
614-2		b o h														
686-2		b l i														
88-2		g ɔ k														
872-2		n ɨ ŋ														
1891-2		d aː														
68-2		s i m														
631-2		b ə														
594-2		k aː														
1759-2		h a n														
805-2		k i n														
756-2		h ɨ k														
1201-2		m oː ʔ														
2042-2		ʔ aː														
1968-2		d a ʔ														
2000-2		m aː ŋ														
17-2		v a ʔ														
4-2		ɔː eːu̯ m														
788-2		d ai̯														
1219-2		h i m														
141-2		ʔ aː ŋ														
541-2		b d d a ŋ														
1687-2		h uː														
123-2		ɔː aː m														
1652-2		dʑ i n														
576-2		ŋ ɔ														
1738-2		d a k														
442-2		h oː m														
368-2		d d a ŋ														
1778-2		b a ʔ														
957-2		n a b														
1704-2		ʔ i ʔ														
304-2		d a m														
1796-2		dʑ a ŋ														
720-2		d ə h														
287-2		k ə b														
321-2		k ə h														
206-2		d o k														
1950-2		ʔ ɨː														
665-2		ɔː oː n														
703-2		n o k														
1290-2		m aːi̯														
1391-2		g a ʔ														
269-2		k a ʔ														
855-2		dʑ a n														
2078-2		s i														
2213-2		m ai̯														
1859-3			ŋ aːi̯													
175-3			k a													
241-3			ʔ uː t													
2163-3			kʰ uː r													
2181-3			n a m													
2060-3			ʔ ɔː m													
410-3			ɗ aːi̯													
1841-3			m ɨː													
2017-3			h i													
1004-3			ʔ aː													
614-3			ɓ o h													
686-3			b k i													
88-3			k a ʔ													
872-3			n k ŋ													
1891-3			ɗ aː													
68-3			s iː m													
631-3			b ə r													
594-3			k aː													
1759-3			h a ɲ													
805-3			k a ŋ													
756-3			h k ʔ													
1201-3			m ɔː ʔ													
2042-3			ʔ aː													
1968-3			ɗ a ʔ													
2000-3			m aː ŋ													
17-3			v a t													
4-3			ʔ ɯ m													
788-3			ɗ aːi̯													
1219-3			h iː m													
141-3			ʔ aː ŋ													
541-3			b r j a ŋ													
1687-3			h uː r													
123-3			ʔ aː m													
1652-3			dʑ a ŋ													
576-3			ŋ a													
1738-3			ɗ a ʔ													
442-3			h ɔː m													
368-3			ɗ j a ŋ													
1778-3			b a t													
957-3			n a b													
1704-3			ʔ iː t													
304-3			j a m													
1796-3			dʑ a ŋ													
720-3			d a h													
287-3			k ə b													
321-3			k ə h													
206-3			ɗ o ʔ													
1950-3			ʔ ɔː													
665-3			ʔ ɔː n													
703-3			n o ʔ													
1290-3			m aːi̯													
1391-3			k a t													
269-3			k a t													
855-3			dʑ a n													
2078-3			s a													
2213-3			m aːi̯													
1858-3			s a													
1151-3			k j a													
737-3			b a t													
1859-4				ŋ ai̯												
175-4				k a												
241-4				ʔ uː												
2163-4				ui̯ uː												
2181-4				n a m												
2060-4				ʔ ɔː m												
410-4				t aːi̯												
1841-4				m aːu̯												
2017-4				h iː												
1004-4				ɔː aː												
614-4				p o h												
686-4				p l iː												
88-4				g ɔ k												
872-4				n ɨ ŋ												
1891-4				t aː												
68-4				s iː m												
631-4				p əː												
594-4				k aː												
1759-4				h a n												
805-4				k iː n												
756-4				h ɨ k												
1201-4				m ɔː a												
2042-4				ʔ aː												
1968-4				t a ʔ												
2000-4				ai̯ aː ŋ												
17-4				v a dʑ												
4-4				ɔː əː m												
788-4				t ai̯												
1219-4				ʔ iː m												
141-4				ʔ aː ŋ												
541-4				p ai̯ j ə ŋ												
1687-4				h uː ai̯												
123-4				ɔː aː m												
1652-4				dʑ iː n												
576-4				ŋ ai̯												
1738-4				t a k												
442-4				h ɔː m												
368-4				t j ə ŋ												
1778-4				p a dʑ												
957-4				n au̯ p												
1704-4				ʔ iː ʔ												
304-4				j au̯ m												
1796-4				dʑ ɔ ŋ												
720-4				d ɛ h												
287-4				k a p												
321-4				k ɔː ʔ												
206-4				t o k												
1950-4				ʔ əː												
665-4				ɔː o n												
703-4				n o k												
1290-4				m aːi̯												
1391-4				g a												
269-4				k a												
855-4				dʑ a n												
2078-4				s iː												
2213-4				m ai̯												
1858-4				s a												
1151-4				k j ɛ												
737-4				p ai̯												
1859-5					ŋ ei̯											
175-5					k a											
241-5					ʔ uː ʔ											
2163-5					kʰ uː n											
2181-5					n a m											
2060-5					ʔ ɨ m											
410-5					ɗ aːi̯											
1841-5					m aːi̯											
2017-5					h ei̯											
1004-5					ʔ aː											
614-5					b o h											
686-5					b l i											
88-5					k a ʔ											
872-5					n ɨ ŋ											
1891-5					ɗ aː											
68-5					s i m											
631-5					b r n											
594-5					k aː											
1759-5					h a ɲ											
805-5					k i ŋ											
756-5					h ɨ ʔ											
1201-5					m ɔː ʔ											
2042-5					ʔ aː											
1968-5					ɗ e ʔ											
2000-5					m aː ŋ											
17-5					e ʔ											
4-5					ʔ əː m											
788-5					ɗ ei̯											
1219-5					h i m											
