COGID	1	10	2	3	4	5	6	7	8	9
2689-1	n a m a									
893-1	a a n a a									
1285-1	n w a a									
1303-1	n g ɔ m a									
2197-1	s i a l a									
2828-1	z i n a									
3572-1	s ɔ n i									
1095-1	l i m a									
1755-1	n ɛ									
1789-1	k a l a a ŋ g a									
3207-1	β ʊ l a									
3519-1	t u m a									
3686-1	i i m b a									
4249-1	k u m i									
4451-1	β i s i									
448-1	n ʊ a a n i									
630-1	β ɛ ɛ l ɛ									
814-1	g ɔ a m b ɛ									
1216-1	g a β a									
1228-1	β w a a									
1418-1	s i m i a a									
1475-1	g w a									
2026-1	t w i a									
2775-1	β u a m b a									
3397-1	β ɔ l ɔ									
3826-1	s ɔ k a									
4003-1	i i β a									
4040-1	g ɛ n i									
4373-1	l i m i									
4384-1	i n ɔ									
84-1	s u g u l a									
116-1	f i k a									
181-1	g ɔ ɔ ŋ g ɔ									
419-1	l ɔ g a									
587-1	ɔ ɔ n g ɔ									
660-1	l ɛ l a									
848-1	k a l a									
1083-1	l i l a									
1122-1	β i n a									
2689-2		n a m a								
893-2		a a n l a								
1303-2		n k o m a								
2197-2		s w a l a								
2828-2		s i n a								
3572-2		s o n i								
1095-2		l i m a								
1789-2		k a l a a n g a								
3207-2		v u l a								
3519-2		t u m a								
3686-2		s i m b a								
4249-2		k u m i								
4451-2		v i s i								
448-2		n u a a n i								
630-2		v e e l e								
814-2		n o o m b a								
1216-2		g a v l a								
1228-2		p w a a								
1418-2		s i m a l a								
1475-2		g w a								
2026-2		t w e a								
3826-2		s o k a								
4003-2		s i a v a								
4373-2		l i m i								
4384-2		i n o								
84-2		s u g u l u								
116-2		s i k a								
419-2		l o g a								
587-2		o o n g o								
660-2		l e l a								
848-2		k a l a								
1122-2		v i n a								
2689-3			n a m a							
893-3			a a n a							
1285-3			n w a a							
1303-3			ŋ g o m a							
2197-3			s a l a							
2828-3			l i n a							
3572-3			s o n i							
1095-3			l i m a							
1755-3			n e							
1789-3			x a l a a ŋ g a							
3207-3			β u l a							
3519-3			tʰ u m a							
3686-3			i m b a							
4249-3			x u m i							
4451-3			β i s i							
448-3			n o a n i							
630-3			β e e l e							
1216-3			k a β a a							
1228-3			β w a							
1418-3			s i m a							
1475-3			k w a							
3397-3			β o l a							
4003-3			i β a							
4040-3			k e n i							
4373-3			l i m i							
4384-3			i n o							
181-3			k o o ŋ g o							
419-3			l o k a							
587-3			o n g o							
660-3			l e l a							
1083-3			l i l a							
2689-4				t a m a						
893-4				a o n a m a						
1285-4				t g a a						
3572-4				s o s a						
1755-4				t g a						
1789-4				t a l a ŋ g a						
3686-4				t e ŋ g a						
4451-4				b e s a						
1216-4				k a i i i a						
4003-4				s i s a						
419-4				ts o g a						
1122-4				b e m a						
2689-5					n a m					
893-5					a n					
1285-5					n w a					
1303-5					k o m					
2197-5					s a l					
2828-5					l i n					
3572-5					s o n i					
1095-5					l i m					
3207-5					β u l a					
3519-5					t u m					
3686-5					i i m b					
4249-5					k u m i					
448-5					n u n i					
630-5					β e e l e					
814-5					k o o m p e					
1228-5					β w a					
1418-5					ʃ i m					
2026-5					t w e					
2775-5					β u m β a					
3397-5					β o l a					
3826-5					s o k					
