COGID	AchangLongchuan	Atsi	Bola	Lashi	Maru	OldBurmese	ProtoBurmish	Rangoon	Xiandao
665-1	n ɔ ⁵⁵								
495-1	n au ³¹								
838-1	ʐ a k ⁵⁵								
438-1	ʐ ɔ ⁵⁵								
334-1	l o ʔ ⁵⁵								
360-1	l ə ³¹								
394-1	n ə ³¹								
221-1	i p ⁵⁵								
202-1	k au ³¹								
935-1	u ³¹								
93-1	ʈʂʰ ɔ ³¹								
7-1	p a n ³¹								
664-1	oi ŋ ⁵⁵								
246-1	x a ʔ ⁵⁵								
547-1	ʐ i k ⁵⁵								
555-1	i m ⁵⁵								
464-1	m au ³¹								
119-1	ts ə ŋ ³¹								
835-1	n a p ⁵⁵								
79-1	t a ³¹								
693-1	ŋ au ⁵⁵								
477-1	n a ⁵⁵								
891-1	tʰ ə ŋ ʔ ³¹								
528-1	ʐ o ³¹								
797-1	x ʐ u ʔ ⁵⁵								
493-1	n ə k ⁵⁵								
217-1	tɕʰ a p ⁵⁵								
896-1	x u t ⁵⁵								
452-1	ʐ u ʔ ⁵⁵								
580-1	ʐ ɔ ⁵⁵								
833-1	n ɔ ⁵⁵								
390-1	m w a ŋ ³¹								
696-1	n ui ⁵⁵								
86-1	tʰ u ŋ ⁵⁵								
384-1	m a n ³¹								
61-1	ʈʂʰ a m ⁵⁵								
536-1	ɕ a ʔ ⁵⁵								
731-1	s oi ³¹								
779-1	ɔ ⁵⁵								
589-1	tʰ u ⁵⁵								
658-1	oi m ⁵⁵								
456-1	m ʐ a ŋ ³¹								
183-1	k ʐ ə ³¹								
785-1	x ɔ ³¹								
714-1	u ⁵⁵								
331-1	l ɔ ³¹								
665-2		ŋ o ⁵¹							
495-2		n o ⁵¹							
838-2		j i ⁵¹							
438-2		m j o ⁵⁵							
334-2		l o ʔ ²¹							
360-2		l ai ²¹							
394-2		m j i ²¹							
221-2		j a ²¹							
202-2		k ui ²¹							
935-2		u ²¹							
93-2		ts u ²¹							
7-2		p u n ²¹							
664-2		v a ŋ ⁵¹							
246-2		k o̱ ʔ ⁵⁵							
547-2		s i k ²¹							
555-2		j u m ⁵¹							
464-2		m au ²¹							
119-2		j i ŋ ²¹							
835-2		n a̱ p ⁵⁵							
79-2		t u ²¹							
693-2		ŋ ui ⁵¹							
477-2		ŋ a ²¹							
891-2		t i ŋ ⁵⁵							
528-2		v u ⁵¹							
797-2		k j u ʔ ⁵⁵							
493-2		n i k ²¹							
217-2		j a p ⁵⁵							
896-2		u t ⁵⁵							
452-2		m j u ⁵¹							
580-2		s u ʔ ²¹							
833-2		n a̱ ⁵¹							
390-2		m a ŋ ²¹							
696-2		ŋ ui ⁵¹							
86-2		t u ŋ ⁵¹							
384-2		m a ⁵⁵							
61-2		a m ²¹							
536-2		s o̱ ʔ ⁵⁵							
731-2		ʃ i ²¹							
779-2		o ⁵¹							
589-2		tʰ a ŋ ⁵¹							
680-2		ŋ o ʔ ⁵⁵							
658-2		v a m ⁵¹							
