COGID	Duhumbi	Jerigaon	Khispi	Khoina	Khoitam	Rahung	Rupa	Shergaon
1-1	g a							
5-1	n a							
4-1	tʰ i k							
6-1	n a ŋ							
15-1	b i							
55-1	l ɔ							
56-1	u							
60-1	s ɛi							
61-1	kʰ u ŋ							
80-1	dʑ ɔ k							
87-1	tɕʰ u							
86-1	pʰ l ɔ							
92-1	pʰ l							
102-1	m ɛi							
106-1	pʰ ɔ k							
108-1	d ɔ							
107-1	pʰ l							
112-1	pʰ ɔ m							
115-1	ɕ							
114-1	tʰ ɔ m							
120-1	d a							
124-1	a							
125-1	tʰ ɔ k							
132-1	ɕ i							
131-1	d i ŋ							
136-1	m u							
134-1	kʰ a k							
137-1	ɔ							
138-1	d ɔ k							
140-1	h a							
143-1	tɕʰ a k							
145-1	tɕʰ a m							
147-1	h ɔi							
149-1	m i k							
153-1	ɕ							
152-1	kʰ ɛ n							
158-1	kʰ u s							
163-1	l i							
164-1	ɲ u							
167-1	pʰ a ŋ							
171-1	ɲ u ŋ							
172-1	b u k							
173-1	tʰ ɔ n							
183-1	r ɛi							
185-1	m a							
188-1	kʰ u n							
189-1	ts i n							
193-1	h ɛˀ							
196-1	m a							
199-1	tɕʰ ɔi							
200-1	kʰ a n							
201-1	kʰ i							
202-1	kʰ ɔ							
203-1	tʰ ɔ ŋ							
204-1	b u							
206-1	ɲ a m							
117-1	b u							
146-1	kʰ i p							
219-1	p a							
218-1	tɕʰ i							
224-1	m a ŋ							
240-1	tɕʰ a k							
244-1	j a							
255-1	n ɛ s							
260-1	b ɛi							
263-1	r a							
269-1	dʑ j k							
271-1	tʰ a k							
209-1	kʰ i p							
277-1	m e m							
278-1	b ɔ ŋ							
135-1	d a							
284-1	m u							
797-1	u							
290-1	l u m							
289-1	k i k							
296-1	n i							
310-1	ɕ i							
319-1	i							
325-1	r i							
327-1	tʰ i							
331-1	k u							
337-1	b ɛ n							
338-1	l i ŋ							
339-1	a							
350-1	kʰ u							
349-1	tʰ u ŋ							
357-1	tɕʰ a							
355-1	ɔ							
363-1	m a n							
361-1	tʰ ɔu							
365-1	s a ɹ							
1-2		g uː						
5-2		n ɛˀ						
4-2		tʰ i k						
6-2		n a ŋ						
15-2		dʑ i						
55-2		l ɔ						
56-2		a						
60-2		s ɛː						
61-2		kʰ y ŋ						
80-2		dʑ ɔ k						
87-2		tɕʰ ɐ						
86-2		pʰ l u						
92-2		pʰ l						
102-2		m ɛˀ						
106-2		pʰ u k						
108-2		d ə						
107-2		pʰ l ɐ						
112-2		pʰ ɔ n						
115-2		s						
114-2		t u ŋ						
120-2		d u						
124-2		a						
125-2		tʰ ɔ k						
132-2		s ə						
131-2		r i ŋ						
136-2		b ə						
134-2		kʰ ɐ k						
137-2		a						
138-2		d ɔ k						
140-2		h uː						
143-2		tɕʰ ɐ k						
145-2		tɕʰ ɔ̃ː						
147-2		h ɛː						
149-2		m i k						
153-2		s						
152-2		kʰ ɛ n						
158-2		kʰ y k						
163-2		l i						
164-2		n yː						
167-2		pʰ a ŋ						
171-2		n y ŋ						
172-2		b y k						
173-2		tʰ øː						
183-2		r ɛː						
185-2		m uː						
188-2		g ə n						
189-2		tɕ i ŋ						
193-2		h ɛ						
196-2		m ɐ̃ː						
199-2		tɕʰ ɛː						
200-2		kʰ ɛ n						
201-2		tɕʰ i						
202-2		kʰ						
203-2		tʰ u ŋ						
204-2		b yː						
206-2		n a m						
117-2		b yː						
146-2		tɕʰ ɛˀ						
219-2		pʰ						
218-2		tɕʰ ɛː						
224-2		m ɔ̃ː ŋ						
240-2		tɕʰ ɐ k						
244-2		j ɐˀ						
255-2		n ɐ̃						
260-2		b ɛˀ						
263-2		r ɔː						
269-2		g ɛ k						
271-2		tʰ ɐ k						
209-2		tɕʰ ɛˀ						
277-2		m a						
278-2		b u ŋ						
135-2		d ə						
284-2		m yː						
797-2		a						
290-2		l i ŋ						
289-2		tɕ i k						
296-2		n i						
310-2		s						
319-2		iː						
325-2		r ɛ						
327-2		tʰ ɛː						
331-2		k ɔː						
337-2		b ɛ n						
338-2		l i ŋ						
339-2		ɐ̃ː						
350-2		kʰ						
349-2		tʰ y ŋ						
357-2		tɕʰ u						
355-2		a						
363-2		b ə n						
361-2		tʰ ɔː						
365-2		s a ɹ						
1-3			g a					
5-3			n a					
4-3			tʰ e k					
6-3			n a ŋ					
15-3			b i					
55-3			l ɔ					
56-3			a					
60-3			s i					
61-3			kʰ u ŋ					
80-3			dʑ ɔ k					
87-3			tɕʰ a					
86-3			pʰ l a					
92-3			pʰ l					
102-3			m ei					
106-3			pʰ ɔ k					
108-3			d ɔ					
107-3			pʰ l					
112-3			pʰ ɔ m					
115-3			ɕ					
114-3			tʰ ɔ m					
120-3			d a					
124-3			a					
125-3			tʰ ɔ k					
132-3			s i					
131-3			l i ŋ					
136-3			m u					
134-3			kʰ a k					
137-3			ɔ					
138-3			d ɔ k					
140-3			h a					
143-3			tɕʰ a k					
145-3			tɕʰ a m					
147-3			h ui					
149-3			m u k					
153-3			ɕ					
152-3			kʰ ɛ n					
158-3			k u s					
163-3			l i					
164-3			ɲ u					
167-3			pʰ a ŋ					
171-3			ɲ u ŋ					
172-3			b u k					
173-3			tʰ ɔ					
183-3			l ui					
185-3			m a					
188-3			kʰ u n					
189-3			ts u n					
193-3			h ɛ					
196-3			m a					
199-3			tɕʰ ui					
200-3			kʰ ɛ l					
201-3			kʰ i					
202-3			kʰ a					
203-3			tʰ ɔ ŋ					
204-3			b u					
206-3			ɲ a m					
117-3			b u					
146-3			kʰ pʰ					
219-3			p ɔː					
218-3			tɕʰ i					
224-3			m a ŋ					
240-3			ɕ a k					
244-3			j a					
255-3			n a s					
260-3			b ei					
263-3			l u					
269-3			g ɛ k					
271-3			tʰ a k					
209-3			kʰ pʰ					
277-3			m a m					
278-3			b ɔ ŋ					
135-3			d a					
284-3			m u					
797-3			a					
290-3			l u n					
289-3			k i					
296-3			n i					
310-3			ɕ i					
319-3			i					
325-3			l e					
327-3			tʰ i					
331-3			k u					
337-3			b ɛ n					
338-3			l i ŋ					
339-3			a					
350-3			kʰ u					
349-3			tʰ u ŋ					
357-3			tɕʰ a					
355-3			ɔ					
363-3			m a n					
361-3			tʰ au					
365-3			s a l					
1-4				g uː				
5-4				n a				
4-4				tʰ i k				
6-4				n a ŋ				
15-4				dʑ i				
55-4				l ɔ				
56-4				a				
60-4				s aː				
61-4				kʰ y ŋ				
80-4				dʑ ɔ k				
87-4				tsʰ ɐ				
86-4				pʰ l u				
92-4				pʰ l				
102-4				m aː				
106-4				pʰ u k				
108-4				d a				
107-4				pʰ l ɐ				
112-4				pʰ ɔ m				
115-4				ʂ				
114-4				t u ŋ				
120-4				d u				
124-4				a				
125-4				tʰ ɔ k				
132-4				ʂ ə				
131-4				r i ŋ				
136-4				b ə				
134-4				kʰ ɐ k				
137-4				a				
138-4				d ɔ k				
140-4				h uː				
143-4				tsʰ ɐ k				
145-4				tsʰ ɔ̃ː				
147-4				h aː				
149-4				m i k				
153-4				ʂ				
152-4				kʰ ɛ n				
158-4				kʰ i k				
163-4				l i				
164-4				n yː				
167-4				pʰ a ŋ				
171-4				n y ŋ				
172-4				b y k				
173-4				tʰ øː				
183-4				r aː				
185-4				m uː				
188-4				g ə				
189-4				ts i ŋ				
193-4				h ɛ				
196-4				m ɐ̃ː				
199-4				tsʰ aː				
200-4				kʰ a n				
201-4				ʈʂʰ i				
202-4				g a				
203-4				tʰ u ŋ				
204-4				b yː				
206-4				n a m				
117-4				b yː				
146-4				ʈʂʰ ɛˀ				
219-4				pʰ				
218-4				tsʰ aː				
224-4				m ɔ̃ː ŋ				
240-4				tsʰ ɐ k				
244-4				j ɐˀ				
255-4				n ɐ̃				
260-4				b aː				
263-4				r ɔː				
269-4				g ai k				
271-4				tʰ ɐ k				
209-4				ʈʂʰ ɛˀ				
277-4				m a				
278-4				b u ŋ				
135-4				d a				
284-4				m yː				
797-4				a				
290-4				l i ŋ				
289-4				ts i k				
296-4				n i				
310-4				ʂ				
319-4				iː				
325-4				r ɛ				
327-4				tʰ aː				
331-4				k ɔː				
337-4				b a n				
338-4				l i ŋ				
339-4				ɐ̃ː				
350-4				g ə				
349-4				tʰ y ŋ				
357-4				tsʰ u				
355-4				a				
363-4				b a n				
361-4				tʰ ɔː				
365-4				s a ɹ				
1-5					g uː			
5-5					n a			
4-5					tʰ ɛ k			
6-5					n a ŋ			
15-5					dʑ i			
55-5					l ɔ			
56-5					a			
60-5					s ɛ̃ː			
61-5					kʰ y ŋ			
80-5					dʑ ɔ k			
87-5					tɕʰ a			
86-5					pʰ l u			
92-5					pʰ l			
102-5					m ɛˀ			
106-5					pʰ u k			
108-5					d u			
107-5					pʰ l ɔː			
112-5					pʰ ɔ m			
115-5					s			
114-5					tʰ u ŋ			
120-5					d u			
124-5					a			
125-5					tʰ ɔ k			
132-5					s ə			
131-5					r i ŋ			
136-5					m ə			
134-5					kʰ a k			
137-5					a			
138-5					d ɔ k			
140-5					h uː			
143-5					tɕʰ a k			
145-5					tɕʰ ũː			
147-5					h ɛː			
149-5					m i k			
153-5					s			
152-5					kʰ a n			
158-5					h i k			
163-5					l i			
164-5					n yː			
167-5					pʰ a ŋ			
171-5					n y ŋ			
172-5					b y k			
173-5					tʰ ĩː			
183-5					r ɛː			
185-5					m uː			
188-5					kʰ ə			
189-5					tɕ i ŋ			
193-5					h ɛ			
196-5					m ɔ̃ː			
199-5					tɕʰ ɛː			
200-5					kʰ a n			
201-5					tɕʰ i			
202-5					kʰ a			
203-5					tʰ u ŋ			
204-5					b yː			
206-5					n a m			
117-5					b yː			
146-5					tɕʰ eˀ			
219-5					pʰ			
218-5					tɕʰ ɛː			
224-5					m ɔ̃ː ŋ			
240-5					tɕʰ a k			
244-5					j ɔˀ			
255-5					n ɔ			
260-5					b ɛˀ			
263-5					r ɔː			
269-5					g ɛ k			
271-5					tʰ a k			
209-5					tɕʰ eˀ			
277-5					m a			
278-5					b u ŋ			
135-5					d ə			
284-5					m yː			
797-5					a			
290-5					l i ŋ			
289-5					tɕ i k			
296-5					n i			
310-5					s			
319-5					iː			
325-5					r a			
327-5					tʰ ɛː			
331-5					k ɔː			
337-5					b a n			
338-5					l i ŋ			
339-5					ɔ̃ː			
350-5					kʰ ə			
349-5					tʰ y ŋ			
357-5					tɕʰ u			
355-5					a			
363-5					b a n			
361-5					tʰ oː			
365-5					s a ɹ			
1-6						g uː		
5-6						n a		
4-6						tʰ i k		
6-6						n a ŋ		
15-6						dʑ i		
55-6						l ɔ		
56-6						a		
60-6						s ɛː		
61-6						kʰ y ŋ		
80-6						dʑ ɔ k		
87-6						tɕʰ a		
86-6						pʰ l u		
92-6						pʰ l		
102-6						m ɛˀ		
106-6						pʰ u k		
108-6						d u		
107-6						pʰ l ɔː		
112-6						pʰ ɔ m		
115-6						s		
114-6						tʰ u ŋ		
120-6						d u		
124-6						a		
125-6						tʰ ɔ k		
132-6						s ə		
131-6						r i ŋ		
136-6						b ə		
134-6						kʰ a k		
137-6						a		
138-6						d ɔ k		
140-6						h uː		
143-6						tɕʰ a k		
145-6						tɕʰ ũː		
147-6						h ɛː		
149-6						pʰ i k		
153-6						s		
152-6						kʰ ɛ n		
158-6						kʰ i k		
163-6						l i		
164-6						n yː		
167-6						pʰ a ŋ		
171-6						n y ŋ		
172-6						b y k		
173-6						tʰ yː		
183-6						r ɛː		
185-6						m uː		
188-6						kʰ ə		
189-6						tɕ i ŋ		
193-6						h ɛ		
196-6						m ɔ̃ː		
199-6						tɕʰ ɛː		
200-6						kʰ a n		
201-6						tɕʰ i		
202-6						kʰ		
203-6						tʰ u ŋ		
204-6						b yː		
206-6						n a m		
117-6						b yː		
146-6						tɕʰ eˀ		
219-6						pʰ		
218-6						tɕʰ ɛː		
224-6						m ũː		
240-6						tɕʰ a k		
244-6						j ɔˀ		
255-6						n ɔ̃		
260-6						b ɛˀ		
263-6						r oː		
269-6						dʑ ɛ k		
271-6						tʰ a k		
209-6						tɕʰ eˀ		
277-6						m ɛ		
278-6						b u ŋ		
135-6						d ə		
284-6						m yː		
797-6						a		
290-6						l i ŋ		
289-6						tɕ i k		
296-6						n i		
310-6						s		
319-6						iː		
325-6						r ɛ		
327-6						tʰ ɛː		
331-6						k oː		
337-6						b ɛ n		
338-6						l i ŋ		
339-6						ɔ̃ː		
350-6						kʰ ə		
349-6						tʰ y ŋ		
357-6						tɕʰ u		
355-6						a		
363-6						m a n		
361-6						tʰ oː		
365-6						s a ɹ		
1-7							g uː	
5-7							n a	
4-7							tʰ i k	
6-7							n a ŋ	
15-7							dʑ i	
55-7							l ɔ	
56-7							a	
60-7							s aː	
61-7							kʰ y ŋ	
80-7							dʑ ɔ k	
87-7							tɕʰ a	
86-7							pʰ l u	
92-7							pʰ l	
102-7							m aˀ	
106-7							pʰ u k	
108-7							d ə	
107-7							pʰ l ɔː	
112-7							pʰ ɔ ŋ	
115-7							s	
114-7							tʰ u ŋ	
120-7							d u	
124-7							a	
125-7							tʰ ɔ k	
132-7							s ə	
131-7							r i ŋ	
136-7							pʰ ə	
134-7							kʰ a k	
137-7							a	
138-7							d ɔ k	
140-7							h uː	
143-7							tɕʰ a k	
145-7							tɕʰ ũː	
147-7							h aː	
149-7							m i k	
153-7							s	
152-7							kʰ a n	
158-7							k i k	
163-7							l i	
164-7							ɲ yː	
167-7							pʰ a ŋ	
171-7							ɲ y ŋ	
172-7							b y k	
173-7							tʰ ø	
183-7							r aː	
185-7							m uː	
188-7							g ə	
189-7							tɕ i n	
193-7							h a	
196-7							m ɔ̃ː	
199-7							tɕʰ aː	
200-7							kʰ a n	
201-7							kʰ i	
202-7							kʰ	
203-7							tʰ u ŋ	
204-7							b yː	
206-7							ɲ a m	
117-7							b yː	
146-7							kʰ eˀ	
219-7							pʰ	
218-7							tɕʰ aː	
224-7							m ũː ŋ	
240-7							tɕʰ a k	
244-7							j ɔˀ	
255-7							n ɔ̃	
260-7							b aˀ	
263-7							r oː	
269-7							g ɛ k	
271-7							tʰ a k	
209-7							kʰ eˀ	
277-7							m a	
278-7							b u ŋ	
135-7							d ə	
284-7							m yː	
797-7							a	
290-7							l i ŋ	
289-7							tɕ i k	
296-7							n i	
310-7							s ə	
319-7							iː	
325-7							r a	
327-7							tʰ aː	
331-7							k oː	
337-7							b a n	
338-7							l i ŋ	
339-7							ɔ̃ː	
350-7							kʰ ə	
349-7							tʰ y ŋ	
357-7							tɕʰ u	
355-7							a	
363-7							b ə	
361-7							tʰ oː	
365-7							s a ɹ	
1-8								g uː
5-8								n a
4-8								tʰ i k
6-8								n a ŋ
15-8								dʑ i
55-8								l ɔ
56-8								a
60-8								s aː
61-8								kʰ u ŋ
80-8								dʑ ɔ k
87-8								tɕʰ a
86-8								pʰ l u
92-8								pʰ l
102-8								m a
106-8								pʰ u k
108-8								d ə
107-8								pʰ l ɔː
112-8								pʰ o m
115-8								s
114-8								t u ŋ
120-8								d u
124-8								a
125-8								tʰ ɔ k
132-8								s ə
131-8								r i ŋ
136-8								b ə
134-8								kʰ a k
137-8								a
138-8								d ɔ k
140-8								h uː
143-8								tɕʰ a k
145-8								tɕʰ ɔ̃ː
147-8								h aː
149-8								m i k
153-8								s
152-8								kʰ a n
158-8								k i t
163-8								l i
164-8								ɲ iː
167-8								pʰ a ŋ
171-8								ɲ u ŋ
172-8								b u k
173-8								tʰ eː
183-8								r aː
185-8								m uː
