COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
52-1	t t e									
56-1	o m e ʔ									
96-1	a t a n									
99-1	a t i k o n									
114-1	t o k i i ʔ									
115-1	o o o i i									
133-1	t i p a a a									
144-1	a t a w a i ʔ									
150-1	k a w ʔ									
234-1	k o m									
236-1	p i k o n ʔ									
241-1	a w i n ʔ									
249-1	i tʃ e ʔ									
1-1	w a z a ʔ									
2-1	w o m m									
65-1	i w ʔ									
74-1	p a n a ʔ									
106-1	t o n i									
128-1	p o k i									
147-1	t i m i i ʔ									
231-1	p a n a w o									
232-1	p i p i j o									
239-1	n a m a k a n									
266-1	i t i m									
51-1	u w e ʔ									
97-1	m a p o m									
109-1	o p i j i i									
121-1	k a p i j a k i ʔ									
149-1	t o k									
160-1	k i r i k ʔ									
163-1	o p e n									
52-2		t t e								
56-2		e m e								
96-2		a t a s i								
99-2		a t i k e n								
114-2		t o k i s i								
115-2		e t i s i								
133-2		t i p r a a s i								
144-2		a t a w a s i								
150-2		k a w								
234-2		k o m								
236-2		p i k e n								
241-2		a w i n								
249-2		i s e								
74-2		p a n a								
93-2		t o p a r i s i								
95-2		w i k i s								
106-2		t e n e n i								
119-2		j j t t i s i								
128-2		h o k i s i								
147-2		t i m e s i								
231-2		p a n a w o								
232-2		p i p j u								
239-2		n a m a k a n								
266-2		i t i m								
51-2		e w e								
55-2		i h a m								
97-2		m a m o m n								
121-2		k a p i j a k n i								
163-2		e p e n								
52-3			i t k tʃ							
56-3			u m k							
96-3			a t a i							
99-3			a t i k u							
114-3			t u k i e i							
115-3			u u i i i							
133-3			t i p a a a i							
144-3			a t a w t e i							
150-3			k a w							
234-3			k u m							
236-3			p i k u n							
241-3			a w i n							
249-3			i e h							
1-3			w a d a							
2-3			w m m							
65-3			i w i							
93-3			t u p a a i e i							
95-3			w i k							
106-3			t u n i i i							
119-3			i a i i i i							
128-3			p u k i i							
147-3			t m m m i i							
231-3			p a n a w u							
232-3			p i p u j a							
239-3			w a m a k a n							
266-3			i i i m							
3-3			a a t k k u							
4-3			w a t i							
55-3			i h a a s							
109-3			u p w p i i							
121-3			k a p i u a k i							
149-3			t u k tʃ							
160-3			k i w i k							
52-4				t t e						
56-4				u m e						
96-4				a t a t						
99-4				a r i k o n						
114-4				t o k i i						
115-4				u r i i						
133-4				t i p a a a						
144-4				a t a w a i						
150-4				k a w						
234-4				k o m						
236-4				p i k u n						
241-4				a w i n						
249-4				i tʃ e						
1-4				w a ʒ̟ a						
2-4				w m m						
65-4				i w						
74-4				p a n a						
93-4				t u p a r i i						
95-4				w i k i						
106-4				t u n i i						
119-4				i j t i i i						
128-4				p o k						
147-4				t i m i i						
231-4				p a n a w o						
232-4				p i i u						
239-4				n a m a k a n						
266-4				i t i m						
3-4				a m r i k u						
4-4				w a r i						
51-4				u w e						
97-4				m a p u m						
109-4				u p i k i i						
121-4				k a p i j a k i						
149-4				t o k						
160-4				k i r i k						
163-4				u p u n						
52-5					t t e					
56-5					o m e					
96-5					a t a s i					
99-5					a r i j o					
114-5					t o k i s i					
115-5					e j i i s i					
133-5					t i p a r a s i					
144-5					a t a w a s i					
150-5					k a w ʔ					
234-5					k o m					
236-5					p i k y n					
241-5					a w i n					
249-5					i s e ʔ					
1-5					w a t a ʔ					
2-5					m m m m					
65-5					i w					
74-5					p a n a					
93-5					t o p a r i s i					
95-5					w i k i					
106-5					t e n i i i					
119-5					i a t i i i					
128-5					f o k i s i					
147-5					t i m i s i					
239-5					m a m a k a n					
266-5					i t i m					
3-5					a r r i k o					
4-5					w a t i					
51-5					y w e ʔ					
55-5					i f a m ʔ					
97-5					m o f o m					
109-5					y p i i i i					
149-5					t o k					
160-5					k i r i k					
163-5					o p e n					
52-6						i t k i				
56-6						u a m i				
96-6						a t a i tʃ				
99-6						a i m k u				
114-6						t u k i i				
115-6						u u tʃ i				
133-6						t i p a w a tʃ i				
144-6						a t a w i i tʃ				
150-6						k a w				
234-6						k u a				
