COGID	ClassicalNahuatl	JalupaNahuat	MecayapanNahuat	NorthPueblaNahuatl	PajapanNahuat	Pipil	Pochutec	ProtoAztecan	TetelcingoNahuatl
1-1	s i tʃ i + tɬ								
2-1	t a + n i t + tɬ i								
8-1	i i k a tɬ								
16-1	i n + tɬ i								
24-1	i s k i + tɬ								
32-1	m i tɬ i								
51-1	i l + i tɬ								
52-1	i i k + tɬ i k								
53-1	s i k i + i								
54-1	tʃ i k l								
55-1	k w a + + i								
60-1	i s t a l a l								
83-1	tɬ i								
87-1	tʃ i ts a n i								
92-1	s i + o								
103-1	m i tʃ + tɬ								
106-1	k i tɬ i								
138-1	s i n w i + tɬ								
139-1	m i + + t i i								
142-1	m i tɬ i								
145-1	s i + + eː aː + i								
176-1	t i + i a k								
179-1	s i k a + tɬ								
180-1	m i k + tɬ i								
186-1	tʃ i k + t k tɬ								
190-1	j i k a + tɬ tɬ								
194-1	s i								
220-1	i s k + + i k								
231-1	i ʔ tɬ i								
240-1	k i tɬ i								
283-1	t i k								
293-1	i n + oː tɬ								
314-1	k j a l a + i i tɬ								
315-1	i m i tɬ								
322-1	t i a + i								
323-1	t i l								
9-1	t i tʃ eː + tɬ								
17-1	i k w i + tɬ								
22-1	i w + i								
30-1	eː i tɬ								
88-1	i k i + tɬ								
158-1	s i a a + k								
159-1	i k i + + tɬ								
177-1	s i w a + tɬ								
184-1	t i a t i + tɬ								
187-1	i i n + w a + tɬ								
227-1	x a ʔ w + l								
235-1	s i a l a k								
249-1	t i k + tɬ i								
251-1	x + + tɬ i k i								
289-1	k s i a t a l + t i								
294-1	tʃ i n + a + tɬ								
296-1	n oː n a tʃ								
313-1	tɬ i n + + tɬ								
316-1	s i l + n i tɬ a								
318-1	k o a n i t								
320-1	i m + tɬ								
324-1	k i s aː i k								
326-1	a k tɬ								
1-2		s u tʃ a							
2-2		t a + a							
8-2		s a e							
16-2		s u s + t a							
24-2		i s a							
32-2		s i t e							
51-2		t u n t a							
52-2		i u k + u							
53-2		s u r a							
54-2		t a							
55-2		t u a							
60-2		i s + t n u							
83-2		t a							
87-2		t a tʃ a n							
92-2		s a a							
103-2		s u							
106-2		h a t e							
138-2		s u h i							
139-2		s u n t a a							
142-2		s a e							
145-2		s u t a + a							
176-2		t u t h a							
179-2		s u a							
180-2		s u t + t a							
186-2		t u							
190-2		i u h							
194-2		s a							
220-2		u s t + a							
231-2		s h t a							
240-2		h a t e							
283-2		t t a							
293-2		t u n i							
314-2		s a o a							
315-2		u n a							
322-2		t u s u a							
323-2		t u							
9-2		t u a							
17-2		e h s i							
22-2		t e u a							
88-2		a tʃ a							
158-2		s u a a k							
159-2		e a n w							
177-2		s u u a +							
184-2		a a i t							
187-2		i u n h w a							
227-2		s a a							
235-2		s i t a w a + a							
249-2		t u h + t i							
289-2		s a t a a a							
294-2		t a h t i							
296-2		s n u x e a							
313-2		t a n							
316-2		s u h a t a							
318-2		t a a n							
324-2		u s a k							
326-2		a h							
1-3			s i t i						
2-3			k + + i + n i x + i						
8-3			i i p o aː						
16-3			t i s + t i						
24-3			i s t a ʔ ʔ						
32-3			s i ʔ i						
51-3			t t i h t o ʔ						
52-3			i i k + t i ʔ						
53-3			j i p i l						
54-3			t i h l i						
55-3			t w aː						
60-3			i s + + o x o l o						
83-3			t eː p + + ʔ						
87-3			t i t a l i						
92-3			s i ʔ o						
103-3			s i n t ʔ						
106-3			t i t i						
138-3			s i w aː + ʔ						
139-3			s i + + k t o i						
142-3			s i t i						
145-3			s i + + eː t o						
176-3			t i + + k o ʔ						
179-3			j i p aː + ʔ						
180-3			s i s + ʔ i						
186-3			t i p + t						
190-3			j i k i + ʔ						
194-3			s eː ʔ						
220-3			i s p + t i						
231-3			eː + a						
240-3			t i t i						
283-3			t + + t eː ʔ						
293-3			t i n aː						
314-3			k w a h o						
315-3			i s i						
322-3			t i n e w a h						
323-3			t i p						
9-3			t i p eː + ʔ						
17-3			i p m a + ʔ						
22-3			t eː + w n						
30-3			t eː i ʔ						
88-3			iː p i						
158-3			s i k w w o						
159-3			i t i s a						
177-3			s i n aː t						
184-3			t i p aː n ʔ						
187-3			i i n k w aː + ʔ						
227-3			ts + x a h l i						
235-3			s i + + a l aː n i						
249-3			t i k + t i						
251-3			k k x o + + t ʔ i ʔ i						
289-3			k s i k a t aː l						
294-3			t i n w aː						
313-3			t a n + ʔ						
316-3			s i n + n i ʔ o						
318-3			k + + o k o n l						
320-3			k + p eː ʔ ʔ						
324-3			k i s + o ʔ						
326-3			a p + ʔ						
1-4				s i tʃ i					
2-4				tɬ i + n o k i					
8-4				s e + i o i					
16-4				j e n + tɬ e					
24-4				i s t e					
32-4				m i t o					
51-4				tɬ e l + a tɬ					
52-4				i e ts + t i k					
53-4				s i k a l					
54-4				tɬ i p l i					
55-4				k w a					
60-4				i m + t a l a l o					
83-4				tɬ e + i i					
87-4				tʃ i ts i l e					
92-4				s i t e					
103-4				m e tʃ					
106-4				tʃ e t o					
138-4				s i p w w tɬ					
139-4				m i k + t i i					
142-4				m i t e					
145-4				s e + t e i o					
176-4				t e + i o tɬ					
179-4				s i + e + tɬ					
180-4				m e i n + tɬ i					
186-4				t i p + t o					
190-4				j i k i + i					
194-4				s i					
220-4				i s + t e					
231-4				i h tɬ e					
240-4				tʃ i t o					
283-4				t i + t o					
293-4				tɬ e n o tɬ					
314-4				k w i l o					
315-4				i m e					
322-4				t i n o l a w					
323-4				t e p i					
9-4				tʃ i tʃ e tɬ					
17-4				i h m e + tɬ					
30-4				j e e k					
88-4				i ts i + tɬ					
158-4				s i a a					
177-4				s i w a					
184-4				t i a					
187-4				a e n k w a + tɬ					
227-4				tʃ k x i h l i					
235-4				s i t tɬ a l a i					
249-4				tʃ e k + tɬ i					
251-4				t x o i i k i					
289-4				k e i k a t a l					
294-4				t i n w w tɬ					
296-4				t o n a tʃ					
313-4				tɬ e n + + o tɬ					
316-4				s i x + n i tɬ e					
318-4				k i t t e o n					
320-4				e ts tɬ					
324-4				k i n t i i o k					
326-4				a k i tɬ					
1-5					x i t o				
2-5					t x a i + n o x i				
8-5					m a o i				
16-5					t iː s + t i				
24-5					i s i				
32-5					m o t i				
51-5					t t o n + o				
52-5					o o k + t i t				
53-5					s o o s				
54-5					t o n i				
55-5					t a				
60-5					oː n + o g				
83-5					t oː				
87-5					t o t o n i				
92-5					m o t i				
103-5					s o n i				
106-5					t o t i				
138-5					s o n a				
139-5					s oː a + o o				
142-5					m i t i				
145-5					s o eː o				
176-5					t eː + g o				
179-5					s o o + t				
180-5					t o k + t i				
186-5					t eː k				
190-5					m eː k n h i				
194-5					s eː t t				
220-5					o s t i				
231-5					i h t i				
240-5					t o t i				
283-5					t i + + o				
293-5					t eː n a o				
314-5					t s a o				
315-5					o n i				
322-5					t o m o o				
323-5					t eː p				
9-5					t o o + t				
17-5					i m aː + t				
22-5					t eː n n				
30-5					eː eː t				
88-5					i o + t				
158-5					s e o o h i				
159-5					e t eː n iː				
177-5					s o s o k				
184-5					t o o m				
187-5					eː o n h o + t				
227-5					x o h n i				
235-5					s o a o o				
249-5					t o k + t i				
251-5					t t x o + o i				
289-5					t o a a h aː				
294-5					t e m				
296-5					t oː n oː + a				
313-5					t a n				
316-5					s o x + n i l i				
318-5					t t t o t o n				
320-5					t eː h + t				
324-5					t o s + k o				
326-5					a t				
1-6						s i tʃ i			
2-6						t + t u + n a k + t			
8-6						i i + u			
16-6						t i n + t i			
24-6						i s t i			
32-6						m i t i			
51-6						t t i n + i			
52-6						j i k + i			
53-6						s i + u n			
54-6						t i n n			
55-6						t w i			
60-6						i s + t i n a l i			
83-6						t eː			
87-6						t i l u n i			
92-6						s i k i			
103-6						s i s s			
106-6						t i t i			
138-6						s i n w i			
139-6						m i t + + + t a l			
142-6						m i t i			
145-6						s i + u eː k a			
176-6						t i + + t a			
179-6						j i tʃ i + t			
180-6						s i n + t i			
186-6						t i l			
190-6						j i k u			
194-6						s i t			
220-6						i n + w + w i			
231-6						i h i i			
240-6						t i t i			
283-6						t u x + t eː t			
293-6						t i n i			
314-6						t m i l n			
315-6						i s i t			
322-6						t i n e w a			
323-6						t i			
9-6						t i l i			
17-6						i + n i			
22-6						t eː t w n			
30-6						t eː i t			
88-6						i tʃ i			
158-6						s i t a a k			
159-6						i t eː n a t			
177-6						s i a			
184-6						t i u a w t			
187-6						i i n w w i t			
227-6						t t x a s l a			
235-6						s i t x a l a a			
249-6						t i x + t i			
251-6						t t n i i a			
289-6						t s i x a w a l			
294-6						t i n w i			
296-6						n u n a tʃ			
313-6						t i n			
316-6						s i x + n i i			
318-6						t t t a x u n a			
320-6						t t + a w + t			
324-6						t i s t a k			
1-7							n		
2-7							e		
8-7							n		
16-7							n		
24-7							n t e		
32-7									
51-7									
52-7									
53-7							n x		
54-7							k k n		
55-7									
60-7									
83-7							k		
87-7							k t n		
92-7									
103-7									
106-7							k		
138-7							n n		
139-7									
142-7									
145-7									
176-7							k		
179-7							n t		
180-7							t		
186-7							k k		
190-7							x t		
194-7							n		
220-7							n		
231-7							t		
240-7							k		
283-7									
293-7							t n		
314-7							l		
315-7							n		
322-7							k e e		
323-7							k		
17-7							k n e		
22-7							k e		
30-7							n		
159-7							k		
251-7							l		
296-7							n e		
320-7							e		
326-7							t		
1-8								s i k	
2-8								tɬ a tʃ n a tɬ ɨ	
8-8								j i + l tɬ	
16-8								i n + tɬ	
24-8								ɨ s t ɨ + tɬ	
32-8								m i tɬ ɨ	
51-8								t i n + ɨ + tɬ	
52-8								i i k + tɬ ɨ k	
53-8								s i k + tɬ	
54-8								t i k l	
55-8								t w a + + m	
60-8								i s + iː n a l k	
83-8								t i + + + tɬ	
87-8								s i k a n + ɨ	
92-8								s i tɬ ɨ	
103-8								m i h	
106-8								t i tɬ ɨ	
138-8								s i k ɨ + tɬ	
139-8								m i + + t ɨ ɨ + + k	
142-8								m i tɬ ɨ	
145-8								s i eː + a + k	
176-8								t i + t a + tɬ	
179-8								s i k ɨ + tɬ	
180-8								m i k + tɬ	
186-8								t i k + tɬ	
190-8								j i k + m	
194-8								t i tɬ	
220-8								i s t ɨ k	
231-8								eː + tɬ ɨ	
240-8								t i tɬ ɨ	
283-8								tɬ k	
293-8								i n ɨ	
314-8								tɬ j a l + + tɬ	
315-8								i n ɨ tɬ	
322-8								t i e w a + m	
323-8								t eː tɬ	
9-8								t i k ɨ + tɬ	
17-8								ɨ k w ɨ + tɬ	
22-8								t ɨ tɬ ɨ a + + + k	
30-8								eː ɨ tɬ	
88-8								iː k i tɬ tɬ	
158-8								j i k ɨ a a + + k	
159-8								i t eː n ɨ tɬ tɬ	
177-8								s i	
184-8								t i a	
187-8								j i n + w ɨ tɬ	
227-8								s n + w	
235-8								s i a l a t ɨ k	
249-8								t i k + tɬ	
251-8								tɬ m ɨ tʃ + ɨ k a	
289-8								k s i a t a l + k	
294-8								t ɨ n ɨ + tɬ	
296-8								m oː m ɨ + ɨ	
313-8								t i n + tɬ	
316-8								s i x + l ɨ tɬ ɨ	
318-8								tɬ tɬ ɨ n a + + ɨ	
320-8								eː tʃ + tɬ tɬ	
324-8								k i s + t a + k k	
326-8								a k tɬ	
1-9									s o tʃ iː
2-9									x iː n + + n o x + tɬ iː
8-9									m o + j o iː u
16-9									j e x + tɬ iː
24-9									i h t e k tɬ
32-9									m o t iː
51-9									t o t e tɬ
52-9									o o ts + t a k
53-9									s o k iː l
54-9									t o p l iː
55-9									k w a t t
60-9									o m + t o l o l e
83-9									tɬ i p j u + tɬ
87-9									tʃ o tʃ a l iː
92-9									m o t iː
103-9									m o x u
106-9									tʃ o t iː
138-9									m o p m a + tɬ
139-9									m o tʃ + ø + tʃ a
142-9									m o t iː
145-9									m o n t i tɬ t iː a
176-9									t a e + t a u + tɬ
179-9									s o + a + tɬ
180-9									m o e n + tɬ iː
186-9									t o p ts j + tɬ
190-9									j o m iː + u
194-9									s o iː
220-9									o h ts tɬ ts iː a
231-9									i h t e
240-9									tʃ o t iː
283-9									x iː n + + t a tɬ
293-9									iː n + u
314-9									k j o b e + j u + tɬ
315-9									o m o
322-9									tɬ i n e b a l j
323-9									t o p t
9-9									t o e a + tɬ
22-9									tɬ a + l
30-9									m iː tɬ
88-9									i ts o + tɬ
158-9									j i + ø l a + j
159-9									o k o l iː + + tɬ
177-9									s o tʃ iː + j tɬ
184-9									t o t a j t
187-9									a o n + w a + tɬ
227-9									x o + l iː
235-9									ts o m tɬ a l a iː
249-9									t o k + tɬ iː
251-9									x iː x a tʃ + t iː k iː
289-9									k s i + a tʃ e n
294-9									t e p l a + tɬ
296-9									t u n a tʃ iː
313-9									tɬ a n + + u
316-9									m o x ts n iː l iː
318-9									tʃ i m t i t e n e
320-9									x iː + e tʃ + tɬ tɬ
324-9									k o s + + k o k
326-9									a k a tɬ k
