index	index_p	rindex	rindex_p	cogid	id_cojubim	segment_cojubim	segment_cojubim_L1	segment_cojubim_L2	segment_cojubim_L3	segment_cojubim_R1	segment_cojubim_R2	segment_cojubim_R3	SC_cojubim	SC_cojubim_L1	SC_cojubim_L2	SC_cojubim_L3	SC_cojubim_R1	SC_cojubim_R2	SC_cojubim_R3	PROSODY_cojubim	PROSODY_cojubim_L1	PROSODY_cojubim_L2	PROSODY_cojubim_L3	PROSODY_cojubim_R1	PROSODY_cojubim_R2	PROSODY_cojubim_R3	id_jaru	segment_jaru	segment_jaru_L1	segment_jaru_L2	segment_jaru_L3	segment_jaru_R1	segment_jaru_R2	segment_jaru_R3	SC_jaru	SC_jaru_L1	SC_jaru_L2	SC_jaru_L3	SC_jaru_R1	SC_jaru_R2	SC_jaru_R3	PROSODY_jaru	PROSODY_jaru_L1	PROSODY_jaru_L2	PROSODY_jaru_L3	PROSODY_jaru_R1	PROSODY_jaru_R2	PROSODY_jaru_R3	id_kitemoka	segment_kitemoka	segment_kitemoka_L1	segment_kitemoka_L2	segment_kitemoka_L3	segment_kitemoka_R1	segment_kitemoka_R2	segment_kitemoka_R3	SC_kitemoka	SC_kitemoka_L1	SC_kitemoka_L2	SC_kitemoka_L3	SC_kitemoka_R1	SC_kitemoka_R2	SC_kitemoka_R3	PROSODY_kitemoka	PROSODY_kitemoka_L1	PROSODY_kitemoka_L2	PROSODY_kitemoka_L3	PROSODY_kitemoka_R1	PROSODY_kitemoka_R2	PROSODY_kitemoka_R3	id_more	segment_more	segment_more_L1	segment_more_L2	segment_more_L3	segment_more_R1	segment_more_R2	segment_more_R3	SC_more	SC_more_L1	SC_more_L2	SC_more_L3	SC_more_R1	SC_more_R2	SC_more_R3	PROSODY_more	PROSODY_more_L1	PROSODY_more_L2	PROSODY_more_L3	PROSODY_more_R1	PROSODY_more_R2	PROSODY_more_R3	id_orowin	segment_orowin	segment_orowin_L1	segment_orowin_L2	segment_orowin_L3	segment_orowin_R1	segment_orowin_R2	segment_orowin_R3	SC_orowin	SC_orowin_L1	SC_orowin_L2	SC_orowin_L3	SC_orowin_R1	SC_orowin_R2	SC_orowin_R3	PROSODY_orowin	PROSODY_orowin_L1	PROSODY_orowin_L2	PROSODY_orowin_L3	PROSODY_orowin_R1	PROSODY_orowin_R2	PROSODY_orowin_R3	id_tapakura	segment_tapakura	segment_tapakura_L1	segment_tapakura_L2	segment_tapakura_L3	segment_tapakura_R1	segment_tapakura_R2	segment_tapakura_R3	SC_tapakura	SC_tapakura_L1	SC_tapakura_L2	SC_tapakura_L3	SC_tapakura_R1	SC_tapakura_R2	SC_tapakura_R3	PROSODY_tapakura	PROSODY_tapakura_L1	PROSODY_tapakura_L2	PROSODY_tapakura_L3	PROSODY_tapakura_R1	PROSODY_tapakura_R2	PROSODY_tapakura_R3	id_tora	segment_tora	segment_tora_L1	segment_tora_L2	segment_tora_L3	segment_tora_R1	segment_tora_R2	segment_tora_R3	SC_tora	SC_tora_L1	SC_tora_L2	SC_tora_L3	SC_tora_R1	SC_tora_R2	SC_tora_R3	PROSODY_tora	PROSODY_tora_L1	PROSODY_tora_L2	PROSODY_tora_L3	PROSODY_tora_R1	PROSODY_tora_R2	PROSODY_tora_R3	id_urupa	segment_urupa	segment_urupa_L1	segment_urupa_L2	segment_urupa_L3	segment_urupa_R1	segment_urupa_R2	segment_urupa_R3	SC_urupa	SC_urupa_L1	SC_urupa_L2	SC_urupa_L3	SC_urupa_R1	SC_urupa_R2	SC_urupa_R3	PROSODY_urupa	PROSODY_urupa_L1	PROSODY_urupa_L2	PROSODY_urupa_L3	PROSODY_urupa_R1	PROSODY_urupa_R2	PROSODY_urupa_R3	id_wanyam	segment_wanyam	segment_wanyam_L1	segment_wanyam_L2	segment_wanyam_L3	segment_wanyam_R1	segment_wanyam_R2	segment_wanyam_R3	SC_wanyam	SC_wanyam_L1	SC_wanyam_L2	SC_wanyam_L3	SC_wanyam_R1	SC_wanyam_R2	SC_wanyam_R3	PROSODY_wanyam	PROSODY_wanyam_L1	PROSODY_wanyam_L2	PROSODY_wanyam_L3	PROSODY_wanyam_R1	PROSODY_wanyam_R2	PROSODY_wanyam_R3	id_wari	segment_wari	segment_wari_L1	segment_wari_L2	segment_wari_L3	segment_wari_R1	segment_wari_R2	segment_wari_R3	SC_wari	SC_wari_L1	SC_wari_L2	SC_wari_L3	SC_wari_R1	SC_wari_R2	SC_wari_R3	PROSODY_wari	PROSODY_wari_L1	PROSODY_wari_L2	PROSODY_wari_L3	PROSODY_wari_R1	PROSODY_wari_R2	PROSODY_wari_R3
1	0.1111	9	1.0000	3																																													1	-	∅	∅	∅	a	r	i	_	∅	∅	∅	A	R	I	0	∅	∅	∅	7	5	7	2	k	∅	∅	∅	o	r	a	K	∅	∅	∅	U	R	A	1	∅	∅	∅	7	5	7	3	w	∅	∅	∅	o	r	i	W	∅	∅	∅	U	R	I	6	∅	∅	∅	7	5	7	4	-	∅	∅	∅	a	r	i	_	∅	∅	∅	A	R	I	0	∅	∅	∅	7	5	7	5	w	∅	∅	∅	a	r	i	W	∅	∅	∅	A	R	I	6	∅	∅	∅	7	5	7	6	-	∅	∅	∅	o	k	a	_	∅	∅	∅	U	K	A	0	∅	∅	∅	7	1	7	7	-	∅	∅	∅	a	r	u	_	∅	∅	∅	A	R	Y	0	∅	∅	∅	7	5	7	8	w	∅	∅	∅	i	r	i	W	∅	∅	∅	I	R	I	6	∅	∅	∅	7	5	7
2	0.2222	8	0.8889	3																																													1	a	-	∅	∅	r	i	k	A	_	∅	∅	R	I	K	7	0	∅	∅	5	7	1	2	o	k	∅	∅	r	a	r	U	K	∅	∅	R	A	R	7	1	∅	∅	5	7	5	3	o	w	∅	∅	r	i	k	U	W	∅	∅	R	I	K	7	6	∅	∅	5	7	1	4	a	-	∅	∅	r	i	k	A	_	∅	∅	R	I	K	7	0	∅	∅	5	7	1	5	a	w	∅	∅	r	i	k	A	W	∅	∅	R	I	K	7	6	∅	∅	5	7	1	6	o	-	∅	∅	k	a	-	U	_	∅	∅	K	A	_	7	0	∅	∅	1	7	0	7	a	-	∅	∅	r	u	k	A	_	∅	∅	R	Y	K	7	0	∅	∅	5	7	1	8	i	w	∅	∅	r	i	k	I	W	∅	∅	R	I	K	7	6	∅	∅	5	7	1
3	0.3333	7	0.7778	3																																													1	r	a	-	∅	i	k	-	R	A	_	∅	I	K	_	5	7	0	∅	7	1	0	2	r	o	k	∅	a	r	-	R	U	K	∅	A	R	_	5	7	1	∅	7	5	0	3	r	o	w	∅	i	k	-	R	U	W	∅	I	K	_	5	7	6	∅	7	1	0	4	r	a	-	∅	i	k	-	R	A	_	∅	I	K	_	5	7	0	∅	7	1	0	5	r	a	w	∅	i	k	-	R	A	W	∅	I	K	_	5	7	6	∅	7	1	0	6	k	o	-	∅	a	-	-	K	U	_	∅	A	_	_	1	7	0	∅	7	0	0	7	r	a	-	∅	u	k	w	R	A	_	∅	Y	K	W	5	7	0	∅	7	1	6	8	r	i	w	∅	i	k	-	R	I	W	∅	I	K	_	5	7	6	∅	7	1	0
4	0.4444	6	0.6667	3																																													1	i	r	a	-	k	-	o	I	R	A	_	K	_	U	7	5	7	0	1	0	7	2	a	r	o	k	r	-	i	A	R	U	K	R	_	I	7	5	7	1	5	0	7	3	i	r	o	w	k	-	o	I	R	U	W	K	_	U	7	5	7	6	1	0	7	4	i	r	a	-	k	-	a	I	R	A	_	K	_	A	7	5	7	0	1	0	7	5	i	r	a	w	k	-	o	I	R	A	W	K	_	U	7	5	7	6	1	0	7	6	a	k	o	-	-	-	i	A	K	U	_	_	_	I	7	1	7	0	0	0	7	7	u	r	a	-	k	w	a	Y	R	A	_	K	W	A	7	5	7	0	1	6	7	8	i	r	i	w	k	-	o	I	R	I	W	K	_	U	7	5	7	6	1	0	7
5	0.5556	5	0.5556	3																																													1	k	i	r	a	-	o	-	K	I	R	A	_	U	_	1	7	5	7	0	7	0	2	r	a	r	o	-	i	-	R	A	R	U	_	I	_	5	7	5	7	0	7	0	3	k	i	r	o	-	o	-	K	I	R	U	_	U	_	1	7	5	7	0	7	0	4	k	i	r	a	-	a	h	K	I	R	A	_	A	H	1	7	5	7	0	7	3	5	k	i	r	a	-	o	-	K	I	R	A	_	U	_	1	7	5	7	0	7	0	6	-	a	k	o	-	i	n	_	A	K	U	_	I	N	0	7	1	7	0	7	4	7	k	u	r	a	w	a	n	K	Y	R	A	W	A	N	1	7	5	7	6	7	4	8	k	i	r	i	-	o	-	K	I	R	I	_	U	_	1	7	5	7	0	7	0
6	0.6667	4	0.4444	3																																													1	-	k	i	r	o	-	-	_	K	I	R	U	_	_	0	1	7	5	7	0	0	2	-	r	a	r	i	-	-	_	R	A	R	I	_	_	0	5	7	5	7	0	0	3	-	k	i	r	o	-	-	_	K	I	R	U	_	_	0	1	7	5	7	0	0	4	-	k	i	r	a	h	u	_	K	I	R	A	H	Y	0	1	7	5	7	3	7	5	-	k	i	r	o	-	-	_	K	I	R	U	_	_	0	1	7	5	7	0	0	6	-	-	a	k	i	n	-	_	_	A	K	I	N	_	0	0	7	1	7	4	0	7	w	k	u	r	a	n	-	W	K	Y	R	A	N	_	6	1	7	5	7	4	0	8	-	k	i	r	o	-	-	_	K	I	R	U	_	_	0	1	7	5	7	0	0
7	0.7778	3	0.3333	3																																													1	o	-	k	i	-	-	∅	U	_	K	I	_	_	∅	7	0	1	7	0	0	∅	2	i	-	r	a	-	-	∅	I	_	R	A	_	_	∅	7	0	5	7	0	0	∅	3	o	-	k	i	-	-	∅	U	_	K	I	_	_	∅	7	0	1	7	0	0	∅	4	a	-	k	i	h	u	∅	A	_	K	I	H	Y	∅	7	0	1	7	3	7	∅	5	o	-	k	i	-	-	∅	U	_	K	I	_	_	∅	7	0	1	7	0	0	∅	6	i	-	-	a	n	-	∅	I	_	_	A	N	_	∅	7	0	0	7	4	0	∅	7	a	w	k	u	n	-	∅	A	W	K	Y	N	_	∅	7	6	1	7	4	0	∅	8	o	-	k	i	-	-	∅	U	_	K	I	_	_	∅	7	0	1	7	0	0	∅
8	0.8889	2	0.2222	3																																													1	-	o	-	k	-	∅	∅	_	U	_	K	_	∅	∅	0	7	0	1	0	∅	∅	2	-	i	-	r	-	∅	∅	_	I	_	R	_	∅	∅	0	7	0	5	0	∅	∅	3	-	o	-	k	-	∅	∅	_	U	_	K	_	∅	∅	0	7	0	1	0	∅	∅	4	h	a	-	k	u	∅	∅	H	A	_	K	Y	∅	∅	3	7	0	1	7	∅	∅	5	-	o	-	k	-	∅	∅	_	U	_	K	_	∅	∅	0	7	0	1	0	∅	∅	6	n	i	-	-	-	∅	∅	N	I	_	_	_	∅	∅	4	7	0	0	0	∅	∅	7	n	a	w	k	-	∅	∅	N	A	W	K	_	∅	∅	4	7	6	1	0	∅	∅	8	-	o	-	k	-	∅	∅	_	U	_	K	_	∅	∅	0	7	0	1	0	∅	∅
9	1.0000	1	0.1111	3																																													1	-	-	o	-	∅	∅	∅	_	_	U	_	∅	∅	∅	0	0	7	0	∅	∅	∅	2	-	-	i	-	∅	∅	∅	_	_	I	_	∅	∅	∅	0	0	7	0	∅	∅	∅	3	-	-	o	-	∅	∅	∅	_	_	U	_	∅	∅	∅	0	0	7	0	∅	∅	∅	4	u	h	a	-	∅	∅	∅	Y	H	A	_	∅	∅	∅	7	3	7	0	∅	∅	∅	5	-	-	o	-	∅	∅	∅	_	_	U	_	∅	∅	∅	0	0	7	0	∅	∅	∅	6	-	n	i	-	∅	∅	∅	_	N	I	_	∅	∅	∅	0	4	7	0	∅	∅	∅	7	-	n	a	w	∅	∅	∅	_	N	A	W	∅	∅	∅	0	4	7	6	∅	∅	∅	8	-	-	o	-	∅	∅	∅	_	_	U	_	∅	∅	∅	0	0	7	0	∅	∅	∅
1	0.1667	6	1.0000	4																																													9	w	∅	∅	∅	a	tʃ	e	W	∅	∅	∅	A	T	E	6	∅	∅	∅	7	1	7	10	w	∅	∅	∅	a	t	i	W	∅	∅	∅	A	T	I	6	∅	∅	∅	7	1	7	11	w	∅	∅	∅	a	r	i	W	∅	∅	∅	A	R	I	6	∅	∅	∅	7	5	7	12	w	∅	∅	∅	a	j	a	W	∅	∅	∅	A	J	A	6	∅	∅	∅	7	6	7	13	w	∅	∅	∅	a	z	a	W	∅	∅	∅	A	S	A	6	∅	∅	∅	7	3	7	14	w	∅	∅	∅	a	r	i	W	∅	∅	∅	A	R	I	6	∅	∅	∅	7	5	7	15	w	∅	∅	∅	a	r	i	W	∅	∅	∅	A	R	I	6	∅	∅	∅	7	5	7	16	w	∅	∅	∅	a	r	i	W	∅	∅	∅	A	R	I	6	∅	∅	∅	7	5	7
