COGID	Amami	Hachijo	Kagoshima	Kochi	Kyoto	Miyako	Oki	Sado	Shuri	Tokyo
14-1	x u r ɨ									
18-1	θ a ɨ									
35-1	tɕ u i									
36-1	o θ a ɨ									
48-1	n a g a s a r i									
60-1	θ u r i									
63-1	s a ɴ u m i									
64-1	k e									
67-1	ʔʲ a									
68-1	n e u									
71-1	i									
76-1	u ɨ									
83-1	ts ɨ n u									
87-1	h a e									
95-1	m e m i									
98-1	h a n a									
99-1	k u i									
-102-1	s i b u j a									
103-1	ts ɨ m e									
110-1	θ e									
116-1	ʔʲ ɨ ɨ									
120-1	n u m u r i									
132-1	k ɨ b u r i									
139-1	ʔ k u u s u									
140-1	ʔ a u r u									
156-1	θ a θ ɨ ɴ									
168-1	ts ɨ k u i									
169-1	h u s i									
170-1	m e d ɨ									
173-1	ʔ e i									
180-1	k u m o									
185-1	h a									
186-1	m u r u r i									
187-1	m a tɕ i									
190-1	ʔ a k a s a r i									
193-1	k i u i									
194-1	s i r u s a r i									
195-1	k u ɴ u s a r i									
216-1	m a r u ɕ a r i									
221-1	n a									
239-1	ʔ i tɕ i									
252-1	m uː tɕ ɨ									
253-1	j u θ ɨ									
254-1	ʔ i ts i r ɨ									
266-1	x a d e									
267-1	n a g a r ɨ r u r i									
268-1	ʔ u m i									
272-1	ʔ a m e u									
276-1	ʔ a a r u r i									
281-1	m u s i i									
304-1	ts ɨ a									
305-1	x tɕ i									
308-1	w a n a									
309-1	u m a									
310-1	θ u									
311-1	n ɴ r i									
342-1	m u r i									
346-1	k u r a s a r i									
347-1	k ɨ r u r i									
348-1	h i r u s a r i									
351-1	θ u s u r i									
361-1	ʔ j u s a r i									
379-1	k u a									
394-1	h i sː a r i									
395-1	n i tɕ r i									
400-1	h i sː a r u i									
412-1	w a x ɨ r u r i									
413-1	k ts ɨ k u s ɨ r u r i									
414-1	u r u r i									
422-1	h o k u ɨ r u r i									
423-1	x a g a u r i									
430-1	m a u r i									
435-1	m u b u r i									
446-1	s i tɕ a r a									
447-1	ʔ u r ɨ									
458-1	θ u s i									
56-1	h i θ u									
62-1	ʔʲ uː r									
70-1	a ɨ									
96-1	m uː									
101-1	h a									
14-2		k o r e								
18-2		h a r e								
35-2		h i o e								
36-2		h u o e								
48-2		h a g u kʲ a								
60-2		h o r e								
63-2		s i r a m e								
64-2		k i								
67-2		h a								
68-2		h e								
71-2		g i								
76-2		h o e								
83-2		ts u n o								
87-2		h a e								
95-2		m i m i								
98-2		h a n a								
99-2		k u tɕ i								
-102-2		i k r a								
103-2		i m e								
110-2		d e								
116-2		m u e								
120-2		j o m u								
132-2		k i k u								
139-2		k o r o s u								
140-2		o r o u								
156-2		h a t e u								
168-2		i k i								
169-2		h o s i								
170-2		m i s u								
173-2		i s i								
180-2		k u m o								
185-2		h a e								
186-2		m o e r u								
187-2		m i i								
190-2		a k u kʲ a a								
193-2		k i r o e								
194-2		h i r u kʲ i								
195-2		k u r u kʲ i								
216-2		m a r u a								
221-2		n a n a								
239-2		i u								
252-2		m i u								
253-2		j o u								
254-2		i u u								
266-2		k a e								
267-2		h a g a r e r u								
268-2		u m i								
272-2		a m e i								
276-2		a a u								
281-2		m u s u i								
304-2		u u a								
305-2		i i								
308-2		h a a								
309-2		k u s a								
310-2		d o								
311-2		h u i								
342-2		j i k i								
346-2		k u r u kʲ i								
347-2		k i r u								
348-2		h i r u kʲ i								
351-2		o i								
361-2		m o a a								
379-2		k u s a a								
394-2		h i t e r i								
395-2		m i u i								
400-2		h i t e r u								
412-2		s a k e r u								
413-2		ts u k i u								
414-2		h o r u								
422-2		h u k e r e r u								
423-2		k a g a e r u								
430-2		h a k u								
435-2		h u k u								
446-2		s i a a								
447-2		u b e								
458-2		o s i								
56-2		h o								
65-2		k u r a								
70-2		t a e								
75-2		k a a								
14-3			k a i							
18-3			t a i							
35-3			h iː o							
36-3			h u a							
48-3			n a g e							
60-3			t o r i i							
63-3			s i j a m							
64-3			k iː							
67-3			h a							
68-3			n e							
71-3			i i							
76-3			h a n							
83-3			ts ui n o							
87-3			h a n e							
95-3			m i m							
98-3			h a i n a							
99-3			k ui							
-102-3			s e j a							
103-3			ts u m							
110-3			t e							
116-3			m i u n e							
120-3			n o m							
132-3			k i							
139-3			i k o r o s							
140-3			o j o							
156-3			t a e							
168-3			tɕ u k i							
169-3			h o							
170-3			m i							
173-3			ui i							
180-3			k ui m o							
185-3			h i							
186-3			m o							
187-3			m i ɕ							
190-3			a k i							
193-3			k i j o							
194-3			s i j o e							
195-3			k ui r o e							
216-3			m a r u							
221-3			n a m							
239-3			i							
252-3			m i							
253-3			j o							
254-3			i ts							
266-3			k a i e							
267-3			n a g a r ui r u							
268-3			ui m i							
272-3			a m e g							
276-3			a r a							
281-3			m ui ɕ i							
304-3			ts u i a							
305-3			i							
308-3			h a n a							
309-3			k ui a							
310-3			t o							
311-3			n i							
342-3			j ui							
346-3			k u r i							
347-3			k i j i							
348-3			h i j o e							
351-3			t o i							
361-3			i o							
379-3			k ui s a j u a							
394-3			h i a i							
395-3			n i g i							
400-3			h i a r u							
412-3			s a k r							
413-3			ts u k i ui							
414-3			ɸ o r i							
422-3			ɸ u k ui r u							
423-3			k a i g a							
430-3			h a u							
435-3			ɸ ui							
446-3			s i j a i							
447-3			ui i							
458-3			t o i							
56-3			h iː t a							
62-3			iː iː							
65-3			k a w a							
70-3			t a n							
75-3			k a w a							
96-3			n iː							
101-3			h a							
14-4				k o r e						
18-4				d a r uː						
35-4				h i t o t u						
36-4				h u t a t ui						
48-4				n a g a i						
60-4				t o r i						
63-4				s i r a m i						
64-4				k i						
67-4				h a						
68-4				n e						
71-4				t i						
76-4				h o n e						
83-4				t u n o						
87-4				h a n e						
95-4				m i m i						
98-4				h a n a						
99-4				k u t i						
-102-4				s i t a						
103-4				t u m e						
110-4				d e						
116-4				m u n e						
120-4				n o m u						
132-4				k i k u						
139-4				k o r o s u						
140-4				o a o r uː						
156-4				t a e uː						
168-4				t u k i						
169-4				h o i						
170-4				m i u						
173-4				i s i						
180-4				k u m o						
185-4				h i i						
186-4				m o e r uː						
187-4				m i t i						
190-4				a k a i						
193-4				k i r o i						
194-4				s i r o i						
195-4				k u r o i						
216-4				m a r u						
221-4				n a						
239-4				i t o						
252-4				m i t u						
253-4				j o t u						
254-4				i t u t u						
266-4				k a e						
267-4				n a g a r e r u						
268-4				u m i						
272-4				a m e o						
276-4				a e a u						
281-4				m u s i						
304-4				t u i						
305-4				t i t i						
308-4				h a n a						
309-4				k u s a						
310-4				d o						
311-4				n i						
342-4				j u k i						
346-4				k u r a						
347-4				k i r u						
348-4				h i r o i						
351-4				t o i						
361-4				j j o m o i						
379-4				k u s a uː						
394-4				h i a r i						
395-4				m i g i						
400-4				h i a r u						
412-4				s a k e r u						
413-4				t i a u						
414-4				h o r u						
422-4				h u k u r e r u						
423-4				k a n a e r uː						
430-4				h a k u						
435-4				h u k u						
446-4				s i t a i						
447-4				u i						
458-4				t o s i						
56-4				h u t o						
62-4				i n o						
65-4				k a w a						
70-4				t a n e						
75-4				k a w a						
96-4				m i						
101-4				h i						
14-5					k o r i					
18-5					t a r o					
35-5					h i t o r u					
36-5					h u t a r ui					
48-5					n a ŋ a i					
60-5					t o r i					
63-5					s i r a m i					
64-5					k iː					
67-5					h a					
68-5					n e					
71-5					tɕ i					
76-5					h o n o					
83-5					ts u n o					
87-5					h a n o					
95-5					m i m i					
98-5					h a n a					
99-5					k u tɕ i					
-102-5					s i t a					
103-5					ts u m i					
110-5					t eː					
116-5					m o u n e					
120-5					n o m u					
132-5					k i k u					
139-5					k o r o s u					
140-5					o a o ŋ u					
156-5					t a b o r u					
168-5					ts u k i					
169-5					h o s i					
170-5					m i r u					
173-5					i s i					
180-5					k o m o					
185-5					h a i					
186-5					m o e r u					
