COGID	dutch	english	french	german
1469-1	z ɑ n t			
2047-1	z ɔ n			
2054-1	d ɔ n t r			
1375-1	l ɪ x			
760-1	w ɪ n			
756-1	s n			
726-1	m r ə r			
1351-1	x r ɛɪ n eː t aː n			
1353-1	x r ɛɪ n + m r ə			
412-1	v w ɛɪ ɣ r r ə			
406-1	z w ɛɪ ɣ r r ɛɪ ə			
1005-1	s t eː p f aː d			
1012-1	s t eː p ə m r ə			
1016-1	w ɪ d			
1069-1	s x			
509-1	v l l l			
693-1	m ɑu w l			
2179-1	n ɛ s t			
1753-1	v eː s			
1131-1	w ɔ l f			
1198-1	b aː r d			
2032-1	h ɔ r			
2241-1	n aː z			
2244-1	l œy p			
610-1	k n t			
945-1	h ɛ r			
1534-1	l ɛ k			
384-1	z oː ɣ			
1650-1	n uː t			
1663-1	z ɑ l t			
2279-1	l ɛɪ n			
471-1	z			
1385-1	z aː d			
792-1	h ɔ k			
1111-1	m ɑ s t			
197-1	z uː d			
2020-1	l ɑ ŋ			
867-1	h ɔ n d			
1970-1	v l l			
1230-1	d r s			
2017-1	n yː r			
968-1	w ɛ l t			
1674-1	l ɛɪ n t			
1671-1	h uː ɣ			
829-1	k l ɪ p ə			
1025-1	w ɑ t ə r			
1027-1	z ɛɪ			
1832-1	r ɑu w			
-1816-1	oː t ɛɪ aː			
-335-1	l l x oː n			
1043-1	s t r ɔ m m			
423-1	s t eː n			
2049-1	m oː n t			
2062-1	s t ɑ r m			
2065-1	r aː n b + b oː			
1368-1	s ɑ t			
1365-1	d ɑu w			
754-1	r aː n			
768-1	w ɛ t ə r			
1211-1	v yː r r			
106-1	m ɑ n			
-98-1	b aː b eː			
719-1	v aː d ə r			
1341-1	z oː n			
-2027-1	d ɑ n			
-2026-1	n ɛ v ə			
409-1	z oː ɛɪ ɣ ə r + z ɔ n			
402-1	d w t ɣ r r ɛɪ n ɔ x t r			
1014-1	s t eː p ə d ɔ x t r r			
1059-1	w iː r			
120-1	s t ɑ l			
2183-1	s t iː r r			
2194-1	ɔ k s			
2199-1	k ɑ l l			
2197-1	d aː p			
1523-1	z ɑu w			
1521-1	b ɔ k			
512-1	m m r aː			
2141-1	h uː n			
2147-1	x ɑ n t			
814-1	k r m			
810-1	d oː v			
1755-1	h ɔ n			
1758-1	m uː eː			
1760-1	r t			
1620-1	v ɛɪ n			
1282-1	w aː l			
1136-1	v ɔ k s			
1309-1	l uː s			
1307-1	n ɪ t			
1305-1	v l f			
711-1	w ɔ s p			
1442-1	v l ɛɪ x			
62-1	m ʉ x			
-73-1	m ɔ s k ɛɪ t			
1810-1	h ɑu d			
1805-1	v l eː s			
1813-1	h aː r r			
1811-1	b l ɑ t			
690-1	r ɪ p ə			
2177-1	h ɑu p			
246-1	d w ə r + b r ɑu			
249-1	d w ə ə d			
1506-1	n + z t ə ə l l k			
2242-1	m uː n			
2245-1	t ŋ ə			
1196-1	n ɑ k			
2174-1	s x ɑ t ə r			
575-1	aː k t ə l			
603-1	s l l b + b oː			
601-1	h n t			
615-1	v ɪ ŋ ə r r			
901-1	k l ɑu w			
608-1	v uː t			
596-1	t			
937-1	b r ɔ s t			
936-1	n aː v ə l			
646-1	l ɛ ŋ ə			
947-1	l ɛɪ v ə r			
1606-1	h œy p			
472-1	n n z ə			
1535-1	z w ɪ t			
1546-1	s p ɔ k			
1959-1	s l aː p ə			
694-1	s n ɑ r			
1961-1	d r iː m m			
323-1	l aː v ɔ			
1885-1	x r aː p			
2156-1	k r + k			
1903-1	w ɛɪ n d			
525-1	z w ɛ l ɛ ŋ			
276-1	l aː l ɛɪ			
274-1	d ɑu p			
278-1	b l ɛɪ n t			
258-1	b r + t r r ŋ			
256-1	n ɛ k ə			
383-1	s t ə			
207-1	r ɛɪ p			
376-1	d r ɪ ŋ k			
2009-1	oː v ə			
2003-1	k ɛ t ə l			
2024-1	p ə n			
1321-1	k oː p			
1976-1	t ɑ ŋ ə			
1243-1	m aː l t			
1265-1	p iː l			
1261-1	z iː v ɔ			
655-1	b r s t			
650-1	d x			
1532-1	k n n			
-36-1	z ɔ p			
34-1	b oː n			
-1647-1	v ɛɪ x			
-1615-1	ɔ l l			
125-1	v ɑ t			
1659-1	h oː n ɪ x			
1661-1	m eː l k			
1676-1	b ɔ t ə r			
480-1	x r ɛɪ d r ŋ			
1466-1	k l aː ŋ s			
2277-1	w h l			
2271-1	v l l t			
2293-1	l aː d ə r			
624-1	s p ɪ n			
628-1	s p ɪ n d ə l			
626-1	w aː v ɔ			
633-1	n aː d ə l			
1185-1	s uː s ə r r r			
1179-1	h ɑu t			
2168-1	k ɑ m m			
1952-1	d uː r			
899-1	l ɛɪ d ə r			
922-1	b ɑ t			
-934-1	l ɑ m p			
916-1	t r ɔ f			
1726-1	v ɑ l t			
2108-1	p l øː ɣ			
1133-1	v r r			
2114-1	s p aː d			
1272-1	r ɛɪ ɣ			
1979-1	x r aː s			
1989-1	h aː r			
-2260-1	p l ɑ n t			
70-1	b uː k			
