COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
52-1	i t i									
56-1	u m e ʔ									
96-1	a t									
99-1	a r i z a									
114-1	t a k									
115-1	u z									
133-1	t i p a n									
144-1	a t a w									
150-1	k a w									
234-1	k o m									
236-1	p i k u n									
241-1	a w i n									
249-1	i tʃ e									
1-1	w a z a ʔ									
2-1	n a m r a									
65-1	i w									
74-1	p a n a									
106-1	t u n e n									
128-1	p a k									
147-1	t u k u									
231-1	p a n a w i ʔ									
232-1	p i p i w i									
239-1	n a m a k a n									
266-1	i z i m									
51-1	u w e k									
97-1	m a p m									
109-1	u p w i k									
121-1	k a p a w a k									
149-1	t a k									
160-1	k i r i k									
163-1	u p e n									
167-1	p a									
207-1	m i									
259-1	t a w a									
66-1	k a r a k a w									
134-1	n i p a t									
139-1	m u k u r i									
142-1	p a t a m									
145-1	k a t a t									
148-1	z a w a n									
162-1	i w i n									
166-1	i m i									
179-1	t a ʔ									
201-1	p e									
21-1	t a n									
24-1	p k r a n									
50-1	i n a ʔ									
57-1	t i k a w a n									
84-1	p i w a n									
91-1	m u k i n									
131-1	t u k z i m									
151-1	k i w									
154-1	w e									
192-1	t u t									
197-1	t u p u ʔ									
205-1	i p a n									
227-1	m a p i t i									
246-1	i w i									
251-1	w a n a ʔ									
52-2		a k i								
56-2		k i m e								
96-2		a r a s								
99-2		i r i n a m								
114-2		w a t a s								
115-2		i r i s								
133-2		k k i t r a s i								
144-2		k i r a r a s i								
150-2		t a j								
234-2		t t a m								
236-2		p a t i m								
241-2		a j i m								
249-2		i s a								
74-2		t a m a								
93-2		w i t a r i s i								
95-2		w i t s								
106-2		w i n k i s i n								
119-2		i w i k i s i								
128-2		w a k i s								
147-2		w i m i s i								
231-2		w a m a j u								
232-2		j i t i k j u								
239-2		m a m a n a n								
266-2		k i k t i n								
51-2		i s i								
55-2		i s a m								
97-2		w i s k k i n i								
121-2		j i k i j a k i s i								
163-2		i t a m								
167-2		k t a								
259-2		k a j a								
66-2		p i r a k a j								
112-2		k r k a n i s i n								
116-2		k a t a k a s i								
125-2		j i t i m a s i n								
135-2		p i p i								
139-2		m e m e								
142-2		i k i r i n i s								
148-2		w r i j r i s i								
162-2		i k j i n								
166-2		i n i								
179-2		k a								
45-2		k i i s a k j a m j								
84-2		k o j a m								
131-2		i k u s k u s								
146-2		i k i m a s								
154-2		t j e								
192-2		t i								
197-2		k i k k i n i								
235-2		s a j e								
237-2		w i n i s i								
246-2		i j i								
250-2		m a r i i i i a i m								
52-3			t i i k a							
56-3			tʃ u m i							
96-3			ɲ a t a t							
99-3			a t i r a m t							
114-3			t i tʃ i i							
115-3			u t i r i tʃ i							
133-3			i tʃ i ɲ a m a tʃ e							
144-3			s u t i r a tʃ i							
150-3			tʃ a w							
234-3			a k o m							
236-3			u k o m							
241-3			s a k o r							
249-3			u h i							
1-3			a m a							
2-3			a w i k m							
65-3			a e k o							
93-3			t i ʃ a r i tʃ i							
95-3			a i i o k							
106-3			u m o k i tʃ i							
119-3			s ɲ a t e tʃ i							
128-3			s u tʃ i i							
147-3			u m i i							
231-3			ɲ u m a t i							
232-3			ɲ i ʃ i k r a							
239-3			u m a k a m							
266-3			u i t e m							
3-3			s a w i k k a							
4-3			a m a							
55-3			ɲ i o i a m							
109-3			ɲ o k a tʃ i							
121-3			p j i i i e k m e							
149-3			tʃ e k m							
160-3			tʃ e w i							
207-3			m e d							
112-3			t u i t k a t a tʃ e							
125-3			k a k e m a tʃ i							
134-3			i ʃ a tʃ i k							
135-3			t i k k k e m a tʃ e							
139-3			s a i k m e m i tʃ e							
57-3			t i k a r a k e							
71-3			s d							
131-3			t i k o k a k k k e m a tʃ e							
146-3			p j i i i i e m							
227-3			j a ʃ i i t k i							
52-4				i t o						
56-4				u m o						
96-4				a t						
99-4				a r i						
114-4				t u k						
115-4				u r						
133-4				t i p a n						
144-4				a t a w						
150-4				k a w						
234-4				k o m						
236-4				p i k u n						
241-4				a w i n						
249-4				i tʃ e						
1-4				w a ʒ̟ a						
2-4				u m						
65-4				i w						
74-4				p a n a						
93-4				t u r u						
95-4										
106-4				t u n a						
119-4				u n						
128-4				p u k						
147-4				t u j u						
231-4				p a n a w o						
232-4				p i						
239-4				n a n a k a n						
266-4				i ʒ̟ i m						
3-4				a w i n						
4-4				w a w i						
51-4				u w e						
97-4				n a p u m						
109-4				u p e k						
121-4				k a p a w a						
149-4				t o k						
160-4				k i r i k						
163-4				u p i n						
167-4				p a						
207-4				m i						
259-4				t o w a						
66-4				k a r a k a w						
116-4				t a n n						
134-4				n i p a t						
135-4				t a r m i n						
139-4				k i r i m u n						
142-4				p a t a m						
145-4				k a t a t						
148-4				tʃ a w a n						
162-4				i n i n						
166-4				i m i						
179-4				t a						
201-4				p e						
21-4				t a n						
24-4				k r a n						
45-4				n a a m a						
50-4				i n a						
57-4				t i k a w a n						
71-4				i m i						
84-4				p i w a n						
91-4				m o k o n						
131-4				t u k e k i m						
146-4				u t m						
151-4				k i w						
154-4				w e						
192-4				t o t						
205-4				i p a n						
227-4				m a p i t o ʔ						
235-4				n a w a						
237-4				m a m n						
246-4				i w i p						
250-4				u k o m						
251-4				w a n a						
52-5					t a t a					
56-5					i m a					
96-5					a r a s i					
99-5					a r a e n					
114-5					t o k y s i					
115-5					e r y s i					
133-5					t u p r a s i					
144-5					y w a r a s i					
150-5					k a w i					
234-5					k o m					
236-5					p a k a m					
241-5					a w i n					
249-5					i t a					
1-5					w a t a ʔ					
2-5					a m					
65-5					i w					
74-5					p a n a					
93-5					t p a r i s i					
95-5					i t i					
106-5					t e r s i					
119-5					i t i s					
128-5					s o k y s i					
147-5					t i m y s i					
239-5					m a m a k a n					
266-5					i t i m					
3-5					w a r a k a					
4-5					w u r i					
51-5					i w a i					
55-5					y f i m					
97-5					m a f y m a n					
109-5					e p j e p					
149-5					t o k					
160-5					k e r i k					
163-5					i p a m					
167-5					k a ʔ					
207-5					m i					
259-5					t o w a ʔ					
66-5					w i r a p a m					
112-5					t r a j i s i					
116-5					t o p a k s i					
134-5					t i p a t i s					
135-5					w i y e e m					
139-5					t e a a m o n o s i					
142-5					y p a r a m e s i					
145-5					k a r a t i s i					
148-5					t r a w a n y s i					
162-5					i r i n ʔ					
166-5					i m i					
179-5					t a ʔ					
201-5					p e					
21-5					p e p e p m					
45-5					f a w a m a					
50-5					i n a ʔ					
71-5					i m i					
84-5					p u r a m					
91-5					m a k i i a n					
146-5					e k u m e s i					
151-5					k i w i					
154-5					i w i					
192-5					t y t					
197-5					t r e m s					
205-5					i p a n					
235-5					t o w i					
237-5					i m a w i					
250-5					o s a k o n					
251-5					w a r a ʔ					
52-6						t i t i a				
56-6						tʃ a m i				
96-6						t i tʃ i tʃ i				
99-6						e t i i a m k o				
114-6						t i k a k i				
115-6						t t a r a tʃ i				
133-6						t tʃ i t i tʃ i tʃ i				
144-6						t a t i tʃ i tʃ i				
150-6						t u w k				
234-6						tʃ t a				
236-6						t i h a k i				
241-6						k a k k r i m				
249-6						a h i k				
1-6						j i w a				
2-6						tʃ i i p m r e				
65-6						i i u tʃ i				
