COGID	BanPaw	ChaYeQing	ChuDongGua	GuangKa	HtanHsan	KhunHawt	MangBang	ManLoi	MengDan	NamHsan	NanSang	NoeLae	NyaungGone	PangKham	PongNuea	XiangZhaiTang
1859-1	ŋ ɛ															
175-1	k a															
241-1	ʔ u ʔ															
2163-1	kʰ u n															
2181-1	n ă m															
2060-1	ʔ ou̯ m															
410-1	d ai̯															
1841-1	m r															
2017-1	h e															
1004-1	v ă															
614-1	b ou̯ h															
686-1	b l e															
88-1	k ă ʔ															
872-1	n ɨ ŋ															
1891-1	d ă															
68-1	s ɨi̯ m															
631-1	b ə̆ n															
594-1	g ă															
1759-1	h ă n															
805-1	g ɨ ɲ															
756-1	h ɨ k															
1201-1	m oi̯ ʔ															
2042-1	ʔ ă															
1968-1	d ă ʔ															
2000-1	s ŋ															
17-1	v ă c															
4-1	pʰ ə m															
788-1	d ɛ															
1219-1	h ɨi̯ m															
141-1	ʔ s ŋ															
541-1	p r j a ŋ															
1687-1	h u n															
123-1	o s m															
1652-1	c e ɲ															
576-1	ŋ ɔ															
1738-1	d ă k															
442-1	h o m															
368-1	c j a ŋ															
1778-1	p ă c															
1859-2		ŋ ai̯														
175-2		g a														
241-2		ʔ uː ʔ														
2163-2		kʰ uː														
2181-2		n a m														
2060-2		ʔ au̯ m														
410-2		d ai̯														
1841-2		m ɨː														
2017-2		h i														
1004-2		v aː														
614-2		b o h														
686-2		ɓ l i														
88-2		g ɔ k														
872-2		n ɨː ŋ														
1891-2		d aː														
68-2		s i m														
631-2		ɓ u n														
594-2		k aː														
1759-2		h a n														
805-2		k ə n														
756-2		h ɨː g														
1201-2		m oːi̯ ʔ														
2042-2		ʔ aː														
1968-2		d a ʔ														
2000-2		aː ŋ														
17-2		v a dʑ														
4-2		pʰ əː m														
788-2		d ai̯														
1219-2		h i m														
141-2		ʔ aː ŋ														
541-2		ɓ s dʑ a ŋ														
1687-2		h uː														
123-2		o aː m														
1652-2		dʑ ə n														
576-2		ŋ oː h														
1738-2		d a g														
442-2		h oː m														
368-2		d dʑ a ŋ														
1778-2		b a dʑ														
1859-3			ŋ ɔːi̯													
175-3			g a													
241-3			ʔ uː t													
2163-3			kʰ uː													
2181-3			n a m													
2060-3			ʔ oː m													
410-3			ɗ ai̯													
1841-3			m ɨː													
2017-3			h iː													
1004-3			v aː													
614-3			ɓ o h													
686-3			b l iː													
88-3			g a k													
872-3			n ɨː ŋ													
