COGID	dutch	english	french	german
1469-1	z ɑ n t			
2047-1	z oː n ə			
2054-1	d ɪ n ə r			
1375-1	l ɪ k ə t			
760-1	w ɪ n t			
756-1	s n ə			
726-1	m aː d ə r			
1351-1	x r oː n s + v aː d ə r			
1353-1	x r oː n + m uː d ə r			
412-1	s w eː ɣ ə r + v aː d ə r ɛɪ n			
406-1	s w eː ɣ ə r + m uː d ə r ɛɪ n			
1005-1	s t ɪ p + v aː d ə r			
1012-1	s t iː p + m uː d ə r			
1016-1	w ɪ d w ə r ə t			
1069-1	v ɪ k			
509-1	v ɑ l ə			
693-1	m x l + + + d ə r			
2179-1	n ɛ s t			
1753-1	v x ɪ s			
1131-1	w ɔ l f			
1198-1	b aː r t			
2032-1	h ɔ r			
2241-1	n aː s			
2244-1	l ɪ p			
610-1	k ɑ n			
945-1	h ɛ r t			
1534-1	l eː k ə			
384-1	z oː k ə			
1650-1	n x ɑ t			
1663-1	z ɑ l t			
2279-1	l ɛɪ n ə			
471-1	z eː ə			
1385-1	z aː d			
792-1	d oː k			
1111-1	m ɑ s t			
197-1	z uː d ə			
2020-1	l ɑ ŋ			
867-1	h ɔ n d ə r t			
1970-1	v ɔ l			
1230-1	d r ɪ d ə			
2017-1	n x aː			
968-1	w ɛ l t			
1674-1	l ɑ n t			
1671-1	h aː ɣ ə l			
829-1	k l ɪ p			
1025-1	w ɑ t ə r			
1027-1	z ɛɪ			
1832-1	r oː t			
-1816-1	oː t eː ə			
-335-1	l ɑ k ɑ n			
1043-1	s t r m			
423-1	s t eː n			
2049-1	m oː n t			
2062-1	s t ɔ r m			
2065-1	r eː ɣ ə n + b oː x ə			
1368-1	s x ɑ d ə			
1365-1	d x ɑ t			
754-1	r eː ɣ ə			
768-1	w eː d ə r			
1211-1	v l r			
106-1	m ɑ n			
-98-1	b eː p			
719-1	v aː d ə r			
1341-1	z oː n			
-2027-1	d ɑ n t			
-2026-1	n ɛ v			
409-1	s w eː ɣ ə r + z oː n l			
402-1	s w eː ɣ ə r + d ɔ x t ə r + n			
1014-1	s t ɪ p + d ɔ x t ə r			
1059-1	w iː r			
120-1	s t ɑ l			
2183-1	s t iː r ə			
2194-1	oː k s			
2199-1	k ɑ l t			
2197-1	s x ɑ p			
1523-1	z oː w			
1521-1	b oː k			
512-1	m eː r			
2141-1	h uː n			
2147-1	x ɑ n s			
814-1	k r eː			
810-1	d oː v			
1755-1	v h ɔ n t			
1758-1	m oː s			
1760-1	r ɔ t			
1620-1	v ɪ n			
1282-1	w aː l ə ə t			
1136-1	v ɔ k s			
1309-1	l ɛɪ s			
1307-1	n ɪ t			
1305-1	v l t			
711-1	w ɛ s p			
1442-1	v l iː ɣ			
62-1	m ʉ k			
-73-1	m ɔ s k ɪ t			
1810-1	h oː t			
1805-1	v l ɛɪ s			
1813-1	h aː r			
1811-1	b l ɑ t			
690-1	r ɪ p			
2177-1	h ɛ p t			
246-1	v ɑ + ɣ ə + b r			
1469-2		s æ n d		
2047-2		s ʌ n		
2054-2		d ɔ n d ə r		
1375-2		l ɪ d		
760-2		w ɪ n d		
756-2		s n		
726-2		m ɪ d ə r		
1351-2		ɡ r f d ə r		
1353-2		ɡ r m d ə r		
412-2		s n f d r		
406-2		s n m d r		
1005-2		s t f d ə r		
1012-2		s t f m d ə r		
1016-2		w ɪ d n r		
1069-2		ɪ k		
509-2		f ɪ l		
693-2		m l r		
2179-2		n ɛ s d		
1753-2		f ɪ s		
1131-2		w ɔ l		
1198-2		b eɪ r d		
2032-2		h ɔː r		
2241-2		n iː s		
2244-2		l ɪ p		
610-2		k n		
945-2		h ɔː r t		
1534-2		l ɪ k		
384-2		s ɪ		
1650-2		n		
1663-2		s əʊ l d		
2279-2		l aɪ n		
471-2		s iː		
1385-2		s ɪ d		
792-2		r ɪ k		
1111-2		m æ s d		
197-2		s iː d		
2020-2		l æ ŋ		
867-2		h n d r d		
1970-2		f ɔ l		
1230-2		d r ɪ d		
2017-2		n		
968-2		w ɛ l d		
1674-2		l æ n d		
1671-2		h ɪ v l̩		
829-2		k l ɪ		
1025-2		w ɛ t ə r		
1027-2		s		
1832-2		r ɪ		
-1816-2		ʌ s		
-335-2		l aɪ n		
1043-2		s t r m		
423-2		s t n		
2049-2		m ɪ n		
2062-2		s t ɔː r		
2065-2		r b		
1368-2		s eɪ d		
1365-2		d		
754-2		r aɪ		
768-2		w ɛ d ə r		
1211-2		f ɛ ə r		
106-2		m ɪ n		
-98-2		b ɛ b		
719-2		f eɪ d ə r		
1341-2		s ɪ n		
-2027-2		d ɑː n d		
-2026-2		n ɪ f		
409-2		s n s n		
402-2		s n d d r		
1014-2		s t f d əʊ d ə r		
1059-2		w ɪ		
120-2		s t l̩		
2194-2		ɔ s		
2199-2		k ɑː l		
2197-2		s əʊ p		
1523-2		s aɪ		
512-2		m ɔː r		
2141-2		h ɪ n		
2147-2		ɡ æ n s		
814-2		k r eɪ		
810-2		d ɪ v		
1758-2		m ɪ s		
1760-2		r ɔ t		
1620-2		f ɪ n		
1282-2		w ɑː l		
1136-2		f ʌ s		
1309-2		l aɪ s		
1307-2		n ɪ t		
1305-2		f l		
711-2		w ɛ s p		
1442-2		f l ɪ		
62-2		m ɪ		
-73-2		m ɪ s k d		
1810-2		h æ d		
1805-2		f l aɪ s		
1813-2		h ɛ r		
1811-2		b l ɪ d		
690-2		r ɪ p		
2177-2		h ɛ d		
246-2		b r		
1469-3			ʀ ʀ	
2047-3			ʀ ɛ	
2054-3			ʀ ɛ t	
1375-3			l ʀ	
760-3			ʀ ə	
756-3			p ʀ	
726-3			ʀ t	
1351-3			p ʀ ɛ	
1353-3			p ʀ a	
412-3			ʀ ʀ	
406-3			ʀ ʀ	
1005-3			ʀ t ɛ	
1012-3			ʀ t ɛ	
1016-3			ʀ ə t	
1069-3			ʀ	
509-3			ʀ ə l	
693-3			ʀ ʀ ɛ l	
2179-3			ʀ ɛ t	
1753-3			ʀ ʀ	
