COGID	Amami	Hachijo	Kagoshima	Kochi	Kyoto	Miyako	Oki	Sado	Shuri	Tokyo
14-1	x u r i									
18-1	w a θ r									
35-1	h i θ u ts u r									
36-1	h u θ a ts u r									
48-1	n a g a s a r									
60-1	θ u r i									
63-1	s i r a m i									
64-1	k i									
67-1	h a ɴ									
68-1	n e									
71-1	k i ɨ									
76-1	h u n g e									
83-1	ts ɨ n u									
87-1	h a ɴ g e									
95-1	m i m i									
98-1	h a n a									
99-1	x u k i									
-102-1	s i ɨː a									
103-1	ts ɨ m e									
110-1	θ e									
116-1	m i θ e ɨ									
120-1	n u b u r i									
132-1	k i u u r i									
139-1	x u r u s u r i									
140-1	ʔ j u b u r i									
156-1	θ a tɕ u r i									
168-1	ts ɨ k i									
169-1	h u s i									
170-1	m uː d o									
173-1	ʔ s i									
180-1	x u m o									
185-1	h a s									
186-1	m u θ r u									
187-1	m i k i									
190-1	ʔ a a a r									
193-1	k i r u									
194-1	s i r u s a r									
195-1	x u r u s a r									
216-1	m a r u s a r i									
221-1	n a									
239-1	ʔ a ɨ r i									
252-1	mʲ uː r u									
253-1	j u r u r									
254-1	ʔ a kː u r r i									
266-1	x a z g e									
267-1	n a g a r ɨ r u r i									
268-1	ʔ u i									
272-1	ʔ m e									
276-1	ʔ a a u r i									
281-1	m u s i									
304-1	ts ɨ b a ɨ									
305-1	k i tɕ i									
308-1	h a n a									
309-1	x u s a									
310-1	θ u									
311-1	n i									
342-1	ʔʲ u k i									
346-1	x u r a s a r									
347-1	k i r u r i									
348-1	h i r u s a									
351-1	θ u b a r i									
361-1	ʔ m u s s									
379-1	x u s a tɕ u									
394-1	h i d a r i									
395-1	mʲ a g i r i									
400-1	h i g a r r									
412-1	s a x ɨ r u r i									
413-1	ts ɨ k i s u u i r									
414-1	h u r u r i									
422-1	h u u i r i r r									
423-1	x a a g a ɨ r r									
430-1	h a u u r i									
435-1	h u u u r i									
446-1	s i a r i									
447-1	ʔ u ɨ r									
458-1	θ u s i									
56-1	h u θ u									
62-1	ʔ a u									
70-1	θ a ɴ g e									
96-1	m e									
101-1	h a									
14-2		k o r e								
18-2		t a r e								
35-2		h i t o tɕ u								
36-2		h u t e ts u								
48-2		n a g a kʲ a								
60-2		t o r i								
63-2		s i r a m i								
64-2		k i								
67-2		h a								
68-2		n e								
71-2		tɕ i								
76-2		h o n e								
83-2		ts u n o								
87-2		h a n e								
95-2		m i m i								
98-2		h a n a								
99-2		k u tɕ i								
-102-2		s i t a								
103-2		ts u m e								
110-2		t e								
116-2		m u n e								
120-2		n o m u								
132-2		k i k u								
139-2		k o r o s u								
140-2		o t o g u								
156-2		t a t e r u								
168-2		ts u k i								
169-2		h o s i								
170-2		m i dʑ u								
173-2		i s i								
180-2		k u m o								
185-2		h a kʲ								
186-2		m o e r u								
187-2		m i tɕ i								
190-2		a k a a								
193-2		k i r o kʲ								
194-2		s i r o kʲ a								
195-2		k u r o kʲ a								
216-2		m a r u kʲ a r								
221-2		n a								
239-2		i t u								
252-2		m i ts u								
253-2		j o r u								
254-2		i ts u tɕ u								
266-2		k a dʑ e								
267-2		n a g a r e r u								
268-2		u m i								
272-2		a m e ts a								
276-2		a r a u								
281-2		m o s i								
304-2		ts u b u k								
305-2		tɕ i tɕ i								
