COGID	AchangLongchuan	Atsi	Bola	Lashi	Maru	OldBurmese	ProtoBurmish	Rangoon	Xiandao
665-1	ŋ ɔ ⁵⁵								
495-1	n au ³⁵								
838-1	l ə ⁵⁵								
438-1	ȵ ɔ ʔ ⁵⁵								
334-1	l ɔ ʔ ⁵⁵								
360-1	l ə ³¹								
394-1	ȵ i ³¹								
221-1	i o p								
202-1	k au ³¹								
935-1	o ³¹								
93-1	tɕ ɔ ³¹								
7-1	p a n ³¹								
664-1	o w a ⁵⁵								
246-1	x ɔ ʔ ⁵⁵								
547-1	s ə k ⁵⁵								
555-1	i n ⁵⁵								
464-1	ȵ au ³¹								
119-1	ȵ ə ŋ ⁵⁵								
835-1	n a p ⁵⁵								
79-1	t ɔ ³¹								
693-1	ŋ au ⁵⁵								
477-1	n a p								
891-1	tʰ ə ŋ ³⁵								
528-1	ʐ o ⁵⁵								
797-1	tɕ ʐ o ʔ								
493-1	n ə ⁵⁵ ⁵⁵								
217-1	s a p ⁵⁵								
896-1	tsʰ u t ⁵⁵								
452-1	ȵ au u ʔ ⁵⁵								
580-1	s o ʔ ⁵⁵								
833-1	n ɔ ⁵⁵								
390-1	ȵ w ŋ ³¹								
696-1	ŋ u ⁵⁵								
86-1	t u ŋ ⁵⁵								
384-1	ȵ a n ³⁵								
61-1	t a ⁵⁵								
536-1	s ɔ ʔ ⁵⁵								
731-1	s i ³¹								
779-1	ɔ ⁵⁵								
589-1	t w ⁵⁵ ⁵⁵								
658-1	o m m ⁵⁵								
456-1	ȵ i w a ³¹								
183-1	tɕ ʐ ³¹ ³¹								
785-1	x ɔ ³¹								
714-1	o ⁵⁵								
331-1	l ɔ ³¹								
930-1	ŋ a p								
161-1	ʂ a ⁵⁵ ⁵⁵								
814-1	x n ³¹								
179-1	k ʐ ʔ ʔ ⁵⁵								
194-1	ʐ ɔ ʔ ⁵⁵								
727-1	ʂ w a								
260-1	x ʐ a p ⁵⁵								
144-1	ʂ a m ⁵⁵								
53-1	p u m ⁵⁵								
59-1	t ɔ ʔ ⁵⁵								
506-1	pʰ ə ⁵⁵								
29-1	p ə ⁵⁵								
316-1	tʰ ɔ ʔ ⁵⁵								
389-1	ȵ ʐ w a ⁵⁵								
118-1	ȵ ɔ ³⁵								
312-1	x o ³¹								
490-1	n i ³⁵								
436-1	ȵ au ³¹ ³¹								
927-1	ŋ a n ⁵⁵								
383-1	ȵ ɔ ʔ ⁵⁵								
211-1	a m m ⁵⁵								
873-1	s ə ŋ ⁵⁵								
877-1	s a ³⁵								
344-1	l m m								
666-1	ŋ ɔ ³¹								
595-1	t w ³⁵								
660-1	ɔ m p ⁵⁵								
642-1	pʰ w ŋ ³⁵								
257-1	x a m m								
167-1	tɕ ʐ w ³¹								
880-1	tʰ a p ⁵⁵								
484-1	n w ŋ ⁵⁵								
574-1	s u m ³¹								
718-1	ʂ ə n ³¹								
811-1	x au ³¹								
458-1	t u ŋ ³¹								
884-1	tʰ i ³⁵								
205-1	k u ʔ ⁵⁵								
499-1	n a ⁵⁵								
706-1	ʂ ɔ ⁵⁵								
920-1	ə ŋ ³¹								
36-1	p ʐ w a								
12-1	p au ⁵⁵								
350-1	l w ŋ ³⁵								
4-1	p a n ⁵⁵								
342-1	ʐ u ʔ ⁵⁵								
280-1	x i ⁵⁵								
612-1	t w ŋ ³¹								
459-1	ȵ i ə ŋ ⁵⁵								
569-1	s i ³¹								
283-1	x ʐ au ³¹								
148-1	k a n ⁵⁵								
652-1	o ⁵⁵ ⁵⁵								
220-1	a w a ³¹								
562-1	s ə ŋ ³¹								
31-1	p ʐ w ʔ								
386-1	ȵ a p								
804-1	x ʐ o ŋ ³¹								
369-1	l ə ʔ ⁵⁵								
125-1	t u ³¹								
314-1	k ʐ w								
823-1	l a p ⁵⁵								
471-1	n a m								
40-1	p ʐ ə ŋ ³⁵								
393-1	ȵ w ŋ								
272-1	x ʐ w ŋ ³⁵								
463-1	ȵ au ⁵⁵								
1-1	p ɔ ⁵⁵								
214-1	a m m ³¹								
665-2		ŋ o ⁵¹							
495-2		n u ⁵⁵							
838-2		n o ʔ ²¹							
438-2		m j o ʔ ²¹							
334-2		l o ʔ ²¹							
360-2		l i ²¹							
394-2		m j ²¹ ²¹							
221-2		j m p ⁵⁵							
202-2		k j ²¹							
935-2		a ²¹ ²¹							
93-2		ts o ²¹ ²¹							
7-2		p a n ²¹							
664-2		j a ŋ ⁵¹							
246-2		k o̱ ʔ ⁵⁵							
547-2		s i k ⁵⁵							
555-2		j i m ⁵¹							
464-2		m j ²¹							
119-2		m j ŋ ⁵¹							
835-2		n a̱ p ⁵⁵							
79-2		t u ²¹							
693-2		ŋ i̱ ⁵¹							
477-2		n a p ²¹							
891-2		t i ŋ ⁵⁵							
528-2		j u ⁵¹							
797-2		k j u ʔ ⁵⁵							
493-2		n i k ²¹							
217-2		j a p ²¹							
896-2		ts u t ⁵⁵							
452-2		m j u ʔ ²¹							
580-2		s o ʔ ⁵⁵							
833-2		n a̱ ⁵¹							
390-2		m a ŋ ²¹							
696-2		ŋ ŋ ⁵¹							
86-2		t u ŋ ⁵¹							
384-2		m a n ⁵⁵							
61-2		t a ŋ ²¹							
536-2		x o ʔ ⁵⁵							
731-2		s i ²¹							
779-2		k o ⁵¹							
589-2		t a ŋ ⁵¹							
680-2		ŋ o̱ ʔ ⁵⁵							
658-2		o ⁵¹ m							
456-2		m j a ŋ ²¹							
183-2		k j i ²¹							
785-2		kʰ o ²¹							
714-2		u ⁵¹							
