COGID	1	10	2	3	4	5	6	7	8	9
2689-1	n a m a									
893-1	a n a a									
1285-1	n w a									
1303-1	ŋ ɔ m a									
2197-1	s a l a									
2828-1	s b á a									
3572-1	s ɔ n i									
1095-1	l i m a									
1755-1	n ɛ									
1789-1	k a l a a ŋ a a									
3207-1	β u l a									
3519-1	t ʊ m a									
3686-1	b i m j a									
4249-1	k ʊ m i									
4451-1	β i s i									
448-1	n ʊ n i									
630-1	β ɛ ɛ l ɛ									
814-1	ŋ ɔ m m ɛ									
1216-1	g á β a									
1228-1	m w a									
1418-1	s i m a j									
1475-1	g j a									
2026-1	t j ɛ									
2775-1	β ʊ m m a									
3397-1	β ɔ l a									
3826-1	β ɔ k a									
4003-1	i β β a									
4040-1	g ɛ n i									
4373-1	l i m i									
4384-1	i n ɔ									
84-1	s l g ʊ									
116-1	β i k a									
181-1	g ɔ ŋ g ɔ ɔ									
419-1	l ɔ g a									
587-1	ɔ ɔ ŋ ɔ ɔ									
660-1	l ɛ l a									
848-1	k a l a									
1083-1	l i l a									
1122-1	β i n a									
1159-1	ɲ a									
1350-1	l j a									
1374-1	n j a n ɔ									
1396-1	s ɔ β u									
1430-1	i s β ɔ									
1666-1	t a n ɔ									
1767-1	k ɔ k ɔ									
1906-1	i ŋ g i l a									
2177-1	ŋ g a h i									
2286-1	l a									
2317-1	β u β a									
2419-1	s ɛ k a									
2750-1	ɛ s b									
3018-1	z i l a									
3275-1	k a á á									
3441-1	s a ŋ ŋ a a									
3464-1	β ɔ n a									
3639-1	t ɛ t ɛ p ɛ l									
3885-1	s u m ɔ									
3981-1	i m a									
4192-1	β i m m a									
4260-1	s w a									
4350-1	l ɛ ɛ l ɔ									
43-1	s i m ʊ									
93-1	k ɔ n ɔ									
200-1	β i									
374-1	l l a a a									
459-1	l ʊ m a									
508-1	β ɔ β u									
528-1	β i l i									
575-1	t a									
871-1	t á m a									
1137-1	s i k ʊ									
1339-1	t j i									
1585-1	a l l									
1712-1	β u l ɔ									
1872-1	p a									
2088-1	β i s a									
2166-1	u m m m b									
2334-1	β i g ɔ									
2393-1	m a ɲ a									
2537-1	l ɔ m ɔ									
2665-1	i ŋ ŋ i i									
2738-1	β ɛ ɛ l ɛ									
2872-1	k ɔ s i									
2893-1	s i k ʊ									
2997-1	g a j s a									
3075-1	g ʊ l ʊ β ɛ									
3675-1	l j ɛ l l ɛ									
4028-1	β w ɛ									
