COGID	Amharic	Argobba	Chaha	Endegagn	Ezha	Geez	Gumer	Gura	Gyeto	Harari	Inor	Kistane	Mesqan	Muher	Silte	Tigre	Tigrigna	Wolane	Zway
61-1	d ə m																		
63-1	ʔ a u m																		
107-1	kʼ a m ə u																		
112-1	d ə m ə a																		
331-1	m ɨ g u																		
377-1	b ə kʼ u ə																		
381-1	ʔ a																		
417-1	r u																		
451-1	m ə																		
454-1	ʔ a zː u r																		
484-1	m ɨ u r t																		
535-1	ʔ a sː u r																		
543-1	s ə lː																		
593-1	k a lː u s																		
640-1	m u o																		
1-1	d ə r ə u u																		
65-1	kʼ u																		
212-1	k u																		
244-1	ʔ a r b u																		
248-1	m u lː u																		
293-1	m ə r ə s																		
373-1	kʼ u m u																		
408-1	b a u a																		
414-1	kʼ ɨ b a																		
601-1	m ə b u																		
642-1	m ə ə a																		
60-1	m ə tʼː ə sː ə																		
115-1	m a b u																		
209-1	k ə r u																		
242-1	ʔ a m u r																		
415-1	m ɨ r a m																		
450-1	m ə r a																		
490-1	d ə b ə ə																		
638-1	m a r ə																		
645-1	kʼ a ə																		
160-1	kʼ ə l ə ə																		
208-1	ʔ ɨ n kʼ u a																		
214-1	kʼ a b ə																		
378-1	ʔ ɨ n u																		
379-1	k ɨ ə u																		
409-1	kʼ a u r																		
598-1	kʼ u t																		
646-1	ʔ ɨ u																		
210-1	k ə u r																		
215-1	ʔ a zː b a e																		
285-1	m ɨ a																		
332-1	b a kʼ r																		
380-1	ʔ a u																		
412-1	s u r u																		
64-1	d a r u																		
67-1	lː lː																		
251-1	k ə ə																		
294-1	ʔ ə ə ə kʼ																		
597-1	k ə l i t ə ə																		
7-1	kʼ a l g a																		
158-1	kʼ ə m u s																		
61-2		x ɨ																	
63-2		x ə u																	
107-2		x ɨ m ə a																	
112-2		x ə m e a																	
331-2		ɨ ɨ g u																	
377-2		b x ə kʼ																	
381-2		x ɨ h ə																	
417-2		ə i																	
451-2		s ə e																	
454-2		x ɨ u r																	
484-2		s ɨ d ɨ s																	
535-2		x a sː ɨ r																	
543-2		s ə ə																	
593-2		x u m u																	
640-2		ə k u																	
1-2		x ə tʼː ə e e																	
65-2		x ɨ kʼ																	
163-2		s ə tʃ e																	
212-2		x u																	
244-2		x a r ə																	
248-2		ɨ kʼ u ə a																	
293-2		s ə r ə																	
373-2		kʼ tʃ u m a																	
408-2		x ɨ ɨ r e																	
414-2		x ɨ a a																	
642-2		n ɨ a																	
60-2		n ə tʼː ə s e																	
115-2		x a																	
209-2		s ɨ e u j t																	
242-2		x u m u																	
415-2		s ɨ e																	
450-2		s ə r																	
490-2		x ə b e																	
645-2		x e																	
160-2		x ə i ə																	
208-2		x ɨ n kʼ u																	
378-2		x a n ə ə t																	
379-2		s ə s e a																	
409-2		x ə ə																	
598-2		k ə ə ə																	
646-2		x ə h ə																	
210-2		ʔ i a e																	
215-2		x a e e																	
285-2		ʔ i d e																	
