COGID	BelejeGonfoye	Fadashi	Maiyu	Undulu
468-1	l a b a			
222-1	a b o b o n e			
208-1	a b u ɾ b u d u			
962-1	a g o ɾ a e			
203-1	a g u d i			
138-1	s i l e			
504-1	ɗ ɔː ʃ a			
662-1	ɓ mʷ d a			
478-1	g g ɗ e			
409-1	a ɾ e			
410-1	g u n d i			
256-1	ɓ a l e			
622-1	n d u			
546-1	n d u			
547-1	ʃ ɛ a ʔ			
847-1	n e n d e g e			
95-1	b ɛ ɗ i			
105-1	b ɪ n e			
510-1	b o ʃ a			
951-1	m b ə m a ɾ e			
1116-1	m b o m a			
149-1	ɓ u u ʔ i			
376-1	ɓ a l i			
815-1	k o ɾ a			
453-1	ɗ u ŋ e			
67-1	ɗ e ʃ e			
47-1	ɗ o k o o a			
869-1	ɗ mʷ l a			
57-1	k b g u			
303-1	g a e ʔ i a			
443-1	g ɾ e			
884-1	g u n d ɪ			
166-1	g u n d i			
918-1	a b e ɾ e			
831-1	h b s e			
616-1	b iː e			
84-1	h o ʃ e l e			
346-1	h o h u l o			
601-1	dʒ i g i			
177-1	k ʔ a a			
341-1	k ʔ o l a			
1066-1	e n dʒ e ŋ i			
318-1	e ʃ e			
241-1	m b s ʃ			
556-1	h a n d u ŋ u			
191-1	ɓ e m b e l			
458-1	a e ʔ i e ʔ i			
1-1	h a n h i ɾ			
751-1	ɾ o			
864-1	a ŋ o n e			
154-1	a m a n u i			
278-1	a m i l u ʔ i			
766-1	ʃ ɔː ɾ a			
251-1	a g a ɾ u			
582-1	u ʔ u ŋ			
6-1	a l i			
1106-1	n g o			
473-1	e i n e			
1111-1	h a l u			
957-1	m a ɾ e			
41-1	b ʔ			
24-1	dʒ iː			
25-1	l b ɾ e			
879-1	a b a ɾ a b ɛ d			
837-1	m a ʃ i			
233-1	b ʔ b i e o			
938-1	ɓ o l l			
369-1	a ɾ e			
946-1	ɓ a ŋ g o			
889-1	ɓ ʔ l e			
820-1	a ʃ o ɾ e			
438-1	n d e n e			
468-2		l a b a		
222-2		a b o b o ʔ i		
208-2		a b u r b u d u		
962-2		a g o r a e		
203-2		a g u d i ʔ		
138-2		ʃ l i		
504-2		ɗ o ʃ ɛ ŋ a		
662-2		ɓ a d aː		
478-2		g o ɗ e		
409-2		a r e		
410-2		g u n d i		
256-2		ɓ a l e		
622-2		n d u		
546-2		n d u		
547-2		ʃ ɛ f a		
847-2		n ɛ d i g a		
95-2		b ɛ ɗ i		
105-2		b ɛ n i		
510-2		b o ʃ a		
951-2		m b m r e		
1116-2		m b a m a		
149-2		ɓ u s ʔ i		
376-2		ɓ ə l i		
815-2		g o r a		
453-2		ɗ u ŋ e		
67-2		ɗ a ʃ e		
47-2		d o k o l a n		
869-2		ɗ a l a		
57-2		k aː g u		
303-2		g a s ʔ i a		
443-2		g i r a		
884-2		g u n d i		
166-2		g u n d i		
918-2		a b a r e		
831-2		h a ʃ		
616-2		b iː e		
84-2		h o ʃ a l a		
346-2		h u h o l u		
601-2		s i g i		
177-2		k ʔ a f a		
341-2		k ʔ o l a		
1066-2		f ɛ n s e ŋ i		
318-2		f ɛ ʃ i		
241-2		m a ʃ ʃ		
556-2		h a n d u ŋ u		
191-2		b i m b ɪ l		
458-2		a s ʔ i s ʔ i		
1-2		h a n g i r		
751-2		r o		
864-2		a ŋ o n i		
154-2		a m a n n i		
278-2		a m i l o ʔ i		
766-2		ʃ oː r a		
251-2		a g u r u		
582-2		u ʔ u ŋ		
6-2		a l i		
1106-2		n g o		
473-2		i i e		
1111-2		h a l u		
957-2		m a r e		
41-2		b i e		
24-2		s a		
25-2		θ a r e		
879-2		a b a r a b ɛ d		
566-2		aː a a w f r r s s		
742-2		a g u		
1044-2		ʃ i m b i l		
13-2		h l m a m i		
720-2		aː s ɛ l a		
837-2		m aː ʃ i		
233-2		ɓ ʔ iː e		
938-2		ɓ a u l a ŋ		
369-2		a r e		
946-2		ɓ a ŋ g o		
889-2		ɓ ʔ l l		
820-2		a ʃ o r e n		
405-2		b ə d e		
134-2		ɓ ʔ ɗ i ʔ ʔ		
1078-2		m iː h i		
429-2		b o ŋ k ʃ		
187-2		b a s k ʔ e		
438-2		n d i n e		
468-3			θ a b a	
222-3			a b a b ɔ ʔ i	
208-3			a b u r b u d u	
962-3			a g ɔ r a	
203-3			a g u d i ʔ	
138-3			ʃ ʃ l a	
504-3			ɗ a ʃ ɛ ŋ a	
662-3			p g d a	
478-3			g g ɗ a	
409-3			a r a	
410-3			g u n d i	
256-3			p a l a	
622-3			n d u	
546-3			n d u	
547-3			ʃ ɛ f a ʔ	
847-3			n a d i g a	
95-3			b ɛ ɗ i	
105-3			b ɛ n i	
510-3			b ɔ ʃ a	
951-3			m b i m a r a	
1116-3			m b iː m a	
149-3			p u s ʔ i	
376-3			p ɛ l i	
815-3			d ɔ r a	
453-3			ɗ u ɲ a	
67-3			ɗ a ʃ a	
47-3			d ɔ k ɔ θ a	
869-3			ɗ ʊː θ a	
57-3			k a g u	
303-3			g a s ʔ i a	
443-3			g a r a	
884-3			g u n d i	
166-3			g u n d i	
918-3			a b a r a	
831-3			h a ʃ a	
616-3			b iː a	
84-3			h ɔ ʃ a l a	
346-3			h a h ɔ l u	
601-3			s i g i	
177-3			k ʔ a f a	
341-3			k ʔ ɔ l a	
1066-3			f ɛ n s i ŋ a	
318-3			f ɛ a i	
241-3			m aː ʃ ʃ	
556-3			h a n d u u	
191-3			i m b i l	
458-3			a s ʔ i s ʔ i	
1-3			h a n g i r	
751-3			r ɔ	
864-3			a ŋ ɔ n i	
154-3			a m a n s i	
278-3			a m i l u ʔ a	
766-3			ʃ a r a	
251-3			a g ʊ r u	
582-3			ɔ ʔ ɔ ɲ	
6-3			a l i	
1106-3			n g ɔ	
473-3			i i e	
1111-3			h a l u	
957-3			m a r a	
24-3			s i	
25-3			θ a r a	
879-3			a b a r a b ɛ d	
566-3			a a a w n r a a ʔ a	
742-3			a g ɔ ʔ	
1044-3			ʃ i m b i l u	
13-3			a l h a m i s	
720-3			a s ɛ l a ʔ	
233-3			b i b i ŋ o	
938-3			p u l a a	
369-3			a r a	
889-3			p l e	
405-3			b i i e	
134-3			p i ɗ i ʔ i	
1078-3			m i h i	
429-3			b ɔ ŋ k ʃ ʃ	
187-3			b u s ʔ ʔ i	
468-4				θ a b a
222-4				a b o b o n e
208-4				a b u r b u d u
962-4				a g o r a
203-4				a g u d i
138-4				ʃ i l e
504-4				ɗ oː ʃ a
662-4				ɓ g d a
478-4				g g ɗ a
409-4				a r e
410-4				g u n d i
256-4				ɓ ʔ l a
622-4				n d u
546-4				n d u
547-4				ʃ ɛ f a
847-4				n ɛ n d ɛ g i
95-4				b ɛ ɗ i
105-4				b ə n i
510-4				b o ʃ a
951-4				m b ə m a e
1116-4				m b ə m a
149-4				ɓ u s ʔ i
376-4				ɓ a l i
815-4				g o r a
453-4				ɗ u ŋ e
67-4				ɗ a ʃ e
47-4				ɗ o k ʔ l a
869-4				ɗ uː θ a
57-4				k aː g u
303-4				g a z ʔ i a
443-4				g r r a
884-4				g u n d i
166-4				g u n d i
918-4				a b a r e
831-4				h aː ʃ e
616-4				b iː e
84-4				h o ʃ ɛ l e
346-4				h u h u l u
601-4				z i g i
177-4				k ʔ a f a
341-4				k ʔ o l a
1066-4				f ɛ n s i ŋ a
318-4				f e i
241-4				m aː ʃ o
556-4				h a n d u u
191-4				ɛ m b ɛ l
458-4				a z ʔ i z ʔ i
1-4				h a n g i r
751-4				r o
864-4				a ŋ o n i
154-4				a m a n n i
278-4				a m i l o
766-4				ʃ oː r a
251-4				a g u r u
582-4				o ʔ u ŋ
6-4				a l i
1106-4				n g o
473-4				ŋ i n e
1111-4				h a l u
957-4				m a r e
41-4				b i
566-4				a a a a r a o s
742-4				a g u
1044-4				ʃ i m b i l
13-4				a a m i m i
720-4				aː z ɛ l a
837-4				m aː ʃ i
946-4				ɓ a ŋ g o
820-4				aː ʃ o r e
405-4				b ə d a
134-4				ɓ ʔ a i i i
1078-4				m a h i
429-4				b o ŋ o ʃ
187-4				b u z k i a e
438-4				n d ɛ n e
