COGID	Albanian	English	French	German	Latin
560-1	v t e m				
438-1	r t				
1222-1	ʃ v y t				
353-1	k g i t t				
201-1	ʃ ə m t				
20-1	k t v ə				
503-1	r e m				
957-1	t y				
728-1	l e m t				
244-1	n e m ə				
289-1	n t e t t				
911-1	l t t t				
724-1	t r t				
145-1	ʃ t y				
992-1	t				
1181-1	ʃ c i m t				
741-1	p t e t				
560-2		v u m			
438-2		ə r			
1222-2		ɑ			
353-2		f ɑ s			
201-2		f ə n t			
20-2		f au r			
503-2		f ɔ l			
957-2		ɪ n			
728-2		l ə ŋ			
244-2		n u d			
289-2		n ɑ t			
911-2		w ə r t l			
724-2		θ r i			
145-2		t w ɑ			
992-2		w i			
706-2		ə			
106-2		f ə ð ə r			
741-2		h t ə t			
421-2		b l ə d			
227-2		f ə t			
560-3			v j a		
438-3			a r ɛ		
1222-3			u v ɛ		
353-3			w ɛ s		
201-3			ɑ̃		
20-3			r		
503-3			l a n		
957-3			w a		
728-3			l ɑ̃		
244-3			n ɔ m		
289-3			n a		
911-3			r ɛ w		
724-3			r w a		
145-3			d w a		
992-3			y		
1181-3			s j ɛ		
706-3			o ʒ		
106-3			ɔ r		
741-3			k a		
421-3			f l i r		
227-3			w i		
560-4				ts u m	
438-4				e r	
1222-4				k oː ts	
353-4				f p i z	
201-4				f oi	
20-4				f eː r	
503-4				f u l	
957-4				i n	
728-4				l u ŋ	
244-4				n aː m n	
289-4				n u ts	
911-4				r u ts n	
724-4				d r	
145-4				ts oː	
992-4				d uː	
1181-4				k a	
706-4				e	
106-4				f eː d ə r	
421-4				f l u r	
227-4				f ts	
560-5					w e m o
438-5					o r
1222-5					kʷ kʷ o
353-5					p e s t o
201-5					k e n o
20-5					k e b t r
503-5					p l e n uː
957-5					kʷ e n
728-5					l oː n gʷ o
244-5					n o n
289-5					n e
911-5					r e
724-5					t r e
145-5					d e o
992-5					k oː
1181-5					k ae n t o
706-5					o b o
106-5					p aː t r
741-5					p o o
421-5					f l aː r
227-5					p aː
