COGID	Amami	Hachijo	Kagoshima	Kochi	Kyoto	Miyako	Oki	Sado	Shuri	Tokyo
14-1	x u r ɨ									
18-1	θ a r i									
35-1	i θ u tɕ i									
36-1	u θ o ts i									
48-1	n a g a s r i									
60-1	θ u ɴ ɴ i									
63-1	s i r a m									
64-1	x i									
67-1	h ʔ o									
68-1	n i ʔ ʔ									
71-1	ʔ ts i									
76-1	h u n ɨ									
83-1	ts ɨ n u									
87-1	h a n r i r i ɨ									
95-1	m i m i									
98-1	h a n a									
99-1	k u ts i									
-102-1	s i θ ʔ ʔ ʔ ʔ a									
103-1	ts ɨ m ɨ									
110-1	θ i									
116-1	m i n ʔ i									
120-1	n u m u r i									
132-1	k i x u r i									
139-1	ʔ x u r u s i r i									
140-1	ʔ r i u r u ɴ u									
156-1	θ a ts u r ʔ i									
168-1	ʔ ts ɨ ts i									
169-1	h u s i									
170-1	m i d i									
173-1	ʔ i s i									
180-1	k u m u									
185-1	h ʔ i									
186-1	m u i r u r i									
187-1	m i ts i									
190-1	ʔ a x a s r i									
193-1	k i r ɴ									
194-1	s i r s a r i									
195-1	k u r s a r i									
216-1	m a r ɕ a r i ɨ									
221-1	n o ɴ ɴ									
239-1	ʔ i ts i									
252-1	m i ts i									
253-1	ts u ts i									
254-1	ʔ i ts i ts ɨ									
266-1	x a d ɨ									
267-1	n a g a r ɨ r u r i									
268-1	ʔ u m i									
272-1	ʔ a m i r i ɨ									
276-1	ʔ a r a r i u r i									
281-1	m u s ɴ ɴ									
304-1	ts ɨ r ɴ b i									
305-1	ʔ ts i									
308-1	h a n a									
309-1	k u s a									
310-1	θ u									
311-1	n i r i a r i									
342-1	u u ts i									
346-1	x u r a s r i									
347-1	k i r i r i									
348-1	h i r u s a r i									
351-1	θ o s a r i									
361-1	ʔ r i r i ʔ u m u r ʔ									
379-1	k u s a r a ʔ									
394-1	h i a r i									
395-1	m i ɴ i ɴ i									
400-1	h i a r u r i									
412-1	s a x ɨ r u r i									
413-1	r i r i ts i k s a s u r i									
414-1	h u r u r i									
422-1	h u x r i ɨ r ɨ r u									
423-1	x a ɴ g r i i r i									
430-1	h a x u r i									
435-1	h u x u r i									
446-1	s i θ r i r i a r i									
447-1	ʔ r i r i i r i									
458-1	θ u s i									
56-1	h i θ u									
62-1	ʔ i n u									
70-1	θ a n ɨ									
96-1	m i									
101-1	h o									
114-1	x u b i									
119-1	k i m u									
134-1	s i ɴ u r u									
138-1	s i n u r i i									
146-1	ʔ a r ɨ k i									
161-1	u u r i									
182-1	x ɨ m u r i									
188-1	r a m a									
196-1	ts u r u									
262-1	h r i i r i m a									
300-1	h i ɴ s u									
313-1	u θ i									
350-1	s i m a s r i									
352-1	ts i x a s r i									
396-1	h u r s a r a									
401-1	ʔ u s i r i									
420-1	ʔ ʔ u r i r u r i									
424-1	ʔ u θ r u r i									
442-1	s i m ɨ ts u k r u									
455-1	ʔ i k i r a r i									
15-1	ʔ a r i									
49-1	u n r i ɴ u g u									
130-1	m i r i									
14-2		k o r e								
18-2		d a r e								
35-2		h t o ts u								
36-2		h u t a ts u								
48-2		n a g a a kʲ a								
60-2		t o r								
63-2		s i r a m i								
64-2		k i								
67-2		h a								
68-2		n e u								
71-2		tɕ i								
76-2		h o n e								
83-2		ts u n o								
87-2		h a n e								
95-2		m i m i								
98-2		h a n a								
99-2		k u tɕ i								
-102-2		s i t a								
103-2		ts u m e								
110-2		t e								
116-2		m u n e								
120-2		n o m u								
132-2		k i k u								
139-2		k o r o s u								
140-2		o g o g u								
156-2		t a tɕ e u								
168-2		ts u k i								
169-2		h o s i								
170-2		m i a u								
173-2		i s i								
180-2		k u m o								
185-2		h								
186-2		m o e r u								
187-2		m i tɕ i								
190-2		a k a kʲ a								
193-2		k a r o i								
194-2		s i r o								
195-2		k u r o								
216-2		m a r a a								
221-2		n a								
239-2		i ts u								
252-2		m ts u								
253-2		o ts u								
254-2		i ts u ts u								
266-2		k a r e								
267-2		n a g a r e r u								
268-2		u m i								
272-2		a m e e								
276-2		a r a u								
281-2		m u s i								
304-2		ts u b e								
305-2		tɕ i tɕ i								
308-2		h a n a								
309-2		k u s a								
310-2		t o								
311-2		n i								
342-2		u k i								
346-2		k u r a a kʲ a								
347-2		k i r u								
348-2		h i r o a i								
351-2		t oː a i								
361-2		o m o a								
379-2		k u s a r u								
394-2		h i d a r i								
395-2		m i g i								
400-2		h i b u r u								
412-2		s a k e r u								
413-2		ts u k i s u s u								
414-2		h o r u								
422-2		h u k u r e r u								
423-2		k a g e r u								
430-2		h a k u								
435-2		h u k u								
446-2		s i t a								
447-2		u i								
458-2		t o s i								
56-2		h t o								
65-2		k a u								
70-2		t a n e								
75-2		k a u								
114-2		k u b i								
119-2		k i m o								
161-2		u								
171-2		k a w a								
188-2		a m a								
196-2		o r u								
262-2		h i r u m u								
300-2		h e s o								
313-2		a d e								
350-2		s e b a a								
352-2		tɕ i k a a								
396-2		h u r a a								
401-2		o s u								
420-2		o tɕ i r u								
424-2		u t a u								
442-2		s i m e ts u k e r u								
455-2		i k i t u u								
22-2		n a i								
24-2		m i a								
49-2		o n a g o								
78-2		a b u r u a								
89-2		k e								
14-3			k o r e i							
18-3			t a r e							
35-3			iː t ts u							
36-3			h t a ts u							
48-3			n a g a iː							
60-3			t o r							
63-3			s iː a ɴ iː							
64-3			k iː							
67-3			h a							
68-3			n e i							
71-3			iː							
76-3			h o n e i							
83-3			ts u n o							
87-3			h a n e							
95-3			m iː m iː							
98-3			h a n a							
99-3			k u iː							
-102-3			s t a							
103-3			ts u m e i							
110-3			t e i							
116-3			ɴ u n e i							
120-3			n o m							
132-3			k iː k u							
139-3			k o r o ɕ u							
140-3			g							
156-3			t a t e u							
168-3			ts u k iː							
169-3			h o ɕ iː							
170-3			m z u							
173-3			i ɕ iː							
180-3			k u m o							
185-3			h							
186-3			m e u							
187-3			m i iː							
190-3			a k a e							
193-3			k i r e							
194-3			ɕ iː							
195-3			k u							
216-3			m a r u i							
221-3			n a							
239-3			i ts u							
252-3			m iː ts u							
253-3			ts u							
254-3			i ts u ts u							
266-3			k a z e							
267-3			n a g a r e r							
268-3			u m i							
272-3			a m a							
276-3			a r a u							
281-3			m u ɕ iː							
304-3			ts u i							
305-3			iː							
308-3			h a n a							
309-3			k u ɕ a							
310-3			t o							
311-3			n							
342-3			u k iː							
346-3			k r a iː							
347-3			k i u							
348-3			h iː r iː							
351-3			t oː							
361-3			o m e							
379-3			k u ɕ a a							
394-3			h iː a r i							
395-3			ɴ i g iː							
400-3			h m a r							
412-3			s a k e r u u							
413-3			ts u k i ɕ a ɕ							
414-3			h o r u u							
422-3			h u k u e i u							
423-3			k a ɴ g a e ɴ u							
430-3			h a u							
435-3			h u k							
446-3			ɕ iː t a							
447-3			k e							
458-3			t o ɕ iː							
56-3			h iː t o							
62-3			i n u							
65-3			k a w a							
70-3			t a n e i							
75-3			k a w a							
96-3			m e							
101-3			h a							
114-3			k i							
119-3			k iː m o							
134-3			ɕ i o u							
138-3			ɕ iː n u							
146-3			a r u k							
161-3			u							
171-3			k a w a							
182-3			k e i m u r i							
188-3			a m a							
262-3			h i r u m a							
300-3			h e s o							
313-3			t e i							
350-3			s e m a iː							
352-3			i k a iː							
396-3			h r i							
401-3			o ɕ u							
420-3			o t iː r							
424-3			u t a u							
442-3			ɕ iː m e ɴ u							
455-3			i k i t							
15-3			a r e i							
22-3			n a e							
49-3			n g o							
78-3			a a							
89-3			k e i							
130-3			m iː r u							
14-4				k o r e						
18-4				d a r e						
35-4				h i t o t u						
36-4				h u t a t u						
48-4				n a g a i						
60-4				t o r i						
63-4				s i r a m i						
64-4				k i						
67-4				h a						
68-4				n e						
71-4				t i						
76-4				h o n e						
83-4				t u n o						
87-4				h a n e						
95-4				m i m i						
98-4				h a n a						
99-4				k u t i						
-102-4				s i t a						
103-4				t u m e						
110-4				t e						
116-4				m u n e						
120-4				n o m u						
132-4				k i k u						
139-4				k o r o s u						
140-4				o j o g u						
156-4				t a u						
168-4				t u k i						
169-4				h o s i						
170-4				m i s u						
173-4				i s i						
180-4				k u m o						
185-4				h a i						
186-4				m o e r u						
187-4				m i t i						
190-4				a k a i						
193-4				k i r o i						
194-4				s i r o i i						
195-4				k u r o i i						
216-4				m a r ui						
221-4				n a						
239-4				i t u						
252-4				m i t u						
253-4				r o t u						
254-4				i t u t u						
266-4				k a s e						
267-4				n a g a r e r u						
268-4				u m i						
272-4				a m e e						
276-4				a r a u						
281-4				m u s i						
304-4				t u k i						
305-4				o t i o i						
308-4				h a n a						
309-4				k u s a						
310-4				t o						
311-4				n i						
342-4				j u k i						
346-4				k u r a i						
347-4				k i r u						
348-4				h i r o i						
351-4				t oː a						
361-4				o a i						
379-4				k u s a r a						
394-4				h i d a r i						
395-4				m i g i						
400-4				h i b a r u						
412-4				s a k e r u						
413-4				t u k i a s u						
414-4				h o r u						
422-4				h u k u r e r u						
423-4				k a ɴ g a e r u						
430-4				h a k u						
435-4				h u k u						
446-4				s i t a						
447-4				u i						
458-4				t o s i						
56-4				h i t o						
62-4				i n u						
65-4				k a w a						
70-4				t a n e						
75-4				k a w a						
96-4				m e						
101-4				h a						
114-4				k u b i						
119-4				k i m o						
134-4				s i u						
138-4				s i n u						
146-4				a r u u						
161-4				j o						
171-4				k a w a						
182-4				k e m u i						
188-4				j a m a						
196-4				r o r u						
262-4				h i r u m a						
300-4				h e s o						
313-4				d e						
350-4				s e m a i						
352-4				t i k a i						
396-4				h u r ui						
424-4				u t a u						
442-4				s i m e t u k e r u						
455-4				i k i j e u						
15-4				a r e						
22-4				n a i						
24-4				m ɴ n a						
49-4				o n o						
78-4				a b u r a a a						
89-4				k e						
130-4				m i r u						
14-5					k o r e					
18-5					d a r e					
35-5					h i t oː ts u					
36-5					h u t a ts u					
48-5					n a ŋ a i					
60-5					t oː r i					
63-5					s i r a m i					
64-5					k i					
67-5					h a					
68-5					n e					
71-5					tɕ i					
76-5					h o n e					
83-5					ts u n oː					
87-5					h a n e					
95-5					m i m i					
98-5					h a n a					
99-5					k u tɕ i					
-102-5					s i t a					
103-5					ts u m e					
110-5					t e					
116-5					m u n e					
120-5					n o m u					
132-5					k i k u					
139-5					k o r oː s u					
140-5					oː oː ŋ u					
156-5					t a t e r u					
168-5					ts u k i					
169-5					h o s i					
170-5					m e z u					
173-5					i s i					
180-5					k u m oː					
185-5					h a i					
186-5					m oː e r u					
187-5					m i tɕ i					
190-5					a k a i					
193-5					k eː r o i					
194-5					s i r o a					
195-5					k u r o a					
216-5					m a r ui					
221-5					n a					
239-5					i ts u					
252-5					m i e u					
253-5					t oː e u					
254-5					i ts u ts u					
266-5					k a z e					
267-5					n a ŋ a r e r u					
268-5					u m i					
272-5					a m e					
276-5					a r a u					
281-5					m u s i					
304-5					ts u k					
