COGID	Dashi	Ega	Enqi	Gongxing	Jinman	Jinxing	Mazhelong	ProtoBai	Tuoluo	Zhoucheng
32-1	m ə˞ ⁴⁴									
53-1	tɕ i ²¹									
93-1	k ɯ ²¹									
216-1	ʂ w a ⁴⁴									
236-1	ts o ³³									
267-1	tɕ j n n									
316-1	p ɯ ³³									
327-1	ɣ ɯ ³³									
348-1	tɕ o ⁴⁴									
400-1	pʰ ou ²¹									
452-1	k ə˞ ⁴⁴									
463-1	kʰ a ⁴⁴									
512-1	t ou ⁴²									
534-1	ts ou ⁴⁴									
556-1	k u ³³									
568-1	x ɯ ⁴⁴									
588-1	ʂ w a ⁴⁴									
599-1	pʰ ɯ ⁵⁵									
656-1	k u ²¹									
678-1	k o ²¹									
689-1	m ə˞ ⁴²									
700-1	m e ⁴²									
775-1	p j e n									
786-1	k e ³⁵									
820-1	tɕ o ⁴²									
839-1	t ɯ ²¹									
863-1	kʰ u ³³									
896-1	k ə˞ ³⁵									
929-1	ts ɯ ³¹									
1015-1	ʂ o ³⁵									
1035-1	tɕ o ³³									
1107-1	ʂ ə˞ ⁴⁴									
1173-1	ɕʰ i ³³									
1195-1	ɕʰ i ³³									
1241-1	m e ²¹									
1252-1	t o ²¹									
1294-1	k a ¹³									
1326-1	tɕ u ³³									
1348-1	tɕ i ³¹									
1401-1	s e n									
1451-1	ʂ i ³³									
1473-1	t w e n									
1507-1	tɕʰ i ⁵⁵									
1532-1	k ɯ ³⁵									
1543-1	ʂ ɯ ³³									
1575-1	ʂ j e n									
1618-1	p ɯ ²¹									
1640-1	k ou ⁴⁴									
1671-1	ɕʰ i ⁴⁴									
1731-1	ʂ o ŋ ³⁵									
1762-1	ʂ w a ŋ									
1773-1	t ɯ ⁴⁴									
1794-1	k o ¹³									
1805-1	pʰ i ³¹									
1816-1	s o ³³									
1862-1	ts i ³⁵									
1885-1	kʰ ə˞ ⁴⁴									
1914-1	ʂ ɯ ³³									
1936-1	p ɯ ³³									
1969-1	ʂ j ³⁵ n									
2018-1	ts o ²¹									
2029-1	k a ¹³									
2051-1	tɕ o ²¹									
2074-1	k o ⁴⁴									
2085-1	m ə˞ ³³									
2130-1	p ə˞ ⁴⁴									
2245-1	tɕ ou ⁴²									
2269-1	m e ³³									
2280-1	ʂ ou ³¹									
2291-1	s e n ⁴²									
2316-1	tɕ i ⁴⁴									
2364-1	ts i ³³									
2395-1	ʈʂʰ ə˞ n ³⁵									
2406-1	tɕʰ j ə˞ ³⁵									
2417-1	k o ⁴²									
2428-1	k a ¹³									
2450-1	tɕ o ²¹									
2484-1	ɕʰ i ⁴⁴									
2495-1	k ou ²¹									
2565-1	t i ³⁵									
2611-1	j ou ⁴⁴									
2632-1	w w ⁴⁴ ⁴⁴									
2644-1	w a ⁴⁴									
2674-1	m o ³³									
2698-1	ʂ o ³³									
2709-1	n e ²¹									
2720-1	tɕ o ⁴²									
2772-1	k ə˞ ⁴⁴									
2791-1	tɕ ə˞ ³³ ³⁵									
2837-1	ts j ³⁵									
2859-1	ʂ j e n									
2889-1	tɕ i ³³									
2900-1	k u ³³									
2928-1	tsʰ o ŋ									
2941-1	kʰ ɯ ⁵⁵									
2998-1	ts i ³³									
3031-1	tʰ i ³³									
