COGID	Duhumbi	Jerigaon	Khispi	Khoina	Khoitam	Rahung	Rupa	Shergaon
1-1	g a							
5-1	n a							
4-1	tʰ eˀ							
6-1	n a ŋ							
15-1	p i							
55-1	l ɛi							
56-1	u							
60-1	ɕ i							
61-1	kʰ u ŋ							
80-1	dʑ ɔ k							
87-1	tɕʰ a							
86-1	pʰ a							
92-1	pʰ a							
102-1	m a							
106-1	pʰ u k							
108-1	d u							
107-1	pʰ a							
112-1	pʰ a m							
115-1	ɕ a							
114-1	t ɔ ŋ							
120-1	d u							
124-1	a							
125-1	tʰ ɔ k							
132-1	ɕ i							
131-1	r i ŋ							
136-1	m u							
134-1	kʰ a k							
137-1	u							
138-1	d ɔ k							
140-1	h a							
143-1	tɕʰ a k							
145-1	tɕʰ a m							
147-1	h ai							
149-1	m i k							
153-1	ɕ a							
152-1	kʰ a n							
158-1	k i k							
163-1	l i							
164-1	n i							
167-1	pʰ a ŋ							
171-1	n i ŋ							
172-1	b u k							
173-1	tʰ u							
183-1	l ɛi							
185-1	m a							
188-1	kʰ ɛ							
189-1	ts i ŋ							
193-1	h ɛ							
196-1	m a n							
199-1	tɕʰ i							
200-1	kʰ a n							
201-1	tɕʰ i							
202-1	kʰ a							
203-1	tʰ ɔ ŋ							
204-1	b u							
206-1	n a m							
117-1	b u							
146-1	kʰ i k							
219-1	pʰ u							
218-1	tɕʰ i							
224-1	m a ŋ							
240-1	tɕʰ a k							
244-1	j a							
255-1	n a							
260-1	b a							
263-1	l u							
269-1	dʑ ɛ							
271-1	tʰ a k							
209-1	kʰ i k							
277-1	m a m							
278-1	b u ŋ							
135-1	d a							
284-1	m u							
797-1	u							
290-1	l i							
289-1	k i t							
296-1	n i							
310-1	ɕ a							
319-1	i							
325-1	l a							
327-1	tʰ e							
331-1	k ɔː							
337-1	b a ɛ n							
338-1	l i ŋ							
339-1	n							
350-1	kʰ a							
349-1	tʰ u ŋ							
357-1	tɕʰ u							
355-1	u							
363-1	m a							
361-1	tʰ u							
365-1	ɕ a							
364-1	dʑ ɛ t							
375-1	l ɔ k							
379-1	ɕ a t							
380-1	kʰ a							
396-1	j u							
400-1	m a							
405-1	d a ŋ							
404-1	s u m							
409-1	l j ɛ k							
410-1	i k							
415-1	b a							
416-1	b a							
101-1	n u							
37-1	kʰ a							
424-1	pʰ u							
434-1	tɕʰ a n							
445-1	p a							
446-1	ɕ i							
451-1	t u							
457-1	n a m							
456-1	b ɹ							
464-1	pʰ a							
473-1	tɕʰ i							
474-1	ɔ ŋ							
479-1	s i ɹ							
489-1	j i							
490-1	h a n							
494-1	ɕ a							
503-1	kʰ ɛi							
502-1	z a ŋ							
235-1	l u ŋ							
519-1	l i							
523-1	u k							
527-1	kʰ j ɛ ŋ							
538-1	ɕ a							
544-1	j a m							
850-1	a							
554-1	dʑ u							
553-1	d i ŋ							
558-1	kʰ a ŋ							
561-1	ɕ a							
562-1	p a							
564-1	j ɛi							
567-1	m a							
570-1	pʰ u							
575-1	ai							
582-1	l a							
585-1	h							
589-1	kʰ ɔ m							
593-1	d ɛ n							
594-1	l a							
595-1	tʰ u							
596-1	n u							
598-1	ʑ u t							
599-1	d ɛi ɹ							
602-1	ʑ i							
603-1	l a p							
606-1	ɕ u							
605-1	b ɔ							
620-1	l a							
637-1	pʰ a k							
639-1	dʑ u							
645-1	kʰ ɔ							
646-1	l ɛ							
168-1	kʰ ɛ ɛ k							
658-1	h a n							
665-1	pʰ a							
668-1	h a							
677-1	t a ŋ							
75-1	k ɔ ŋ							
678-1	ɕ a							
682-1	m a n							
493-1	ʑ i							
693-1	ɕ a							
694-1	m a							
702-1	ts u m							
704-1	m a							
176-1	l a							
709-1	ɕ							
710-1	t ɔ p							
714-1	m a ɛ							
718-1	kʰ a							
719-1	tɕʰ a m							
22-1	m u							
723-1	ts i ŋ							
726-1	dʑ j							
729-1	b u							
730-1	l ɛi							
739-1	pʰ a							
740-1	b a							
741-1	kʰ ɔ k							
744-1	u							
743-1	h a n							
746-1	pʰ u ŋ							
748-1	tʰ a							
747-1	kʰ u							
749-1	kʰ ɛ n							
751-1	t a m							
762-1	m a n							
764-1	h ɛ n							
765-1	p i							
788-1	l u							
615-1	l a k							
803-1	ɕ u							
802-1	w a k							
808-1	b a							
809-1	ts i							
819-1	d u k							
821-1	ɕ a							
820-1	b ɔ							
828-1	ɕ a k							
827-1	p u							
835-1	n ɛ							
308-1	l u							
844-1	ʑ i							
848-1	m a							
705-1	l a							
613-1	ɕ							
649-1	kʰ ɛ ɛ k							
876-1	ts a							
878-1	j ɔ ŋ							
889-1	h a m							
898-1	n u							
902-1	h a ŋ							
910-1	h n							
916-1	l i							
919-1	l i							
922-1	ɕ i k							
930-1	tɕʰ a							
933-1	k i							
939-1	d ɛ ɛ k							
947-1	w ɛ n							
948-1	n u							
963-1	ʑ a							
967-1	tɕʰ u k							
969-1	ɕ a							
970-1	k ɔ k							
972-1	n a							
731-1	m u							
973-1	dʑ i ŋ							
974-1	n ɛ							
979-1	dʑ a n							
182-1	kʰ u							
993-1	n a							
994-1	j i							
1001-1	ɕ a							
1002-1	d u							
1005-1	tɕʰ u							
1009-1	kʰ u							
1022-1	ɕ a							
1021-1	j ɔ k							
1043-1	w ɔ ŋ							
1049-1	t ɛi							
1065-1	kʰ i ŋ							
1068-1	j a							
1077-1	l u ŋ							
1081-1	l a ŋ							
1084-1	h i ŋ							
1092-1	m a							
1091-1	tɕʰ i							
1096-1	n a							
1097-1	kʰ u							
1102-1	n i							
1104-1	tʰ u							
1108-1	tɕʰ a k							
552-1	dʑ a							
1111-1	b ɹ							
1116-1	ɕ a							
722-1	kʰ u							
1141-1	j a ŋ							
1147-1	b a							
1146-1	ʑ ɔ							
1150-1	kʰ a ŋ ŋ							
1151-1	u ŋ							
1158-1	kʰ a k							
1159-1	pʰ a							
1164-1	tʰ a							
1163-1	l a							
1167-1	ɕ a ŋ							
1171-1	l ɛi							
1177-1	ʑ u							
1187-1	kʰ ɛi							
1189-1	n i k							
1-2		g uː						
5-2		n ə						
4-2		tʰ i k						
6-2		n a ŋ						
15-2		dʑ i						
55-2		l a						
56-2		a						
60-2		s ɛː						
61-2		kʰ y ŋ						
80-2		dʑ ɔ k						
87-2		tɕʰ a						
86-2		pʰ l u						
92-2		pʰ l u						
102-2		m ə						
106-2		pʰ u k						
108-2		d u						
107-2		pʰ l ɐ						
112-2		pʰ a						
115-2		s						
114-2		t y ŋ						
120-2		d u						
124-2		a						
125-2		tʰ ɔ k						
132-2		s ə						
131-2		r i						
136-2		b ə						
134-2		kʰ ɐ k						
137-2		a						
138-2		d u k						
140-2		h uː						
143-2		tɕʰ ɐ k						
145-2		tɕʰ ɔ̃ː						
147-2		h ɛː						
149-2		m i k						
153-2		s						
152-2		kʰ ɛ						
158-2		k i k						
163-2		l ɛ						
164-2		n yː						
167-2		pʰ a ŋ						
171-2		n y ŋ						
172-2		b y k						
173-2		tʰ ɔ						
183-2		r aː						
185-2		m uː						
188-2		kʰ						
189-2		tɕ i ŋ						
193-2		h a						
196-2		m ɔ̃ː						
199-2		tɕʰ ɛː						
200-2		kʰ uː n						
201-2		tɕʰ i						
202-2		kʰ						
203-2		tʰ y ŋ						
204-2		b yː						
206-2		n a m						
117-2		b yː						
146-2		tɕʰ øˀ						
219-2		pʰ ə						
218-2		tɕʰ ɛː						
224-2		m ɔ ŋ						
240-2		tɕʰ ɐ k						
244-2		j aː						
255-2		n						
260-2		b a						
263-2		r ɔ						
269-2		dʑ ɐ k						
271-2		tʰ ɐ k						
209-2		tɕʰ øˀ						
277-2		m ə						
278-2		b a ŋ						
135-2		d u						
284-2		m yː						
797-2		a						
290-2		l ɛ n						
289-2		tɕ i k						
296-2		n i						
310-2		s						
319-2		yː						
325-2		r ɛ						
327-2		tʰ aː						
331-2		k ɔː						
337-2		b a n						
338-2		l y ŋ						
339-2		ɔ̃ː						
350-2		kʰ						
349-2		tʰ y ŋ						
357-2		tɕʰ u						
355-2		a						
363-2		b ə						
361-2		tʰ y						
365-2		s a						
364-2		dʑ ɛ ʔ						
375-2		r u k						
379-2		s ɛ ʔ						
380-2		kʰ uː						
396-2		j ɔː						
400-2		m uː						
405-2		d a ŋ						
404-2		s ø n						
409-2		r ɛ						
410-2		i k						
415-2		b a						
416-2		b a						
101-2		n u						
37-2		kʰ uː						
424-2		pʰ ɛː						
434-2		tɕʰ ɛ n						
445-2		b						
446-2		s iː						
451-2		t u						
457-2		n a m						
456-2		b a uː						
464-2		pʰ i ŋ						
473-2		tɕʰ iː						
474-2		ɔ ŋ						
479-2		s ɛ ŋ						
489-2		j ɔ						
490-2		h ɔ̃ː						
494-2		s ə						
503-2		kʰ ə						
502-2		z a ŋ						
235-2		l y ŋ						
519-2		l yː						
523-2		u k						
527-2		tɕʰ ɛ ŋ						
538-2		s						
544-2		j a m						
850-2		a						
554-2		dʑ ə						
553-2		r i ŋ						
558-2		kʰ ɔ̃ː ŋ						
561-2		s a						
562-2		dʑ ɔ						
564-2		j aː						
567-2		m ɔ						
570-2		pʰ l						
575-2		ɔ						
582-2		l a						
585-2		a						
589-2		kʰ u n						
593-2		d ɛː n						
594-2		l u						
595-2		tʰ y						
596-2		n u k						
598-2		z y						
599-2		d ɛː						
602-2		z ɛː						
603-2		l a						
606-2		s u						
605-2		b a						
620-2		l ɛ						
637-2		pʰ ɐ k						
639-2		dʑ ɔ						
645-2		kʰ ɔ						
646-2		r ɛ n						
168-2		h ɛ k						
658-2		h a						
665-2		pʰ l						
668-2		h uː						
677-2		t a ŋ						
75-2		k u ŋ						
678-2		s uː						
682-2		m ɛ n						
493-2		z yː						
693-2		s ə						
694-2		m uː						
702-2		tɕ ɛ n						
704-2		m uː						
176-2		l u						
709-2		s						
710-2		t øˀ						
714-2		m ɛ						
718-2		kʰ						
719-2		tɕʰ ɔ̃ː ŋ						
22-2		m yː						
723-2		tɕ i ŋ						
726-2		dʑ ɛ ŋ						
729-2		b a						
730-2		r aː						
739-2		pʰ l yː						
740-2		b a						
741-2		kʰ o k						
744-2		a						
743-2		h a n						
746-2		pʰ u ŋ						
748-2		tʰ ə						
747-2		kʰ yː						
749-2		kʰ ɛ n						
751-2		t ɔ̃ː						
762-2		m ɛ n						
764-2		h ɛ n						
765-2		dʑ i						
788-2		l u						
615-2		l ɐ k						
803-2		s u						
802-2		w ɐ k						
808-2		b a						
809-2		tɕ i						
819-2		d y k						
821-2		s ə						
820-2		b a						
828-2		s a k						
827-2		dʑ yː						
835-2		n ə						
308-2		r yː						
844-2		z iː						
848-2		m ə						
705-2		l u						
613-2		a						
649-2		h ɛ k						
876-2		tɕ ɔ̃ː						
878-2		j u ŋ						
889-2		h ɔ̃ː						
898-2		n y k						
902-2		h ɔ̃ː ŋ						
910-2		a n						
916-2		l iː						
919-2		r aː						
922-2		s i k						
930-2		tɕʰ ɐ̃ː						
933-2		k ɛː						
939-2		r ɛ k						
947-2		w ɛ n						
948-2		n u						
963-2		z uː						
967-2		tɕʰ y k						
969-2		s						
970-2		k u k						
972-2		n ə						
731-2		m yː						
973-2		dʑ i ŋ						
974-2		n						
979-2		dʑ ɛ						
182-2		kʰ yː						
993-2		n ə						
994-2		j yː						
1001-2		s ɔ						
1002-2		d u						
1005-2		tɕʰ yː						
1009-2		kʰ o						
1022-2		s						
1021-2		u k k						
1043-2		j u ŋ						
1049-2		t ɛː						
1065-2		tɕʰ ɛ̃ĩ						
1068-2		j ɔː						
1077-2		l y ŋ						
1081-2		r ɔ̃ː ŋ						
1084-2		h i ŋ						
1092-2		m ə						
1091-2		tɕʰ iː						
1096-2		n ə						
1097-2		dʑ yː						
1102-2		n ɛː						
1104-2		tʰ ɔ n						
1108-2		tɕʰ ɐ k						
552-2		dʑ uː						
1111-2		b a ɐ						
1116-2		s ɔ̃ː						
722-2		kʰ o						
1141-2		j ɔ̃ː ŋ						
1147-2		b a						
1146-2		z ø						
1150-2		h a ŋ						
1151-2		u ŋ						
1158-2		h ɐ k						
1159-2		pʰ ɔ̃ː						
1164-2		tʰ ə						
1163-2		l uː						
1167-2		s a ŋ						
1171-2		l ɛː						
1177-2		z yː						
1187-2		kʰ ɐ						
1189-2		n i k						
1-3			g a					
5-3			n a m					
4-3			tʰ e					
6-3			n a m					
15-3			p i					
55-3			l a					
56-3			ɔ					
60-3			ɕ u					
61-3			kʰ u ŋ					
80-3			dʑ ɔ k					
87-3			tɕʰ a					
86-3			pʰ a					
92-3			pʰ a					
102-3			m a					
106-3			pʰ u k					
108-3			d a					
107-3			pʰ a k					
112-3			pʰ a m					
115-3			ɕ a					
114-3			t u ŋ					
120-3			d a					
124-3			ɔ					
125-3			tʰ ɔ k					
132-3			ɕ a					
131-3			l i ŋ					
136-3			m a					
134-3			kʰ a k					
137-3			ɔ					
138-3			d ɔ k					
140-3			h a					
143-3			tɕʰ a k					
145-3			tɕʰ a					
147-3			h ɔi					
149-3			m i k					
153-3			ɕ a					
152-3			kʰ a n					
158-3			k i k					
163-3			l i					
164-3			n i					
167-3			pʰ a ŋ					
171-3			n u ŋ					
172-3			b u k					
173-3			tʰ a					
183-3			l i					
185-3			m a					
188-3			kʰ ɔ					
189-3			ts i ŋ					
193-3			h ɛ					
196-3			m a					
199-3			tɕʰ i					
200-3			kʰ a n					
201-3			kʰ i					
202-3			kʰ a					
203-3			tʰ u ŋ					
204-3			b u					
206-3			n a m					
117-3			b u					
146-3			kʰ ɛ					
219-3			b a					
218-3			tɕʰ ai					
224-3			m a ŋ					
240-3			tɕʰ a k					
244-3			j a					
255-3			n a m					
260-3			b ɛ					
263-3			l u					
269-3			dʑ ɛ k					
271-3			tʰ a k					
209-3			kʰ ɛ					
277-3			m a ŋ					
278-3			b u ŋ					
135-3			d a					
284-3			m u					
797-3			ɔ					
290-3			l i					
289-3			tɕ i k					
296-3			n i					
310-3			ɕ i					
319-3			i					
325-3			l a					
327-3			tʰ j					
331-3			k a					
337-3			b ɛ n					
338-3			l i ŋ					
339-3			ŋ a					
350-3			kʰ a					
349-3			tʰ u ŋ					
357-3			tɕʰ u					
355-3			ɔ					
363-3			m a					
361-3			tʰ a					
365-3			s a l					
364-3			dʑ ɛ t					
375-3			l u k					
379-3			ɕ ɛ t					
380-3			kʰ a					
396-3			j u					
400-3			m a					
405-3			d a ŋ					
404-3			s u m					
409-3			l e k					
410-3			i ɛ					
415-3			b a					
416-3			b a					
101-3			n a ŋ					
37-3			kʰ a					
424-3			pʰ a					
434-3			tɕʰ ɛ n					
445-3			p u					
446-3			ɕ i					
451-3			t a					
457-3			n a m					
456-3			b a					
464-3			pʰ i i					
473-3			tɕʰ i					
474-3			ɔ ŋ					
479-3			ɕ i l					
489-3			j a					
490-3			h a					
494-3			ɕ a					
503-3			kʰ a					
502-3			z a ŋ					
235-3			l u ŋ					
519-3			l i					
523-3			ɔ a					
527-3			kʰ ɛ ŋ					
538-3			ɕ i					
544-3			j a m					
850-3			ɔ					
554-3			dʑ i					
553-3			l i ŋ					
558-3			kʰ a ŋ					
561-3			ɕ a					
562-3			p a					
564-3			j ei					
567-3			m a					
570-3			pʰ u					
575-3			ai a					
582-3			l a					
585-3			ɔ					
589-3			kʰ ɔ m					
593-3			d a n					
594-3			l a					
595-3			tʰ a					
596-3			n a k					
598-3			ʑ a					
599-3			d i ŋ					
602-3			ʑ ɛ					
603-3			l a					
606-3			ɕ u					
605-3			b a					
620-3			l a					
637-3			pʰ a k					
