COGID	Duhumbi	Jerigaon	Khispi	Khoina	Khoitam	Rahung	Rupa	Shergaon
1-1	h a							
5-1	n a							
4-1	tʰ i k							
6-1	n a ŋ							
15-1	dʑ i							
55-1	l ɔ							
56-1	h a							
60-1	ɕ							
61-1	kʰ u ŋ							
80-1	dʑ ɔ k							
87-1	tɕʰ a							
86-1	pʰ a							
92-1	pʰ a							
102-1	m a							
106-1	pʰ u k							
108-1	d u							
107-1	pʰ a							
112-1	pʰ a m							
115-1	ɕ a							
114-1	t u ŋ							
120-1	d u							
124-1	h							
125-1	tʰ ɔ k							
132-1	ɕ u							
131-1	r i ŋ							
136-1	m u							
134-1	kʰ a k							
137-1	h a							
138-1	d ɔ k							
140-1	h a							
143-1	tɕʰ a k							
145-1	tɕʰ a							
147-1	h ai							
149-1	m i k							
153-1	ɕ a							
152-1	kʰ a n							
158-1	k i k							
163-1	l i							
164-1	n i							
167-1	pʰ a ŋ							
171-1	n i ŋ							
172-1	b u k							
173-1	tʰ u t							
183-1	r ɛi							
185-1	m a							
188-1	kʰ ɔ							
189-1	ts i ŋ							
193-1	h a							
196-1	m a							
199-1	tɕʰ a							
200-1	kʰ a n							
201-1	tɕʰ i							
202-1	kʰ a k							
203-1	tʰ u ŋ							
204-1	b u							
206-1	n a m							
117-1	b u							
146-1	kʰ i							
219-1	pʰ u							
218-1	tɕʰ							
224-1	m a							
240-1	tɕʰ a k							
244-1	j a							
255-1	n a							
260-1	b a							
263-1	r u							
269-1	dʑ ɔ k							
271-1	tʰ a k							
209-1	kʰ i							
277-1	m a m							
278-1	b u ŋ							
135-1	d i							
284-1	m u							
797-1	h a							
290-1	l i							
289-1	k i k							
296-1	n i							
310-1	ɕ i							
319-1	i							
325-1	r a							
327-1	tʰ e							
331-1	k u							
337-1	b a ɛ ŋ							
338-1	l i ŋ							
339-1	h							
350-1	kʰ a							
349-1	tʰ u ŋ							
357-1	tɕʰ u							
355-1	h a							
363-1	m a							
361-1	tʰ u							
365-1	ɕ a							
364-1	dʑ ɔ							
375-1	r u k							
379-1	ɕ ɔ t							
380-1	kʰ a							
396-1	j ɛ							
400-1	m a							
405-1	d a ŋ							
404-1	ɕ u m							
409-1	r ɛi k k							
410-1	i ɔ							
415-1	b a							
416-1	b a							
101-1	n u							
37-1	kʰ a							
424-1	pʰ a							
434-1	tɕʰ a n							
445-1	p							
446-1	ɕ i							
451-1	t u							
457-1	n a m							
456-1	b a							
464-1	pʰ i ŋ							
473-1	tɕʰ i							
474-1	h a							
479-1	ɕ i ŋ							
489-1	j ɔ							
490-1	h a							
494-1	ɕ i							
503-1	kʰ ɛi							
502-1	ʑ a ŋ							
235-1	l u ŋ							
519-1	l i							
523-1	k k							
527-1	kʰ j ɛ ŋ							
538-1	ɕ a							
544-1	j a m							
850-1	h a							
554-1	dʑ u							
553-1	r i ŋ							
558-1	kʰ a ŋ							
561-1	ɕ a							
562-1	p a							
564-1	j ɛi							
567-1	m a							
570-1	pʰ u							
575-1	ai							
582-1	l a							
585-1	h							
589-1	kʰ ɔ m							
593-1	d a n							
594-1	l a							
595-1	tʰ u							
596-1	n u							
598-1	ʑ u t							
599-1	d i ɹ							
602-1	ʑ ɛ							
603-1	l a							
606-1	ɕ u							
605-1	b ɔ							
620-1	l a							
637-1	pʰ a k							
639-1	dʑ ɛi							
645-1	kʰ ɔ k							
646-1	r ɔ ŋ							
168-1	h ɔ k k							
658-1	h a n							
665-1	pʰ a							
668-1	h a							
677-1	t a ŋ							
75-1	k u ŋ							
678-1	ɕ a							
682-1	m a m							
493-1	ʑ i							
693-1	ɕ a							
694-1	m a							
702-1	ts ɔ m							
704-1	m a							
176-1	l a							
709-1	ɕ							
710-1	t ɔ							
714-1	m a							
718-1	kʰ a							
719-1	tɕʰ a							
22-1	m u							
723-1	ts i ŋ							
726-1	dʑ j ŋ							
729-1	b a p							
730-1	r i							
739-1	pʰ a i							
740-1	b u							
741-1	kʰ ɔ k							
744-1	h a							
743-1	h a n							
746-1	pʰ u ŋ							
748-1	tʰ u							
747-1	kʰ u							
749-1	kʰ a n							
751-1	t a							
762-1	m a n							
764-1	h a n							
765-1	dʑ i							
788-1	h u							
615-1	l a k							
803-1	ɕ u							
802-1	w a k							
808-1	b a							
809-1	ts i							
819-1	d u k							
821-1	ɕ u							
820-1	b ɔ							
828-1	ɕ a k							
827-1	p u							
835-1	n ɔ							
308-1	r u							
844-1	ʑ i							
848-1	m a							
705-1	l a							
613-1	h a							
649-1	h ɔ k k							
876-1	ts a							
878-1	j ɔ ŋ							
889-1	h a							
898-1	n u k							
902-1	h a ŋ							
910-1	h n							
916-1	l i							
919-1	r i							
922-1	ɕ i k							
930-1	tɕʰ a							
933-1	k i							
939-1	r ɔ k k							
947-1	w a n							
948-1	n u							
963-1	ʑ a							
967-1	tɕʰ u k							
969-1	ɕ a							
970-1	k u k							
972-1	n i							
731-1	m u							
973-1	dʑ i ŋ							
974-1	n a							
979-1	dʑ a n							
182-1	kʰ u							
993-1	n i							
994-1	j i							
1001-1	ɕ a							
1002-1	d u							
1005-1	tɕʰ u							
1009-1	kʰ a							
1022-1	ɕ a							
1021-1	j ɔ k							
1043-1	w ɔ ŋ							
