index	index_p	rindex	rindex_p	cogid	id_Albanian	segment_Albanian	segment_Albanian_L1	segment_Albanian_L2	segment_Albanian_L3	segment_Albanian_R1	segment_Albanian_R2	segment_Albanian_R3	SC_Albanian	SC_Albanian_L1	SC_Albanian_L2	SC_Albanian_L3	SC_Albanian_R1	SC_Albanian_R2	SC_Albanian_R3	PROSODY_Albanian	PROSODY_Albanian_L1	PROSODY_Albanian_L2	PROSODY_Albanian_L3	PROSODY_Albanian_R1	PROSODY_Albanian_R2	PROSODY_Albanian_R3	id_English	segment_English	segment_English_L1	segment_English_L2	segment_English_L3	segment_English_R1	segment_English_R2	segment_English_R3	SC_English	SC_English_L1	SC_English_L2	SC_English_L3	SC_English_R1	SC_English_R2	SC_English_R3	PROSODY_English	PROSODY_English_L1	PROSODY_English_L2	PROSODY_English_L3	PROSODY_English_R1	PROSODY_English_R2	PROSODY_English_R3	id_French	segment_French	segment_French_L1	segment_French_L2	segment_French_L3	segment_French_R1	segment_French_R2	segment_French_R3	SC_French	SC_French_L1	SC_French_L2	SC_French_L3	SC_French_R1	SC_French_R2	SC_French_R3	PROSODY_French	PROSODY_French_L1	PROSODY_French_L2	PROSODY_French_L3	PROSODY_French_R1	PROSODY_French_R2	PROSODY_French_R3	id_German	segment_German	segment_German_L1	segment_German_L2	segment_German_L3	segment_German_R1	segment_German_R2	segment_German_R3	SC_German	SC_German_L1	SC_German_L2	SC_German_L3	SC_German_R1	SC_German_R2	SC_German_R3	PROSODY_German	PROSODY_German_L1	PROSODY_German_L2	PROSODY_German_L3	PROSODY_German_R1	PROSODY_German_R2	PROSODY_German_R3	id_Latin	segment_Latin	segment_Latin_L1	segment_Latin_L2	segment_Latin_L3	segment_Latin_R1	segment_Latin_R2	segment_Latin_R3	SC_Latin	SC_Latin_L1	SC_Latin_L2	SC_Latin_L3	SC_Latin_R1	SC_Latin_R2	SC_Latin_R3	PROSODY_Latin	PROSODY_Latin_L1	PROSODY_Latin_L2	PROSODY_Latin_L3	PROSODY_Latin_R1	PROSODY_Latin_R2	PROSODY_Latin_R3
1	0.2500	4	1.0000	52																																																																			1	h	∅	∅	∅	au	t	-	H	∅	∅	∅	A	T	_	3	∅	∅	∅	7	1	0	2	k	∅	∅	∅	u	t	i	K	∅	∅	∅	Y	T	I	1	∅	∅	∅	7	1	7
2	0.5000	3	0.7500	52																																																																			1	au	h	∅	∅	t	-	∅	A	H	∅	∅	T	_	∅	7	3	∅	∅	1	0	∅	2	u	k	∅	∅	t	i	∅	Y	K	∅	∅	T	I	∅	7	1	∅	∅	1	7	∅
3	0.7500	2	0.5000	52																																																																			1	t	au	h	∅	-	∅	∅	T	A	H	∅	_	∅	∅	1	7	3	∅	0	∅	∅	2	t	u	k	∅	i	∅	∅	T	Y	K	∅	I	∅	∅	1	7	1	∅	7	∅	∅
4	1.0000	1	0.2500	52																																																																			1	-	t	au	h	∅	∅	∅	_	T	A	H	∅	∅	∅	0	1	7	3	∅	∅	∅	2	i	t	u	k	∅	∅	∅	I	T	Y	K	∅	∅	∅	7	1	7	1	∅	∅	∅
1	0.5000	2	1.0000	59																							3	g	∅	∅	∅	o	∅	∅	K	∅	∅	∅	U	∅	∅	1	∅	∅	∅	7	∅	∅																							4	g	∅	∅	∅	eː	∅	∅	K	∅	∅	∅	E	∅	∅	1	∅	∅	∅	7	∅	∅																						
2	1.0000	1	0.5000	59																							3	o	g	∅	∅	∅	∅	∅	U	K	∅	∅	∅	∅	∅	7	1	∅	∅	∅	∅	∅																							4	eː	g	∅	∅	∅	∅	∅	E	K	∅	∅	∅	∅	∅	7	1	∅	∅	∅	∅	∅																						
1	0.2500	4	1.0000	66																							5	ə	∅	∅	∅	r	θ	-	E	∅	∅	∅	R	D	_	7	∅	∅	∅	5	3	0																							6	eː	∅	∅	∅	r	d	ə	E	∅	∅	∅	R	T	E	7	∅	∅	∅	5	1	7																						
2	0.5000	3	0.7500	66																							5	r	ə	∅	∅	θ	-	∅	R	E	∅	∅	D	_	∅	5	7	∅	∅	3	0	∅																							6	r	eː	∅	∅	d	ə	∅	R	E	∅	∅	T	E	∅	5	7	∅	∅	1	7	∅																						
3	0.7500	2	0.5000	66																							5	θ	r	ə	∅	-	∅	∅	D	R	E	∅	_	∅	∅	3	5	7	∅	0	∅	∅																							6	d	r	eː	∅	ə	∅	∅	T	R	E	∅	E	∅	∅	1	5	7	∅	7	∅	∅																						
4	1.0000	1	0.2500	66																							5	-	θ	r	ə	∅	∅	∅	_	D	R	E	∅	∅	∅	0	3	5	7	∅	∅	∅																							6	ə	d	r	eː	∅	∅	∅	E	T	R	E	∅	∅	∅	7	1	5	7	∅	∅	∅																						
1	0.2500	4	1.0000	67																																													7	t	∅	∅	∅	ɛ	r	-	T	∅	∅	∅	E	R	_	1	∅	∅	∅	7	5	0																							8	t	∅	∅	∅	e	rː	a	T	∅	∅	∅	E	R	A	1	∅	∅	∅	7	5	7
2	0.5000	3	0.7500	67																																													7	ɛ	t	∅	∅	r	-	∅	E	T	∅	∅	R	_	∅	7	1	∅	∅	5	0	∅																							8	e	t	∅	∅	rː	a	∅	E	T	∅	∅	R	A	∅	7	1	∅	∅	5	7	∅
3	0.7500	2	0.5000	67																																													7	r	ɛ	t	∅	-	∅	∅	R	E	T	∅	_	∅	∅	5	7	1	∅	0	∅	∅																							8	rː	e	t	∅	a	∅	∅	R	E	T	∅	A	∅	∅	5	7	1	∅	7	∅	∅
4	1.0000	1	0.2500	67																																													7	-	r	ɛ	t	∅	∅	∅	_	R	E	T	∅	∅	∅	0	5	7	1	∅	∅	∅																							8	a	rː	e	t	∅	∅	∅	A	R	E	T	∅	∅	∅	7	5	7	1	∅	∅	∅
1	0.3333	3	1.0000	92	9	m	∅	∅	∅	e	-	∅	M	∅	∅	∅	E	_	∅	4	∅	∅	∅	7	0	∅																																													10	m	∅	∅	∅	i	t	∅	M	∅	∅	∅	I	T	∅	4	∅	∅	∅	7	1	∅																						
2	0.6667	2	0.6667	92	9	e	m	∅	∅	-	∅	∅	E	M	∅	∅	_	∅	∅	7	4	∅	∅	0	∅	∅																																													10	i	m	∅	∅	t	∅	∅	I	M	∅	∅	T	∅	∅	7	4	∅	∅	1	∅	∅																						
3	1.0000	1	0.3333	92	9	-	e	m	∅	∅	∅	∅	_	E	M	∅	∅	∅	∅	0	7	4	∅	∅	∅	∅																																													10	t	i	m	∅	∅	∅	∅	T	I	M	∅	∅	∅	∅	1	7	4	∅	∅	∅	∅																						
1	0.1111	9	1.0000	100																																													11	ɛ̃	∅	∅	∅	-	t	ɛ	E	∅	∅	∅	_	T	E	7	∅	∅	∅	0	1	7																							12	i	∅	∅	∅	n	t	e	I	∅	∅	∅	N	T	E	7	∅	∅	∅	4	1	7
2	0.2222	8	0.8889	100																																													11	-	ɛ̃	∅	∅	t	ɛ	s	_	E	∅	∅	T	E	S	0	7	∅	∅	1	7	3																							12	n	i	∅	∅	t	e	s	N	I	∅	∅	T	E	S	4	7	∅	∅	1	7	3
3	0.3333	7	0.7778	100																																													11	t	-	ɛ̃	∅	ɛ	s	t	T	_	E	∅	E	S	T	1	0	7	∅	7	3	1																							12	t	n	i	∅	e	s	t	T	N	I	∅	E	S	T	1	4	7	∅	7	3	1
4	0.4444	6	0.6667	100																																													11	ɛ	t	-	ɛ̃	s	t	-	E	T	_	E	S	T	_	7	1	0	7	3	1	0																							12	e	t	n	i	s	t	iː	E	T	N	I	S	T	I	7	1	4	7	3	1	7
5	0.5556	5	0.5556	100																																													11	s	ɛ	t	-	t	-	-	S	E	T	_	T	_	_	3	7	1	0	1	0	0																							12	s	e	t	n	t	iː	n	S	E	T	N	T	I	N	3	7	1	4	1	7	4
6	0.6667	4	0.4444	100																																													11	t	s	ɛ	t	-	-	ɛ̃	T	S	E	T	_	_	E	1	3	7	1	0	0	7																							12	t	s	e	t	iː	n	o	T	S	E	T	I	N	U	1	3	7	1	7	4	7
7	0.7778	3	0.3333	100																																													11	-	t	s	ɛ	-	ɛ̃	∅	_	T	S	E	_	E	∅	0	1	3	7	0	7	∅																							12	iː	t	s	e	n	o	∅	I	T	S	E	N	U	∅	7	1	3	7	4	7	∅
8	0.8889	2	0.2222	100																																													11	-	-	t	s	ɛ̃	∅	∅	_	_	T	S	E	∅	∅	0	0	1	3	7	∅	∅																							12	n	iː	t	s	o	∅	∅	N	I	T	S	U	∅	∅	4	7	1	3	7	∅	∅
9	1.0000	1	0.1111	100																																													11	ɛ̃	-	-	t	∅	∅	∅	E	_	_	T	∅	∅	∅	7	0	0	1	∅	∅	∅																							12	o	n	iː	t	∅	∅	∅	U	N	I	T	∅	∅	∅	7	4	7	1	∅	∅	∅
1	0.2500	4	1.0000	123																																													13	k	∅	∅	∅	ø	-	-	K	∅	∅	∅	U	_	_	1	∅	∅	∅	7	0	0																							14	k	∅	∅	∅	au	d	a	K	∅	∅	∅	A	T	A	1	∅	∅	∅	7	1	7
2	0.5000	3	0.7500	123																																													13	ø	k	∅	∅	-	-	∅	U	K	∅	∅	_	_	∅	7	1	∅	∅	0	0	∅																							14	au	k	∅	∅	d	a	∅	A	K	∅	∅	T	A	∅	7	1	∅	∅	1	7	∅
3	0.7500	2	0.5000	123																																													13	-	ø	k	∅	-	∅	∅	_	U	K	∅	_	∅	∅	0	7	1	∅	0	∅	∅																							14	d	au	k	∅	a	∅	∅	T	A	K	∅	A	∅	∅	1	7	1	∅	7	∅	∅
4	1.0000	1	0.2500	123																																													13	-	-	ø	k	∅	∅	∅	_	_	U	K	∅	∅	∅	0	0	7	1	∅	∅	∅																							14	a	d	au	k	∅	∅	∅	A	T	A	K	∅	∅	∅	7	1	7	1	∅	∅	∅
1	0.1667	6	1.0000	149																							15	s	∅	∅	∅	p	-	l	S	∅	∅	∅	P	_	L	3	∅	∅	∅	1	0	5																							16	ʃ	∅	∅	∅	p	a	l	S	∅	∅	∅	P	A	L	3	∅	∅	∅	1	7	5																						
2	0.3333	5	0.8333	149																							15	p	s	∅	∅	-	l	ɪi	P	S	∅	∅	_	L	I	1	3	∅	∅	0	5	7																							16	p	ʃ	∅	∅	a	l	-	P	S	∅	∅	A	L	_	1	3	∅	∅	7	5	0																						
3	0.5000	4	0.6667	149																							15	-	p	s	∅	l	ɪi	t	_	P	S	∅	L	I	T	0	1	3	∅	5	7	1																							16	a	p	ʃ	∅	l	-	t	A	P	S	∅	L	_	T	7	1	3	∅	5	0	1																						
4	0.6667	3	0.5000	149																							15	l	-	p	s	ɪi	t	∅	L	_	P	S	I	T	∅	5	0	1	3	7	1	∅																							16	l	a	p	ʃ	-	t	∅	L	A	P	S	_	T	∅	5	7	1	3	0	1	∅																						
5	0.8333	2	0.3333	149																							15	ɪi	l	-	p	t	∅	∅	I	L	_	P	T	∅	∅	7	5	0	1	1	∅	∅																							16	-	l	a	p	t	∅	∅	_	L	A	P	T	∅	∅	0	5	7	1	1	∅	∅																						
6	1.0000	1	0.1667	149																							15	t	ɪi	l	-	∅	∅	∅	T	I	L	_	∅	∅	∅	1	7	5	0	∅	∅	∅																							16	t	-	l	a	∅	∅	∅	T	_	L	A	∅	∅	∅	1	0	5	7	∅	∅	∅																						
1	0.2000	5	1.0000	150																																													17	f	∅	∅	∅	ɑ̃	-	d	B	∅	∅	∅	A	_	T	3	∅	∅	∅	7	0	1																							18	f	∅	∅	∅	i	n	d	B	∅	∅	∅	I	N	T	3	∅	∅	∅	7	4	1
2	0.4000	4	0.8000	150																																													17	ɑ̃	f	∅	∅	-	d	-	A	B	∅	∅	_	T	_	7	3	∅	∅	0	1	0																							18	i	f	∅	∅	n	d	e	I	B	∅	∅	N	T	E	7	3	∅	∅	4	1	7
3	0.6000	3	0.6000	150																																													17	-	ɑ̃	f	∅	d	-	∅	_	A	B	∅	T	_	∅	0	7	3	∅	1	0	∅																							18	n	i	f	∅	d	e	∅	N	I	B	∅	T	E	∅	4	7	3	∅	1	7	∅
