index	index_p	rindex	rindex_p	cogid	id_Albanian	segment_Albanian	segment_Albanian_L1	segment_Albanian_L2	segment_Albanian_L3	segment_Albanian_R1	segment_Albanian_R2	segment_Albanian_R3	SC_Albanian	SC_Albanian_L1	SC_Albanian_L2	SC_Albanian_L3	SC_Albanian_R1	SC_Albanian_R2	SC_Albanian_R3	PROSODY_Albanian	PROSODY_Albanian_L1	PROSODY_Albanian_L2	PROSODY_Albanian_L3	PROSODY_Albanian_R1	PROSODY_Albanian_R2	PROSODY_Albanian_R3	id_English	segment_English	segment_English_L1	segment_English_L2	segment_English_L3	segment_English_R1	segment_English_R2	segment_English_R3	SC_English	SC_English_L1	SC_English_L2	SC_English_L3	SC_English_R1	SC_English_R2	SC_English_R3	PROSODY_English	PROSODY_English_L1	PROSODY_English_L2	PROSODY_English_L3	PROSODY_English_R1	PROSODY_English_R2	PROSODY_English_R3	id_French	segment_French	segment_French_L1	segment_French_L2	segment_French_L3	segment_French_R1	segment_French_R2	segment_French_R3	SC_French	SC_French_L1	SC_French_L2	SC_French_L3	SC_French_R1	SC_French_R2	SC_French_R3	PROSODY_French	PROSODY_French_L1	PROSODY_French_L2	PROSODY_French_L3	PROSODY_French_R1	PROSODY_French_R2	PROSODY_French_R3	id_German	segment_German	segment_German_L1	segment_German_L2	segment_German_L3	segment_German_R1	segment_German_R2	segment_German_R3	SC_German	SC_German_L1	SC_German_L2	SC_German_L3	SC_German_R1	SC_German_R2	SC_German_R3	PROSODY_German	PROSODY_German_L1	PROSODY_German_L2	PROSODY_German_L3	PROSODY_German_R1	PROSODY_German_R2	PROSODY_German_R3	id_Latin	segment_Latin	segment_Latin_L1	segment_Latin_L2	segment_Latin_L3	segment_Latin_R1	segment_Latin_R2	segment_Latin_R3	SC_Latin	SC_Latin_L1	SC_Latin_L2	SC_Latin_L3	SC_Latin_R1	SC_Latin_R2	SC_Latin_R3	PROSODY_Latin	PROSODY_Latin_L1	PROSODY_Latin_L2	PROSODY_Latin_L3	PROSODY_Latin_R1	PROSODY_Latin_R2	PROSODY_Latin_R3
1	0.2500	4	1.0000	52																																																																			1	h	∅	∅	∅	au	t	-	H	∅	∅	∅	A	T	_	3	∅	∅	∅	7	1	0	2	k	∅	∅	∅	u	t	i	K	∅	∅	∅	Y	T	I	1	∅	∅	∅	7	1	7
2	0.5000	3	0.7500	52																																																																			1	au	h	∅	∅	t	-	∅	A	H	∅	∅	T	_	∅	7	3	∅	∅	1	0	∅	2	u	k	∅	∅	t	i	∅	Y	K	∅	∅	T	I	∅	7	1	∅	∅	1	7	∅
3	0.7500	2	0.5000	52																																																																			1	t	au	h	∅	-	∅	∅	T	A	H	∅	_	∅	∅	1	7	3	∅	0	∅	∅	2	t	u	k	∅	i	∅	∅	T	Y	K	∅	I	∅	∅	1	7	1	∅	7	∅	∅
4	1.0000	1	0.2500	52																																																																			1	-	t	au	h	∅	∅	∅	_	T	A	H	∅	∅	∅	0	1	7	3	∅	∅	∅	2	i	t	u	k	∅	∅	∅	I	T	Y	K	∅	∅	∅	7	1	7	1	∅	∅	∅
1	0.5000	2	1.0000	59																							3	g	∅	∅	∅	o	∅	∅	K	∅	∅	∅	U	∅	∅	1	∅	∅	∅	7	∅	∅																							4	g	∅	∅	∅	eː	∅	∅	K	∅	∅	∅	E	∅	∅	1	∅	∅	∅	7	∅	∅																						
2	1.0000	1	0.5000	59																							3	o	g	∅	∅	∅	∅	∅	U	K	∅	∅	∅	∅	∅	7	1	∅	∅	∅	∅	∅																							4	eː	g	∅	∅	∅	∅	∅	E	K	∅	∅	∅	∅	∅	7	1	∅	∅	∅	∅	∅																						
1	0.2500	4	1.0000	66																							5	ə	∅	∅	∅	r	θ	-	E	∅	∅	∅	R	D	_	7	∅	∅	∅	5	3	0																							6	eː	∅	∅	∅	r	d	ə	E	∅	∅	∅	R	T	E	7	∅	∅	∅	5	1	7																						
2	0.5000	3	0.7500	66																							5	r	ə	∅	∅	θ	-	∅	R	E	∅	∅	D	_	∅	5	7	∅	∅	3	0	∅																							6	r	eː	∅	∅	d	ə	∅	R	E	∅	∅	T	E	∅	5	7	∅	∅	1	7	∅																						
3	0.7500	2	0.5000	66																							5	θ	r	ə	∅	-	∅	∅	D	R	E	∅	_	∅	∅	3	5	7	∅	0	∅	∅																							6	d	r	eː	∅	ə	∅	∅	T	R	E	∅	E	∅	∅	1	5	7	∅	7	∅	∅																						
4	1.0000	1	0.2500	66																							5	-	θ	r	ə	∅	∅	∅	_	D	R	E	∅	∅	∅	0	3	5	7	∅	∅	∅																							6	ə	d	r	eː	∅	∅	∅	E	T	R	E	∅	∅	∅	7	1	5	7	∅	∅	∅																						
1	0.2500	4	1.0000	67																																													7	t	∅	∅	∅	ɛ	r	-	T	∅	∅	∅	E	R	_	1	∅	∅	∅	7	5	0																							8	t	∅	∅	∅	e	rː	a	T	∅	∅	∅	E	R	A	1	∅	∅	∅	7	5	7
2	0.5000	3	0.7500	67																																													7	ɛ	t	∅	∅	r	-	∅	E	T	∅	∅	R	_	∅	7	1	∅	∅	5	0	∅																							8	e	t	∅	∅	rː	a	∅	E	T	∅	∅	R	A	∅	7	1	∅	∅	5	7	∅
3	0.7500	2	0.5000	67																																													7	r	ɛ	t	∅	-	∅	∅	R	E	T	∅	_	∅	∅	5	7	1	∅	0	∅	∅																							8	rː	e	t	∅	a	∅	∅	R	E	T	∅	A	∅	∅	5	7	1	∅	7	∅	∅
4	1.0000	1	0.2500	67																																													7	-	r	ɛ	t	∅	∅	∅	_	R	E	T	∅	∅	∅	0	5	7	1	∅	∅	∅																							8	a	rː	e	t	∅	∅	∅	A	R	E	T	∅	∅	∅	7	5	7	1	∅	∅	∅
1	0.2500	4	1.0000	72																							9	k	∅	∅	∅	o	l	d	K	∅	∅	∅	U	L	T	1	∅	∅	∅	7	5	1																							10	k	∅	∅	∅	a	l	t	K	∅	∅	∅	A	L	T	1	∅	∅	∅	7	5	1																						
2	0.5000	3	0.7500	72																							9	o	k	∅	∅	l	d	∅	U	K	∅	∅	L	T	∅	7	1	∅	∅	5	1	∅																							10	a	k	∅	∅	l	t	∅	A	K	∅	∅	L	T	∅	7	1	∅	∅	5	1	∅																						
3	0.7500	2	0.5000	72																							9	l	o	k	∅	d	∅	∅	L	U	K	∅	T	∅	∅	5	7	1	∅	1	∅	∅																							10	l	a	k	∅	t	∅	∅	L	A	K	∅	T	∅	∅	5	7	1	∅	1	∅	∅																						
4	1.0000	1	0.2500	72																							9	d	l	o	k	∅	∅	∅	T	L	U	K	∅	∅	∅	1	5	7	1	∅	∅	∅																							10	t	l	a	k	∅	∅	∅	T	L	A	K	∅	∅	∅	1	5	7	1	∅	∅	∅																						
1	0.1429	7	1.0000	73																																													11	f	∅	∅	∅	r	-	w	B	∅	∅	∅	R	_	W	3	∅	∅	∅	5	0	6																							12	f	∅	∅	∅	r	iː	g	B	∅	∅	∅	R	I	K	3	∅	∅	∅	5	7	1
2	0.2857	6	0.8571	73																																													11	r	f	∅	∅	-	w	a	R	B	∅	∅	_	W	A	5	3	∅	∅	0	6	7																							12	r	f	∅	∅	iː	g	i	R	B	∅	∅	I	K	I	5	3	∅	∅	7	1	7
3	0.4286	5	0.7143	73																																													11	-	r	f	∅	w	a	d	_	R	B	∅	W	A	T	0	5	3	∅	6	7	1																							12	iː	r	f	∅	g	i	d	I	R	B	∅	K	I	T	7	5	3	∅	1	7	1
4	0.5714	4	0.5714	73																																													11	w	-	r	f	a	d	-	W	_	R	B	A	T	_	6	0	5	3	7	1	0																							12	g	iː	r	f	i	d	o	K	I	R	B	I	T	U	1	7	5	3	7	1	7
5	0.7143	3	0.4286	73																																													11	a	w	-	r	d	-	∅	A	W	_	R	T	_	∅	7	6	0	5	1	0	∅																							12	i	g	iː	r	d	o	∅	I	K	I	R	T	U	∅	7	1	7	5	1	7	∅
6	0.8571	2	0.2857	73																																													11	d	a	w	-	-	∅	∅	T	A	W	_	_	∅	∅	1	7	6	0	0	∅	∅																							12	d	i	g	iː	o	∅	∅	T	I	K	I	U	∅	∅	1	7	1	7	7	∅	∅
7	1.0000	1	0.1429	73																																													11	-	d	a	w	∅	∅	∅	_	T	A	W	∅	∅	∅	0	1	7	6	∅	∅	∅																							12	o	d	i	g	∅	∅	∅	U	T	I	K	∅	∅	∅	7	1	7	1	∅	∅	∅
1	0.3333	3	1.0000	92	13	m	∅	∅	∅	e	-	∅	M	∅	∅	∅	E	_	∅	4	∅	∅	∅	7	0	∅																																													14	m	∅	∅	∅	i	t	∅	M	∅	∅	∅	I	T	∅	4	∅	∅	∅	7	1	∅																						
2	0.6667	2	0.6667	92	13	e	m	∅	∅	-	∅	∅	E	M	∅	∅	_	∅	∅	7	4	∅	∅	0	∅	∅																																													14	i	m	∅	∅	t	∅	∅	I	M	∅	∅	T	∅	∅	7	4	∅	∅	1	∅	∅																						
3	1.0000	1	0.3333	92	13	-	e	m	∅	∅	∅	∅	_	E	M	∅	∅	∅	∅	0	7	4	∅	∅	∅	∅																																													14	t	i	m	∅	∅	∅	∅	T	I	M	∅	∅	∅	∅	1	7	4	∅	∅	∅	∅																						
1	0.1111	9	1.0000	100																																													15	ɛ̃	∅	∅	∅	-	t	ɛ	E	∅	∅	∅	_	T	E	7	∅	∅	∅	0	1	7																							16	i	∅	∅	∅	n	t	e	I	∅	∅	∅	N	T	E	7	∅	∅	∅	4	1	7
2	0.2222	8	0.8889	100																																													15	-	ɛ̃	∅	∅	t	ɛ	s	_	E	∅	∅	T	E	S	0	7	∅	∅	1	7	3																							16	n	i	∅	∅	t	e	s	N	I	∅	∅	T	E	S	4	7	∅	∅	1	7	3
3	0.3333	7	0.7778	100																																													15	t	-	ɛ̃	∅	ɛ	s	t	T	_	E	∅	E	S	T	1	0	7	∅	7	3	1																							16	t	n	i	∅	e	s	t	T	N	I	∅	E	S	T	1	4	7	∅	7	3	1
4	0.4444	6	0.6667	100																																													15	ɛ	t	-	ɛ̃	s	t	-	E	T	_	E	S	T	_	7	1	0	7	3	1	0																							16	e	t	n	i	s	t	iː	E	T	N	I	S	T	I	7	1	4	7	3	1	7
5	0.5556	5	0.5556	100																																													15	s	ɛ	t	-	t	-	-	S	E	T	_	T	_	_	3	7	1	0	1	0	0																							16	s	e	t	n	t	iː	n	S	E	T	N	T	I	N	3	7	1	4	1	7	4
6	0.6667	4	0.4444	100																																													15	t	s	ɛ	t	-	-	ɛ̃	T	S	E	T	_	_	E	1	3	7	1	0	0	7																							16	t	s	e	t	iː	n	o	T	S	E	T	I	N	U	1	3	7	1	7	4	7
7	0.7778	3	0.3333	100																																													15	-	t	s	ɛ	-	ɛ̃	∅	_	T	S	E	_	E	∅	0	1	3	7	0	7	∅																							16	iː	t	s	e	n	o	∅	I	T	S	E	N	U	∅	7	1	3	7	4	7	∅
8	0.8889	2	0.2222	100																																													15	-	-	t	s	ɛ̃	∅	∅	_	_	T	S	E	∅	∅	0	0	1	3	7	∅	∅																							16	n	iː	t	s	o	∅	∅	N	I	T	S	U	∅	∅	4	7	1	3	7	∅	∅
9	1.0000	1	0.1111	100																																													15	ɛ̃	-	-	t	∅	∅	∅	E	_	_	T	∅	∅	∅	7	0	0	1	∅	∅	∅																							16	o	n	iː	t	∅	∅	∅	U	N	I	T	∅	∅	∅	7	4	7	1	∅	∅	∅
1	0.2500	4	1.0000	123																																													17	k	∅	∅	∅	ø	-	-	K	∅	∅	∅	U	_	_	1	∅	∅	∅	7	0	0																							18	k	∅	∅	∅	au	d	a	K	∅	∅	∅	A	T	A	1	∅	∅	∅	7	1	7
2	0.5000	3	0.7500	123																																													17	ø	k	∅	∅	-	-	∅	U	K	∅	∅	_	_	∅	7	1	∅	∅	0	0	∅																							18	au	k	∅	∅	d	a	∅	A	K	∅	∅	T	A	∅	7	1	∅	∅	1	7	∅
3	0.7500	2	0.5000	123																																													17	-	ø	k	∅	-	∅	∅	_	U	K	∅	_	∅	∅	0	7	1	∅	0	∅	∅																							18	d	au	k	∅	a	∅	∅	T	A	K	∅	A	∅	∅	1	7	1	∅	7	∅	∅
