COGID	Bankan_Tey	Ben_Tey	Bunoge	Jamsay	Mombo	Najamba	Nanga	Penange	Perge_Tegu	Tebul_Ure	Tiranige_Diga	Togo_Kan	Tommo_So	Toro_Tegu	Yanda_Dom	Yorno_So
715-1	d aː															
1089-1	n iː															
1319-1	n i															
1398-1	s u ŋ u a aː															
1557-1	k i r iː															
1626-1	ɛ aː w iː															
1840-1	t i r̃															
2247-1	g aː															
4677-1	k u r e j															
5162-1	j i n r̃ iː															
5406-1	t a n iː															
359-1	g aː r̃ a															
1577-1	g i r iː															
2196-1	n aː iː iː															
2230-1	s aː iː															
2533-1	b a r i															
3605-1	k aː aː d a															
3866-1	b aː s u															
4553-1	t a ŋ iː															
4822-1	k u aː b a															
5254-1	d u r a															
503-1	ŋ i r̃ e j̃															
1356-1	m a w a															
1881-1	ŋ u a iː															
3218-1	b u a															
3372-1	n a w iː															
3718-1	k aː aː a															
4135-1	b a r̃ a j̃															
4694-1	g u s iː															
807-1	g ɔ m iː															
2320-1	k a ŋ a															
2476-1	k aː															
3719-1	j															
4081-1	d a m b iː															
4313-1	n e m iː															
4460-1	s u j e															
5810-1	p i e iː															
93-1	ɔ															
260-1	b e iː															
385-1	p ɛ aː b ɛ															
890-1	g a m b iː iː iː															
1336-1	t i m a															
1703-1	b a															
1769-1	p ɛ m b a															
2162-1	p ɛ r u															
2635-1	s i															
3031-1	d ɛ w ɛ															
4591-1	k aː j aː															
5301-1	p aː r u															
5605-1	t i w e j̃															
463-1	d u m b u															
1432-1	t a r u															
1474-1	t u															
1788-1	s aː r̃															
2044-1	g i m b e															
2713-1	p u ŋ b i d ɛ j ɛ															
3219-1	b i s a															
3425-1	j a															
4184-1	j aː j															
4629-1	n u j u															
4759-1	n iː n iː e															
4904-1	a d u ɔ ɔ															
4960-1	d i r̃ e iː															
4980-1	t ɔ															
5059-1	k aː aː aː															
5339-1	b a a															
5549-1	d a r a															
5905-1	t aː r̃ u															
5922-1	p i r e															
5938-1	g a ŋ iː u iː															
1-1	p ɛ															
483-1	g a s u															
629-1	d aː															
667-1	ɛ w ɛ															
1254-1	z u d i r u															
1415-1	e a															
1542-1	n iː															
1683-1	s i e															
1898-1	b aː aː ɛ															
2901-1	t u d u															
2957-1	m a n iː															
3048-1	b i j aː															
3251-1	j a r a															
3885-1	z e r a															
715-2		p u														
1089-2		n aː														
1319-2		n aː														
1398-2		s u u u u														
1557-2		p i r i														
1626-2		aː aː r i														
1840-2		t i n i														
2247-2		g aː														
4677-2		k u r ɔ e														
5162-2		m i r̃ ɛ														
5406-2		t aː n l u														
359-2		k aː r u														
1577-2		p i r i														
2196-2		n aː r̃ a														
2230-2		s aː j ɔ														
2533-2		p aː r i														
3605-2		k aː n u														
3866-2		p aː s u														
4553-2		t aː u														
4822-2		k u m ɔ														
5254-2		p u r ɔ														
503-2		p i r̃ ɛ j̃														
1356-2		m a w̃														
1881-2		n aː w̃ iː j̃														
2084-2		aː aː u														
2420-2		k u r u														
3218-2		p u u														
3372-2		n a w̃ iː														
3718-2		p aː r aː														
4135-2		p a r̃ u j̃														
4694-2		k u s u														
807-2		k oː m u														
2320-2		k a r i														
2476-2		k u m														
2842-2		p i g e														
4081-2		s u m b i														
4313-2		n aː m														
4460-2		s a j ɔ														
5514-2		s ɛ m dʒ ɛ														
5810-2		p i ɛ i														
93-2		ɔ														
260-2		p i r i														
385-2		s aː aː b ɛ														
890-2		b a m b i r iː														
1336-2		t e g i														
1703-2		b e														
1769-2		t aː m b i														
2162-2		b ɛ r ɛ														
2635-2		s ɔː														
2735-2		iː n dʒ iː														
3031-2		d aː g aː														
4591-2		p e r ɔ														
5301-2		p aː r u														
5605-2		t i w̃ ɛ j̃														
296-2		s u m b u														
463-2		k u r b u														
762-2		b a n i i														
1432-2		t aː r i														
1474-2		t ɔ														
1788-2		s iː n iː														
2044-2		d aː m b ɔ														
2713-2		t ɔ m b ɛ l ɛ w̃ ɛ														
3219-2		b a s a														
3425-2		j u														
4184-2		j aː j														
4629-2		n aː w̃ i														
4759-2		n i ɔ eː														
4904-2		n u u														
4960-2		k i j ɔ r u														
4980-2		t ɔ ɔ														
5059-2		k aː r aː														
5125-2		k ɔ n dʒ ɛ														
5339-2		p a u														
5549-2		d a w ɔ														
5771-2		dʒ u g u														
5905-2		t i r														
5938-2		a s u u														
1-2		b ɛ														
483-2		g u s u														
629-2		d aː														
667-2		ɛ w ɛ														
1254-2		s u m u r u														
1415-2		n aː														
1542-2		n i														
1683-2		s i e														
1898-2		p aː aː aː														
2551-2		uː uː														
2901-2		t u g i														
2957-2		m a n i														
3048-2		b i j aː														
3251-2		p a r a														
3885-2		d ɛ r i														
715-3			t o													
1089-3			n o													
1319-3			n o													
1398-3			n o m ɛ a o													
1557-3			t i l ɛ													
1626-3			eː o u													
1840-3			t eː i													
2247-3			g o													
4677-3			k o l o													
5162-3			j i ɛ													
5406-3			t o n i													
359-3			t a l i													
1577-3			t i l ɛ													
2196-3			n a l e													
2533-3			b a o a													
3866-3			ʔ o i													
4553-3			t eː ɛ													
5254-3			t u l ɛ													
503-3			t i n i													
1881-3			n o m i													
2084-3			j o i													
2420-3			k o l ɛ													
3218-3			t o u ɛ													
3372-3			n a m a													
3718-3			ʔ a l i													
2320-3			k a l aː													
2476-3			k o													
3719-3			eː eː													
4460-3			n aː													
5514-3			n o n ɛ													
890-3			k a aː b a l i													
1336-3			t aː ɛ													
1703-3			b aː													
2162-3			t a i													
2635-3			n o													
2735-3			t o n dʒ a													
762-3			p a l a dʒ a													
1788-3			s eː													
2713-3			t a m b a a a o r ɛ													
3219-3			t a i													
4629-3			n a aː a													
4904-3			aː n aː aː b aː													
5125-3			t a a													
5771-3			j u g ɛ													
5938-3			ʔ o n i a a													
1898-3			t aː aː i													
2901-3			t a aː b a													
2957-3			j aː n dʒ ɛ													
3048-3			b i													
715-4				d i												
1089-4				n i j̃ aː												
1319-4				n i j̃												
1398-4				s u g u u u												
1557-4				g i r e												
1626-4				i a g a												
1840-4				t i r e												
2247-4				g i												
4677-4				k u r ɔ j												
5162-4				m i r̃ e												
5406-4				t aː n u												
359-4				k aː r u												
1577-4				g i r e												
2196-4				n a r e												
2230-4				s i g ɔ												
2533-4				b i r a												
3605-4				k aː ŋ a												
