COGID	AntangWesternSandong	BanliangYangAn	DujiangEasternSandong	JiaoliPandong	JiarongSouthernSandong	JiuqianSouthernSandong	Pandong	RenliEasternSandong	SanjiangEasternSandong	ShuigenCentralSandong	ShuiweiSouthernSandong	ShuiyaoSouthernSandong	TangnianYangAn	TangzhouWesternSandong	TingpaiWesternSandong	ZhongheCentralSandong
6882-1	h ə ¹															
6485-1	ˀb ə n ¹															
4690-1	l a ŋ ¹															
5671-1	ⁿd j ə n ¹															
4272-1	l e p ¹															
10935-1	ˀd ai ¹															
4760-1	l j ə n ¹															
1881-1	l a n ¹															
4777-1	l j ə t ¹															
10969-1	l a n ¹															
10970-1	l aːu ¹															
10206-1	l a n ¹															
6565-1	ⁿd j a n ¹															
1281-1	ⁿd j ə n ¹															
10569-1	j a m ¹															
6899-1	ⁿd j ə ŋ ¹															
7081-1	ʔ ai ¹															
4090-1	q a m ¹															
2197-1	h a m ¹															
3352-1	ˀd ai ¹															
3892-1	h j ə t ¹															
1071-1	q aː m ¹															
10313-1	l a ¹															
2671-1	tʰ j ə t ¹															
5502-1	l aː k ¹															
7382-1	ⁿd ə n ¹															
932-1	ˀb a ŋ ¹															
533-1	l a ¹															
4159-1	z a ¹															
2804-1	j aː k ¹															
5451-1	l a ¹															
5773-1	ʔ ai ¹															
6933-1	ʔ ai ¹															
4657-1	ʔ ai ¹															
4658-1	ⁿd j ə ŋ ¹															
6966-1	h ai ¹															
5351-1	z a ¹															
4073-1	ˀd ai ¹															
2163-1	ⁿd j ə ŋ ¹															
1121-1	l a ¹															
5790-1	h a ŋ ¹															
10413-1	z a ¹															
6731-1	z a ¹															
1645-1	z a ¹															
4914-1	z a ¹															
6175-1	z a ¹															
3092-1	h a ŋ ¹															
1247-1	l j ə n ¹															
5620-1	h j eu ¹															
4897-1	ʁ a ¹															
4811-1	ˀb a ŋ ¹															
1213-1	ˀd ai ¹															
11019-1	j aːu ŋ ¹															
11020-1	ˀd ai ¹															
2129-1	ʔ aː ¹															
3211-1	j aːu n ¹															
714-1	j aː k ¹															
