COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
52-1	i t e									
56-1	u m e									
96-1	a t a tʃ									
99-1	a r i p o n									
114-1	t o k i tʃ i ʔ									
115-1	o w u e tʃ									
133-1	t i p a a a tʃ i									
144-1	w w a w a tʃ i									
150-1	k a w									
234-1	k o m									
236-1	p i k o n									
241-1	a w i n									
249-1	i tʃ e ʔ									
1-1	w a z a ʔ									
2-1	w w m m									
65-1	i w									
74-1	p a n a									
106-1	t u n i k i									
128-1	p o k tʃ i									
147-1	t i m u tʃ i ʔ									
231-1	p a n a w o ʔ									
232-1	p i p i ʔ ʔ									
239-1	n a m a k a n									
266-1	i t i m									
51-1	u w e ʔ									
97-1	m a p o m									
109-1	u p i p i tʃ i									
121-1	k a p i a a k a i ʔ									
149-1	t o k									
160-1	k i r i k									
163-1	u p e n									
167-1	p a ʔ									
207-1	m i ʔ									
259-1	t o w a									
66-1	k a a a k a w									
134-1	n i p a t									
139-1	m o n o z i ʔ									
142-1	p p t a m a a									
145-1	k a t a t i tʃ i ʔ									
148-1	t a a w w n i									
162-1	i n i n									
166-1	i m i									
179-1	t a									
201-1	p e ʔ									
21-1	k a w n									
24-1	p o k o r a n									
52-2		t t e								
56-2		o m e								
96-2		a t a s i								
99-2		a r e k e n								
114-2		t o k o s i								
115-2		o r r e i								
133-2		t i p a r a s i								
144-2		a t a w a s i								
150-2		k a w								
234-2		k o m								
236-2		p e k o n								
241-2		a w i n								
249-2		i s e								
74-2		p a n a								
93-2		t o p a r i s i								
95-2		w i k i s i								
106-2		t e n e k i								
119-2		o j t t i i i								
128-2		h o k o s i								
147-2		t i m o s i								
231-2		p a n a w o								
232-2		p i r e ã								
239-2		n a m a k a n								
266-2		i t i m								
51-2		e w e								
55-2		i h a m								
97-2		m a h o m								
121-2		k a p i j a k a i								
163-2		o p e n								
167-2		p a								
259-2		t o w a								
66-2		k a r a k a w								
112-2		t r a a s i s i								
116-2		t o p a k a s i								
125-2		k a t i m a s i								
135-2		t i m i p e								
139-2		m o n o s i								
142-2		p a t a a m a s i								
148-2		t a a a k n i								
162-2		i n i n								
166-2		i m i								
179-2		t a								
52-3			v t v							
56-3			u m v							
96-3			a t a m e							
99-3			a p v h u							
114-3			t u k u tʃ e							
115-3			u u u e u							
133-3			tʃ i p a a a k							
144-3			w t a w a v k							
150-3			k a w							
234-3			k u m							
236-3			p v k u n							
241-3			a w e n							
249-3			i v v							
1-3			w a tʃ a							
2-3			w w m m							
65-3			i w i							
93-3			t u p a p i tʃ e							
95-3			w i k e							
106-3			tʃ u n e tʃ e							
119-3			u a t tʃ k i							
128-3			p u k tʃ							
147-3			t i m u tʃ e							
231-3			p a n a w u							
232-3			p i p e s							
239-3			n a m a k a n							
266-3			v t i m							
3-3			w a i k k e							
4-3			w a p i							
55-3			i w a m							
109-3			u p u w k m							
121-3			k a p i p k k m k							
149-3			tʃ u k							
160-3			k i p e k							
207-3			m i							
112-3			t a i t p k a							
125-3			k a tʃ v a a tʃ e							
134-3			n i p a tʃ i							
135-3			t e m i m a tʃ							
139-3			m u n u m i i							
52-4				i t e						
56-4				u m e						
96-4				a a a tʃ						
99-4				a r i k u n						
