COGID	Albanian	English	French	German	Latin
560-1	r r				
438-1	r				
1222-1	r				
353-1	r r r				
201-1	r r				
20-1	r r r				
503-1	r r				
957-1					
728-1	r r				
244-1	r r				
289-1	r r				
911-1	r r r				
724-1	r				
145-1	r				
992-1					
1181-1	r r r				
741-1	r r				
1150-1	r r r				
585-1					
814-1	r r r				
916-1					
1079-1	r				
630-1	r r r				
343-1	r r r				
8-1	r r r				
385-1	r				
683-1	r r r				
650-1	r r r				
612-1	r				
871-1	r r r				
667-1	r				
527-1	r r				
499-1					
1029-1					
336-1	r r				
198-1	r r				
164-1	r r r r				
560-2		d r ɪi			
438-2		ə r r r			
1222-2		g r i r			
353-2		f r ɪ s ɪi ɪi			
201-2		f ɛ ɪi			
20-2		f ai r ɪi r			
503-2		f r l ɪi			
957-2		g ɪ n			
728-2		l a r ɪi			
244-2		n a n			
289-2		n r d			
911-2		w ə r l			
724-2		ð r r			
145-2		f w ɛ r			
992-2		w i			
706-2		ə r r			
106-2		f a d ə r			
741-2		g ɛ			
421-2		d l r m			
227-2		f r i t			
920-2		h ɪ r n			
1083-2		h ʊ r n ɪi			
1066-2		j ɪ r			
1125-2		g r n			
1197-2		m ai ə r			
473-2		n u r r ɪi			
284-2		n a s			
661-2		g a n r			
701-2		r u r t ɪi			
315-2		r ə r n θ ɪi			
1169-2		s a l p			
1150-2		d p r ɪi ɪi			
982-2		d s ɪ ɪi			
987-2		s n ɪ r			
1055-2		s r t r ɪi n			
1130-2		s ai r			
433-2		s u ɪi			
625-2		f e r			
1186-2		f a n r			
416-2		g w r r			
1233-2		w ɪ θ ɪi			
884-2		w ɛ r ŋ ɪi			
1016-2		g p			
952-2		g i			
78-2		g l a s			
514-2		d r r n ɪi			
116-2		o t r			
188-2		f r r ɪi r n			
745-2		f ɪ ð ə r			
1100-2		f r r d			
47-2		g p			
111-2		g r i			
1061-2		g p			
24-2		n ɪ d			
232-2		n a n r			
671-2		d r r d			
385-2		s i			
945-2		s a n			
644-2		g ʊ ʃ			
1041-2		s t ɪ r ɪi			
492-2		d ɛ ɪi			
1209-2		g ɛ			
527-2		w a t ə r			
14-2		g o l ɪi			
1-2		o l			
915-2		j n d			
271-2		a s			
711-2		g ai t			
1112-2		g l ai t			
205-2		d r ai d			
301-2		g l i			
72-2		g a l d			
162-2		g ɛ			
238-2		g a			
560-3			v t ɛ		
438-3			ɛ r		
1222-3			g v		
353-3			g t ɛ s		
201-3			g ɑ̃		
20-3			g r		
503-3			p l		
957-3			t ɛ		
728-3			l ɑ̃		
244-3			m ɑ̃ v		
289-3			m t		
911-3			r o		
724-3			t r n		
145-3			d t		
992-3			b		
1181-3			g s t		
706-3			o ø		
106-3			p ɔ t r		
741-3			p t		
421-3			f l r		
227-3			g t d		
920-3			g u r t t		
1083-3			g u r		
1066-3			ɛ n		
1125-3			g ɛ n		
1197-3			m ɑ̃ t r		
473-3			m ɑ̃ t		
284-3			m ɛ s		
661-3			g y n		
701-3			r ɑ̃ b r		
315-3			r ɑ̃ t d		
1169-3			s ɛ e		
1150-3			g ɛ r p s ɑ̃ e		
982-3			g s ɛ d		
987-3			g		
1055-3			s t t		
1130-3			s ɛ w		
433-3			f ɑ̃ r t		
585-3			t		
625-3			l ɑ̃		
1186-3			d ɛ n		
814-3			v a r t t		
416-3			g b		
1233-3			v ɑ̃		
884-3			v ɛ r		
916-3			ɛ t		
1016-3			ɛ̃		
952-3			a		
514-3			g u r p ɑ̃ e		
1079-3			ʒ ɛ		
1100-3			g u r p ɑ̃ e		
47-3			f t v		
111-3			l a		
1061-3			m u t e		
1155-3			p u r		
343-3			v t t r		
671-3			g u r p ɑ̃ e		
460-3			p u t r		
8-3			p u r p ɑ̃ e		
644-3			s ɛ n		
683-3			ʃ ə		
650-3			g s t		
612-3			s ɛ n		
871-3			t r t		
1209-3			v ɑ̃ t		
667-3			l ɔ		
499-3			m		
14-3			g r ɛ s e		
1029-3			v i		
272-3			p ɑ̃ r		
278-3			m ɑ̃ t		
410-3			g r t		
336-3			p r ɛ s e		
1009-3			v ɑ̃ t		
479-3			t ɛ		
712-3			m ɑ̃ r d		
1113-3			f a		
605-3			ɛ s r		
752-3			t t s p		
695-3			m ɑ̃ b		
73-3			f r		
162-3			g r ɛ s e		
239-3			d ɛ		
560-4				g n i oː s	
438-4				eː r n d	
1222-4				n g aː g	
353-4				f n o b k d	
201-4				f eː g ə n	
20-4				f eː b ə ə	
503-4				f n a l s	
957-4				n i n	
728-4				l eː ŋ ə d	
244-4				m eː m ə n	
289-4				m n oː ə t	
911-4				r eː b t ə d	
724-4				d r n	
145-4				t g oː n	
992-4				h eː	
1181-4				n eː t ə oː	
706-4				eː n g ə n	
106-4				f eː b ə r	
421-4				f l i ə r	
227-4				f g ə t	
920-4				h eː r t ə d	
1083-4				h eː r n d	
1066-4				n g	
1125-4				n g n	
1197-4				m eː b ə r	
473-4				n eː b ə n	
284-4				n a b s	
661-4				v a n d	
701-4				r eː g t n	
315-4				r eː n ə n d s	
1169-4				ʃ a l t	
1150-4				ʃ n o r t ə d	
982-4				n z i t k	
987-4				ʃ n iː s	
1055-4				ʃ n t n ə l d d	
1130-4				ʃ a t s	
433-4				ʃ eː n ə d	
585-4				m t	
625-4				t eː ŋ ə d	
1186-4				t u n d	
814-4				n eː b ə l	
416-4				n v ai t	
1233-4				v eː n t ə	
884-4				v eː r ŋ k	
78-4				g l iː s	
514-4				g eː r ə n d	
116-4				ai t r	
188-4				f n o g ə r n	
745-4				f eː b ə r	
1100-4				f r g iː ə t	
630-4				n ʃ t ə ə oː	
1155-4				n eː b ə	
24-4				n u g t	
232-4				n au g d	
671-4				n r n iː ə t	
460-4				n ʃ b ə ə	
8-4				n eː t ə l l	
385-4				z eː	
945-4				ʃ eː b ə d	
1041-4				ʃ t a n d	
492-4				d eː n k d	
527-4				v eː t ə r	
14-4				eː l ə	
1-4				ai l	
915-4				a n t	
271-4				a iː r	
711-4				pf ai s	
1112-4				g l ə t	
205-4				g r aː z t	
301-4				g l iː s	
72-4				g a l t	
238-4				t iː g	
560-5					f l eː n o
438-5					a r aː
1222-5					p aː
353-5					p r a o
201-5					f eː d e
20-5					p a d i r o
503-5					p r eː o
957-5					d aː a
728-5					l d o
244-5					m o eː n o
289-5					f r eː k o
911-5					f a l i a
724-5					p r d aː
145-5					p oː a
992-5					p iː
1181-5					s l i r o
706-5					a l i i o
106-5					p o n u s
741-5					p r eː o
421-5					f l u i s
227-5					b l i a
920-5					k o r i lː o
1083-5					k o l m iː
1066-5					k nː o
1125-5					k e n o
1197-5					m a b u s
473-5					m a p i a
284-5					m a n o
661-5					k a d a
701-5					r i d m o
315-5					s eː d i u d o
1169-5					s e l a
982-5					a l iː m o
987-5					k m e m
1055-5					k eː t w a l l o
1130-5					s i kː o
433-5					s o l u a
585-5					p
625-5					l a n d o
1186-5					d e n a
814-5					s r i aː
416-5					k w a a
1233-5					w i n i o
884-5					w i l i o
916-5					aː a
1016-5					a m iː m a a
952-5					a a
78-5					k u t o
1079-5					p i d aː
116-5					a u t
188-5					n eː u u t l a
745-5					k a b u a
47-5					k n u m a a
111-5					l a d o
1061-5					m a l t e a
630-5					s eː p u t a
1155-5					k i d u o
24-5					k u t o
232-5					k u t o
343-5					s l i i o
460-5					p eː d r iː n o
945-5					k a u u a
644-5					k au kː o
683-5					s r i d aː
650-5					s l i i a
612-5					p oː m aː
1041-5					k a u u a
871-5					d r r eː i o
492-5					k a u u a
1209-5					w o m i a
667-5					l a kː aː
499-5					m
1029-5					g
272-5					s i d i s
278-5					m o p i a
410-5					a eː o r s iː o
