COGID	AchangLongchuan	Atsi	Bola	Lashi	Maru	OldBurmese	ProtoBurmish	Rangoon	Xiandao
665-1	n ɔ ⁵⁵								
495-1	n au ³¹								
838-1	n a m ⁵⁵								
438-1	ȵ ɔ ʔ ʔ ⁵⁵								
334-1	l ɔ k ⁵⁵								
360-1	l i ³¹								
394-1	m i ³¹								
221-1	ʑ o p								
202-1	k au ³¹								
935-1	ɔ ³¹								
93-1	s ɔ ³¹								
7-1	p a n ³¹								
664-1	oi w a ŋ								
246-1	x o k ⁵⁵								
547-1	s ʐ k ⁵⁵								
555-1	ʑ a m ⁵⁵								
464-1	m au ³¹								
119-1	m ə ŋ ⁵⁵								
835-1	n a p ⁵⁵								
79-1	t o ³¹								
693-1	au au ⁵⁵								
477-1	n a p ⁵⁵								
891-1	tʰ ə ŋ ³⁵								
528-1	ʐ o ⁵⁵								
797-1	tɕ au o ʔ ⁵⁵								
493-1	n a ʔ ⁵⁵								
217-1	ʑ a p ⁵⁵								
896-1	tsʰ au t ⁵⁵								
452-1	ȵ au u ʔ ⁵⁵								
580-1	s u t ⁵⁵								
833-1	n̥ ɔ ⁵⁵								
390-1	m w a ³¹								
696-1	ŋ̊ au ⁵⁵								
86-1	tʰ u ŋ ⁵⁵								
384-1	m a n ³⁵								
61-1	t a m ⁵⁵								
536-1	s ɔ a ⁵⁵								
731-1	ʂ i ³¹								
779-1	pʰ ⁵⁵								
589-1	tʰ ³¹ ⁵⁵								
658-1	ɔ m m ⁵⁵								
456-1	m ʐ w a ŋ								
183-1	k ʐ ³¹								
785-1	x ɔ ³¹								
714-1	o ⁵⁵								
331-1	l ɔ ³¹								
665-2		ŋ o ⁵¹							
495-2		n au ⁵¹							
838-2		n o ʔ ²¹							
438-2		m j o ʔ ²¹							
334-2		l o ʔ ²¹							
360-2		l ai ²¹							
394-2		m j i̱							
221-2		j u p ²¹							
202-2		k u̱i ²¹							
935-2		s ²¹							
93-2		ts o ²¹							
7-2		p a̱ n ²¹							
664-2		v u ŋ ⁵¹							
246-2		k o̱ ʔ ⁵⁵							
547-2		s i k ⁵⁵							
555-2		j i̱ m ⁵¹							
464-2		m au ²¹							
119-2		m i ŋ ⁵¹							
835-2		n a̱ p ⁵⁵							
79-2		t o ²¹							
693-2		ŋ au ⁵¹							
477-2		n j p ²¹							
891-2		tʃ i ŋ ⁵⁵							
528-2		v o ⁵¹							
797-2		k j u ʔ ⁵⁵							
493-2		n o k ²¹							
217-2		j a p ⁵⁵							
896-2		u u t ⁵⁵							
452-2		m j u ʔ ²¹							
580-2		s u ʔ ⁵⁵							
833-2		n o̱ ⁵¹							
390-2		m a ŋ ²¹							
696-2		ŋ ui ⁵¹							
86-2		t u ŋ ⁵¹							
384-2		m a n ⁵⁵							
61-2		t a m ⁵¹							
536-2		s o ʔ ⁵⁵							
731-2		ʃ i ²¹							
779-2		p ⁵¹							
589-2		tʰ u ŋ ⁵¹							
