COGID	Dashi	Ega	Enqi	Gongxing	Jinman	Jinxing	Mazhelong	ProtoBai	Tuoluo	Zhoucheng
32-1	m ə˞ ³³									
53-1	kʰ ə˞ ²¹									
93-1	k ɯ ²¹									
216-1	ʂ w a ³³									
236-1	ts i ³³									
267-1	tɕ j e n ⁴²									
316-1	p ɯ ³³									
327-1	ɣ ɯ ³³									
348-1	ts o ³³									
400-1	ʂ ou ²¹									
452-1	k ə˞ ³³									
463-1	kʰ a ³³									
512-1	t ou ⁴²									
534-1	ts ou ³³									
556-1	kʰ w u ³³									
568-1	x ɯ ³³									
588-1	ʂ w a ³³									
599-1	pʰ e ³⁵									
656-1	k õ ³¹									
678-1	k o ³¹									
689-1	m ə˞ ⁴²									
700-1	m e ⁴²									
775-1	p j e n ⁴²									
786-1	k ə ⁵⁵									
820-1	ts o ⁴²									
839-1	t ɯ ²¹									
863-1	kʰ w o ³³									
896-1	k a ⁵⁵									
929-1	v ɯ ³¹									
1015-1	s o ³⁵									
1035-1	ts u ¹³									
1107-1	ʂ ə˞ ³³									
1173-1	s i ³³									
1195-1	s i ³³									
1241-1	m e ²¹									
1252-1	l o ²¹									
1294-1	k ã ³⁵									
1326-1	ts u ³³									
1348-1	tɕ i ³¹									
1401-1	s e n ⁴²									
1451-1	s i ³³									
1473-1	t w e n ³³									
1507-1	tɕʰ ə ³⁵									
1532-1	k ɯ ⁵⁵									
1543-1	ʂ ɯ ³³									
1575-1	s j e n ³⁵									
1618-1	p ɯ ²¹									
1640-1	k ou ³³									
1671-1	s i ⁴⁴									
1731-1	s o ŋ ⁵⁵									
1762-1	ʂ w ã ŋ ³¹									
1773-1	t ɯ ³³									
1794-1	k o ŋ ³⁵									
1805-1	ʂ i ³¹									
1816-1	s i ³³									
1862-1	ts ə ³⁵									
1885-1	kʰ ə˞ ³³									
1914-1	ʂ ɯ ³³									
1936-1	p u ³³									
1969-1	s j e n ³⁵									
2018-1	ts o ŋ ²¹									
2029-1	k ã ³⁵									
2051-1	v õ ²¹									
2074-1	k o ³³									
2085-1	m ə˞ ³³									
2130-1	p ə˞ ³³									
2245-1	v ʯ ⁴²									
2269-1	m e ³³									
2280-1	ʂ ou ³¹									
2291-1	s j e n ⁴²									
2316-1	tɕ i ³³									
2364-1	kʰ i ³³									
2395-1	ʈʂʰ j ə̃˞ ⁵⁵									
2406-1	tɕʰ j ə̃˞ ³⁵									
2417-1	k ʯ ⁴²									
2428-1	k ã ³⁵									
2450-1	ts o ŋ ²¹									
2484-1	ʂ i ³³									
2495-1	k ou ²¹									
2565-1	tɕ ə ³⁵									
2611-1	j ou ³³									
2632-1	a ³³									
2644-1	w a ³⁵									
2674-1	m o ŋ ³³									
2698-1	s o ³³									
2709-1	n i ²¹									
2720-1	v ɯ ⁴²									
2772-1	k ə˞ ⁴⁴									
2791-1	tɕ j ə̃˞ ⁵⁵									
2837-1	ts ə˞ n ³⁵									
2859-1	tɕ j e n ³⁵									
2889-1	tɕ ɯ ³³									
2900-1	k u ³³									
2928-1	ʈʂʰ i ⁵⁵									
